learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.309538193,-8.007775190182858E-14,1000.0,84.6,69.21883807110049,81.57894736842105,64.2691415313225,1000.0,-1.0,10.0
2000.0,0.462353894,-1.1961128303988113E-13,2000.0,84.8,69.61458499920037,81.32678132678132,69.23076923076923,2000.0,-1.0,10.0
3000.0,0.79297967,-2.051444077450368E-13,3000.0,88.1,76.18189824266443,86.03286384976526,74.84143763213531,3000.0,-1.0,10.0
4000.0,0.923055048,-2.387950010597706E-13,4000.0,86.5,73.00626254708908,83.61650485436894,73.10756972111554,4000.0,-1.0,10.0
5000.0,1.070816171,-2.7702090925433567E-13,5000.0,87.3,74.59207272669073,84.54987834549878,74.2393509127789,5000.0,-1.0,10.0
6000.0,1.177104284,-3.0451772010160817E-13,6000.0,85.6,71.21381736766352,81.9548872180451,70.85020242914979,6000.0,-1.0,10.0
7000.0,1.277883996,-3.305895036707322E-13,7000.0,87.8,75.59677877479828,84.97536945812807,74.36974789915966,7000.0,-1.0,10.0
8000.0,1.357443361,-3.511715682947801E-13,8000.0,88.2,76.398867145623,85.46798029556649,76.30522088353415,8000.0,-1.0,10.0
9000.0,1.453064165,-3.759087386748029E-13,9000.0,88.0,76.00738972396502,85.18518518518518,76.09561752988047,9000.0,-1.0,10.0
10000.0,1.514660233,-3.918436855181224E-13,10000.0,88.3,76.58782566934806,85.33834586466166,76.55310621242485,10000.0,-1.0,10.0
11000.0,1.606174276,-4.1551843389040897E-13,11000.0,87.3,74.59715488134671,83.84223918575063,74.39516129032258,11000.0,-1.0,10.0
12000.0,1.65643605,-4.2852119076997043E-13,12000.0,89.7,79.40329547272437,87.67942583732058,78.85010266940452,12000.0,-1.0,10.0
13000.0,1.726427848,-4.4662811896867225E-13,13000.0,87.8,75.58906390062748,84.55696202531647,75.25354969574036,13000.0,-1.0,10.0
14000.0,1.783711603,-4.614474673548507E-13,14000.0,90.8,81.60036799264016,89.0995260663507,81.60000000000001,14000.0,-1.0,10.0
15000.0,1.855411028,-4.799961598796978E-13,15000.0,89.8,79.59959199183984,87.68115942028984,79.39393939393939,15000.0,-1.0,10.0
16000.0,1.904006193,-4.925677638190489E-13,16000.0,89.7,79.40494281372472,87.59036144578315,79.27565392354126,16000.0,-1.0,10.0
17000.0,1.9693464,-5.094713220993678E-13,17000.0,90.7,81.39955358928614,88.82211538461539,81.43712574850301,17000.0,-1.0,10.0
18000.0,2.015654497,-5.214512599114743E-13,18000.0,88.6,77.19936158212431,86.11449451887943,77.33598409542743,18000.0,-1.0,10.0
19000.0,2.076032989,-5.370712189728187E-13,19000.0,88.6,77.20082077045227,85.94327990135636,76.34854771784234,19000.0,-1.0,10.0
20000.0,2.121253562,-5.487698135483596E-13,20000.0,88.5,76.97845183091374,85.74969021065675,76.33744855967079,20000.0,-1.0,10.0
21000.0,2.175432477,-5.627859376060466E-13,21000.0,89.3,78.60770122755808,86.93528693528694,78.72763419483103,21000.0,-1.0,10.0
22000.0,2.217630838,-5.737026837757892E-13,22000.0,87.8,75.60614725089277,84.78802992518702,75.25354969574036,22000.0,-1.0,10.0
23000.0,2.269920578,-5.872300769098931E-13,23000.0,90.0,79.98975475443427,87.95180722891567,79.20997920997921,23000.0,-1.0,10.0
24000.0,2.311578731,-5.980070708836946E-13,24000.0,88.4,76.79703001984254,85.46365914786966,76.42276422764228,24000.0,-1.0,10.0
25000.0,2.367828249,-6.125588614183168E-13,25000.0,88.7,77.38806089615316,86.20268620268621,76.65289256198348,25000.0,-1.0,10.0
26000.0,2.424528497,-6.272272561262879E-13,26000.0,47.599999999999994,-4.040917466166854,35.14851485148514,-3.3530571992110487,26000.0,-1.0,10.0
27000.0,2.471528451,-6.393861778390904E-13,27000.0,62.2,24.660373748325778,54.07047387606318,21.576763485477173,27000.0,-1.0,10.0
28000.0,2.509888653,-6.493099895305932E-13,28000.0,63.3,26.573566483934226,56.25744934445769,26.6,28000.0,-1.0,10.0
29000.0,2.555085447,-6.61002432461828E-13,29000.0,75.2,50.205802630258,69.45812807881774,48.865979381443296,29000.0,-1.0,10.0
30000.0,2.592054265,-6.705662921174533E-13,30000.0,80.7,61.485041029407085,76.74698795180723,60.206185567010316,30000.0,-1.0,10.0
31000.0,2.64358772,-6.838980337811841E-13,31000.0,85.1,70.19880795231809,81.13924050632912,70.02012072434607,31000.0,-1.0,10.0
32000.0,2.687024853,-6.951352511532605E-13,32000.0,86.6,73.2,83.71810449574728,72.19917012448133,32000.0,-1.0,10.0
33000.0,2.745197599,-7.101845821469195E-13,33000.0,86.9,73.78615909200057,83.90663390663391,72.98969072164948,33000.0,-1.0,10.0
34000.0,2.794615871,-7.229691244558328E-13,34000.0,87.1,74.20144471909573,84.01486988847583,74.35387673956262,34000.0,-1.0,10.0
35000.0,2.85919614,-7.396760862320662E-13,35000.0,86.7,73.4,83.49875930521092,72.34927234927234,35000.0,-1.0,10.0
36000.0,2.905913746,-7.517619643153416E-13,36000.0,89.7,79.38911745401572,87.85377358490565,78.76288659793815,36000.0,-1.0,10.0
37000.0,2.962264243,-7.66339878189481E-13,37000.0,88.7,77.39511734534659,86.35265700483092,76.9857433808554,37000.0,-1.0,10.0
38000.0,3.010377479,-7.787868067518705E-13,38000.0,88.1,76.20399772838164,85.41666666666666,75.76374745417516,38000.0,-1.0,10.0
39000.0,3.061341721,-7.919712926054166E-13,39000.0,87.6,75.20238057146514,84.49999999999999,74.79674796747967,39000.0,-1.0,10.0
40000.0,3.099211342,-8.017681906413701E-13,40000.0,88.7,77.39602169981917,86.21951219512195,76.9857433808554,40000.0,-1.0,10.0
41000.0,3.150354692,-8.149990118626092E-13,41000.0,88.8,77.60134391936484,86.30806845965769,77.90927021696253,41000.0,-1.0,10.0
42000.0,3.190855213,-8.254765256101059E-13,42000.0,90.3,80.60310350343946,88.50710900473933,80.28455284552845,42000.0,-1.0,10.0
43000.0,3.240360076,-8.382834690726466E-13,43000.0,89.5,78.99344595513801,87.13235294117648,78.83064516129032,43000.0,-1.0,10.0
