learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.0625,-1.616879469818539E-14,1000.0,84.5,69.02676087860088,81.45933014354067,64.03712296983758,1000.0,-1.0,10.0
2000.0,0.109375,-2.8295390721824433E-14,2000.0,84.89999999999999,69.81110951169968,81.44963144963144,69.4331983805668,2000.0,-1.0,10.0
3000.0,0.15625,-4.042198674546348E-14,3000.0,88.6,77.19087635054022,86.61971830985915,75.8985200845666,3000.0,-1.0,10.0
4000.0,0.203125,-5.2548582769102524E-14,4000.0,87.5,75.00379942248779,84.83009708737865,75.0996015936255,4000.0,-1.0,10.0
5000.0,0.234375,-6.063298011819522E-14,5000.0,87.7,75.39409458269985,85.03649635036497,75.05070993914808,5000.0,-1.0,10.0
6000.0,0.28125,-7.275957614183426E-14,6000.0,86.5,73.00971650205925,83.0827067669173,72.67206477732793,6000.0,-1.0,10.0
7000.0,0.328125,-8.48861721654733E-14,7000.0,87.7,75.4,84.85221674876847,74.15966386554622,7000.0,-1.0,10.0
8000.0,0.359375,-9.2970569514566E-14,8000.0,88.3,76.5986895266135,85.5911330049261,76.50602409638554,8000.0,-1.0,10.0
9000.0,0.40625,-1.0509716553820505E-13,9000.0,88.3,76.60524042614455,85.55555555555556,76.69322709163346,9000.0,-1.0,10.0
10000.0,0.453125,-1.1722376156184408E-13,10000.0,88.0,75.98626414308984,84.96240601503759,75.95190380761522,10000.0,-1.0,10.0
11000.0,0.5,-1.2935035758548313E-13,11000.0,86.8,73.59746535667423,83.20610687022901,73.38709677419355,11000.0,-1.0,10.0
12000.0,0.53125,-1.3743475493457582E-13,12000.0,89.5,79.003359462486,87.4401913875598,78.43942505133471,12000.0,-1.0,10.0
13000.0,0.578125,-1.4956135095821487E-13,13000.0,87.3,74.58719194474016,83.92405063291139,74.2393509127789,13000.0,-1.0,10.0
14000.0,0.625,-1.6168794698185392E-13,14000.0,90.10000000000001,80.20047518859548,88.2701421800948,80.2,14000.0,-1.0,10.0
15000.0,0.671875,-1.7381454300549296E-13,15000.0,89.7,79.4,87.56038647342996,79.1919191919192,15000.0,-1.0,10.0
16000.0,0.71875,-1.85941139029132E-13,16000.0,88.8,77.60752387197901,86.50602409638554,77.41935483870968,16000.0,-1.0,10.0
17000.0,0.765625,-1.9806773505277105E-13,17000.0,90.0,80.0,87.98076923076923,80.11928429423459,17000.0,-1.0,10.0
18000.0,0.8125,-2.101943310764101E-13,18000.0,88.0,75.99740772003376,85.36585365853657,76.04790419161677,18000.0,-1.0,10.0
19000.0,0.859375,-2.2232092710004914E-13,19000.0,88.0,76.00153590170228,85.07462686567163,74.84276729559748,19000.0,-1.0,10.0
20000.0,0.90625,-2.3444752312368816E-13,20000.0,87.3,74.57620332631343,84.30160692212608,73.43096234309623,20000.0,-1.0,10.0
21000.0,0.9375,-2.4253192047278086E-13,21000.0,88.5,77.0167318192356,85.625,76.86116700201208,21000.0,-1.0,10.0
22000.0,1.0,-2.5870071517096625E-13,22000.0,85.8,71.61532772302957,81.60621761658031,70.78189300411523,22000.0,-1.0,10.0
23000.0,1.046875,-2.7082731119460527E-13,23000.0,84.2,68.22715572715572,79.18313570487483,66.09442060085836,23000.0,-1.0,10.0
24000.0,1.09375,-2.829539072182443E-13,24000.0,79.9,59.87383214884613,71.48936170212765,58.895705521472394,24000.0,-1.0,10.0
25000.0,1.15625,-2.991227019164297E-13,25000.0,73.2,46.283327387084746,57.861635220125784,44.628099173553714,25000.0,-1.0,10.0
26000.0,1.203125,-3.112492979400687E-13,26000.0,75.9,51.83236864826837,64.66275659824048,50.30927835051546,26000.0,-1.0,10.0
27000.0,1.25,-3.2337589396370773E-13,27000.0,78.0,56.50110724454287,68.66096866096866,53.781512605042025,27000.0,-1.0,10.0
28000.0,1.3125,-3.395446886618931E-13,28000.0,83.8,67.29862411988888,79.69924812030074,67.79324055666002,28000.0,-1.0,10.0
29000.0,1.359375,-3.5167128468553214E-13,29000.0,83.5,66.87917523124356,78.57142857142857,65.9090909090909,29000.0,-1.0,10.0
30000.0,1.390625,-3.5975568203462484E-13,30000.0,85.9,71.92599612937138,82.61405672009865,71.28309572301426,30000.0,-1.0,10.0
31000.0,1.4375,-3.7188227805826386E-13,31000.0,83.1,66.19999999999999,78.52604828462515,65.99597585513078,31000.0,-1.0,10.0
32000.0,1.484375,-3.840088740819029E-13,32000.0,85.39999999999999,70.79392513642837,82.10784313725489,68.53448275862068,32000.0,-1.0,10.0
33000.0,1.53125,-3.961354701055419E-13,33000.0,85.6,71.16574490494708,82.26600985221674,69.74789915966386,33000.0,-1.0,10.0
34000.0,1.5625,-4.042198674546346E-13,34000.0,85.0,70.00347959636682,81.41263940520447,69.87951807228914,34000.0,-1.0,10.0
35000.0,1.609375,-4.163464634782736E-13,35000.0,84.7,69.39999999999999,81.04089219330855,67.51592356687898,35000.0,-1.0,10.0
36000.0,1.671875,-4.32515258176459E-13,36000.0,86.4,72.72056227735165,83.9622641509434,71.78423236514523,36000.0,-1.0,10.0
37000.0,1.703125,-4.405996555255517E-13,37000.0,87.6,75.18660076441279,84.95145631067959,74.74541751527495,37000.0,-1.0,10.0
38000.0,1.75,-4.5272625154919073E-13,38000.0,86.5,73.02158273381295,83.49633251833741,72.50509164969449,38000.0,-1.0,10.0
39000.0,1.796875,-4.648528475728298E-13,39000.0,86.1,72.2,82.625,71.86234817813765,39000.0,-1.0,10.0
40000.0,1.84375,-4.769794435964688E-13,40000.0,87.1,74.17830978021539,84.30656934306569,73.67346938775509,40000.0,-1.0,10.0
41000.0,1.890625,-4.891060396201078E-13,41000.0,86.7,73.40319161700596,83.76068376068376,73.76725838264299,41000.0,-1.0,10.0
42000.0,1.9375,-5.012326356437468E-13,42000.0,88.5,77.0084608863938,86.37440758293839,75.53191489361703,42000.0,-1.0,10.0
43000.0,1.984375,-5.133592316673858E-13,43000.0,87.1,74.19070865511584,84.0937114673243,74.04426559356136,43000.0,-1.0,10.0
44000.0,2.03125,-5.254858276910249E-13,44000.0,87.2,74.39743974397439,84.15841584158414,73.55371900826447,44000.0,-1.0,10.0
45000.0,2.078125,-5.376124237146639E-13,45000.0,86.2,72.39039185636601,82.70676691729322,72.23340040241449,45000.0,-1.0,10.0
46000.0,2.140625,-5.537812184128493E-13,46000.0,85.39999999999999,70.8,81.30601792573623,70.74148296593185,46000.0,-1.0,10.0
47000.0,2.1875,-5.659078144364883E-13,47000.0,86.9,73.80963805319642,83.68617683686178,71.94860813704497,47000.0,-1.0,10.0
48000.0,2.234375,-5.780344104601273E-13,48000.0,85.9,71.78239221274076,81.32450331125828,69.87179487179486,48000.0,-1.0,10.0
49000.0,2.296875,-5.942032051583127E-13,49000.0,83.7,67.4255383779117,75.74404761904762,66.18257261410787,49000.0,-1.0,10.0
50000.0,2.34375,-6.063298011819517E-13,50000.0,82.69999999999999,65.29839369674406,73.30246913580247,64.54918032786884,50000.0,-1.0,10.0
51000.0,2.390625,-6.184563972055907E-13,51000.0,83.89999999999999,67.75408181250098,76.99999999999999,67.54032258064515,51000.0,-1.0,10.0
52000.0,2.4375,-6.305829932292298E-13,52000.0,81.5,63.04788993464469,73.60912981455063,62.77665995975854,52000.0,-1.0,10.0
53000.0,2.484375,-6.427095892528688E-13,53000.0,82.0,64.24925419971954,76.71410090556273,62.42171189979122,53000.0,-1.0,10.0
54000.0,2.515625,-6.507939866019614E-13,54000.0,82.19999999999999,64.55821214100256,76.45502645502646,63.070539419087126,54000.0,-1.0,10.0
55000.0,2.5625,-6.629205826256004E-13,55000.0,83.6,67.20800124769555,79.8277982779828,66.39344262295081,55000.0,-1.0,10.0
56000.0,2.59375,-6.710049799746931E-13,56000.0,83.6,67.19251989453595,79.21419518377692,65.0319829424307,56000.0,-1.0,10.0
57000.0,2.640625,-6.831315759983321E-13,57000.0,82.89999999999999,65.70369597830708,78.4090909090909,65.03067484662576,57000.0,-1.0,10.0
58000.0,2.6875,-6.952581720219711E-13,58000.0,85.0,70.0,81.59509202453988,70.0,58000.0,-1.0,10.0
59000.0,2.734375,-7.073847680456102E-13,59000.0,83.6,67.24088337754482,79.13486005089058,65.1063829787234,59000.0,-1.0,10.0
60000.0,2.78125,-7.195113640692492E-13,60000.0,83.39999999999999,66.75545230609016,79.32752179327522,64.3010752688172,60000.0,-1.0,10.0
61000.0,2.828125,-7.316379600928882E-13,61000.0,84.5,68.96200949962753,80.86419753086419,68.17248459958931,61000.0,-1.0,10.0
62000.0,2.875,-7.437645561165272E-13,62000.0,85.39999999999999,70.82742222311028,82.51497005988023,70.26476578411405,62000.0,-1.0,10.0
