learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.046875,-1.2126596023639044E-14,1000.0,83.1,66.23160721564615,79.7846889952153,60.78886310904872,1000.0,-1.0,10.0
2000.0,0.09375,-2.4253192047278088E-14,2000.0,83.39999999999999,66.82229541747945,79.60687960687959,66.39676113360323,2000.0,-1.0,10.0
3000.0,0.140625,-3.637978807091713E-14,3000.0,85.5,70.97794323686001,82.98122065727699,69.3446088794926,3000.0,-1.0,10.0
4000.0,0.1875,-4.8506384094556176E-14,4000.0,84.3,68.61029582297006,80.94660194174757,68.72509960159363,4000.0,-1.0,10.0
5000.0,0.234375,-6.063298011819522E-14,5000.0,84.5,68.99106942799526,81.14355231143551,68.55983772819472,5000.0,-1.0,10.0
6000.0,0.28125,-7.275957614183426E-14,6000.0,85.2,70.4198778420901,81.45363408521303,70.04048582995951,6000.0,-1.0,10.0
7000.0,0.328125,-8.48861721654733E-14,7000.0,84.89999999999999,69.76274770517277,81.40394088669952,68.27731092436974,7000.0,-1.0,10.0
8000.0,0.359375,-9.2970569514566E-14,8000.0,85.1,70.19260776672614,81.65024630541872,70.08032128514056,8000.0,-1.0,10.0
9000.0,0.40625,-1.0509716553820505E-13,9000.0,86.6,73.20675189852157,83.45679012345678,73.30677290836654,9000.0,-1.0,10.0
10000.0,0.453125,-1.1722376156184408E-13,10000.0,87.3,74.58149532859922,84.08521303258145,74.54909819639278,10000.0,-1.0,10.0
11000.0,0.484375,-1.2530815891093678E-13,11000.0,85.0,69.98943628157112,80.91603053435115,69.75806451612902,11000.0,-1.0,10.0
12000.0,0.53125,-1.3743475493457582E-13,12000.0,87.5,75.00559874588092,85.04784688995215,74.33264887063655,12000.0,-1.0,10.0
13000.0,0.578125,-1.4956135095821487E-13,13000.0,85.8,71.57134391466599,82.02531645569621,71.19675456389452,13000.0,-1.0,10.0
14000.0,0.625,-1.6168794698185392E-13,14000.0,88.1,76.20171347662968,85.9004739336493,76.2,14000.0,-1.0,10.0
15000.0,0.65625,-1.697723443309466E-13,15000.0,89.60000000000001,79.20124792512449,87.43961352657004,78.989898989899,15000.0,-1.0,10.0
16000.0,0.703125,-1.8189894035458566E-13,16000.0,88.9,77.80798912391539,86.62650602409639,77.62096774193549,16000.0,-1.0,10.0
17000.0,0.734375,-1.8998333770367835E-13,17000.0,89.8,79.60000000000001,87.74038461538461,79.72166998011929,17000.0,-1.0,10.0
18000.0,0.78125,-2.021099337273174E-13,18000.0,88.1,76.19771498063814,85.48780487804878,76.24750499001996,18000.0,-1.0,10.0
19000.0,0.828125,-2.1423652975095645E-13,19000.0,87.8,75.6019518438525,84.82587064676615,74.42348008385744,19000.0,-1.0,10.0
20000.0,0.875,-2.263631257745955E-13,20000.0,87.2,74.36308283928858,84.17799752781212,73.22175732217573,20000.0,-1.0,10.0
21000.0,0.921875,-2.3848972179823454E-13,21000.0,87.7,75.41239215435421,84.625,75.25150905432596,21000.0,-1.0,10.0
22000.0,0.984375,-2.5465851649641993E-13,22000.0,86.0,72.01063595833584,81.86528497409327,71.19341563786008,22000.0,-1.0,10.0
23000.0,1.046875,-2.708273111946053E-13,23000.0,86.2,72.3690533397405,81.81818181818181,70.3862660944206,23000.0,-1.0,10.0
24000.0,1.09375,-2.8295390721824435E-13,24000.0,86.9,73.79958079329269,81.41843971631207,73.21063394683026,24000.0,-1.0,10.0
25000.0,1.140625,-2.9508050324188337E-13,25000.0,83.39999999999999,66.79322581806687,73.89937106918238,65.70247933884296,25000.0,-1.0,10.0
26000.0,1.203125,-3.1124929794006876E-13,26000.0,85.7,71.40160151031542,79.03225806451613,70.51546391752576,26000.0,-1.0,10.0
27000.0,1.25,-3.233758939637078E-13,27000.0,83.6,67.23774212107652,76.63817663817665,65.54621848739495,27000.0,-1.0,10.0
28000.0,1.3125,-3.3954468866189317E-13,28000.0,84.0,67.8332475553268,79.94987468671677,68.19085487077534,28000.0,-1.0,10.0
29000.0,1.359375,-3.516712846855322E-13,29000.0,81.2,62.2792937399679,75.58441558441558,61.15702479338844,29000.0,-1.0,10.0
30000.0,1.40625,-3.637978807091712E-13,30000.0,82.89999999999999,65.9348978046934,78.91491985203452,65.17311608961303,30000.0,-1.0,10.0
31000.0,1.4375,-3.718822780582639E-13,31000.0,82.6,65.19999999999999,77.89072426937737,64.98993963782695,31000.0,-1.0,10.0
32000.0,1.484375,-3.8400887408190293E-13,32000.0,82.8,65.58678532556502,78.92156862745097,62.931034482758605,32000.0,-1.0,10.0
33000.0,1.53125,-3.9613547010554195E-13,33000.0,84.3,68.56605133544227,80.66502463054186,67.01680672268907,33000.0,-1.0,10.0
34000.0,1.578125,-4.0826206612918097E-13,34000.0,82.39999999999999,64.80633485972524,78.19083023543992,64.6586345381526,34000.0,-1.0,10.0
35000.0,1.625,-4.2038866215282E-13,35000.0,83.0,65.99999999999999,78.93432465923172,63.906581740976634,35000.0,-1.0,10.0
36000.0,1.671875,-4.32515258176459E-13,36000.0,86.5,72.90440674700342,84.08018867924528,71.99170124481327,36000.0,-1.0,10.0
37000.0,1.703125,-4.405996555255517E-13,37000.0,84.89999999999999,69.7477240671881,81.6747572815534,69.24643584521385,37000.0,-1.0,10.0
38000.0,1.75,-4.5272625154919073E-13,38000.0,84.0,68.05928197265874,80.440097799511,67.41344195519348,38000.0,-1.0,10.0
39000.0,1.796875,-4.648528475728298E-13,39000.0,83.2,66.39999999999999,78.99999999999999,65.99190283400809,39000.0,-1.0,10.0
40000.0,1.84375,-4.769794435964688E-13,40000.0,83.2,66.33536389868546,79.56204379562041,65.71428571428571,40000.0,-1.0,10.0
41000.0,1.890625,-4.891060396201078E-13,41000.0,84.5,69.0260181447584,81.07448107448107,69.42800788954635,41000.0,-1.0,10.0
42000.0,1.9375,-5.012326356437468E-13,42000.0,86.2,72.41765270227054,83.64928909952607,70.63829787234042,42000.0,-1.0,10.0
43000.0,1.984375,-5.133592316673858E-13,43000.0,84.89999999999999,69.78549703857851,81.3810110974106,69.61770623742454,43000.0,-1.0,10.0
44000.0,2.03125,-5.254858276910249E-13,44000.0,83.5,66.99339867973593,79.57920792079207,65.9090909090909,44000.0,-1.0,10.0
45000.0,2.078125,-5.376124237146639E-13,45000.0,83.5,66.97542971971146,79.32330827067669,66.80080482897384,45000.0,-1.0,10.0
46000.0,2.125,-5.497390197383029E-13,46000.0,83.5,67.0,78.87323943661971,66.93386773547093,46000.0,-1.0,10.0
47000.0,2.1875,-5.659078144364883E-13,47000.0,83.5,67.02796028967435,79.45205479452055,64.6680942184154,47000.0,-1.0,10.0
48000.0,2.234375,-5.780344104601273E-13,48000.0,84.39999999999999,68.77301988918425,79.33774834437087,66.66666666666666,48000.0,-1.0,10.0
49000.0,2.28125,-5.901610064837663E-13,49000.0,81.3,62.643632237546534,72.17261904761905,61.20331950207467,49000.0,-1.0,10.0
50000.0,2.328125,-6.022876025074053E-13,50000.0,80.10000000000001,60.04080255738865,69.29012345679013,59.22131147540984,50000.0,-1.0,10.0
51000.0,2.375,-6.144141985310444E-13,51000.0,83.5,66.94870438921205,76.42857142857142,66.73387096774192,51000.0,-1.0,10.0
52000.0,2.421875,-6.265407945546834E-13,52000.0,81.3,62.65914790971101,73.32382310984308,62.37424547283701,52000.0,-1.0,10.0
53000.0,2.46875,-6.386673905783224E-13,53000.0,83.8,67.79746593886289,79.04269081500647,66.1795407098121,53000.0,-1.0,10.0
54000.0,2.515625,-6.507939866019614E-13,54000.0,82.5,65.14305291085385,76.85185185185185,63.69294605809127,54000.0,-1.0,10.0
55000.0,2.5625,-6.629205826256004E-13,55000.0,85.0,70.00611875177462,81.54981549815498,69.26229508196721,55000.0,-1.0,10.0
56000.0,2.609375,-6.750471786492395E-13,56000.0,84.7,69.39412367174496,80.6083650190114,67.3773987206823,56000.0,-1.0,10.0
57000.0,2.65625,-6.871737746728785E-13,57000.0,84.39999999999999,68.73008045990835,80.3030303030303,68.09815950920245,57000.0,-1.0,10.0
58000.0,2.703125,-6.993003706965175E-13,58000.0,86.8,73.6,83.80368098159511,73.6,58000.0,-1.0,10.0
59000.0,2.75,-7.114269667201565E-13,59000.0,85.6,71.2193406031147,81.67938931297711,69.36170212765957,59000.0,-1.0,10.0
60000.0,2.796875,-7.235535627437956E-13,60000.0,85.6,71.18328630605751,82.06724782067248,69.03225806451613,60000.0,-1.0,10.0
61000.0,2.84375,-7.356801587674346E-13,61000.0,86.1,72.17796494823901,82.8395061728395,71.45790554414783,61000.0,-1.0,10.0
62000.0,2.890625,-7.478067547910736E-13,62000.0,87.7,75.41180233487927,85.26946107784431,74.949083503055,62000.0,-1.0,10.0
63000.0,2.9375,-7.599333508147126E-13,63000.0,86.3,72.65425396014308,83.02354399008674,71.63561076604555,63000.0,-1.0,10.0
64000.0,2.984375,-7.720599468383516E-13,64000.0,85.8,71.56622067015614,81.88775510204081,71.07942973523421,64000.0,-1.0,10.0
65000.0,3.03125,-7.841865428619907E-13,65000.0,87.7,75.37695282784686,85.32219570405728,74.74332648870636,65000.0,-1.0,10.0
66000.0,3.078125,-7.963131388856297E-13,66000.0,86.2,72.40927048511699,83.15018315018317,69.86899563318777,66000.0,-1.0,10.0
67000.0,3.125,-8.084397349092687E-13,67000.0,86.0,72.02718957173627,82.69468479604451,70.2127659574468,67000.0,-1.0,10.0
68000.0,3.171875,-8.205663309329077E-13,68000.0,86.6,73.18455430327869,83.29177057356607,72.92929292929293,68000.0,-1.0,10.0
69000.0,3.21875,-8.326929269565467E-13,69000.0,86.9,73.7483367266781,83.74689826302729,73.04526748971193,69000.0,-1.0,10.0
