learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.03125,-8.084397349092695E-15,1000.0,83.1,66.27769618798288,79.7846889952153,60.78886310904872,1000.0,-1.0,10.0
2000.0,0.0625,-1.616879469818539E-14,2000.0,83.7,67.43699157756787,79.97542997542996,67.00404858299595,2000.0,-1.0,10.0
3000.0,0.09375,-2.4253192047278085E-14,3000.0,85.2,70.32164915376595,82.62910798122066,68.71035940803381,3000.0,-1.0,10.0
4000.0,0.125,-3.233758939637078E-14,4000.0,84.89999999999999,69.81714386228623,81.6747572815534,69.92031872509959,4000.0,-1.0,10.0
5000.0,0.140625,-3.637978807091713E-14,5000.0,84.8,69.57553873314144,81.50851581508515,69.16835699797159,5000.0,-1.0,10.0
6000.0,0.171875,-4.446418542000983E-14,6000.0,82.39999999999999,64.865771276171,77.94486215538845,64.37246963562751,6000.0,-1.0,10.0
7000.0,0.1875,-4.8506384094556176E-14,7000.0,84.0,67.8997187212853,80.29556650246303,66.38655462184873,7000.0,-1.0,10.0
8000.0,0.21875,-5.659078144364887E-14,8000.0,83.89999999999999,67.78118421157956,80.17241379310344,67.67068273092369,8000.0,-1.0,10.0
9000.0,0.234375,-6.063298011819522E-14,9000.0,84.1,68.25510913054936,80.37037037037037,68.32669322709162,9000.0,-1.0,10.0
10000.0,0.265625,-6.871737746728791E-14,10000.0,85.1,70.11296896562791,81.32832080200501,70.14028056112224,10000.0,-1.0,10.0
11000.0,0.28125,-7.275957614183426E-14,11000.0,82.6,65.15539891060557,77.86259541984732,64.91935483870967,11000.0,-1.0,10.0
12000.0,0.3125,-8.084397349092696E-14,12000.0,84.2,68.47666475132476,81.10047846889952,67.5564681724846,12000.0,-1.0,10.0
13000.0,0.328125,-8.48861721654733E-14,13000.0,82.1,64.04091701688269,77.34177215189872,63.69168356997971,13000.0,-1.0,10.0
14000.0,0.359375,-9.2970569514566E-14,14000.0,84.6,69.20972972540676,81.75355450236967,69.19999999999999,14000.0,-1.0,10.0
15000.0,0.390625,-1.010549668636587E-13,15000.0,85.2,70.43370557564376,82.12560386473429,70.1010101010101,15000.0,-1.0,10.0
16000.0,0.40625,-1.0509716553820505E-13,16000.0,85.0,70.04744484736177,81.92771084337349,69.75806451612902,16000.0,-1.0,10.0
17000.0,0.421875,-1.091393642127514E-13,17000.0,86.1,72.18687220368012,83.29326923076923,72.36580516898609,17000.0,-1.0,10.0
18000.0,0.453125,-1.1722376156184408E-13,18000.0,84.1,68.17326554305616,80.60975609756098,68.26347305389221,18000.0,-1.0,10.0
19000.0,0.46875,-1.2126596023639043E-13,19000.0,84.0,68.01484111372322,80.09950248756216,66.45702306079664,19000.0,-1.0,10.0
20000.0,0.5,-1.2935035758548313E-13,20000.0,84.3,68.41580095114709,80.59332509270703,67.15481171548117,20000.0,-1.0,10.0
21000.0,0.515625,-1.3339255626002948E-13,21000.0,82.89999999999999,65.87834332372871,78.625,65.59356136820925,21000.0,-1.0,10.0
22000.0,0.53125,-1.3743475493457582E-13,22000.0,82.69999999999999,65.44561179243398,77.59067357512953,64.40329218106994,22000.0,-1.0,10.0
23000.0,0.5625,-1.4551915228366852E-13,23000.0,80.60000000000001,60.98777348777349,74.44005270092228,58.36909871244635,23000.0,-1.0,10.0
24000.0,0.578125,-1.4956135095821487E-13,24000.0,79.4,58.810544500607854,70.78014184397163,57.87321063394684,24000.0,-1.0,10.0
25000.0,0.59375,-1.5360354963276122E-13,25000.0,76.9,53.79223709583211,63.67924528301887,52.27272727272727,25000.0,-1.0,10.0
26000.0,0.625,-1.6168794698185392E-13,26000.0,75.4,50.798228736234506,63.92961876832845,49.27835051546391,26000.0,-1.0,10.0
27000.0,0.640625,-1.6573014565640026E-13,27000.0,76.1,52.14027105828074,65.95441595441596,49.78991596638656,27000.0,-1.0,10.0
28000.0,0.65625,-1.697723443309466E-13,28000.0,79.3,58.540298029161995,74.06015037593984,58.846918489065615,28000.0,-1.0,10.0
29000.0,0.6875,-1.778567416800393E-13,29000.0,70.7,40.86637819684836,61.94805194805194,39.462809917355365,29000.0,-1.0,10.0
30000.0,0.703125,-1.8189894035458566E-13,30000.0,80.4,61.20286940410775,75.83230579531444,60.081466395112024,30000.0,-1.0,10.0
31000.0,0.71875,-1.85941139029132E-13,31000.0,89.4,78.8,86.53113087674714,78.67203219315896,31000.0,-1.0,10.0
32000.0,0.734375,-1.8998333770367835E-13,32000.0,91.5,82.99687142434209,89.58333333333334,81.68103448275863,32000.0,-1.0,10.0
33000.0,0.75,-1.940255363782247E-13,33000.0,91.0,81.97988955674533,88.91625615763546,81.09243697478992,33000.0,-1.0,10.0
34000.0,0.765625,-1.9806773505277105E-13,34000.0,89.3,78.60342345224764,86.74101610904586,78.5140562248996,34000.0,-1.0,10.0
35000.0,0.765625,-1.9806773505277105E-13,35000.0,94.69999999999999,89.39999999999999,93.43246592317224,88.74734607218683,35000.0,-1.0,10.0
36000.0,0.78125,-2.021099337273174E-13,36000.0,97.7,95.39871163925899,97.2877358490566,95.22821576763485,36000.0,-1.0,10.0
37000.0,0.796875,-2.0615213240186375E-13,37000.0,96.89999999999999,93.80178508589526,96.23786407766988,93.68635437881873,37000.0,-1.0,10.0
38000.0,0.796875,-2.0615213240186375E-13,38000.0,99.1,98.19902026702526,98.89975550122247,98.16700610997962,38000.0,-1.0,10.0
39000.0,0.8125,-2.101943310764101E-13,39000.0,98.8,97.6,98.5,97.57085020242914,39000.0,-1.0,10.0
40000.0,0.828125,-2.1423652975095645E-13,40000.0,100.0,100.0,100.0,100.0,40000.0,-1.0,10.0
41000.0,0.828125,-2.1423652975095645E-13,41000.0,100.0,100.0,100.0,100.0,41000.0,-1.0,10.0
42000.0,0.84375,-2.182787284255028E-13,42000.0,100.0,100.0,100.0,100.0,42000.0,-1.0,10.0
43000.0,0.84375,-2.182787284255028E-13,43000.0,100.0,100.0,100.0,100.0,43000.0,-1.0,10.0
44000.0,0.859375,-2.2232092710004914E-13,44000.0,100.0,100.0,100.0,100.0,44000.0,-1.0,10.0
45000.0,0.875,-2.263631257745955E-13,45000.0,100.0,100.0,100.0,100.0,45000.0,-1.0,10.0
46000.0,0.875,-2.263631257745955E-13,46000.0,100.0,100.0,100.0,100.0,46000.0,-1.0,10.0
47000.0,0.890625,-2.3040532444914184E-13,47000.0,100.0,100.0,100.0,100.0,47000.0,-1.0,10.0
48000.0,0.90625,-2.3444752312368816E-13,48000.0,100.0,100.0,100.0,100.0,48000.0,-1.0,10.0
49000.0,0.90625,-2.3444752312368816E-13,49000.0,100.0,100.0,100.0,100.0,49000.0,-1.0,10.0
50000.0,0.921875,-2.384897217982345E-13,50000.0,100.0,100.0,100.0,100.0,50000.0,-1.0,10.0
51000.0,0.921875,-2.384897217982345E-13,51000.0,100.0,100.0,100.0,100.0,51000.0,-1.0,10.0
52000.0,0.9375,-2.425319204727808E-13,52000.0,100.0,100.0,100.0,100.0,52000.0,-1.0,10.0
53000.0,0.953125,-2.4657411914732713E-13,53000.0,100.0,100.0,100.0,100.0,53000.0,-1.0,10.0
54000.0,0.953125,-2.4657411914732713E-13,54000.0,100.0,100.0,100.0,100.0,54000.0,-1.0,10.0
55000.0,0.96875,-2.5061631782187346E-13,55000.0,100.0,100.0,100.0,100.0,55000.0,-1.0,10.0
56000.0,0.984375,-2.546585164964198E-13,56000.0,100.0,100.0,100.0,100.0,56000.0,-1.0,10.0
57000.0,0.984375,-2.546585164964198E-13,57000.0,100.0,100.0,100.0,100.0,57000.0,-1.0,10.0
58000.0,1.0,-2.587007151709661E-13,58000.0,100.0,100.0,100.0,100.0,58000.0,-1.0,10.0
59000.0,1.015625,-2.6274291384551243E-13,59000.0,100.0,100.0,100.0,100.0,59000.0,-1.0,10.0
60000.0,1.015625,-2.6274291384551243E-13,60000.0,100.0,100.0,100.0,100.0,60000.0,-1.0,10.0
61000.0,1.03125,-2.6678511252005875E-13,61000.0,100.0,100.0,100.0,100.0,61000.0,-1.0,10.0
62000.0,1.03125,-2.6678511252005875E-13,62000.0,100.0,100.0,100.0,100.0,62000.0,-1.0,10.0
63000.0,1.046875,-2.7082731119460507E-13,63000.0,100.0,100.0,100.0,100.0,63000.0,-1.0,10.0
64000.0,1.0625,-2.748695098691514E-13,64000.0,100.0,100.0,100.0,100.0,64000.0,-1.0,10.0
65000.0,1.0625,-2.748695098691514E-13,65000.0,100.0,100.0,100.0,100.0,65000.0,-1.0,10.0
66000.0,1.078125,-2.789117085436977E-13,66000.0,100.0,100.0,100.0,100.0,66000.0,-1.0,10.0
67000.0,1.078125,-2.789117085436977E-13,67000.0,100.0,100.0,100.0,100.0,67000.0,-1.0,10.0
68000.0,1.09375,-2.8295390721824404E-13,68000.0,100.0,100.0,100.0,100.0,68000.0,-1.0,10.0
69000.0,1.109375,-2.8699610589279037E-13,69000.0,100.0,100.0,100.0,100.0,69000.0,-1.0,10.0
70000.0,1.125,-2.910383045673367E-13,70000.0,100.0,100.0,100.0,100.0,70000.0,-1.0,10.0
71000.0,1.125,-2.910383045673367E-13,71000.0,100.0,100.0,100.0,100.0,71000.0,-1.0,10.0
72000.0,1.140625,-2.95080503241883E-13,72000.0,100.0,100.0,100.0,100.0,72000.0,-1.0,10.0
73000.0,1.140625,-2.95080503241883E-13,73000.0,100.0,100.0,100.0,100.0,73000.0,-1.0,10.0
74000.0,1.15625,-2.9912270191642934E-13,74000.0,100.0,100.0,100.0,100.0,74000.0,-1.0,10.0
75000.0,1.171875,-3.0316490059097566E-13,75000.0,100.0,100.0,100.0,100.0,75000.0,-1.0,10.0
76000.0,1.171875,-3.0316490059097566E-13,76000.0,100.0,100.0,100.0,100.0,76000.0,-1.0,10.0
77000.0,1.1875,-3.07207099265522E-13,77000.0,100.0,100.0,100.0,100.0,77000.0,-1.0,10.0
78000.0,1.203125,-3.112492979400683E-13,78000.0,100.0,100.0,100.0,100.0,78000.0,-1.0,10.0
79000.0,1.203125,-3.112492979400683E-13,79000.0,100.0,100.0,100.0,100.0,79000.0,-1.0,10.0
80000.0,1.21875,-3.1529149661461463E-13,80000.0,100.0,100.0,100.0,100.0,80000.0,-1.0,10.0
81000.0,1.234375,-3.1933369528916095E-13,81000.0,100.0,100.0,100.0,100.0,81000.0,-1.0,10.0
82000.0,1.234375,-3.1933369528916095E-13,82000.0,100.0,100.0,100.0,100.0,82000.0,-1.0,10.0
83000.0,1.25,-3.233758939637073E-13,83000.0,100.0,100.0,100.0,100.0,83000.0,-1.0,10.0
84000.0,1.265625,-3.274180926382536E-13,84000.0,100.0,100.0,100.0,100.0,84000.0,-1.0,10.0
85000.0,1.265625,-3.274180926382536E-13,85000.0,100.0,100.0,100.0,100.0,85000.0,-1.0,10.0
86000.0,1.28125,-3.314602913127999E-13,86000.0,100.0,100.0,100.0,100.0,86000.0,-1.0,10.0
87000.0,1.296875,-3.3550248998734624E-13,87000.0,100.0,100.0,100.0,100.0,87000.0,-1.0,10.0
88000.0,1.296875,-3.3550248998734624E-13,88000.0,100.0,100.0,100.0,100.0,88000.0,-1.0,10.0
89000.0,1.3125,-3.3954468866189257E-13,89000.0,100.0,100.0,100.0,100.0,89000.0,-1.0,10.0
90000.0,1.3125,-3.3954468866189257E-13,90000.0,100.0,100.0,100.0,100.0,90000.0,-1.0,10.0
91000.0,1.328125,-3.435868873364389E-13,91000.0,100.0,100.0,100.0,100.0,91000.0,-1.0,10.0
92000.0,1.34375,-3.476290860109852E-13,92000.0,100.0,100.0,100.0,100.0,92000.0,-1.0,10.0
93000.0,1.34375,-3.476290860109852E-13,93000.0,100.0,100.0,100.0,100.0,93000.0,-1.0,10.0
94000.0,1.359375,-3.5167128468553154E-13,94000.0,100.0,100.0,100.0,100.0,94000.0,-1.0,10.0
95000.0,1.359375,-3.5167128468553154E-13,95000.0,100.0,100.0,100.0,100.0,95000.0,-1.0,10.0
96000.0,1.375,-3.5571348336007786E-13,96000.0,100.0,100.0,100.0,100.0,96000.0,-1.0,10.0
97000.0,1.390625,-3.597556820346242E-13,97000.0,100.0,100.0,100.0,100.0,97000.0,-1.0,10.0
98000.0,1.390625,-3.597556820346242E-13,98000.0,100.0,100.0,100.0,100.0,98000.0,-1.0,10.0
99000.0,1.40625,-3.637978807091705E-13,99000.0,100.0,100.0,100.0,100.0,99000.0,-1.0,10.0
100000.0,1.421875,-3.6784007938371683E-13,100000.0,100.0,100.0,100.0,100.0,100000.0,-1.0,10.0
