learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.09375,-2.4253192047278088E-14,1000.0,85.1,70.23429009780733,82.17703349282296,65.4292343387471,1000.0,-1.0
2000.0,0.171875,-4.446418542000983E-14,2000.0,85.6,71.20460726283794,82.3095823095823,70.85020242914979,2000.0,-1.0
3000.0,0.21875,-5.659078144364887E-14,3000.0,89.4,78.79660745719316,87.55868544600939,77.58985200845666,3000.0,-1.0
4000.0,0.296875,-7.680177481638061E-14,4000.0,88.2,76.40264290399476,85.67961165048543,76.49402390438247,4000.0,-1.0
5000.0,0.375,-9.701276818911235E-14,5000.0,88.4,76.79916476993172,85.88807785888076,76.47058823529413,5000.0,-1.0
6000.0,0.453125,-1.1722376156184408E-13,6000.0,87.1,74.20557159653515,83.83458646616542,73.88663967611336,6000.0,-1.0
7000.0,0.515625,-1.3339255626002948E-13,7000.0,88.2,76.4010383543124,85.46798029556649,75.21008403361344,7000.0,-1.0
8000.0,0.59375,-1.5360354963276122E-13,8000.0,88.5,76.99944798675168,85.83743842364532,76.90763052208835,8000.0,-1.0
9000.0,0.671875,-1.7381454300549296E-13,9000.0,88.7,77.40253091653734,86.04938271604938,77.49003984063745,9000.0,-1.0
10000.0,0.75,-1.940255363782247E-13,10000.0,88.5,76.99042801805551,85.58897243107769,76.95390781563127,10000.0,-1.0
11000.0,0.8125,-2.101943310764101E-13,11000.0,87.0,73.99833589349718,83.46055979643766,73.79032258064517,11000.0,-1.0
12000.0,0.890625,-2.3040532444914184E-13,12000.0,89.8,79.60130551644696,87.79904306220095,79.05544147843942,12000.0,-1.0
13000.0,0.984375,-2.5465851649641993E-13,13000.0,87.6,75.20277728894364,84.30379746835443,74.84787018255578,13000.0,-1.0
14000.0,1.0625,-2.7486950986915165E-13,14000.0,90.9,81.80000000000001,89.21800947867298,81.80000000000001,14000.0,-1.0
15000.0,1.140625,-2.9508050324188337E-13,15000.0,89.7,79.39917596703869,87.56038647342996,79.1919191919192,15000.0,-1.0
16000.0,1.234375,-3.1933369528916146E-13,16000.0,89.60000000000001,79.20499080220748,87.46987951807229,79.03225806451614,16000.0,-1.0
17000.0,1.328125,-3.4358688733643955E-13,17000.0,90.5,81.00015199878402,88.58173076923077,81.11332007952286,17000.0,-1.0
18000.0,1.40625,-3.6379788070917126E-13,18000.0,88.5,76.99889594700545,85.97560975609755,77.04590818363273,18000.0,-1.0
19000.0,1.484375,-3.84008874081903E-13,19000.0,88.4,76.80111354654977,85.57213930348257,75.68134171907757,19000.0,-1.0
20000.0,1.578125,-4.0826206612918107E-13,20000.0,88.2,76.38639856557377,85.4140914709518,75.31380753138075,20000.0,-1.0
21000.0,1.671875,-4.3251525817645916E-13,21000.0,88.5,77.01158616057508,85.625,76.86116700201208,21000.0,-1.0
22000.0,1.765625,-4.567684502237372E-13,22000.0,85.5,71.00579884023195,81.21761658031087,70.16460905349794,22000.0,-1.0
23000.0,1.859375,-4.810216422710152E-13,23000.0,87.2,74.40818937939859,83.13570487483531,72.53218884120172,23000.0,-1.0
