learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.015625,-4.042198674546348E-15,1000.0,83.39999999999999,66.87274744660724,80.14354066985645,61.484918793503475,1000.0,-1.0
2000.0,0.03125,-8.084397349092695E-15,2000.0,84.3,68.63362475426342,80.71253071253071,68.21862348178136,2000.0,-1.0
3000.0,0.03125,-8.084397349092695E-15,3000.0,85.9,71.72422091204427,83.45070422535211,70.19027484143763,3000.0,-1.0
4000.0,0.046875,-1.2126596023639042E-14,4000.0,84.1,68.216527405749,80.70388349514563,68.32669322709162,4000.0,-1.0
5000.0,0.046875,-1.2126596023639042E-14,5000.0,86.3,72.59276448982531,83.33333333333334,72.21095334685597,5000.0,-1.0
6000.0,0.0625,-1.616879469818539E-14,6000.0,85.3,70.61762942234658,81.57894736842105,70.24291497975707,6000.0,-1.0
7000.0,0.078125,-2.021099337273174E-14,7000.0,87.1,74.1863704035731,84.11330049261085,72.89915966386555,7000.0,-1.0
8000.0,0.078125,-2.021099337273174E-14,8000.0,86.7,73.39553044911545,83.62068965517241,73.29317269076306,8000.0,-1.0
9000.0,0.09375,-2.4253192047278088E-14,9000.0,86.3,72.61226970317297,83.08641975308642,72.70916334661355,9000.0,-1.0
10000.0,0.09375,-2.4253192047278088E-14,10000.0,86.7,73.37230719948747,83.33333333333334,73.34669338677354,10000.0,-1.0
11000.0,0.109375,-2.8295390721824436E-14,11000.0,85.3,70.59482468914528,81.29770992366412,70.36290322580645,11000.0,-1.0
12000.0,0.109375,-2.8295390721824436E-14,12000.0,88.6,77.20729366602687,86.36363636363636,76.59137577002053,12000.0,-1.0
13000.0,0.125,-3.233758939637078E-14,13000.0,86.4,72.8,82.78481012658227,72.41379310344827,13000.0,-1.0
14000.0,0.125,-3.233758939637078E-14,14000.0,88.9,77.79911196447858,86.84834123222748,77.8,14000.0,-1.0
15000.0,0.140625,-3.637978807091713E-14,15000.0,89.2,78.39697557658072,86.95652173913042,78.18181818181819,15000.0,-1.0
16000.0,0.15625,-4.042198674546348E-14,16000.0,88.5,77.00275966883974,86.14457831325302,76.81451612903226,16000.0,-1.0
17000.0,0.15625,-4.042198674546348E-14,17000.0,88.8,77.60035839426568,86.53846153846155,77.73359840954275,17000.0,-1.0
18000.0,0.171875,-4.446418542000983E-14,18000.0,87.1,74.20061918513956,84.26829268292683,74.25149700598801,18000.0,-1.0
19000.0,0.171875,-4.446418542000983E-14,19000.0,86.7,73.39851031657773,83.45771144278606,72.11740041928721,19000.0,-1.0
20000.0,0.1875,-4.8506384094556176E-14,20000.0,86.7,73.39808466209567,83.55995055624227,72.17573221757321,20000.0,-1.0
21000.0,0.1875,-4.8506384094556176E-14,21000.0,87.6,75.20069438055734,84.49999999999999,75.0503018108652,21000.0,-1.0
22000.0,0.203125,-5.2548582769102524E-14,22000.0,85.39999999999999,70.79941598831977,81.0880829015544,69.9588477366255,22000.0,-1.0
23000.0,0.203125,-5.2548582769102524E-14,23000.0,87.9,75.7553899174481,84.05797101449275,74.0343347639485,23000.0,-1.0
24000.0,0.21875,-5.659078144364887E-14,24000.0,87.9,75.80348429826105,82.83687943262412,75.25562372188139,24000.0,-1.0
25000.0,0.21875,-5.659078144364887E-14,25000.0,85.2,70.39111733520056,76.72955974842766,69.42148760330578,25000.0,-1.0
26000.0,0.234375,-6.063298011819522E-14,26000.0,86.7,73.404042585527,80.49853372434018,72.57731958762886,26000.0,-1.0
27000.0,0.25,-6.467517879274156E-14,27000.0,84.3,68.76492121597963,77.63532763532763,67.01680672268907,27000.0,-1.0
28000.0,0.25,-6.467517879274156E-14,28000.0,86.8,73.44192634560906,83.45864661654134,73.75745526838966,28000.0,-1.0
29000.0,0.265625,-6.871737746728791E-14,29000.0,83.6,67.05663045574339,78.7012987012987,66.11570247933884,29000.0,-1.0
30000.0,0.265625,-6.871737746728791E-14,30000.0,85.6,71.31108348474706,82.24414303329223,70.67209775967413,30000.0,-1.0
31000.0,0.28125,-7.275957614183426E-14,31000.0,85.39999999999999,70.8,81.44853875476493,70.62374245472837,31000.0,-1.0
32000.0,0.296875,-7.680177481638061E-14,32000.0,87.6,75.19682519362479,84.80392156862744,73.27586206896551,32000.0,-1.0
33000.0,0.296875,-7.680177481638061E-14,33000.0,87.7,75.38759534805541,84.85221674876847,74.15966386554622,33000.0,-1.0
34000.0,0.3125,-8.084397349092696E-14,34000.0,86.6,73.20246537318566,83.39529120198267,73.09236947791165,34000.0,-1.0
35000.0,0.3125,-8.084397349092696E-14,35000.0,86.2,72.39999999999999,82.89962825278812,70.70063694267516,35000.0,-1.0
36000.0,0.328125,-8.48861721654733E-14,36000.0,89.7,79.37111956739436,87.85377358490565,78.63070539419087,36000.0,-1.0
37000.0,0.328125,-8.48861721654733E-14,37000.0,88.3,76.58482696787519,85.80097087378641,76.17107942973523,37000.0,-1.0
38000.0,0.34375,-8.892837084001965E-14,38000.0,86.1,72.21333759795297,83.00733496332519,71.69042769857434,38000.0,-1.0
