learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.015625,-4.042198674546348E-15,1000.0,58.8,17.537658469803166,50.717703349282296,4.40835266821346,1000.0,-1.0,1.0
2000.0,0.015625,-4.042198674546348E-15,2000.0,75.0,50.03677293511976,69.28746928746929,49.392712550607285,2000.0,-1.0,1.0
3000.0,0.03125,-8.084397349092695E-15,3000.0,75.2,50.24875621890548,70.89201877934272,47.56871035940804,3000.0,-1.0,1.0
4000.0,0.046875,-1.2126596023639042E-14,4000.0,75.4,50.835398513070594,70.14563106796116,50.99601593625498,4000.0,-1.0,1.0
5000.0,0.046875,-1.2126596023639042E-14,5000.0,74.7,49.318504154680724,69.2214111922141,48.6815415821501,5000.0,-1.0,1.0
6000.0,0.0625,-1.616879469818539E-14,6000.0,73.4,46.932456588355464,66.66666666666666,46.15384615384615,6000.0,-1.0,1.0
7000.0,0.078125,-2.021099337273174E-14,7000.0,74.7,49.194338682988736,68.8423645320197,46.84873949579831,7000.0,-1.0,1.0
8000.0,0.09375,-2.4253192047278088E-14,8000.0,76.4,52.753131106057204,70.93596059113301,52.610441767068274,8000.0,-1.0,1.0
9000.0,0.109375,-2.8295390721824436E-14,9000.0,76.3,52.745543725325994,70.74074074074073,52.788844621513945,9000.0,-1.0,1.0
10000.0,0.109375,-2.8295390721824436E-14,10000.0,75.4,50.53506581249171,69.17293233082708,50.70140280561122,10000.0,-1.0,1.0
11000.0,0.125,-3.233758939637078E-14,11000.0,72.89999999999999,45.71749058569024,65.52162849872774,45.36290322580645,11000.0,-1.0,1.0
12000.0,0.140625,-3.637978807091713E-14,12000.0,74.6,49.3781887755102,69.61722488038278,47.84394250513347,12000.0,-1.0,1.0
13000.0,0.140625,-3.637978807091713E-14,13000.0,75.9,51.49851476779662,69.49367088607595,51.115618661257614,13000.0,-1.0,1.0
14000.0,0.15625,-4.042198674546348E-14,14000.0,77.3,54.623595730220295,73.10426540284361,54.6,14000.0,-1.0,1.0
15000.0,0.171875,-4.446418542000983E-14,15000.0,73.6,47.340075399437495,68.11594202898551,46.666666666666664,15000.0,-1.0,1.0
16000.0,0.1875,-4.8506384094556176E-14,16000.0,76.6,53.31652196118489,71.80722891566265,52.82258064516129,16000.0,-1.0,1.0
17000.0,0.1875,-4.8506384094556176E-14,17000.0,75.9,51.75252448409234,71.03365384615384,52.087475149105366,17000.0,-1.0,1.0
18000.0,0.203125,-5.2548582769102524E-14,18000.0,74.0,47.929392255899,68.29268292682927,48.10379241516966,18000.0,-1.0,1.0
19000.0,0.203125,-5.2548582769102524E-14,19000.0,75.2,50.441232894232,69.1542288557214,48.0083857442348,19000.0,-1.0,1.0
20000.0,0.21875,-5.659078144364887E-14,20000.0,74.3,48.170854676723266,68.23238566131027,46.23430962343096,20000.0,-1.0,1.0
21000.0,0.234375,-6.063298011819522E-14,21000.0,71.8,43.81865778390504,64.75,43.25955734406438,21000.0,-1.0,1.0
22000.0,0.234375,-6.063298011819522E-14,22000.0,72.1,44.31582308797701,63.860103626943,42.59259259259259,22000.0,-1.0,1.0
23000.0,0.25,-6.467517879274156E-14,23000.0,73.8,47.236990494602864,65.48089591567853,43.77682403433476,23000.0,-1.0,1.0
24000.0,0.265625,-6.871737746728791E-14,24000.0,72.2,44.49236470513067,60.56737588652481,43.14928425357872,24000.0,-1.0,1.0
25000.0,0.28125,-7.275957614183426E-14,25000.0,71.3,42.53932152352885,54.87421383647798,40.70247933884297,25000.0,-1.0,1.0
26000.0,0.28125,-7.275957614183426E-14,26000.0,72.8,45.62588208012985,60.117302052785924,43.91752577319587,26000.0,-1.0,1.0
27000.0,0.296875,-7.680177481638061E-14,27000.0,73.1,46.85810917596485,61.680911680911684,43.48739495798319,27000.0,-1.0,1.0
28000.0,0.3125,-8.084397349092696E-14,28000.0,78.0,55.42660788381744,72.4310776942356,56.26242544731611,28000.0,-1.0,1.0
29000.0,0.3125,-8.084397349092696E-14,29000.0,71.8,43.14149299954835,63.37662337662338,41.73553719008264,29000.0,-1.0,1.0
30000.0,0.328125,-8.48861721654733E-14,30000.0,75.2,50.87552491878614,69.42046855733662,49.490835030549896,30000.0,-1.0,1.0
31000.0,0.328125,-8.48861721654733E-14,31000.0,74.3,48.6,67.3443456162643,48.2897384305835,31000.0,-1.0,1.0
32000.0,0.34375,-8.892837084001965E-14,32000.0,74.2,48.348761971876094,68.38235294117648,44.39655172413793,32000.0,-1.0,1.0
33000.0,0.359375,-9.2970569514566E-14,33000.0,74.0,47.840391598290765,67.98029556650246,45.3781512605042,33000.0,-1.0,1.0
34000.0,0.359375,-9.2970569514566E-14,34000.0,73.6,47.22427683265697,67.28624535315984,46.98795180722891,34000.0,-1.0,1.0
35000.0,0.375,-9.701276818911235E-14,35000.0,75.3,50.6,69.39281288723669,47.55838641188959,35000.0,-1.0,1.0
36000.0,0.390625,-1.010549668636587E-13,36000.0,76.8,53.3702083869308,72.64150943396227,51.867219917012456,36000.0,-1.0,1.0
37000.0,0.40625,-1.0509716553820505E-13,37000.0,75.3,50.43584351371744,70.02427184466018,49.69450101832994,37000.0,-1.0,1.0
38000.0,0.40625,-1.0509716553820505E-13,38000.0,73.1,46.387002136547714,67.11491442542787,45.21384928716904,38000.0,-1.0,1.0
39000.0,0.421875,-1.091393642127514E-13,39000.0,72.8,45.599999999999994,66.0,44.939271255060724,39000.0,-1.0,1.0
40000.0,0.4375,-1.1318156288729775E-13,40000.0,74.1,47.977343028160526,68.49148418491482,47.14285714285714,40000.0,-1.0,1.0
41000.0,0.4375,-1.1318156288729775E-13,41000.0,73.9,47.900031938677735,68.13186813186815,48.5207100591716,41000.0,-1.0,1.0
42000.0,0.453125,-1.1722376156184408E-13,42000.0,75.1,50.291463706779524,70.49763033175356,47.02127659574467,42000.0,-1.0,1.0
43000.0,0.453125,-1.1722376156184408E-13,43000.0,75.2,50.33742515569618,69.42046855733662,50.10060362173038,43000.0,-1.0,1.0
44000.0,0.46875,-1.2126596023639043E-13,44000.0,74.6,49.17540089403272,68.56435643564357,47.52066115702479,44000.0,-1.0,1.0
45000.0,0.484375,-1.2530815891093678E-13,45000.0,73.2,46.31818891991394,66.41604010025063,46.07645875251509,45000.0,-1.0,1.0
46000.0,0.484375,-1.2530815891093678E-13,46000.0,73.2,46.4,65.68501920614597,46.29258517034068,46000.0,-1.0,1.0
47000.0,0.5,-1.2935035758548313E-13,47000.0,72.0,44.11802273598159,65.13075965130759,40.042826552462515,47000.0,-1.0,1.0
48000.0,0.515625,-1.3339255626002948E-13,48000.0,71.39999999999999,42.64767221740943,62.119205298013235,38.88888888888888,48000.0,-1.0,1.0
49000.0,0.515625,-1.3339255626002948E-13,49000.0,68.0,36.18582687214831,52.380952380952394,33.609958506224075,49000.0,-1.0,1.0
50000.0,0.53125,-1.3743475493457582E-13,50000.0,67.0,33.25026699893202,49.07407407407408,32.37704918032788,50000.0,-1.0,1.0
51000.0,0.53125,-1.3743475493457582E-13,51000.0,60.4,20.420565255136477,43.42857142857143,20.16129032258064,51000.0,-1.0,1.0
52000.0,0.53125,-1.3743475493457582E-13,52000.0,53.6,7.728530974577621,33.80884450784593,6.639839034205237,52000.0,-1.0,1.0
53000.0,0.546875,-1.4147695360912217E-13,53000.0,51.4,5.752948614025373,37.128072445019406,-1.4613778705636757,53000.0,-1.0,1.0
54000.0,0.5625,-1.4551915228366852E-13,54000.0,48.6,-0.006226068549020952,32.01058201058201,-6.639004149377599,54000.0,-1.0,1.0
55000.0,0.5625,-1.4551915228366852E-13,55000.0,49.9,-0.04872632579540175,38.37638376383764,-2.6639344262295106,55000.0,-1.0,1.0
56000.0,0.578125,-1.4956135095821487E-13,56000.0,72.39999999999999,44.767523303702575,65.0190114068441,41.15138592750532,56000.0,-1.0,1.0
57000.0,0.59375,-1.5360354963276122E-13,57000.0,62.8,24.40099985774382,53.03030303030303,23.926380368098158,57000.0,-1.0,1.0
58000.0,0.609375,-1.5764574830730757E-13,58000.0,67.10000000000001,34.20000000000001,59.63190184049081,34.20000000000001,58000.0,-1.0,1.0
59000.0,0.609375,-1.5764574830730757E-13,59000.0,74.4,48.96901462356674,67.43002544529261,45.531914893617014,59000.0,-1.0,1.0
60000.0,0.625,-1.6168794698185392E-13,60000.0,74.9,49.6469266570374,68.74221668742217,46.02150537634408,60000.0,-1.0,1.0
61000.0,0.625,-1.6168794698185392E-13,61000.0,75.0,49.81693216855087,69.13580246913581,48.6652977412731,61000.0,-1.0,1.0
62000.0,0.625,-1.6168794698185392E-13,62000.0,75.6,51.317810897627744,70.77844311377245,50.30549898167006,62000.0,-1.0,1.0
63000.0,0.640625,-1.6573014565640026E-13,63000.0,72.39999999999999,45.35259456377115,65.7992565055762,42.85714285714285,63000.0,-1.0,1.0
64000.0,0.65625,-1.697723443309466E-13,64000.0,76.3,52.3610429916461,69.7704081632653,51.73116089613035,64000.0,-1.0,1.0
65000.0,0.65625,-1.697723443309466E-13,65000.0,76.3,52.45050438578892,71.71837708830549,51.33470225872691,65000.0,-1.0,1.0
66000.0,0.671875,-1.7381454300549296E-13,66000.0,74.5,49.04932025799027,68.86446886446888,44.32314410480348,66000.0,-1.0,1.0
67000.0,0.6875,-1.778567416800393E-13,67000.0,75.7,51.58822498127282,69.96291718170582,48.29787234042553,67000.0,-1.0,1.0
68000.0,0.6875,-1.778567416800393E-13,68000.0,76.6,53.096436932747515,70.82294264339153,52.727272727272734,68000.0,-1.0,1.0
69000.0,0.703125,-1.8189894035458566E-13,69000.0,76.0,51.68459704953939,70.22332506203475,50.617283950617285,69000.0,-1.0,1.0
70000.0,0.71875,-1.85941139029132E-13,70000.0,75.0,50.51464766429137,69.58637469586375,47.916666666666664,70000.0,-1.0,1.0
71000.0,0.71875,-1.85941139029132E-13,71000.0,75.8,51.54495506895833,70.8433734939759,50.308008213552355,71000.0,-1.0,1.0
72000.0,0.734375,-1.8998333770367835E-13,72000.0,76.6,52.792885847549265,71.14673242909988,51.85185185185185,72000.0,-1.0,1.0
73000.0,0.75,-1.940255363782247E-13,73000.0,73.4,46.73778973841446,65.80976863753213,46.15384615384615,73000.0,-1.0,1.0
74000.0,0.75,-1.940255363782247E-13,74000.0,73.0,46.18834080717489,60.92619392185238,43.0379746835443,74000.0,-1.0,1.0
75000.0,0.765625,-1.9806773505277105E-13,75000.0,73.6,47.464777521292675,60.59701492537314,45.67901234567901,75000.0,-1.0,1.0
76000.0,0.78125,-2.021099337273174E-13,76000.0,70.6,41.141612479579734,54.90797546012269,42.35294117647058,76000.0,-1.0,1.0
77000.0,0.78125,-2.021099337273174E-13,77000.0,71.5,43.10105253070546,58.63570391872278,41.836734693877546,77000.0,-1.0,1.0
78000.0,0.796875,-2.0615213240186375E-13,78000.0,73.9,47.68574566854009,65.5217965653897,43.01310043668122,78000.0,-1.0,1.0
79000.0,0.8125,-2.101943310764101E-13,79000.0,77.60000000000001,55.09942270686338,71.71717171717172,53.62318840579711,79000.0,-1.0,1.0
80000.0,0.828125,-2.1423652975095645E-13,80000.0,74.3,48.6135660185711,67.95511221945137,48.6,80000.0,-1.0,1.0
81000.0,0.828125,-2.1423652975095645E-13,81000.0,74.1,47.99865077580392,68.83273164861612,46.48760330578512,81000.0,-1.0,1.0
82000.0,0.84375,-2.182787284255028E-13,82000.0,73.1,46.385292429364114,66.871921182266,45.21384928716904,82000.0,-1.0,1.0
83000.0,0.84375,-2.182787284255028E-13,83000.0,74.4,48.86810768056948,68.11955168119552,48.073022312373226,83000.0,-1.0,1.0
84000.0,0.859375,-2.2232092710004914E-13,84000.0,72.89999999999999,46.241251805183055,66.5432098765432,43.42379958246346,84000.0,-1.0,1.0
85000.0,0.875,-2.263631257745955E-13,85000.0,74.3,49.01602920171401,68.3107274969174,46.790890269151134,85000.0,-1.0,1.0
86000.0,0.875,-2.263631257745955E-13,86000.0,77.10000000000001,54.03120257585856,72.40963855421687,54.83234714003945,86000.0,-1.0,1.0
87000.0,0.890625,-2.3040532444914184E-13,87000.0,74.4,48.989351527131284,68.93203883495146,47.648261758691206,87000.0,-1.0,1.0
88000.0,0.90625,-2.3444752312368816E-13,88000.0,75.4,50.32049340231919,70.28985507246377,49.795918367346935,88000.0,-1.0,1.0
89000.0,0.90625,-2.3444752312368816E-13,89000.0,77.7,55.16975184547837,73.45238095238096,54.30327868852459,89000.0,-1.0,1.0
90000.0,0.921875,-2.384897217982345E-13,90000.0,74.4,49.120540594256184,69.377990430622,47.96747967479675,90000.0,-1.0,1.0
91000.0,0.9375,-2.425319204727808E-13,91000.0,74.5,49.07211388673638,68.74999999999999,48.69215291750503,91000.0,-1.0,1.0
92000.0,0.9375,-2.425319204727808E-13,92000.0,74.7,49.4,69.59134615384616,47.835051546391746,92000.0,-1.0,1.0
93000.0,0.9375,-2.425319204727808E-13,93000.0,73.5,46.87462411290646,67.68292682926827,44.56066945606694,93000.0,-1.0,1.0
94000.0,0.953125,-2.4657411914732713E-13,94000.0,75.5,51.03564604967584,69.14357682619648,51.0,94000.0,-1.0,1.0
95000.0,0.96875,-2.5061631782187346E-13,95000.0,74.2,48.56131172642593,69.13875598086125,47.45417515274949,95000.0,-1.0,1.0
96000.0,0.984375,-2.546585164964198E-13,96000.0,72.2,44.46863676495851,64.72081218274111,43.38085539714867,96000.0,-1.0,1.0
97000.0,1.0,-2.587007151709661E-13,97000.0,76.5,53.12487533211525,72.22222222222221,52.235772357723576,97000.0,-1.0,1.0
98000.0,1.0,-2.587007151709661E-13,98000.0,75.0,50.020191842495635,69.28746928746929,48.77049180327869,98000.0,-1.0,1.0
99000.0,1.015625,-2.6274291384551243E-13,99000.0,76.8,53.46579535380036,72.51184834123224,53.22580645161291,99000.0,-1.0,1.0
100000.0,1.015625,-2.6274291384551243E-13,100000.0,73.4,46.870768136841725,67.1604938271605,47.11729622266401,100000.0,-1.0,1.0
