learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),members size
1000.0,0.015625,-4.042198674546348E-15,1000.0,82.5,65.09299226859645,79.066985645933,59.39675174013921,1000.0,-1.0,4.0
2000.0,0.03125,-8.084397349092695E-15,2000.0,84.3,68.63161932771766,80.71253071253071,68.21862348178136,2000.0,-1.0,8.0
3000.0,0.0625,-1.616879469818539E-14,3000.0,85.6,71.1168164313222,83.09859154929578,69.55602536997885,3000.0,-1.0,8.0
4000.0,0.09375,-2.4253192047278085E-14,4000.0,84.7,69.41737093330988,81.43203883495146,69.5219123505976,4000.0,-1.0,9.0
5000.0,0.125,-3.233758939637078E-14,5000.0,83.5,66.97066995491996,79.92700729927007,66.53144016227179,5000.0,-1.0,14.0
6000.0,0.171875,-4.446418542000983E-14,6000.0,82.69999999999999,65.46382285536329,78.32080200501252,64.97975708502022,6000.0,-1.0,16.0
7000.0,0.21875,-5.659078144364887E-14,7000.0,84.5,68.90971380890105,80.91133004926108,67.43697478991596,7000.0,-1.0,18.0
8000.0,0.28125,-7.275957614183426E-14,8000.0,84.2,68.38280024333237,80.54187192118225,68.27309236947791,8000.0,-1.0,21.0
9000.0,0.34375,-8.892837084001965E-14,9000.0,84.39999999999999,68.85319873655796,80.74074074074072,68.92430278884461,9000.0,-1.0,24.0
10000.0,0.40625,-1.0509716553820505E-13,10000.0,85.39999999999999,70.72540834045147,81.70426065162906,70.74148296593185,10000.0,-1.0,24.0
11000.0,0.484375,-1.2530815891093678E-13,11000.0,83.0,65.95969628039599,78.37150127226464,65.7258064516129,11000.0,-1.0,29.0
12000.0,0.5625,-1.4551915228366852E-13,12000.0,84.7,69.46936560135372,81.69856459330144,68.58316221765914,12000.0,-1.0,32.0
13000.0,0.65625,-1.697723443309466E-13,13000.0,82.8,65.4685040634737,78.22784810126582,65.11156186612575,13000.0,-1.0,35.0
14000.0,0.75,-1.940255363782247E-13,14000.0,85.3,70.6084647621485,82.58293838862559,70.6,14000.0,-1.0,36.0
15000.0,0.859375,-2.2232092710004914E-13,15000.0,84.7,69.43789700771043,81.52173913043478,69.09090909090908,15000.0,-1.0,39.0
16000.0,0.96875,-2.5061631782187356E-13,16000.0,85.7,71.43907135039265,82.7710843373494,71.16935483870968,16000.0,-1.0,44.0
17000.0,1.09375,-2.8295390721824435E-13,17000.0,87.1,74.19070865511583,84.4951923076923,74.35387673956262,17000.0,-1.0,47.0
18000.0,1.234375,-3.1933369528916146E-13,18000.0,84.6,69.17669758337303,81.21951219512194,69.26147704590818,18000.0,-1.0,51.0
19000.0,1.375,-3.5571348336007857E-13,19000.0,84.39999999999999,68.81347257984551,80.59701492537312,67.29559748427673,19000.0,-1.0,52.0
20000.0,1.515625,-3.920932714309957E-13,20000.0,83.2,66.1955506905766,79.23362175525341,64.85355648535564,20000.0,-1.0,54.0
21000.0,1.65625,-4.284730595019128E-13,21000.0,82.8,65.66825151598621,78.49999999999999,65.3923541247485,21000.0,-1.0,58.0
22000.0,1.828125,-4.729372449219226E-13,22000.0,80.7,61.45088483202174,75.00000000000001,60.28806584362141,22000.0,-1.0,65.0
23000.0,2.015625,-5.214436290164788E-13,23000.0,80.0,59.86514689356238,73.64953886693017,57.08154506437769,23000.0,-1.0,68.0
24000.0,2.203125,-5.69950013111035E-13,24000.0,76.1,52.20229428987408,66.09929078014184,51.124744376278116,24000.0,-1.0,72.0
25000.0,2.40625,-6.224985958801375E-13,25000.0,75.9,51.80115677223747,62.106918238993714,50.20661157024794,25000.0,-1.0,75.0
26000.0,2.609375,-6.750471786492401E-13,26000.0,81.6,63.20044159470085,73.02052785923753,62.061855670103085,26000.0,-1.0,78.0
27000.0,2.8125,-7.275957614183426E-13,27000.0,84.7,69.57234225347632,78.2051282051282,67.85714285714285,27000.0,-1.0,68.0
28000.0,2.984375,-7.720599468383524E-13,28000.0,87.6,75.08038585209003,84.46115288220551,75.3479125248509,28000.0,-1.0,60.0
29000.0,3.140625,-8.124819335838159E-13,29000.0,85.0,69.92686212869698,80.51948051948051,69.0082644628099,29000.0,-1.0,61.0
30000.0,3.296875,-8.529039203292793E-13,30000.0,86.0,72.11288703328924,82.73736128236746,71.48676171079428,30000.0,-1.0,53.0
31000.0,3.421875,-8.852415097256501E-13,31000.0,85.39999999999999,70.8,81.44853875476493,70.62374245472837,31000.0,-1.0,45.0
32000.0,3.546875,-9.175790991220208E-13,32000.0,86.1,72.18909812646558,82.9656862745098,70.04310344827586,32000.0,-1.0,45.0
33000.0,3.671875,-9.499166885183916E-13,33000.0,85.9,71.75526033236646,82.63546798029556,70.3781512605042,33000.0,-1.0,49.0
34000.0,3.8125,-9.862964765893087E-13,34000.0,84.2,68.40846653096969,80.42131350681537,68.27309236947791,34000.0,-1.0,50.0
35000.0,3.953125,-1.0226762646602259E-12,35000.0,82.89999999999999,65.8,78.81040892193309,63.694267515923556,35000.0,-1.0,54.0
36000.0,4.09375,-1.059056052731143E-12,36000.0,85.6,71.05737072292256,83.0188679245283,70.12448132780082,36000.0,-1.0,50.0
37000.0,4.234375,-1.0954358408020602E-12,37000.0,85.3,70.53210597215985,82.16019417475728,70.061099796334,37000.0,-1.0,51.0
38000.0,4.34375,-1.1237312315238846E-12,38000.0,83.39999999999999,66.88477497606128,79.70660146699264,66.19144602851324,38000.0,-1.0,45.0
39000.0,4.484375,-1.1601110195948018E-12,39000.0,82.19999999999999,64.39999999999999,77.74999999999999,63.967611336032384,39000.0,-1.0,47.0
40000.0,4.609375,-1.1924486089911726E-12,40000.0,83.39999999999999,66.69876424329962,79.8053527980535,66.12244897959184,40000.0,-1.0,43.0
41000.0,4.71875,-1.220743999712997E-12,41000.0,84.1,68.2444577591372,80.58608058608058,68.63905325443787,41000.0,-1.0,44.0
42000.0,4.828125,-1.2490393904348214E-12,42000.0,86.1,72.2262184497834,83.5308056872038,70.42553191489361,42000.0,-1.0,37.0
43000.0,4.9375,-1.2773347811566458E-12,43000.0,84.8,69.57334625131615,81.2577065351418,69.41649899396378,43000.0,-1.0,40.0
44000.0,5.046875,-1.3056301718784702E-12,44000.0,83.7,67.39060849524662,79.82673267326732,66.32231404958677,44000.0,-1.0,42.0
45000.0,5.15625,-1.3339255626002947E-12,45000.0,80.9,61.75686174004278,76.06516290726817,61.56941649899398,45000.0,-1.0,44.0
46000.0,5.28125,-1.3662631519966654E-12,46000.0,81.2,62.40000000000001,75.92829705505763,62.3246492985972,46000.0,-1.0,48.0
47000.0,5.421875,-1.4026429400675826E-12,47000.0,79.3,58.652263538886864,74.2216687422167,55.674518201284805,47000.0,-1.0,51.0
48000.0,5.546875,-1.4349805294639534E-12,48000.0,80.0,59.95771534740687,73.50993377483445,57.264957264957275,48000.0,-1.0,43.0
49000.0,5.640625,-1.4592337215112314E-12,49000.0,80.2,60.436714728731744,70.5357142857143,58.92116182572615,49000.0,-1.0,30.0
50000.0,5.703125,-1.4754025162094167E-12,50000.0,82.3,64.51995702304397,72.68518518518518,63.7295081967213,50000.0,-1.0,17.0
51000.0,5.75,-1.4875291122330558E-12,51000.0,86.6,73.1716692827626,80.85714285714288,72.98387096774194,51000.0,-1.0,15.0
52000.0,5.8125,-1.5036979069312411E-12,52000.0,84.39999999999999,68.82892675597046,77.74607703281026,68.61167002012071,52000.0,-1.0,19.0
53000.0,5.859375,-1.5158245029548803E-12,53000.0,82.69999999999999,65.64815770871226,77.61966364812419,63.88308977035489,53000.0,-1.0,18.0
54000.0,5.921875,-1.5319932976530656E-12,54000.0,80.60000000000001,61.411158142643465,74.33862433862434,59.75103734439835,54000.0,-1.0,22.0
55000.0,5.984375,-1.5481620923512508E-12,55000.0,81.0,62.01564955238443,76.62976629766298,61.06557377049181,55000.0,-1.0,24.0
56000.0,6.046875,-1.5643308870494361E-12,56000.0,80.4,60.78384294329264,75.15842839036756,58.20895522388061,56000.0,-1.0,30.0
57000.0,6.140625,-1.5885840790967142E-12,57000.0,79.9,59.58141629934688,74.62121212121214,58.895705521472394,57000.0,-1.0,33.0
58000.0,6.234375,-1.6128372711439922E-12,58000.0,82.5,64.99999999999999,78.52760736196318,64.99999999999999,58000.0,-1.0,34.0
59000.0,6.328125,-1.6370904631912703E-12,59000.0,82.89999999999999,65.86799096200367,78.2442748091603,63.61702127659573,59000.0,-1.0,36.0
60000.0,6.421875,-1.6613436552385483E-12,60000.0,84.6,69.1599078802443,80.82191780821918,66.88172043010752,60000.0,-1.0,37.0
61000.0,6.53125,-1.6896390459603727E-12,61000.0,83.0,65.92804002052334,79.01234567901233,65.0924024640657,61000.0,-1.0,41.0
62000.0,6.65625,-1.7219766353567435E-12,62000.0,86.2,72.42922502147724,83.47305389221556,71.89409368635438,62000.0,-1.0,44.0
63000.0,6.78125,-1.7543142247531143E-12,63000.0,83.8,67.7445046193055,79.92565055762083,66.45962732919254,63000.0,-1.0,47.0
64000.0,6.90625,-1.786651814149485E-12,64000.0,83.2,66.30065432896177,78.57142857142857,65.78411405295314,64000.0,-1.0,51.0
65000.0,7.046875,-1.8230316022204022E-12,65000.0,86.2,72.36019868610799,83.53221957040573,71.66324435318275,65000.0,-1.0,51.0
66000.0,7.1875,-1.8594113902913194E-12,66000.0,85.2,70.41656672263531,81.92918192918194,67.68558951965065,66000.0,-1.0,51.0
67000.0,7.328125,-1.8957911783622366E-12,67000.0,85.2,70.46273714630125,81.70580964153277,68.51063829787233,67000.0,-1.0,48.0
68000.0,7.453125,-1.928128767758607E-12,68000.0,83.89999999999999,67.74813900752409,79.92518703241896,67.47474747474746,68000.0,-1.0,49.0
69000.0,7.59375,-1.9645085558295243E-12,69000.0,83.7,67.27906341839439,79.77667493796525,66.46090534979423,69000.0,-1.0,53.0
70000.0,7.75,-2.0049305425749876E-12,70000.0,83.2,66.61367249602543,79.56204379562041,64.99999999999999,70000.0,-1.0,56.0
71000.0,7.890625,-2.041310330645905E-12,71000.0,85.8,71.58727109745165,82.89156626506023,70.84188911704312,71000.0,-1.0,55.0
72000.0,8.046875,-2.081732317391368E-12,72000.0,84.8,69.49751163910739,81.2577065351418,68.72427983539094,72000.0,-1.0,49.0
73000.0,8.171875,-2.1140699067877387E-12,73000.0,80.10000000000001,60.185666840062424,74.4215938303342,59.71659919028342,73000.0,-1.0,50.0
74000.0,8.3125,-2.150449694858656E-12,74000.0,77.60000000000001,55.25637696502408,67.58321273516643,52.742616033755276,74000.0,-1.0,53.0
75000.0,8.4375,-2.1827872842550265E-12,75000.0,81.2,62.42525023184421,71.9402985074627,61.31687242798355,75000.0,-1.0,47.0
76000.0,8.5625,-2.215124873651397E-12,76000.0,83.2,66.38709264357513,74.23312883435582,67.05882352941175,76000.0,-1.0,48.0
77000.0,8.671875,-2.2434202643732215E-12,77000.0,85.6,71.2193406031147,79.10014513788097,70.61224489795917,77000.0,-1.0,40.0
78000.0,8.78125,-2.271715655095046E-12,78000.0,83.39999999999999,66.71892730691965,78.07133421400265,63.755458515283834,78000.0,-1.0,36.0
79000.0,8.875,-2.295968847142324E-12,79000.0,82.6,65.09276497400012,78.03030303030303,63.97515527950309,79000.0,-1.0,33.0
80000.0,8.96875,-2.3202220391896024E-12,80000.0,81.8,63.61615442743421,77.30673316708227,63.59999999999999,80000.0,-1.0,35.0
81000.0,9.078125,-2.3485174299114268E-12,81000.0,83.89999999999999,67.66341024487434,80.62575210589651,66.73553719008264,81000.0,-1.0,39.0
82000.0,9.1875,-2.3768128206332512E-12,82000.0,80.7,61.53018186457031,76.23152709359606,60.69246435845215,82000.0,-1.0,42.0
83000.0,9.296875,-2.4051082113550756E-12,83000.0,82.3,64.63225538309061,77.95765877957658,64.0973630831643,83000.0,-1.0,35.0
84000.0,9.390625,-2.429361403402354E-12,84000.0,82.6,65.40246477613007,78.5185185185185,63.674321503131516,84000.0,-1.0,38.0
85000.0,9.5,-2.4576567941241783E-12,85000.0,84.0,68.15375367724626,80.27127003699138,66.87370600414077,85000.0,-1.0,43.0
86000.0,9.609375,-2.4859521848460027E-12,86000.0,86.4,72.74210422938322,83.6144578313253,73.17554240631164,86000.0,-1.0,38.0
87000.0,9.71875,-2.514247575567827E-12,87000.0,85.5,71.05279969335932,82.40291262135922,70.34764826175869,87000.0,-1.0,27.0
88000.0,9.796875,-2.5344585689405588E-12,88000.0,86.2,72.26721542746671,83.33333333333331,71.83673469387755,88000.0,-1.0,27.0
89000.0,9.875,-2.5546695623132904E-12,89000.0,86.1,72.11836256559205,83.45238095238095,71.51639344262296,89000.0,-1.0,31.0
90000.0,9.96875,-2.5789227543605687E-12,90000.0,84.8,69.73257133754156,81.81818181818181,69.10569105691057,90000.0,-1.0,34.0
91000.0,10.0625,-2.603175946407847E-12,91000.0,84.3,68.62936291631033,80.75980392156863,68.41046277665995,91000.0,-1.0,36.0
92000.0,10.15625,-2.627429138455125E-12,92000.0,85.8,71.6,82.9326923076923,70.72164948453607,92000.0,-1.0,32.0
93000.0,10.25,-2.6516823305024034E-12,93000.0,84.6,69.1599078802443,81.21951219512194,67.78242677824267,93000.0,-1.0,34.0
94000.0,10.34375,-2.6759355225496817E-12,94000.0,82.19999999999999,64.42106273086331,77.58186397984886,64.39999999999999,94000.0,-1.0,37.0
95000.0,10.453125,-2.704230913271506E-12,95000.0,85.7,71.45936452179467,82.89473684210526,70.87576374745417,95000.0,-1.0,34.0
96000.0,10.546875,-2.7284841053187843E-12,96000.0,82.69999999999999,65.43235531542476,78.04568527918782,64.76578411405295,96000.0,-1.0,37.0
97000.0,10.65625,-2.7567794960406087E-12,97000.0,87.2,74.43190897759597,84.86997635933807,73.98373983739837,97000.0,-1.0,44.0
98000.0,10.78125,-2.7891170854369793E-12,98000.0,84.39999999999999,68.80810989142823,80.83538083538082,68.0327868852459,98000.0,-1.0,48.0
99000.0,10.921875,-2.8254968735078965E-12,99000.0,87.4,74.76254762066907,85.07109004739335,74.59677419354838,99000.0,-1.0,44.0
100000.0,11.03125,-2.853792264229721E-12,100000.0,83.8,67.6283575587785,79.99999999999999,67.79324055666002,100000.0,-1.0,43.0
