learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
100.0,0.0,0.0,100.0,69.0,37.95036028823058,63.95348837209301,-29.166666666666696,100.0,-1.0,3.0
200.0,0.0,0.0,200.0,74.0,47.7491961414791,68.29268292682927,19.999999999999986,200.0,-1.0,3.0
300.0,0.0,0.0,300.0,75.33333333333333,50.640341515474915,69.42148760330578,37.81512605042015,300.0,-1.0,3.0
400.0,0.0,0.0,400.0,79.0,57.97478487092257,74.54545454545455,49.70059880239522,400.0,-1.0,3.0
500.0,0.0,0.0,500.0,80.60000000000001,61.20620700687891,76.34146341463416,55.299539170506925,500.0,-1.0,3.0
600.0,0.015625,-4.042198674546348E-15,600.0,82.33333333333334,64.66470359464415,78.8,58.10276679841898,600.0,-1.0,3.0
700.0,0.015625,-4.042198674546348E-15,700.0,82.71428571428572,65.42744252873564,79.28082191780823,58.13148788927336,700.0,-1.0,3.0
800.0,0.015625,-4.042198674546348E-15,800.0,83.25,66.49769671664927,79.81927710843374,59.27051671732523,800.0,-1.0,3.0
900.0,0.015625,-4.042198674546348E-15,900.0,83.88888888888889,67.78350515463919,80.76923076923079,61.942257217847775,900.0,-1.0,3.0
1000.0,0.015625,-4.042198674546348E-15,1000.0,84.3,68.60678093531797,81.22009569377991,63.57308584686775,1000.0,-1.0,3.0
1100.0,0.015625,-4.042198674546348E-15,1100.0,85.9,71.81488174244,83.05288461538461,68.87417218543047,1100.0,-1.0,3.0
1200.0,0.015625,-4.042198674546348E-15,1200.0,86.7,73.41063574570171,84.24170616113744,71.33620689655173,1200.0,-1.0,3.0
1300.0,0.015625,-4.042198674546348E-15,1300.0,86.7,73.4223252467927,84.24170616113744,71.0239651416122,1300.0,-1.0,3.0
1400.0,0.015625,-4.042198674546348E-15,1400.0,86.6,73.21200102354145,84.04761904761905,71.18279569892472,1400.0,-1.0,3.0
