learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.0625,-1.616879469818539E-14,1000.0,84.89999999999999,69.82172835558399,81.9377990430622,64.96519721577727,1000.0,-1.0,10.0
2000.0,0.09375,-2.4253192047278085E-14,2000.0,85.7,71.41052092829838,82.43243243243244,71.05263157894737,2000.0,-1.0,10.0
3000.0,0.140625,-3.637978807091713E-14,3000.0,88.3,76.57845217600192,86.26760563380282,75.26427061310783,3000.0,-1.0,10.0
4000.0,0.171875,-4.446418542000983E-14,4000.0,87.9,75.80367784096818,85.31553398058253,75.89641434262948,4000.0,-1.0,10.0
5000.0,0.203125,-5.2548582769102524E-14,5000.0,88.1,76.19828627661191,85.52311435523114,75.86206896551724,5000.0,-1.0,10.0
6000.0,0.234375,-6.063298011819522E-14,6000.0,86.9,73.80817185038269,83.58395989974937,73.48178137651821,6000.0,-1.0,10.0
7000.0,0.265625,-6.871737746728791E-14,7000.0,87.4,74.79445478005161,84.48275862068965,73.52941176470587,7000.0,-1.0,10.0
8000.0,0.296875,-7.680177481638061E-14,8000.0,87.9,75.79864472410455,85.09852216748769,75.70281124497991,8000.0,-1.0,10.0
9000.0,0.3125,-8.084397349092696E-14,9000.0,87.4,74.80493823210651,84.44444444444443,74.9003984063745,9000.0,-1.0,10.0
10000.0,0.34375,-8.892837084001965E-14,10000.0,87.9,75.78488977121725,84.83709273182957,75.75150300601202,10000.0,-1.0,10.0
11000.0,0.359375,-9.2970569514566E-14,11000.0,86.4,72.79738854930072,82.69720101781171,72.58064516129032,11000.0,-1.0,10.0
12000.0,0.390625,-1.010549668636587E-13,12000.0,88.9,77.80355143177093,86.72248803827752,77.20739219712526,12000.0,-1.0,10.0
13000.0,0.421875,-1.091393642127514E-13,13000.0,87.1,74.1869902430825,83.67088607594937,73.83367139959431,13000.0,-1.0,10.0
14000.0,0.453125,-1.1722376156184408E-13,14000.0,89.8,79.6000815996736,87.91469194312796,79.60000000000001,14000.0,-1.0,10.0
15000.0,0.46875,-1.2126596023639043E-13,15000.0,88.9,77.8,86.59420289855073,77.57575757575758,15000.0,-1.0,10.0
16000.0,0.5,-1.2935035758548313E-13,16000.0,88.5,77.0082770202727,86.14457831325302,76.81451612903226,16000.0,-1.0,10.0
17000.0,0.53125,-1.3743475493457582E-13,17000.0,89.5,78.99882393414032,87.3798076923077,79.12524850894633,17000.0,-1.0,10.0
18000.0,0.546875,-1.4147695360912217E-13,18000.0,87.4,74.79848790927456,84.6341463414634,74.8502994011976,18000.0,-1.0,10.0
19000.0,0.578125,-1.4956135095821487E-13,19000.0,87.6,75.2031739937288,84.57711442786069,74.0041928721174,19000.0,-1.0,10.0
20000.0,0.609375,-1.5764574830730757E-13,20000.0,87.0,73.96250600865245,83.93077873918419,72.80334728033473,20000.0,-1.0,10.0
21000.0,0.625,-1.6168794698185392E-13,21000.0,87.6,75.22012126153564,84.49999999999999,75.0503018108652,21000.0,-1.0,10.0
22000.0,0.65625,-1.697723443309466E-13,22000.0,84.8,69.61883632148069,80.31088082901555,68.72427983539094,22000.0,-1.0,10.0
23000.0,0.6875,-1.778567416800393E-13,23000.0,83.2,66.1944623309723,77.86561264822134,63.948497854077246,23000.0,-1.0,10.0
24000.0,0.703125,-1.8189894035458566E-13,24000.0,80.7,61.45119281594044,72.6241134751773,60.5316973415133,24000.0,-1.0,10.0
25000.0,0.734375,-1.8998333770367835E-13,25000.0,80.7,61.36662076033694,69.65408805031447,60.12396694214877,25000.0,-1.0,10.0
26000.0,0.765625,-1.9806773505277105E-13,26000.0,83.2,66.40658430947535,75.36656891495602,65.36082474226804,26000.0,-1.0,10.0
27000.0,0.78125,-2.021099337273174E-13,27000.0,83.89999999999999,67.92010711894666,77.06552706552706,66.17647058823528,27000.0,-1.0,10.0
28000.0,0.8125,-2.101943310764101E-13,28000.0,87.7,75.30755147271384,84.58646616541353,75.54671968190854,28000.0,-1.0,10.0
29000.0,0.84375,-2.182787284255028E-13,29000.0,85.5,70.93489416292495,81.16883116883116,70.04132231404958,29000.0,-1.0,10.0
30000.0,0.875,-2.263631257745955E-13,30000.0,86.6,73.26117842376642,83.47718865598029,72.70875763747455,30000.0,-1.0,10.0
31000.0,0.890625,-2.3040532444914184E-13,31000.0,86.3,72.6,82.59212198221093,72.43460764587525,31000.0,-1.0,10.0
32000.0,0.921875,-2.3848972179823454E-13,32000.0,87.6,75.19682519362479,84.80392156862744,73.27586206896551,32000.0,-1.0,10.0
33000.0,0.953125,-2.4657411914732723E-13,33000.0,87.7,75.38759534805541,84.85221674876847,74.15966386554622,33000.0,-1.0,10.0
34000.0,0.96875,-2.5061631782187356E-13,34000.0,86.6,73.20160790352578,83.39529120198267,73.09236947791165,34000.0,-1.0,10.0
35000.0,1.0,-2.5870071517096625E-13,35000.0,87.4,74.8,84.38661710037177,73.24840764331209,35000.0,-1.0,10.0
36000.0,1.015625,-2.627429138455126E-13,36000.0,90.0,79.98655096224664,88.20754716981132,79.25311203319502,36000.0,-1.0,10.0
37000.0,1.046875,-2.7082731119460527E-13,37000.0,88.5,76.99668752300332,86.04368932038835,76.57841140529533,37000.0,-1.0,10.0
38000.0,1.078125,-2.7891170854369797E-13,38000.0,87.5,75.01039567539904,84.71882640586797,74.54175152749491,38000.0,-1.0,10.0
39000.0,1.09375,-2.829539072182443E-13,39000.0,87.5,75.0,84.375,74.69635627530364,39000.0,-1.0,10.0
40000.0,1.125,-2.91038304567337E-13,40000.0,87.9,75.79903196127844,85.27980535279805,75.3061224489796,40000.0,-1.0,10.0
41000.0,1.140625,-2.950805032418833E-13,41000.0,87.3,74.60304763428388,84.49328449328449,74.95069033530572,41000.0,-1.0,10.0
42000.0,1.171875,-3.03164900590976E-13,42000.0,89.4,78.80339145736683,87.44075829383885,77.4468085106383,42000.0,-1.0,10.0
43000.0,1.1875,-3.0720709926552234E-13,43000.0,88.2,76.39575123522235,85.45006165228115,76.25754527162978,43000.0,-1.0,10.0
44000.0,1.203125,-3.1124929794006866E-13,44000.0,87.6,75.19851191071464,84.65346534653465,74.3801652892562,44000.0,-1.0,10.0
