learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.09375,-2.4253192047278088E-14,1000.0,85.1,70.23429009780733,82.17703349282296,65.4292343387471,1000.0,-1.0
2000.0,0.1875,-4.8506384094556176E-14,2000.0,85.6,71.20460726283794,82.3095823095823,70.85020242914979,2000.0,-1.0
3000.0,0.265625,-6.871737746728791E-14,3000.0,89.4,78.79660745719316,87.55868544600939,77.58985200845666,3000.0,-1.0
4000.0,0.34375,-8.892837084001965E-14,4000.0,88.2,76.40264290399476,85.67961165048543,76.49402390438247,4000.0,-1.0
5000.0,0.421875,-1.091393642127514E-13,5000.0,88.4,76.79916476993172,85.88807785888076,76.47058823529413,5000.0,-1.0
6000.0,0.5,-1.2935035758548313E-13,6000.0,87.1,74.20557159653515,83.83458646616542,73.88663967611336,6000.0,-1.0
7000.0,0.578125,-1.4956135095821487E-13,7000.0,88.2,76.4010383543124,85.46798029556649,75.21008403361344,7000.0,-1.0
8000.0,0.640625,-1.6573014565640026E-13,8000.0,88.5,76.99944798675168,85.83743842364532,76.90763052208835,8000.0,-1.0
9000.0,0.734375,-1.8998333770367835E-13,9000.0,88.7,77.40253091653734,86.04938271604938,77.49003984063745,9000.0,-1.0
10000.0,0.8125,-2.101943310764101E-13,10000.0,88.5,76.99042801805551,85.58897243107769,76.95390781563127,10000.0,-1.0
11000.0,0.875,-2.263631257745955E-13,11000.0,87.0,73.99833589349718,83.46055979643766,73.79032258064517,11000.0,-1.0
12000.0,0.953125,-2.4657411914732723E-13,12000.0,89.8,79.60130551644696,87.79904306220095,79.05544147843942,12000.0,-1.0
13000.0,1.046875,-2.708273111946053E-13,13000.0,87.6,75.20277728894364,84.30379746835443,74.84787018255578,13000.0,-1.0
14000.0,1.140625,-2.950805032418834E-13,14000.0,90.9,81.80000000000001,89.21800947867298,81.80000000000001,14000.0,-1.0
15000.0,1.21875,-3.1529149661461513E-13,15000.0,89.7,79.39917596703869,87.56038647342996,79.1919191919192,15000.0,-1.0
16000.0,1.3125,-3.395446886618932E-13,16000.0,89.60000000000001,79.20499080220748,87.46987951807229,79.03225806451614,16000.0,-1.0
17000.0,1.390625,-3.5975568203462494E-13,17000.0,90.5,81.00015199878402,88.58173076923077,81.11332007952286,17000.0,-1.0
18000.0,1.484375,-3.8400887408190303E-13,18000.0,88.5,76.99889594700545,85.97560975609755,77.04590818363273,18000.0,-1.0
19000.0,1.546875,-4.0017766878008843E-13,19000.0,88.4,76.80111354654977,85.57213930348257,75.68134171907757,19000.0,-1.0
20000.0,1.640625,-4.244308608273665E-13,20000.0,88.2,76.38639856557377,85.4140914709518,75.31380753138075,20000.0,-1.0
21000.0,1.71875,-4.4464185420009824E-13,21000.0,88.5,77.01158616057508,85.625,76.86116700201208,21000.0,-1.0
22000.0,1.8125,-4.688950462473763E-13,22000.0,85.5,71.00579884023195,81.21761658031087,70.16460905349794,22000.0,-1.0
23000.0,1.90625,-4.931482382946544E-13,23000.0,87.2,74.40818937939859,83.13570487483531,72.53218884120172,23000.0,-1.0
24000.0,2.015625,-5.214436290164788E-13,24000.0,86.4,72.79216414327327,80.70921985815602,72.1881390593047,24000.0,-1.0
25000.0,2.125,-5.497390197383032E-13,25000.0,83.89999999999999,67.79922718145235,74.68553459119497,66.73553719008264,25000.0,-1.0
26000.0,2.25,-5.82076609134674E-13,26000.0,88.1,76.2,82.55131964809385,75.4639175257732,26000.0,-1.0
27000.0,2.34375,-6.06329801181952E-13,27000.0,86.7,73.44334046835564,81.05413105413105,72.05882352941177,27000.0,-1.0
28000.0,2.4375,-6.305829932292301E-13,28000.0,88.2,76.35460083360051,85.21303258145362,76.54075546719682,28000.0,-1.0
29000.0,2.53125,-6.548361852765081E-13,29000.0,85.6,71.16308875360461,81.29870129870129,70.24793388429752,29000.0,-1.0
30000.0,2.625,-6.790893773237861E-13,30000.0,88.1,76.24807389842958,85.32675709001232,75.76374745417516,30000.0,-1.0
31000.0,2.703125,-6.993003706965179E-13,31000.0,85.6,71.2,81.70266836086404,71.0261569416499,31000.0,-1.0
32000.0,2.8125,-7.275957614183423E-13,32000.0,86.3,72.59408032134941,83.2107843137255,70.47413793103448,32000.0,-1.0
33000.0,2.890625,-7.478067547910741E-13,33000.0,86.8,73.58193004014745,83.743842364532,72.26890756302521,33000.0,-1.0
34000.0,2.96875,-7.680177481638059E-13,34000.0,86.3,72.60241098783307,83.02354399008674,72.48995983935743,34000.0,-1.0
35000.0,3.0625,-7.922709402110839E-13,35000.0,87.1,74.2,84.01486988847583,72.61146496815286,35000.0,-1.0
36000.0,3.125,-8.084397349092693E-13,36000.0,89.60000000000001,79.17667787922473,87.73584905660378,78.42323651452283,36000.0,-1.0
37000.0,3.21875,-8.326929269565473E-13,37000.0,88.4,76.78913731626402,85.92233009708737,76.37474541751527,37000.0,-1.0
38000.0,3.296875,-8.529039203292791E-13,38000.0,87.7,75.4165200984938,84.96332518337408,74.949083503055,38000.0,-1.0
39000.0,3.375,-8.731149137020109E-13,39000.0,86.9,73.8,83.625,73.48178137651821,39000.0,-1.0
40000.0,3.46875,-8.973681057492889E-13,40000.0,88.1,76.1933341335574,85.52311435523114,75.71428571428571,40000.0,-1.0
41000.0,3.5625,-9.21621297796567E-13,41000.0,87.7,75.40393537034075,84.98168498168498,75.7396449704142,41000.0,-1.0
42000.0,3.625,-9.377900924947522E-13,42000.0,88.8,77.60358342665174,86.7298578199052,76.17021276595744,42000.0,-1.0
43000.0,3.71875,-9.620432845420303E-13,43000.0,88.8,77.59596727410934,86.18988902589398,77.46478873239437,43000.0,-1.0
44000.0,3.8125,-9.862964765893083E-13,44000.0,88.4,76.79916476993172,85.64356435643563,76.03305785123968,44000.0,-1.0
45000.0,3.90625,-1.0105496686365864E-12,45000.0,86.5,72.99157337089171,83.0827067669173,72.83702213279678,45000.0,-1.0
46000.0,3.96875,-1.0267184633347717E-12,46000.0,86.7,73.4,82.97055057618438,73.34669338677354,46000.0,-1.0
47000.0,4.0625,-1.0509716553820497E-12,47000.0,88.2,76.40754958413308,85.30510585305106,74.7323340471092,47000.0,-1.0
48000.0,4.140625,-1.0711826487547814E-12,48000.0,88.7,77.38950873205167,85.03311258278146,75.85470085470085,48000.0,-1.0
49000.0,4.296875,-1.111604635500245E-12,49000.0,84.7,69.41614827371147,77.23214285714285,68.25726141078837,49000.0,-1.0
50000.0,4.4375,-1.147984423571162E-12,50000.0,85.1,70.16993129074106,77.00617283950618,69.46721311475409,50000.0,-1.0
51000.0,4.5625,-1.1803220129675329E-12,51000.0,88.1,76.1881893419136,83.0,76.00806451612904,51000.0,-1.0
52000.0,4.6875,-1.2126596023639036E-12,52000.0,87.6,75.20714034358105,82.31098430813122,75.0503018108652,52000.0,-1.0
53000.0,4.828125,-1.2490393904348208E-12,53000.0,87.7,75.41239215435421,84.08796895213455,74.321503131524,53000.0,-1.0
54000.0,4.9375,-1.2773347811566452E-12,54000.0,86.3,72.6098604502379,81.87830687830687,71.57676348547717,54000.0,-1.0
55000.0,5.015625,-1.2975457745293769E-12,55000.0,88.2,76.3999055996224,85.4858548585486,75.81967213114754,55000.0,-1.0
56000.0,5.09375,-1.3177567679021086E-12,56000.0,86.5,72.99891995679828,82.88973384030417,71.21535181236673,56000.0,-1.0
57000.0,5.1875,-1.3420099599493866E-12,57000.0,85.6,71.19251005261368,81.81818181818181,70.5521472392638,57000.0,-1.0
58000.0,5.28125,-1.3662631519966646E-12,58000.0,88.0,76.0,85.27607361963192,76.0,58000.0,-1.0
59000.0,5.359375,-1.3864741453693963E-12,59000.0,86.7,73.4095725538806,83.07888040712467,71.70212765957447,59000.0,-1.0
60000.0,5.453125,-1.4107273374166743E-12,60000.0,87.1,74.19690362843542,83.93524283935243,72.25806451612902,60000.0,-1.0
61000.0,5.546875,-1.4349805294639524E-12,61000.0,87.9,75.79477167068087,85.06172839506173,75.15400410677618,61000.0,-1.0
62000.0,5.625,-1.455191522836684E-12,62000.0,89.1,78.20261568611767,86.94610778443113,77.80040733197556,62000.0,-1.0
63000.0,5.71875,-1.479444714883962E-12,63000.0,87.9,75.82011766210512,85.00619578686494,74.94824016563147,63000.0,-1.0
64000.0,5.796875,-1.4996557082566938E-12,64000.0,87.7,75.38917123534355,84.31122448979592,74.949083503055,64000.0,-1.0
65000.0,5.875,-1.5198667016294254E-12,65000.0,89.5,78.99142850282917,87.47016706443914,78.43942505133471,65000.0,-1.0
66000.0,5.96875,-1.5441198936767035E-12,66000.0,88.4,76.80259810901178,85.83638583638586,74.67248908296943,66000.0,-1.0
67000.0,6.046875,-1.5643308870494351E-12,67000.0,87.7,75.40708276016508,84.79604449938195,73.82978723404256,67000.0,-1.0
68000.0,6.125,-1.5845418804221668E-12,68000.0,87.5,74.99099675883318,84.4139650872818,74.74747474747475,68000.0,-1.0
69000.0,6.21875,-1.6087950724694448E-12,69000.0,88.3,76.5808900062451,85.48387096774194,75.92592592592592,69000.0,-1.0
70000.0,6.296875,-1.6290060658421765E-12,70000.0,89.5,79.02516979624451,87.22627737226277,78.125,70000.0,-1.0
71000.0,6.375,-1.6492170592149082E-12,71000.0,90.3,80.59860309942316,88.3132530120482,80.08213552361397,71000.0,-1.0
72000.0,6.453125,-1.6694280525876398E-12,72000.0,88.8,77.57739801720135,86.18988902589398,76.95473251028807,72000.0,-1.0
73000.0,6.53125,-1.6896390459603715E-12,73000.0,88.1,76.19752454255242,84.70437017994858,75.91093117408907,73000.0,-1.0
74000.0,6.640625,-1.717934436682196E-12,74000.0,84.0,67.98476074611514,76.84515195369028,66.24472573839661,74000.0,-1.0
75000.0,6.75,-1.7462298274040203E-12,75000.0,84.5,68.96698086764317,76.86567164179104,68.10699588477365,75000.0,-1.0
76000.0,6.859375,-1.7745252181258447E-12,76000.0,85.1,70.19833110654196,77.14723926380368,70.7843137254902,76000.0,-1.0
77000.0,6.96875,-1.8028206088476692E-12,77000.0,86.4,72.8,80.26124818577647,72.24489795918367,77000.0,-1.0
78000.0,7.078125,-1.8311159995694938E-12,78000.0,86.4,72.79771500806066,82.0343461030383,70.3056768558952,78000.0,-1.0
79000.0,7.1875,-1.859411390291318E-12,79000.0,87.8,75.59062680069147,84.5959595959596,74.74120082815735,79000.0,-1.0
80000.0,7.28125,-1.8836645823385964E-12,80000.0,87.0,74.00114394966621,83.79052369077306,74.0,80000.0,-1.0
81000.0,7.375,-1.9079177743858747E-12,81000.0,88.7,77.37411598869106,86.40192539109506,76.65289256198348,81000.0,-1.0
82000.0,7.46875,-1.932170966433153E-12,82000.0,85.9,71.82028939163801,82.63546798029556,71.28309572301426,82000.0,-1.0
83000.0,7.5625,-1.956424158480431E-12,83000.0,85.39999999999999,70.80455448949964,81.81818181818183,70.38539553752535,83000.0,-1.0
84000.0,7.65625,-1.9806773505277094E-12,84000.0,85.5,71.0132179726045,82.09876543209876,69.72860125260961,84000.0,-1.0
85000.0,7.75,-2.0049305425749876E-12,85000.0,88.3,76.62225561265676,85.57336621454994,75.77639751552795,85000.0,-1.0
86000.0,7.828125,-2.0251415359477193E-12,86000.0,88.6,77.18603785516737,86.26506024096385,77.51479289940829,86000.0,-1.0
87000.0,7.90625,-2.045352529320451E-12,87000.0,88.3,76.61122661122661,85.80097087378641,76.07361963190185,87000.0,-1.0
88000.0,8.0,-2.0696057213677292E-12,88000.0,88.7,77.37936998542672,86.35265700483092,76.93877551020408,88000.0,-1.0
89000.0,8.078125,-2.089816714740461E-12,89000.0,89.4,78.78166736059956,87.38095238095238,78.27868852459017,89000.0,-1.0
90000.0,8.15625,-2.1100277081131926E-12,90000.0,87.8,75.6277843258685,85.4066985645933,75.20325203252033,90000.0,-1.0
91000.0,8.265625,-2.138323098835017E-12,91000.0,87.6,75.20267811076404,84.80392156862744,75.0503018108652,91000.0,-1.0
92000.0,8.359375,-2.1625762908822952E-12,92000.0,88.8,77.60000000000001,86.53846153846155,76.90721649484537,92000.0,-1.0
93000.0,8.4375,-2.182787284255027E-12,93000.0,88.1,76.1904761904762,85.48780487804878,75.10460251046025,93000.0,-1.0
94000.0,8.546875,-2.2110826749768513E-12,94000.0,86.2,72.40485674521284,82.61964735516372,72.39999999999999,94000.0,-1.0
95000.0,8.625,-2.231293668349583E-12,95000.0,88.7,77.40795240075494,86.48325358851675,76.9857433808554,95000.0,-1.0
