learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.022928461,-5.9316092584696086E-15,1000.0,66.8,34.29775781203619,60.28708133971292,22.969837587006978,1000.0,-1.0,750.0,353.5533905932738,-7.5,4.949747468305833,2.0,1.4142135623730951,1.5,0.7071067811865476,1.5,0.7071067811865476,0.5,0.7071067811865476,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.054675772,-1.4144661318924693E-14,2000.0,84.1,68.21678153934721,80.46683046683046,67.81376518218623,2000.0,-1.0,1250.0,645.4972243679028,-16.25,3.5,4.5,1.0,2.75,0.5,2.75,0.5,1.75,0.5,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.098836236,-2.55690049380064E-14,3000.0,87.6,75.17616912235746,85.44600938967136,73.78435517970402,3000.0,-1.0,1750.0,935.4143466934853,-16.833333333333332,5.269408568963566,4.666666666666667,1.505545305418162,2.8333333333333335,0.752772652709081,2.8333333333333335,0.752772652709081,1.8333333333333333,0.752772652709081,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.163044166,-4.217964234865374E-14,4000.0,86.9,73.80649598899473,84.10194174757282,73.90438247011953,4000.0,-1.0,2250.0,1224.744871391589,-25.874999999999996,16.066269013059628,7.25,4.590362575159894,4.125,2.295181287579947,4.125,2.295181287579947,2.5,1.5118578920369088,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.235190424,-6.08439308901628E-14,5000.0,87.1,74.19504544872616,84.30656934306569,73.83367139959431,5000.0,-1.0,2750.0,1513.8251770487457,-30.6,18.013575127910862,8.6,5.146735750831676,4.8,2.573367875415838,4.8,2.573367875415838,2.7,1.4181364924121764,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.318221033,-8.232400881954366E-14,6000.0,86.5,73.0136011450229,83.0827067669173,72.67206477732793,6000.0,-1.0,3550.0,1832.575600987128,-38.300000000000004,20.72599012512229,10.8,5.921711464320654,5.8999999999999995,2.9608557321603266,5.8999999999999995,2.9608557321603266,3.2,1.6865480854231358,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.39037068,-1.0098917409777642E-13,7000.0,87.5,74.99339825713989,84.60591133004927,73.73949579831933,7000.0,-1.0,4350.0,2186.4481598143493,-43.900000000000006,21.142111741472018,12.399999999999999,6.04060335470629,6.699999999999999,3.020301677353145,6.699999999999999,3.020301677353145,3.8000000000000003,1.8737959096740262,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.471791504,-1.220527994963858E-13,8000.0,87.2,74.39713247883763,84.23645320197043,74.29718875502009,8000.0,-1.0,5150.0,2560.9243123008014,-51.599999999999994,25.517749813718986,14.6,7.290785661062569,7.8,3.6453928305312844,7.8,3.6453928305312844,4.299999999999999,2.162817093001111,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.545047657,-1.4100421866815952E-13,9000.0,87.3,74.60426648323082,84.32098765432099,74.7011952191235,9000.0,-1.0,5950.0,2948.1632700151913,-57.9,27.81466439767979,16.399999999999995,7.947046970765651,8.699999999999998,3.9735234853828256,8.699999999999998,3.9735234853828256,4.6,2.065591117977289,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.618536113,-1.600157347921696E-13,10000.0,87.9,75.78488977121725,84.83709273182957,75.75150300601202,10000.0,-1.0,6750.0,3343.7337746231465,-64.9,33.17110523064045,18.4,9.477458637325842,9.7,4.738729318662921,9.7,4.738729318662921,4.900000000000001,2.4698178070456946,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,0.69948396,-1.8095700070261955E-13,11000.0,86.2,72.39735014561397,82.44274809160305,72.17741935483872,11000.0,-1.0,7550.000000000001,3744.9966622148013,-74.0,33.81321240777535,21.0,9.66091783079296,11.0,4.83045891539648,11.0,4.83045891539648,5.4,2.2211108331943574,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,0.775382107,-2.005919056116707E-13,12000.0,89.1,78.20069757767752,86.96172248803828,77.61806981519508,12000.0,-1.0,8400.0,4053.804797142227,-80.99999999999999,38.34057902536162,23.0,10.954451150103322,12.0,5.477225575051661,12.0,5.477225575051661,5.5,2.5495097567963927,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,0.8617946,-2.229468793504768E-13,13000.0,86.5,72.98941184944499,82.91139240506328,72.61663286004057,13000.0,-1.0,8450.0,5013.592635138111,-81.7,46.368212291516166,23.2,13.248060654718905,12.1,6.624030327359453,12.1,6.624030327359453,5.3,2.7100635498903793,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,0.94272527,-2.438837015587423E-13,14000.0,89.9,79.80016159870722,88.03317535545024,79.80000000000001,14000.0,-1.0,9100.0,5556.777643362902,-88.7,54.86559334713636,25.2,15.67588381346753,13.1,7.837941906733765,13.1,7.837941906733765,5.300000000000001,3.0568684048294337,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.023640076,-2.648164197388623E-13,15000.0,89.3,78.60171186305097,87.07729468599034,78.3838383838384,15000.0,-1.0,9900.0,5896.326540030383,-96.4,56.07772384031926,27.4,16.022206811519787,14.2,8.011103405759894,14.2,8.011103405759894,5.699999999999999,3.056868404829433,0.0,0.0,0.0,0.0,1.0,0.0
