learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.125,-3.233758939637078E-14,1000.0,84.5,69.06014707408796,81.45933014354067,64.03712296983758,1000.0,-1.0,399.0,343.5581788026916,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.265625,-6.871737746728791E-14,2000.0,83.39999999999999,66.83502221653933,79.60687960687959,66.39676113360323,2000.0,-1.0,442.0,343.08405189787914,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.390625,-1.0105496686365869E-13,3000.0,85.2,70.3192684100754,82.62910798122066,68.71035940803381,3000.0,-1.0,399.0,318.37957779285335,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.515625,-1.3339255626002948E-13,4000.0,85.6,71.21289662231321,82.52427184466018,71.31474103585657,4000.0,-1.0,456.0,319.62478001556764,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.640625,-1.6573014565640026E-13,5000.0,84.5,68.97542853940321,81.14355231143551,68.55983772819472,5000.0,-1.0,519.0,339.42598604113977,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.765625,-1.9806773505277105E-13,6000.0,83.0,66.05377082701,78.69674185463657,65.58704453441294,6000.0,-1.0,547.0,322.8363878705951,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.890625,-2.3040532444914184E-13,7000.0,84.6,69.11165934572878,81.03448275862067,67.6470588235294,7000.0,-1.0,371.0,298.30819260921714,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,1.015625,-2.6274291384551263E-13,8000.0,84.3,68.58366350502261,80.66502463054186,68.47389558232932,8000.0,-1.0,295.0,325.2776591706777,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,1.15625,-2.9912270191642974E-13,9000.0,84.7,69.44448882427186,81.11111111111111,69.5219123505976,9000.0,-1.0,277.99999999999994,182.50114154894118,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.265625,-3.2741809263825415E-13,10000.0,85.1,70.11920232308161,81.32832080200501,70.14028056112224,10000.0,-1.0,418.0,317.34313710346197,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,1.375,-3.5571348336007857E-13,11000.0,82.39999999999999,64.75601550735317,77.60814249363868,64.51612903225805,11000.0,-1.0,316.0,320.9084327689477,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,1.515625,-3.920932714309957E-13,12000.0,85.6,71.25151728103238,82.77511961722487,70.4312114989733,12000.0,-1.0,515.0,318.6516732874455,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,1.640625,-4.2443086082736647E-13,13000.0,82.69999999999999,65.26969188394857,78.10126582278481,64.90872210953346,13000.0,-1.0,387.0,201.82775935050273,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,1.765625,-4.567684502237372E-13,14000.0,86.2,72.40673275720724,83.64928909952607,72.39999999999999,14000.0,-1.0,431.0,274.6492712938125,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.890625,-4.89106039620108E-13,15000.0,85.8,71.62326891948602,82.85024154589371,71.31313131313131,15000.0,-1.0,424.0,357.90128992968624,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,2.015625,-5.214436290164788E-13,16000.0,86.0,72.03624103162302,83.13253012048193,71.77419354838709,16000.0,-1.0,402.0,369.34777348425666,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,2.125,-5.497390197383032E-13,17000.0,87.0,73.99209359645333,84.375,74.15506958250498,17000.0,-1.0,510.0,330.5887004857983,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,2.25,-5.82076609134674E-13,18000.0,84.0,67.97502051600247,80.48780487804876,68.06387225548902,18000.0,-1.0,523.0,368.7230216119773,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
19000.0,2.359375,-6.103719998564984E-13,19000.0,83.6,67.2146878198567,79.60199004975122,65.61844863731655,19000.0,-1.0,286.00000000000006,198.16940003721842,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,2.484375,-6.427095892528692E-13,20000.0,82.89999999999999,65.54947578792982,78.86279357231149,64.22594142259413,20000.0,-1.0,369.0,289.84478604936123,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
21000.0,2.609375,-6.7504717864924E-13,21000.0,83.1,66.26800370453165,78.875,65.99597585513078,21000.0,-1.0,303.0,191.60433769156225,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
22000.0,2.71875,-7.033425693710644E-13,22000.0,81.10000000000001,62.25736879942488,75.51813471502592,61.111111111111114,22000.0,-1.0,220.0,216.02468994692867,-5.3999999999999995,4.427188724235731,1.4,1.2649110640673518,1.2000000000000002,0.6324555320336759,1.2000000000000002,0.6324555320336759,0.20000000000000004,0.6324555320336759,0.0,0.0,0.0,0.0,1.0,0.0
23000.0,2.84375,-7.356801587674352E-13,23000.0,79.10000000000001,57.89346442098478,72.46376811594203,55.15021459227468,23000.0,-1.0,447.0,383.6969290121219,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
24000.0,2.953125,-7.639755494892596E-13,24000.0,81.5,63.036076789053865,73.75886524822694,62.167689161554186,24000.0,-1.0,410.0,342.2474738158535,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,3.078125,-7.963131388856304E-13,25000.0,82.1,64.17248446807147,71.85534591194967,63.01652892561982,25000.0,-1.0,346.0,198.44954578487253,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
26000.0,3.203125,-8.286507282820012E-13,26000.0,84.6,69.20702079925776,77.41935483870968,68.24742268041236,26000.0,-1.0,265.0,179.52096751571327,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
27000.0,3.328125,-8.60988317678372E-13,27000.0,81.10000000000001,62.39853573133855,73.0769230769231,60.29411764705883,27000.0,-1.0,275.0,163.0439613519413,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
28000.0,3.453125,-8.933259070747427E-13,28000.0,84.5,68.76914149392309,80.57644110275689,69.18489065606362,28000.0,-1.0,233.0,269.2809354971536,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
29000.0,3.5625,-9.216212977965672E-13,29000.0,79.7,59.14638073158167,73.63636363636364,58.05785123966943,29000.0,-1.0,385.0,337.61417821728594,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
