learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.015625,-4.042198674546348E-15,1000.0,16.400000000000002,-67.25419035767588,0.0,-93.96751740139207,1000.0,-1.0
2000.0,0.015625,-4.042198674546348E-15,2000.0,18.6,-62.81041986687149,0.0,-64.77732793522267,2000.0,-1.0
3000.0,0.015625,-4.042198674546348E-15,3000.0,14.799999999999999,-70.46818727490995,0.0,-80.12684989429177,3000.0,-1.0
4000.0,0.03125,-8.084397349092695E-15,4000.0,17.599999999999998,-64.80263684218947,0.0,-64.14342629482071,4000.0,-1.0
5000.0,0.03125,-8.084397349092695E-15,5000.0,17.8,-64.40591861307006,0.0,-66.7342799188641,5000.0,-1.0
6000.0,0.03125,-8.084397349092695E-15,6000.0,20.200000000000003,-59.62298570994221,0.0,-61.53846153846154,6000.0,-1.0
7000.0,0.046875,-1.2126596023639042E-14,7000.0,18.8,-62.478639661596205,0.0,-70.58823529411765,7000.0,-1.0
8000.0,0.046875,-1.2126596023639042E-14,8000.0,18.8,-62.402598441575066,0.0,-63.05220883534136,8000.0,-1.0
9000.0,0.046875,-1.2126596023639042E-14,9000.0,19.0,-62.031758224612034,0.0,-61.354581673306775,9000.0,-1.0
10000.0,0.0625,-1.616879469818539E-14,10000.0,20.200000000000003,-59.70796258270589,0.0,-59.91983967935871,10000.0,-1.0
11000.0,0.0625,-1.616879469818539E-14,11000.0,21.4,-57.210061443932425,0.0,-58.46774193548387,11000.0,-1.0
12000.0,0.0625,-1.616879469818539E-14,12000.0,16.400000000000002,-67.24281416042507,0.0,-71.66324435318275,12000.0,-1.0
13000.0,0.078125,-2.021099337273174E-14,13000.0,21.0,-58.123969191846406,0.0,-60.243407707910755,13000.0,-1.0
14000.0,0.078125,-2.021099337273174E-14,14000.0,15.6,-68.80067520270079,0.0,-68.8,14000.0,-1.0
15000.0,0.078125,-2.021099337273174E-14,15000.0,17.2,-65.61656165616562,0.0,-67.27272727272727,15000.0,-1.0
16000.0,0.09375,-2.4253192047278088E-14,16000.0,17.0,-66.02390744267173,0.0,-67.33870967741935,16000.0,-1.0
17000.0,0.09375,-2.4253192047278088E-14,17000.0,16.8,-66.40266244259908,0.0,-65.40755467196819,17000.0,-1.0
18000.0,0.09375,-2.4253192047278088E-14,18000.0,18.0,-64.00590421255164,0.0,-63.67265469061877,18000.0,-1.0
19000.0,0.109375,-2.8295390721824436E-14,19000.0,19.6,-60.80257284116546,0.0,-68.55345911949686,19000.0,-1.0
20000.0,0.109375,-2.8295390721824436E-14,20000.0,19.1,-62.02164561119612,0.0,-69.2468619246862,20000.0,-1.0
21000.0,0.109375,-2.8295390721824436E-14,21000.0,20.0,-60.03136614776498,0.0,-60.96579476861167,21000.0,-1.0
22000.0,0.125,-3.233758939637078E-14,22000.0,22.8,-54.41544154415442,0.0,-58.847736625514415,22000.0,-1.0
23000.0,0.125,-3.233758939637078E-14,23000.0,24.099999999999998,-52.03108725262398,0.0,-62.87553648068671,23000.0,-1.0
24000.0,0.125,-3.233758939637078E-14,24000.0,29.5,-41.00676832487961,0.0,-44.1717791411043,24000.0,-1.0
25000.0,0.140625,-3.637978807091713E-14,25000.0,36.4,-27.20457936485713,0.0,-31.404958677685958,25000.0,-1.0
26000.0,0.140625,-3.637978807091713E-14,26000.0,31.8,-36.40054560218239,0.0,-40.61855670103093,26000.0,-1.0
27000.0,0.140625,-3.637978807091713E-14,27000.0,29.799999999999997,-40.72422862274682,0.0,-47.478991596638664,27000.0,-1.0
28000.0,0.15625,-4.042198674546348E-14,28000.0,20.200000000000003,-59.968567579703645,0.0,-58.64811133200794,28000.0,-1.0
29000.0,0.15625,-4.042198674546348E-14,29000.0,23.0,-54.157857646229736,0.0,-59.09090909090909,29000.0,-1.0
30000.0,0.15625,-4.042198674546348E-14,30000.0,18.9,-62.52895861223116,0.0,-65.17311608961303,30000.0,-1.0
31000.0,0.171875,-4.446418542000983E-14,31000.0,21.3,-57.400000000000006,0.0,-58.35010060362173,31000.0,-1.0
32000.0,0.171875,-4.446418542000983E-14,32000.0,18.4,-63.20261124177987,0.0,-75.86206896551725,32000.0,-1.0
33000.0,0.171875,-4.446418542000983E-14,33000.0,18.8,-62.45263465362777,0.0,-70.58823529411765,33000.0,-1.0
34000.0,0.1875,-4.8506384094556176E-14,34000.0,19.3,-61.40129121032968,0.0,-62.04819277108433,34000.0,-1.0
35000.0,0.1875,-4.8506384094556176E-14,35000.0,19.3,-61.4,0.0,-71.33757961783441,35000.0,-1.0
36000.0,0.1875,-4.8506384094556176E-14,36000.0,15.2,-69.7330707274503,0.0,-75.93360995850622,36000.0,-1.0
37000.0,0.203125,-5.2548582769102524E-14,37000.0,17.599999999999998,-64.85341250565183,0.0,-67.82077393075356,37000.0,-1.0
38000.0,0.203125,-5.2548582769102524E-14,38000.0,18.2,-63.641892324435055,0.0,-66.59877800407332,38000.0,-1.0
39000.0,0.203125,-5.2548582769102524E-14,39000.0,20.0,-60.0,0.0,-61.943319838056674,39000.0,-1.0
40000.0,0.21875,-5.659078144364887E-14,40000.0,17.8,-64.46578631452581,0.0,-67.75510204081633,40000.0,-1.0
41000.0,0.21875,-5.659078144364887E-14,41000.0,18.099999999999998,-63.819658359003064,0.0,-61.53846153846154,41000.0,-1.0
42000.0,0.21875,-5.659078144364887E-14,42000.0,15.6,-68.81080389144905,0.0,-79.57446808510639,42000.0,-1.0
43000.0,0.234375,-6.063298011819522E-14,43000.0,18.9,-62.20778597372675,0.0,-63.17907444668008,43000.0,-1.0
44000.0,0.234375,-6.063298011819522E-14,44000.0,19.2,-61.60064640258559,0.0,-66.94214876033058,44000.0,-1.0
45000.0,0.234375,-6.063298011819522E-14,45000.0,20.200000000000003,-59.60574580684903,0.0,-60.56338028169014,45000.0,-1.0
46000.0,0.25,-6.467517879274156E-14,46000.0,21.9,-56.2,0.0,-56.51302605210421,46000.0,-1.0
47000.0,0.25,-6.467517879274156E-14,47000.0,19.7,-60.60770917004017,0.0,-71.94860813704497,47000.0,-1.0
48000.0,0.25,-6.467517879274156E-14,48000.0,24.5,-51.00724834792071,0.0,-61.32478632478634,48000.0,-1.0
49000.0,0.265625,-6.871737746728791E-14,49000.0,32.800000000000004,-34.40860215053764,0.0,-39.41908713692946,49000.0,-1.0
50000.0,0.265625,-6.871737746728791E-14,50000.0,35.199999999999996,-29.67469262295081,0.0,-32.78688524590165,50000.0,-1.0
51000.0,0.265625,-6.871737746728791E-14,51000.0,30.0,-40.00896057347671,0.0,-41.12903225806452,51000.0,-1.0
52000.0,0.28125,-7.275957614183426E-14,52000.0,29.9,-40.20672992303631,0.0,-41.04627766599598,52000.0,-1.0
53000.0,0.28125,-7.275957614183426E-14,53000.0,22.7,-54.88622975258279,0.0,-61.37787056367433,53000.0,-1.0
54000.0,0.28125,-7.275957614183426E-14,54000.0,24.4,-51.396209487495796,0.0,-56.846473029045654,54000.0,-1.0
55000.0,0.296875,-7.680177481638061E-14,55000.0,18.7,-62.6,0.0,-66.59836065573771,55000.0,-1.0
56000.0,0.296875,-7.680177481638061E-14,56000.0,21.099999999999998,-57.800000000000004,0.0,-68.23027718550108,56000.0,-1.0
57000.0,0.296875,-7.680177481638061E-14,57000.0,20.8,-58.50715083396375,0.0,-61.96319018404909,57000.0,-1.0
58000.0,0.3125,-8.084397349092696E-14,58000.0,18.5,-63.0,0.0,-63.0,58000.0,-1.0
59000.0,0.3125,-8.084397349092696E-14,59000.0,21.4,-57.22264006016866,0.0,-67.23404255319151,59000.0,-1.0
60000.0,0.3125,-8.084397349092696E-14,60000.0,19.7,-60.612849027922245,0.0,-72.68817204301075,60000.0,-1.0
61000.0,0.328125,-8.48861721654733E-14,61000.0,19.0,-62.02333135971578,0.0,-66.32443531827515,61000.0,-1.0
62000.0,0.328125,-8.48861721654733E-14,62000.0,16.5,-67.01336106888552,0.0,-70.061099796334,62000.0,-1.0
63000.0,0.34375,-8.892837084001965E-14,63000.0,19.3,-61.57579446437724,0.0,-67.08074534161491,63000.0,-1.0
64000.0,0.34375,-8.892837084001965E-14,64000.0,21.6,-56.87592794912737,0.0,-59.67413441955194,64000.0,-1.0
65000.0,0.34375,-8.892837084001965E-14,65000.0,16.2,-67.6241378758541,0.0,-72.07392197125256,65000.0,-1.0
66000.0,0.359375,-9.2970569514566E-14,66000.0,18.099999999999998,-63.80131041048329,0.0,-78.82096069868997,66000.0,-1.0
67000.0,0.359375,-9.2970569514566E-14,67000.0,19.1,-61.858268976831646,0.0,-72.1276595744681,67000.0,-1.0
68000.0,0.359375,-9.2970569514566E-14,68000.0,19.8,-60.4231009265334,0.0,-62.02020202020202,68000.0,-1.0
69000.0,0.375,-9.701276818911235E-14,69000.0,19.400000000000002,-61.29290471311474,0.0,-65.84362139917695,69000.0,-1.0
70000.0,0.375,-9.701276818911235E-14,70000.0,17.8,-64.66346153846155,0.0,-71.25000000000001,70000.0,-1.0
71000.0,0.375,-9.701276818911235E-14,71000.0,17.0,-66.00265604249668,0.0,-70.4312114989733,71000.0,-1.0
72000.0,0.390625,-1.010549668636587E-13,72000.0,18.9,-62.33636254453741,0.0,-66.8724279835391,72000.0,-1.0
73000.0,0.390625,-1.010549668636587E-13,73000.0,22.2,-55.60248963983424,0.0,-57.489878542510134,73000.0,-1.0
74000.0,0.390625,-1.010549668636587E-13,74000.0,30.9,-38.23096373587684,0.0,-45.78059071729959,74000.0,-1.0
75000.0,0.40625,-1.0509716553820505E-13,75000.0,33.0,-34.10513842852795,0.0,-37.86008230452675,75000.0,-1.0
76000.0,0.40625,-1.0509716553820505E-13,76000.0,34.8,-30.40208643338294,0.0,-27.84313725490196,76000.0,-1.0
77000.0,0.40625,-1.0509716553820505E-13,77000.0,31.1,-37.80661471750645,0.0,-40.61224489795919,77000.0,-1.0
78000.0,0.421875,-1.091393642127514E-13,78000.0,24.3,-51.4254394738316,0.0,-65.28384279475983,78000.0,-1.0
79000.0,0.421875,-1.091393642127514E-13,79000.0,20.8,-58.4405607835606,0.0,-63.97515527950311,79000.0,-1.0
80000.0,0.421875,-1.091393642127514E-13,80000.0,19.8,-60.400641602566395,0.0,-60.4,80000.0,-1.0
81000.0,0.4375,-1.1318156288729775E-13,81000.0,16.900000000000002,-66.28779995837803,0.0,-71.69421487603306,81000.0,-1.0
82000.0,0.4375,-1.1318156288729775E-13,82000.0,18.8,-62.45263465362777,0.0,-65.37678207739307,82000.0,-1.0
83000.0,0.4375,-1.1318156288729775E-13,83000.0,19.7,-60.60770917004017,0.0,-62.88032454361054,83000.0,-1.0
84000.0,0.453125,-1.1722376156184408E-13,84000.0,19.0,-62.234266280509054,0.0,-69.10229645093946,84000.0,-1.0
85000.0,0.453125,-1.1722376156184408E-13,85000.0,18.9,-62.376665812403886,0.0,-67.9089026915114,85000.0,-1.0
86000.0,0.453125,-1.1722376156184408E-13,86000.0,17.0,-66.05380143166386,0.0,-63.708086785009854,86000.0,-1.0
87000.0,0.46875,-1.2126596023639043E-13,87000.0,17.599999999999998,-64.84219960309841,0.0,-68.50715746421268,87000.0,-1.0
88000.0,0.46875,-1.2126596023639043E-13,88000.0,17.2,-65.8394721978537,0.0,-68.9795918367347,88000.0,-1.0
89000.0,0.46875,-1.2126596023639043E-13,89000.0,16.0,-68.09682377049178,0.0,-72.1311475409836,89000.0,-1.0
90000.0,0.484375,-1.2530815891093678E-13,90000.0,16.400000000000002,-67.35061555399857,0.0,-69.91869918699186,90000.0,-1.0
91000.0,0.484375,-1.2530815891093678E-13,91000.0,18.4,-63.2058754115148,0.0,-64.1851106639839,91000.0,-1.0
92000.0,0.484375,-1.2530815891093678E-13,92000.0,16.8,-66.39999999999999,0.0,-71.54639175257732,92000.0,-1.0
93000.0,0.5,-1.2935035758548313E-13,93000.0,18.0,-64.016401640164,0.0,-71.54811715481172,93000.0,-1.0
94000.0,0.5,-1.2935035758548313E-13,94000.0,20.599999999999998,-58.802540840653464,0.0,-58.80000000000001,94000.0,-1.0
95000.0,0.515625,-1.3339255626002948E-13,95000.0,16.400000000000002,-67.24281416042507,0.0,-70.26476578411405,95000.0,-1.0
96000.0,0.515625,-1.3339255626002948E-13,96000.0,21.2,-57.60567380425695,0.0,-60.4887983706721,96000.0,-1.0
