learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.09375,-2.4253192047278088E-14,1000.0,79.7,59.46420869342962,75.7177033492823,52.900232018561496,1000.0,-1.0,9.0
2000.0,0.203125,-5.254858276910252E-14,2000.0,77.60000000000001,55.23581135091926,72.48157248157248,54.655870445344135,2000.0,-1.0,9.0
3000.0,0.296875,-7.680177481638061E-14,3000.0,81.10000000000001,62.11361905143728,77.81690140845072,60.04228329809727,3000.0,-1.0,9.0
4000.0,0.40625,-1.0509716553820504E-13,4000.0,79.3,58.61225077377097,74.87864077669903,58.76494023904383,4000.0,-1.0,9.0
5000.0,0.5,-1.2935035758548313E-13,5000.0,79.80000000000001,59.5713765345865,75.42579075425792,59.02636916835701,5000.0,-1.0,9.0
6000.0,0.578125,-1.4956135095821487E-13,6000.0,75.9,51.85661661885622,69.79949874686716,51.21457489878543,6000.0,-1.0,9.0
7000.0,0.671875,-1.7381454300549296E-13,7000.0,77.60000000000001,55.091320996812286,72.41379310344827,52.94117647058824,7000.0,-1.0,9.0
8000.0,0.765625,-1.9806773505277105E-13,8000.0,75.8,51.58760642724537,70.19704433497537,51.405622489959846,8000.0,-1.0,9.0
9000.0,0.859375,-2.2232092710004914E-13,9000.0,80.9,61.855538336182526,76.41975308641975,61.95219123505977,9000.0,-1.0,9.0
10000.0,0.953125,-2.4657411914732723E-13,10000.0,77.9,55.6014496829823,72.30576441102757,55.71142284569138,10000.0,-1.0,9.0
11000.0,1.046875,-2.708273111946053E-13,11000.0,76.4,52.756157714358935,69.97455470737913,52.41935483870967,11000.0,-1.0,9.0
12000.0,1.140625,-2.950805032418834E-13,12000.0,79.5,59.02229187322098,75.47846889952153,57.90554414784395,12000.0,-1.0,9.0
13000.0,1.234375,-3.193336952891615E-13,13000.0,79.2,58.23158976995245,73.67088607594937,57.80933062880326,13000.0,-1.0,9.0
14000.0,1.328125,-3.435868873364396E-13,14000.0,80.9,61.80550000799886,77.3696682464455,61.80000000000001,14000.0,-1.0,9.0
15000.0,1.421875,-3.678400793837177E-13,15000.0,78.2,56.420046778481904,73.67149758454107,55.959595959595966,15000.0,-1.0,9.0
16000.0,1.5,-3.880510727564494E-13,16000.0,79.0,58.05235066636838,74.6987951807229,57.66129032258065,16000.0,-1.0,9.0
17000.0,1.59375,-4.123042648037275E-13,17000.0,82.89999999999999,65.79042131796902,79.44711538461537,66.00397614314114,17000.0,-1.0,9.0
18000.0,1.6875,-4.365574568510056E-13,18000.0,79.10000000000001,58.18093050430997,74.51219512195121,58.283433133732544,18000.0,-1.0,9.0
19000.0,1.78125,-4.608106488982837E-13,19000.0,81.10000000000001,62.207558488302354,76.49253731343283,60.377358490566046,19000.0,-1.0,9.0
20000.0,1.859375,-4.810216422710154E-13,20000.0,78.2,56.16010811158662,73.053152039555,54.393305439330554,20000.0,-1.0,9.0
21000.0,1.953125,-5.052748343182935E-13,21000.0,80.60000000000001,61.25099369230094,75.75,60.96579476861168,21000.0,-1.0,9.0
22000.0,2.046875,-5.295280263655715E-13,22000.0,73.9,47.89587159626288,66.19170984455958,46.29629629629629,22000.0,-1.0,9.0
23000.0,2.125,-5.497390197383033E-13,23000.0,74.7,48.905404313757174,66.66666666666666,45.708154506437765,23000.0,-1.0,9.0
24000.0,2.21875,-5.739922117855813E-13,24000.0,76.3,52.65681182580904,66.38297872340425,51.533742331288344,24000.0,-1.0,9.0
25000.0,2.296875,-5.942032051583131E-13,25000.0,72.0,43.94282167811166,55.9748427672956,42.148760330578504,25000.0,-1.0,9.0
26000.0,2.390625,-6.184563972055911E-13,26000.0,78.10000000000001,56.211560148120896,67.88856304985337,54.84536082474227,26000.0,-1.0,9.0
27000.0,2.484375,-6.427095892528692E-13,27000.0,77.0,54.07054763882676,67.23646723646725,51.68067226890757,27000.0,-1.0,9.0
28000.0,2.59375,-6.710049799746936E-13,28000.0,78.4,56.38971443338933,72.93233082706767,57.05765407554673,28000.0,-1.0,9.0
29000.0,2.671875,-6.912159733474254E-13,29000.0,75.4,50.457562673197145,68.05194805194805,49.17355371900826,29000.0,-1.0,9.0
30000.0,2.765625,-7.154691653947034E-13,30000.0,81.0,62.166467542811645,76.57213316892725,61.30346232179227,30000.0,-1.0,9.0
31000.0,2.859375,-7.397223574419814E-13,31000.0,79.3,58.60000000000001,73.69758576874207,58.35010060362173,31000.0,-1.0,9.0
32000.0,2.953125,-7.639755494892595E-13,32000.0,79.9,59.79002792692588,75.36764705882352,56.68103448275863,32000.0,-1.0,9.0
33000.0,3.046875,-7.882287415365375E-13,33000.0,79.60000000000001,59.15441632862276,74.8768472906404,57.14285714285715,33000.0,-1.0,9.0
