learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.078125,-2.021099337273174E-14,1000.0,88.7,77.40650692600532,86.48325358851675,73.78190255220419,1000.0,-1.0,10.0
2000.0,0.140625,-3.637978807091713E-14,2000.0,85.5,71.012522590241,82.18673218673219,70.64777327935222,2000.0,-1.0,10.0
3000.0,0.203125,-5.254858276910252E-14,3000.0,85.8,71.52482553942407,83.33333333333333,69.97885835095137,3000.0,-1.0,10.0
4000.0,0.265625,-6.871737746728791E-14,4000.0,87.8,75.60819564626286,85.19417475728154,75.69721115537848,4000.0,-1.0,10.0
5000.0,0.328125,-8.48861721654733E-14,5000.0,88.7,77.39131826621423,86.25304136253041,77.079107505071,5000.0,-1.0,10.0
6000.0,0.375,-9.701276818911235E-14,6000.0,90.2,80.41128310093386,87.71929824561403,80.16194331983806,6000.0,-1.0,10.0
7000.0,0.4375,-1.1318156288729775E-13,7000.0,89.5,78.95555413032325,87.06896551724138,77.94117647058823,7000.0,-1.0,10.0
8000.0,0.484375,-1.2530815891093678E-13,8000.0,86.9,73.78972557242439,83.86699507389163,73.69477911646585,8000.0,-1.0,10.0
9000.0,0.546875,-1.4147695360912217E-13,9000.0,87.8,75.62252478709672,84.93827160493827,75.69721115537848,9000.0,-1.0,10.0
10000.0,0.609375,-1.5764574830730757E-13,10000.0,86.6,73.13153916178422,83.2080200501253,73.14629258517033,10000.0,-1.0,10.0
11000.0,0.65625,-1.697723443309466E-13,11000.0,85.9,71.78510253413802,82.06106870229007,71.57258064516128,11000.0,-1.0,10.0
12000.0,0.71875,-1.85941139029132E-13,12000.0,84.5,69.04259738599686,81.45933014354067,68.17248459958931,12000.0,-1.0,10.0
13000.0,0.765625,-1.9806773505277105E-13,13000.0,87.5,74.9424679063129,84.17721518987342,74.64503042596348,13000.0,-1.0,10.0
14000.0,0.828125,-2.1423652975095645E-13,14000.0,88.3,76.60205901880634,86.13744075829383,76.6,14000.0,-1.0,10.0
15000.0,0.890625,-2.3040532444914184E-13,15000.0,87.5,75.00499900019996,84.90338164251207,74.74747474747475,15000.0,-1.0,10.0
16000.0,0.9375,-2.4253192047278086E-13,16000.0,85.6,71.22900116682383,82.65060240963855,70.96774193548386,16000.0,-1.0,10.0
17000.0,1.0,-2.5870071517096625E-13,17000.0,86.9,73.78930603686304,84.2548076923077,73.95626242544732,17000.0,-1.0,10.0
18000.0,1.0625,-2.7486950986915165E-13,18000.0,88.9,77.79307143828873,86.46341463414635,77.84431137724552,18000.0,-1.0,10.0
19000.0,1.109375,-2.8699610589279067E-13,19000.0,87.1,74.20557159653515,83.95522388059702,72.95597484276729,19000.0,-1.0,10.0
20000.0,1.171875,-3.0316490059097606E-13,20000.0,86.8,73.49312427708522,83.68355995055626,72.38493723849372,20000.0,-1.0,10.0
21000.0,1.21875,-3.152914966146151E-13,21000.0,86.3,72.63983639820421,82.875,72.43460764587525,21000.0,-1.0,10.0
22000.0,1.28125,-3.314602913128005E-13,22000.0,88.2,76.41462293378106,84.71502590673575,75.7201646090535,22000.0,-1.0,10.0
23000.0,1.328125,-3.435868873364395E-13,23000.0,90.10000000000001,80.08689355539464,86.95652173913044,78.75536480686695,23000.0,-1.0,10.0
24000.0,1.390625,-3.597556820346249E-13,24000.0,90.4,80.80982536941086,86.38297872340425,80.3680981595092,24000.0,-1.0,10.0
25000.0,1.421875,-3.678400793837176E-13,25000.0,98.2,96.39978398703923,97.16981132075472,96.28099173553719,25000.0,-1.0,10.0
26000.0,1.46875,-3.799666754073566E-13,26000.0,96.8,93.60023039170589,95.30791788856304,93.4020618556701,26000.0,-1.0,10.0
27000.0,1.53125,-3.96135470105542E-13,27000.0,94.0,88.00230355771691,91.45299145299145,87.39495798319327,27000.0,-1.0,10.0
28000.0,1.5625,-4.042198674546347E-13,28000.0,88.3,76.45306713894703,85.33834586466166,76.73956262425448,28000.0,-1.0,10.0
29000.0,1.625,-4.203886621528201E-13,29000.0,87.7,75.30675831941412,84.02597402597402,74.58677685950413,29000.0,-1.0,10.0
30000.0,1.6875,-4.365574568510055E-13,30000.0,87.7,75.41946778151704,84.83353884093712,74.949083503055,30000.0,-1.0,10.0
31000.0,1.734375,-4.486840528746445E-13,31000.0,88.1,76.2,84.87928843710293,76.05633802816901,31000.0,-1.0,10.0
32000.0,1.796875,-4.648528475728299E-13,32000.0,86.6,73.1922793764604,83.578431372549,71.12068965517241,32000.0,-1.0,10.0
33000.0,1.84375,-4.769794435964689E-13,33000.0,90.5,80.96985625230366,88.30049261083744,80.0420168067227,33000.0,-1.0,10.0
34000.0,1.90625,-4.931482382946543E-13,34000.0,85.5,71.00463925771876,82.03221809169764,70.88353413654617,34000.0,-1.0,10.0
35000.0,1.96875,-5.093170329928397E-13,35000.0,85.6,71.2,82.15613382899629,69.42675159235668,35000.0,-1.0,10.0
36000.0,2.015625,-5.214436290164787E-13,36000.0,87.7,75.3239979135738,85.49528301886792,74.48132780082987,36000.0,-1.0,10.0
37000.0,2.078125,-5.376124237146641E-13,37000.0,85.2,70.34127572593735,82.0388349514563,69.85743380855396,37000.0,-1.0,10.0
38000.0,2.140625,-5.537812184128495E-13,38000.0,87.5,75.02956499504587,84.71882640586797,74.54175152749491,38000.0,-1.0,10.0
39000.0,2.1875,-5.659078144364885E-13,39000.0,87.6,75.2,84.49999999999999,74.89878542510121,39000.0,-1.0,10.0
40000.0,2.25,-5.820766091346739E-13,40000.0,88.7,77.36468891470695,86.25304136253041,76.93877551020408,40000.0,-1.0,10.0
41000.0,2.3125,-5.982454038328593E-13,41000.0,87.4,74.80352750614914,84.61538461538463,75.14792899408283,41000.0,-1.0,10.0
42000.0,2.359375,-6.103719998564983E-13,42000.0,92.80000000000001,85.60506701641023,91.4691943127962,84.68085106382979,42000.0,-1.0,10.0
43000.0,2.421875,-6.265407945546837E-13,43000.0,86.3,72.5881580842924,83.10727496917386,72.43460764587525,43000.0,-1.0,10.0
44000.0,2.46875,-6.386673905783227E-13,44000.0,88.7,77.39692598193355,86.01485148514851,76.65289256198348,44000.0,-1.0,10.0
45000.0,2.53125,-6.548361852765081E-13,45000.0,88.2,76.38554795534867,85.21303258145362,76.25754527162978,45000.0,-1.0,10.0
46000.0,2.578125,-6.669627813001471E-13,46000.0,86.2,72.39999999999999,82.3303457106274,72.34468937875751,46000.0,-1.0,10.0
47000.0,2.640625,-6.831315759983325E-13,47000.0,85.5,71.01993828246165,81.94271481942714,68.95074946466809,47000.0,-1.0,10.0
48000.0,2.6875,-6.952581720219715E-13,48000.0,91.0,81.99135585080839,88.07947019867551,80.76923076923077,48000.0,-1.0,10.0
49000.0,2.75,-7.114269667201569E-13,49000.0,96.6,93.20065273733721,94.94047619047619,92.9460580912863,49000.0,-1.0,10.0
50000.0,2.796875,-7.23553562743796E-13,50000.0,95.6,91.18730972600544,93.20987654320987,90.98360655737704,50000.0,-1.0,10.0
51000.0,2.84375,-7.35680158767435E-13,51000.0,97.39999999999999,94.79783589973428,96.28571428571429,94.75806451612902,51000.0,-1.0,10.0
52000.0,2.90625,-7.518489534656204E-13,52000.0,91.9,83.80025919585287,88.4450784593438,83.70221327967808,52000.0,-1.0,10.0
53000.0,2.953125,-7.639755494892594E-13,53000.0,92.30000000000001,84.58446113682592,90.03880983182407,83.92484342379959,53000.0,-1.0,10.0
54000.0,3.0,-7.761021455128984E-13,54000.0,88.4,76.81669198177312,84.65608465608466,75.93360995850622,54000.0,-1.0,10.0
55000.0,3.046875,-7.882287415365374E-13,55000.0,86.7,73.404042585527,83.64083640836408,72.74590163934425,55000.0,-1.0,10.0
56000.0,3.09375,-8.003553375601764E-13,56000.0,92.2,84.39831501802195,90.11406844106465,83.36886993603412,56000.0,-1.0,10.0
57000.0,3.15625,-8.165241322583618E-13,57000.0,91.10000000000001,82.15732031018196,88.76262626262627,81.79959100204499,57000.0,-1.0,10.0
58000.0,3.203125,-8.286507282820009E-13,58000.0,86.9,73.8,83.92638036809815,73.8,58000.0,-1.0,10.0
59000.0,3.265625,-8.448195229801863E-13,59000.0,90.4,80.80644903312488,87.78625954198473,79.57446808510639,59000.0,-1.0,10.0
60000.0,3.328125,-8.609883176783717E-13,60000.0,85.2,70.36977717271617,81.56911581569118,68.17204301075267,60000.0,-1.0,10.0
61000.0,3.375,-8.731149137020107E-13,61000.0,87.8,75.58124639723307,84.93827160493827,74.94866529774127,61000.0,-1.0,10.0
62000.0,3.4375,-8.892837084001961E-13,62000.0,87.6,75.21437566211597,85.1497005988024,74.74541751527495,62000.0,-1.0,10.0
63000.0,3.484375,-9.014103044238351E-13,63000.0,91.4,82.81100095938599,89.34324659231724,82.19461697722568,63000.0,-1.0,10.0
64000.0,3.546875,-9.175790991220204E-13,64000.0,90.60000000000001,81.16768374530695,88.01020408163266,80.85539714867618,64000.0,-1.0,10.0
65000.0,3.59375,-9.297056951456595E-13,65000.0,85.39999999999999,70.7705367009946,82.57756563245823,70.02053388090349,65000.0,-1.0,10.0
66000.0,3.65625,-9.458744898438448E-13,66000.0,86.6,73.20900177540346,83.63858363858365,70.74235807860262,66000.0,-1.0,10.0
67000.0,3.71875,-9.6204328454203E-13,67000.0,88.8,77.62014187231492,86.15574783683562,76.17021276595744,67000.0,-1.0,10.0
68000.0,3.765625,-9.741698805656692E-13,68000.0,90.10000000000001,80.18430597032851,87.6558603491272,80.0,68000.0,-1.0,10.0
69000.0,3.828125,-9.903386752638545E-13,69000.0,89.60000000000001,79.15397197011,87.09677419354837,78.6008230452675,69000.0,-1.0,10.0
70000.0,3.859375,-9.984230726129472E-13,70000.0,87.7,75.43733525041935,85.03649635036497,74.375,70000.0,-1.0,10.0
71000.0,3.921875,-1.0145918673111325E-12,71000.0,86.6,73.19056307820352,83.855421686747,72.48459958932239,71000.0,-1.0,10.0
72000.0,3.96875,-1.0267184633347717E-12,72000.0,85.7,71.29551567706451,82.36744759556103,70.57613168724279,72000.0,-1.0,10.0
73000.0,4.03125,-1.042887258032957E-12,73000.0,88.4,76.79183072441501,85.08997429305913,76.51821862348179,73000.0,-1.0,10.0
74000.0,4.078125,-1.055013854056596E-12,74000.0,95.89999999999999,91.80367195496417,94.06657018813311,91.35021097046413,74000.0,-1.0,10.0
75000.0,4.125,-1.0671404500802352E-12,75000.0,96.89999999999999,93.79617844592268,95.37313432835822,93.62139917695472,75000.0,-1.0,10.0
76000.0,4.1875,-1.0833092447784205E-12,76000.0,96.8,93.59907826727049,95.0920245398773,93.72549019607843,76000.0,-1.0,10.0
77000.0,4.21875,-1.0913936421275132E-12,77000.0,95.6,91.20084471890698,93.61393323657474,91.0204081632653,77000.0,-1.0,10.0
78000.0,4.265625,-1.1035202381511524E-12,78000.0,87.8,75.5719566061839,83.88375165125495,73.36244541484716,78000.0,-1.0,10.0
79000.0,4.328125,-1.1196890328493377E-12,79000.0,85.8,71.55266363228412,82.07070707070707,70.60041407867494,79000.0,-1.0,10.0
80000.0,4.390625,-1.135857827547523E-12,80000.0,87.4,74.8025197480252,84.28927680798004,74.8,80000.0,-1.0,10.0
81000.0,4.4375,-1.147984423571162E-12,81000.0,87.7,75.33923587720143,85.1985559566787,74.58677685950413,81000.0,-1.0,10.0
82000.0,4.5,-1.1641532182693474E-12,82000.0,87.8,75.61316888880005,84.97536945812807,75.15274949083503,82000.0,-1.0,10.0
