learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.078125,-2.021099337273174E-14,1000.0,84.6,69.16200759335501,81.31067961165047,68.1159420289855,1000.0,-1.0
2000.0,0.140625,-3.637978807091713E-14,2000.0,87.9,75.80116154424587,85.31553398058253,75.40650406504065,2000.0,-1.0
3000.0,0.1875,-4.8506384094556176E-14,3000.0,89.2,78.4,87.14285714285714,78.18181818181819,3000.0,-1.0
4000.0,0.265625,-6.871737746728791E-14,4000.0,88.2,76.40151030334059,85.46798029556649,76.11336032388664,4000.0,-1.0
5000.0,0.3125,-8.084397349092696E-14,5000.0,88.9,77.80106554885366,86.4963503649635,77.1604938271605,5000.0,-1.0
6000.0,0.375,-9.701276818911235E-14,6000.0,88.1,76.20285565732112,85.19900497512438,76.05633802816901,6000.0,-1.0
7000.0,0.453125,-1.1722376156184408E-13,7000.0,89.8,79.60000000000001,87.68115942028984,79.01234567901236,7000.0,-1.0
8000.0,0.515625,-1.3339255626002948E-13,8000.0,89.9,79.80032319482889,87.83132530120483,79.71887550200803,8000.0,-1.0
9000.0,0.578125,-1.4956135095821487E-13,9000.0,88.9,77.79786859538515,86.4963503649635,76.82672233820459,9000.0,-1.0
10000.0,0.640625,-1.6573014565640026E-13,10000.0,88.2,76.40047199056019,85.0632911392405,76.16161616161617,10000.0,-1.0
11000.0,0.703125,-1.8189894035458566E-13,11000.0,87.7,75.4,84.6824408468244,74.53416149068323,11000.0,-1.0
12000.0,0.765625,-1.9806773505277105E-13,12000.0,89.0,78.0,86.36926889714995,78.38899803536346,12000.0,-1.0
13000.0,0.828125,-2.1423652975095645E-13,13000.0,89.0,78.00281563959814,86.66666666666669,77.59674134419552,13000.0,-1.0
14000.0,0.890625,-2.3040532444914184E-13,14000.0,90.5,81.00151987840974,88.70392390011891,80.69105691056912,14000.0,-1.0
15000.0,0.953125,-2.4657411914732723E-13,15000.0,90.8,81.59293168576734,89.26487747957992,80.9917355371901,15000.0,-1.0
16000.0,1.015625,-2.6274291384551263E-13,16000.0,89.8,79.60065277911107,87.65133171912832,79.60000000000001,16000.0,-1.0
17000.0,1.078125,-2.78911708543698E-13,17000.0,91.0,81.99971199539193,89.37426210153482,81.51950718685832,17000.0,-1.0
18000.0,1.140625,-2.950805032418834E-13,18000.0,90.2,80.39835346169079,88.13559322033898,79.66804979253112,18000.0,-1.0
19000.0,1.203125,-3.112492979400688E-13,19000.0,90.5,81.0,88.78394332939787,80.96192384769539,19000.0,-1.0
20000.0,1.265625,-3.274180926382542E-13,20000.0,89.8,79.60000000000001,87.57612667478686,78.70563674321504,20000.0,-1.0
21000.0,1.328125,-3.435868873364396E-13,21000.0,88.1,76.1961913906225,85.19900497512438,76.34194831013916,21000.0,-1.0
22000.0,1.390625,-3.59755682034625E-13,22000.0,86.9,73.79580732917267,83.2051282051282,73.64185110663983,22000.0,-1.0
23000.0,1.453125,-3.759244767328104E-13,23000.0,89.4,78.79796460460204,87.08891595615104,78.62903225806453,23000.0,-1.0
24000.0,1.53125,-3.961354701055421E-13,24000.0,88.8,77.60403127437063,86.20689655172413,76.90721649484537,24000.0,-1.0
25000.0,1.59375,-4.123042648037275E-13,25000.0,89.9,79.8008079676813,87.78718258766627,79.80000000000001,25000.0,-1.0
26000.0,1.671875,-4.325152581764592E-13,26000.0,83.0,65.74224464873708,78.98640296662546,64.36058700209642,26000.0,-1.0
27000.0,1.796875,-4.6485284757283E-13,27000.0,83.5,66.91211858696697,80.02421307506053,66.46341463414633,27000.0,-1.0
28000.0,1.875,-4.850638409455617E-13,28000.0,85.6,71.21370227771581,82.39608801955988,70.49180327868852,28000.0,-1.0
29000.0,1.9375,-5.012326356437471E-13,29000.0,86.4,72.80163190208587,82.78481012658227,71.60751565762004,29000.0,-1.0
30000.0,2.0,-5.174014303419325E-13,30000.0,89.1,78.20383612484203,87.08530805687204,78.33001988071571,30000.0,-1.0
31000.0,2.0625,-5.335702250401179E-13,31000.0,89.0,77.99788779722854,86.8421052631579,77.68762677484787,31000.0,-1.0
32000.0,2.125,-5.497390197383033E-13,32000.0,87.9,75.8,85.31553398058253,75.15400410677618,32000.0,-1.0
33000.0,2.1875,-5.659078144364887E-13,33000.0,87.0,74.00800553429544,83.83084577114427,73.41513292433538,33000.0,-1.0
34000.0,2.25,-5.820766091346741E-13,34000.0,89.1,78.2,86.67481662591688,77.75510204081633,34000.0,-1.0
35000.0,2.328125,-6.022876025074059E-13,35000.0,88.3,76.60074877603917,85.69682151589242,76.36363636363637,35000.0,-1.0
36000.0,2.390625,-6.184563972055912E-13,36000.0,89.0,77.99788779722854,86.48648648648648,77.45901639344262,36000.0,-1.0
37000.0,2.4375,-6.305829932292303E-13,37000.0,89.8,79.59926557356066,87.74038461538461,79.55911823647295,37000.0,-1.0
38000.0,2.5,-6.467517879274157E-13,38000.0,89.4,78.7932138284251,87.41092636579573,78.41140529531569,38000.0,-1.0
39000.0,2.5625,-6.629205826256011E-13,39000.0,89.0,78.00290361672259,86.48648648648648,77.27272727272727,39000.0,-1.0
40000.0,2.625,-6.790893773237864E-13,40000.0,89.60000000000001,79.20133111480865,87.46987951807229,79.15831663326654,40000.0,-1.0
41000.0,2.6875,-6.952581720219718E-13,41000.0,87.2,74.4005119897602,83.65261813537676,73.55371900826447,41000.0,-1.0
42000.0,2.765625,-7.154691653947036E-13,42000.0,89.0,78.00035199436809,86.53610771113833,77.68762677484787,42000.0,-1.0
43000.0,2.8125,-7.275957614183426E-13,43000.0,89.60000000000001,79.20174705324753,87.58949880668257,78.86178861788619,43000.0,-1.0
44000.0,2.875,-7.43764556116528E-13,44000.0,91.3,82.60125270980491,89.76470588235294,82.31707317073172,44000.0,-1.0
45000.0,2.9375,-7.599333508147134E-13,45000.0,89.9,79.79822224355743,87.72782503037668,79.71887550200803,45000.0,-1.0
46000.0,3.0,-7.761021455128988E-13,46000.0,87.9,75.8,84.77987421383648,75.75150300601202,46000.0,-1.0
47000.0,3.078125,-7.963131388856306E-13,47000.0,88.7,77.40054238698272,86.20268620268621,76.93877551020408,47000.0,-1.0
48000.0,3.140625,-8.12481933583816E-13,48000.0,89.8,79.60000000000001,87.515299877601,79.8019801980198,48000.0,-1.0
49000.0,3.203125,-8.286507282820014E-13,49000.0,87.9,75.79477167068087,84.91271820448878,75.3061224489796,49000.0,-1.0
50000.0,3.265625,-8.448195229801868E-13,50000.0,89.4,78.80101755115754,87.10462287104622,78.49898580121705,50000.0,-1.0
51000.0,3.34375,-8.650305163529185E-13,51000.0,82.69999999999999,65.51806614153139,79.5749704840614,64.69387755102039,51000.0,-1.0
52000.0,3.4375,-8.892837084001966E-13,52000.0,83.0,66.23822309782176,80.2784222737819,64.73029045643153,52000.0,-1.0
53000.0,3.53125,-9.135369004474746E-13,53000.0,84.7,69.3130946841455,81.25,69.64285714285714,53000.0,-1.0
54000.0,3.609375,-9.337478938202063E-13,54000.0,87.8,75.5526699690601,85.6470588235294,74.47698744769873,54000.0,-1.0
55000.0,3.671875,-9.499166885183916E-13,55000.0,88.1,76.20171347662968,85.27227722772277,76.10441767068274,55000.0,-1.0
56000.0,3.75,-9.701276818911232E-13,56000.0,88.7,77.39023258047477,86.21951219512195,76.89161554192229,56000.0,-1.0
57000.0,3.796875,-9.822542779147624E-13,57000.0,90.8,81.59823343040932,89.25233644859813,81.45161290322581,57000.0,-1.0
58000.0,3.859375,-9.984230726129477E-13,58000.0,89.5,79.00167986561075,87.22627737226277,78.48360655737704,58000.0,-1.0
59000.0,3.953125,-1.0226762646602257E-12,59000.0,89.3,78.5993151780857,87.046004842615,78.16326530612245,59000.0,-1.0
60000.0,4.015625,-1.038845059358411E-12,60000.0,88.1,76.20095196192153,84.97474747474747,75.564681724846,60000.0,-1.0
61000.0,4.078125,-1.0550138540565963E-12,61000.0,88.7,77.3994575869821,86.04938271604938,77.079107505071,61000.0,-1.0
62000.0,4.140625,-1.0711826487547816E-12,62000.0,88.5,76.99613535073892,85.80246913580247,76.72064777327935,62000.0,-1.0
63000.0,4.21875,-1.0913936421275132E-12,63000.0,88.4,76.79257362355953,85.74938574938574,75.57894736842105,63000.0,-1.0
64000.0,4.28125,-1.1075624368256985E-12,64000.0,89.9,79.80000000000001,87.772397094431,79.5959595959596,64000.0,-1.0
65000.0,4.328125,-1.1196890328493377E-12,65000.0,89.7,79.39571430857619,87.37745098039215,78.85010266940452,65000.0,-1.0
