learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
100.0,0.0,0.0,100.0,72.0,43.548387096774185,65.0,37.777777777777764,100.0,-1.0,3.0
200.0,0.0,0.0,200.0,72.0,43.7468608739327,64.3312101910828,40.42553191489361,200.0,-1.0,3.0
300.0,0.0,0.0,300.0,75.66666666666667,51.05926521855726,68.80341880341881,47.85714285714286,300.0,-1.0,3.0
400.0,0.0,0.0,400.0,77.75,55.294354028531245,72.18749999999999,52.910052910052904,400.0,-1.0,3.0
500.0,0.0,0.0,500.0,79.80000000000001,59.52617574455809,75.4854368932039,58.09128630705395,500.0,-1.0,3.0
600.0,0.0,0.0,600.0,80.66666666666666,61.25757035981475,76.37474541751527,59.86159169550172,600.0,-1.0,3.0
700.0,0.0,0.0,700.0,81.0,61.92914158597227,76.74825174825175,60.29850746268658,700.0,-1.0,3.0
800.0,0.0,0.0,800.0,81.75,63.45546134351241,77.91225416036309,61.979166666666664,800.0,-1.0,3.0
900.0,0.0,0.0,900.0,82.22222222222221,64.41158007641624,78.43665768194069,62.790697674418595,900.0,-1.0,3.0
1000.0,0.0,0.0,1000.0,82.6,65.18440261237033,78.88349514563106,63.97515527950309,1000.0,-1.0,3.0
1100.0,0.0,0.0,1100.0,84.6,69.20295651617444,81.49038461538461,68.44262295081967,1100.0,-1.0,3.0
1200.0,0.0,0.0,1200.0,86.0,72.00503909296326,83.3134684147795,71.13402061855669,1200.0,-1.0,3.0
1300.0,0.0,0.0,1300.0,86.1,72.2077818210901,83.6470588235294,71.63265306122449,1300.0,-1.0,3.0
1400.0,0.0,0.0,1400.0,85.9,71.81736050592833,83.19427890345649,71.16564417177914,1400.0,-1.0,3.0
1500.0,0.0,0.0,1500.0,85.6,71.2161189733749,82.56658595641645,70.61224489795917,1500.0,-1.0,3.0
1600.0,0.015625,-4.042198674546348E-15,1600.0,85.8,71.61997953440778,82.9121540312876,71.13821138211381,1600.0,-1.0,3.0
1700.0,0.015625,-4.042198674546348E-15,1700.0,85.9,71.80225581953444,83.05288461538461,71.7434869739479,1700.0,-1.0,3.0
1800.0,0.015625,-4.042198674546348E-15,1800.0,85.7,71.40480399292917,82.66666666666667,71.22736418511066,1800.0,-1.0,3.0
1900.0,0.015625,-4.042198674546348E-15,1900.0,85.3,70.6,82.00734394124846,70.54108216432866,1900.0,-1.0,3.0
2000.0,0.015625,-4.042198674546348E-15,2000.0,85.6,71.20311006411308,82.52427184466018,70.73170731707317,2000.0,-1.0,3.0
2100.0,0.015625,-4.042198674546348E-15,2100.0,85.0,69.9989199611186,81.70731707317071,69.63562753036436,2100.0,-1.0,3.0
2200.0,0.015625,-4.042198674546348E-15,2200.0,85.39999999999999,70.79544408927792,82.23844282238441,70.8,2200.0,-1.0,3.0
2300.0,0.015625,-4.042198674546348E-15,2300.0,86.0,71.99876794578961,82.92682926829266,72.0,2300.0,-1.0,3.0
2400.0,0.015625,-4.042198674546348E-15,2400.0,86.3,72.6,83.39393939393939,72.81746031746032,2400.0,-1.0,3.0
2500.0,0.015625,-4.042198674546348E-15,2500.0,86.9,73.80314362276526,84.29256594724221,73.74749498997996,2500.0,-1.0,3.0
2600.0,0.015625,-4.042198674546348E-15,2600.0,87.4,74.80352750614914,84.96420047732697,74.54545454545455,2600.0,-1.0,3.0
2700.0,0.015625,-4.042198674546348E-15,2700.0,88.3,76.6056146524834,86.10451306413302,75.97535934291582,2700.0,-1.0,3.0
2800.0,0.015625,-4.042198674546348E-15,2800.0,88.2,76.41509433962264,85.91885441527445,75.7201646090535,2800.0,-1.0,3.0
2900.0,0.015625,-4.042198674546348E-15,2900.0,89.1,78.21185275210286,87.23653395784542,77.57201646090536,2900.0,-1.0,3.0
3000.0,0.015625,-4.042198674546348E-15,3000.0,88.9,77.80958625873623,86.78571428571429,77.57575757575758,3000.0,-1.0,3.0
3100.0,0.015625,-4.042198674546348E-15,3100.0,88.7,77.4158992069583,86.45083932853717,77.079107505071,3100.0,-1.0,3.0
3200.0,0.015625,-4.042198674546348E-15,3200.0,88.4,76.81335550722783,86.02409638554217,76.47058823529413,3200.0,-1.0,3.0
3300.0,0.015625,-4.042198674546348E-15,3300.0,88.0,76.01151447305293,85.45454545454547,75.65922920892496,3300.0,-1.0,3.0
3400.0,0.015625,-4.042198674546348E-15,3400.0,88.3,76.61010443488414,85.90361445783132,76.07361963190185,3400.0,-1.0,3.0
3500.0,0.015625,-4.042198674546348E-15,3500.0,87.6,75.21199739326165,84.87804878048779,74.64212678936605,3500.0,-1.0,3.0
3600.0,0.015625,-4.042198674546348E-15,3600.0,87.1,74.21134700731677,84.15233415233415,73.61963190184049,3600.0,-1.0,3.0
3700.0,0.03125,-8.084397349092695E-15,3700.0,86.6,73.20428731402974,83.45679012345678,72.98387096774194,3700.0,-1.0,3.0
3800.0,0.03125,-8.084397349092695E-15,3800.0,87.2,74.40153590784553,84.35207823960879,74.24547283702213,3800.0,-1.0,3.0
3900.0,0.03125,-8.084397349092695E-15,3900.0,86.4,72.80163190208587,83.14745972738538,72.63581488933602,3900.0,-1.0,3.0
4000.0,0.03125,-8.084397349092695E-15,4000.0,86.6,73.20171509023422,83.49753694581278,72.8744939271255,4000.0,-1.0,3.0
4100.0,0.03125,-8.084397349092695E-15,4100.0,86.8,73.6,83.8235294117647,73.22515212981745,4100.0,-1.0,3.0
4200.0,0.03125,-8.084397349092695E-15,4200.0,86.6,73.20085757255768,83.578431372549,72.70875763747455,4200.0,-1.0,3.0
4300.0,0.03125,-8.084397349092695E-15,4300.0,86.9,73.8044008606554,84.004884004884,72.98969072164948,4300.0,-1.0,3.0
4400.0,0.03125,-8.084397349092695E-15,4400.0,86.7,73.4044680493677,83.58024691358025,72.57731958762886,4400.0,-1.0,3.0
4500.0,0.03125,-8.084397349092695E-15,4500.0,87.4,74.80211662220373,84.61538461538463,74.02061855670104,4500.0,-1.0,3.0
4600.0,0.03125,-8.084397349092695E-15,4600.0,87.5,75.00419929451851,84.79318734793188,74.2798353909465,4600.0,-1.0,3.0
4700.0,0.03125,-8.084397349092695E-15,4700.0,87.7,75.40550916594682,85.14492753623189,74.58677685950413,4700.0,-1.0,3.0
4800.0,0.03125,-8.084397349092695E-15,4800.0,87.1,74.20577790574912,84.30656934306569,73.34710743801652,4800.0,-1.0,3.0
4900.0,0.03125,-8.084397349092695E-15,4900.0,87.4,74.80120954194199,84.67153284671531,74.23312883435584,4900.0,-1.0,3.0
5000.0,0.03125,-8.084397349092695E-15,5000.0,87.4,74.8016126967874,84.67153284671531,74.07407407407408,5000.0,-1.0,3.0
5100.0,0.03125,-8.084397349092695E-15,5100.0,86.9,73.80921915485749,83.98533007334963,73.15573770491804,5100.0,-1.0,3.0
5200.0,0.03125,-8.084397349092695E-15,5200.0,86.6,73.20160790352578,83.53808353808353,72.65306122448979,5200.0,-1.0,3.0
5300.0,0.03125,-8.084397349092695E-15,5300.0,86.9,73.80041919329291,84.004884004884,73.58870967741935,5300.0,-1.0,3.0
5400.0,0.03125,-8.084397349092695E-15,5400.0,87.1,74.1979358348668,84.34466019417476,73.93939393939394,5400.0,-1.0,3.0
5500.0,0.03125,-8.084397349092695E-15,5500.0,87.0,74.0005199896002,84.14634146341461,74.0,5500.0,-1.0,3.0
5600.0,0.03125,-8.084397349092695E-15,5600.0,87.4,74.8004031935489,84.59657701711491,74.74949899799599,5600.0,-1.0,3.0
5700.0,0.046875,-1.2126596023639042E-14,5700.0,87.3,74.60142232035007,84.30160692212608,74.1869918699187,5700.0,-1.0,3.0
5800.0,0.046875,-1.2126596023639042E-14,5800.0,87.0,73.999895999584,83.87096774193547,73.89558232931726,5800.0,-1.0,3.0
5900.0,0.046875,-1.2126596023639042E-14,5900.0,86.9,73.8,83.66583541147132,73.53535353535354,5900.0,-1.0,3.0
6000.0,0.046875,-1.2126596023639042E-14,6000.0,86.4,72.8013055373342,83.08457711442784,72.63581488933602,6000.0,-1.0,3.0
6100.0,0.046875,-1.2126596023639042E-14,6100.0,86.6,73.20075037898938,83.16582914572864,72.98387096774194,6100.0,-1.0,3.0
6200.0,0.046875,-1.2126596023639042E-14,6200.0,87.4,74.8,84.32835820895521,74.4421906693712,6200.0,-1.0,3.0
6300.0,0.046875,-1.2126596023639042E-14,6300.0,86.8,73.59588095742936,83.29113924050633,73.00613496932516,6300.0,-1.0,3.0
6400.0,0.046875,-1.2126596023639042E-14,6400.0,87.1,74.19298049069347,83.75314861460957,73.72708757637474,6400.0,-1.0,3.0
6500.0,0.046875,-1.2126596023639042E-14,6500.0,86.9,73.79371049051773,83.41772151898735,72.87784679089026,6500.0,-1.0,3.0
6600.0,0.046875,-1.2126596023639042E-14,6600.0,86.7,73.39680761691403,83.24937027707809,72.74590163934425,6600.0,-1.0,3.0
6700.0,0.046875,-1.2126596023639042E-14,6700.0,87.4,74.79879034193641,84.38661710037177,74.49392712550608,6700.0,-1.0,3.0
6800.0,0.046875,-1.2126596023639042E-14,6800.0,88.3,76.60205901880634,85.62653562653563,76.07361963190185,6800.0,-1.0,3.0
6900.0,0.046875,-1.2126596023639042E-14,6900.0,88.9,77.80088796448142,86.59420289855073,77.34693877551021,6900.0,-1.0,3.0
7000.0,0.046875,-1.2126596023639042E-14,7000.0,89.4,78.8,87.19806763285023,78.18930041152264,7000.0,-1.0,3.0
7100.0,0.046875,-1.2126596023639042E-14,7100.0,90.2,80.40117592944424,88.4160756501182,79.79381443298969,7100.0,-1.0,3.0
7200.0,0.046875,-1.2126596023639042E-14,7200.0,90.3,80.6037240849757,88.56132075471699,79.95867768595042,7200.0,-1.0,3.0
7300.0,0.046875,-1.2126596023639042E-14,7300.0,90.9,81.80509457351943,89.40628637951106,81.42857142857144,7300.0,-1.0,3.0
7400.0,0.046875,-1.2126596023639042E-14,7400.0,90.9,81.80436695193154,89.36915887850468,81.35245901639345,7400.0,-1.0,3.0
7500.0,0.046875,-1.2126596023639042E-14,7500.0,90.5,81.00547042451774,88.96631823461092,80.69105691056912,7500.0,-1.0,3.0
7600.0,0.0625,-1.616879469818539E-14,7600.0,89.7,79.40741333120077,87.88235294117648,79.0224032586558,7600.0,-1.0,3.0
7700.0,0.0625,-1.616879469818539E-14,7700.0,88.7,77.40632622865597,86.48325358851675,77.079107505071,7700.0,-1.0,3.0
7800.0,0.0625,-1.616879469818539E-14,7800.0,88.6,77.19899675585727,86.29807692307693,77.06237424547284,7800.0,-1.0,3.0
7900.0,0.0625,-1.616879469818539E-14,7900.0,88.3,76.60131032662171,85.83535108958837,76.41129032258065,7900.0,-1.0,3.0
