learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.03125,-8.084397349092695E-15,1000.0,83.39999999999999,66.8,79.85436893203882,65.63146997929606,1000.0,-1.0,10.0
2000.0,0.046875,-1.2126596023639042E-14,2000.0,87.5,75.00539883385188,84.83009708737865,74.59349593495935,2000.0,-1.0,10.0
3000.0,0.078125,-2.0210993372731736E-14,3000.0,88.7,77.4075910494074,86.54761904761905,77.17171717171716,3000.0,-1.0,10.0
4000.0,0.09375,-2.4253192047278085E-14,4000.0,87.4,74.80241896777909,84.48275862068965,74.49392712550608,4000.0,-1.0,10.0
5000.0,0.109375,-2.8295390721824433E-14,5000.0,87.7,75.40196784257259,85.03649635036497,74.69135802469135,5000.0,-1.0,10.0
6000.0,0.140625,-3.637978807091713E-14,6000.0,87.0,74.00623850275933,83.83084577114427,73.8430583501006,6000.0,-1.0,10.0
7000.0,0.171875,-4.446418542000983E-14,7000.0,89.4,78.80712080740871,87.19806763285023,78.18930041152264,7000.0,-1.0,10.0
8000.0,0.203125,-5.2548582769102524E-14,8000.0,88.9,77.80071037726793,86.62650602409639,77.71084337349397,8000.0,-1.0,10.0
9000.0,0.21875,-5.659078144364887E-14,9000.0,88.8,77.59569837408783,86.37469586374695,76.61795407098121,9000.0,-1.0,10.0
10000.0,0.25,-6.467517879274156E-14,10000.0,87.7,75.39606337013922,84.43037974683546,75.15151515151514,10000.0,-1.0,10.0
11000.0,0.28125,-7.275957614183426E-14,11000.0,87.3,74.57559256886611,84.18430884184309,73.70600414078675,11000.0,-1.0,10.0
12000.0,0.296875,-7.680177481638061E-14,12000.0,89.0,78.00211179726747,86.36926889714995,78.38899803536346,12000.0,-1.0,10.0
13000.0,0.3125,-8.084397349092696E-14,13000.0,88.8,77.60859829825347,86.42424242424244,77.18940936863544,13000.0,-1.0,10.0
14000.0,0.34375,-8.892837084001965E-14,14000.0,90.5,81.0009119562261,88.70392390011891,80.69105691056912,14000.0,-1.0,10.0
15000.0,0.359375,-9.2970569514566E-14,15000.0,90.9,81.79125980470626,89.38156359393233,81.19834710743802,15000.0,-1.0,10.0
16000.0,0.375,-9.701276818911235E-14,16000.0,89.9,79.80016159870722,87.772397094431,79.80000000000001,16000.0,-1.0,10.0
17000.0,0.40625,-1.0509716553820505E-13,17000.0,91.2,82.39943678197703,89.61038961038962,81.93018480492815,17000.0,-1.0,10.0
18000.0,0.421875,-1.091393642127514E-13,18000.0,89.8,79.60399761646718,87.65133171912832,78.83817427385893,18000.0,-1.0,10.0
19000.0,0.4375,-1.1318156288729775E-13,19000.0,90.7,81.40148788096953,89.02007083825266,81.3627254509018,19000.0,-1.0,10.0
20000.0,0.46875,-1.2126596023639043E-13,20000.0,90.3,80.60124152054269,88.18514007308161,79.74947807933195,20000.0,-1.0,10.0
21000.0,0.484375,-1.2530815891093678E-13,21000.0,88.1,76.19771498063814,85.19900497512438,76.34194831013916,21000.0,-1.0,10.0
22000.0,0.5,-1.2935035758548313E-13,22000.0,86.3,72.59386102486957,82.43589743589743,72.43460764587525,22000.0,-1.0,10.0
23000.0,0.53125,-1.3743475493457582E-13,23000.0,89.3,78.59760293152833,86.96711327649209,78.42741935483872,23000.0,-1.0,10.0
24000.0,0.546875,-1.4147695360912217E-13,24000.0,88.9,77.8,86.33004926108374,77.11340206185568,24000.0,-1.0,10.0
25000.0,0.578125,-1.4956135095821487E-13,25000.0,89.8,79.60040799184016,87.66626360338576,79.60000000000001,25000.0,-1.0,10.0
