learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.03125,-8.084397349092695E-15,1000.0,84.3,68.61230397684108,80.94660194174757,67.49482401656314,1000.0,-1.0,9.0
2000.0,0.046875,-1.2126596023639042E-14,2000.0,86.0,72.0023518024486,83.00970873786406,71.54471544715447,2000.0,-1.0,9.0
3000.0,0.078125,-2.0210993372731736E-14,3000.0,89.0,78.00422318914768,86.90476190476191,77.77777777777779,3000.0,-1.0,9.0
4000.0,0.09375,-2.4253192047278085E-14,4000.0,87.0,74.00582269571616,83.99014778325122,73.68421052631578,4000.0,-1.0,9.0
5000.0,0.109375,-2.8295390721824433E-14,5000.0,87.2,74.40573311578207,84.42822384428223,73.66255144032921,5000.0,-1.0,9.0
6000.0,0.125,-3.233758939637078E-14,6000.0,87.2,74.40737067724496,84.07960199004974,74.24547283702213,6000.0,-1.0,9.0
7000.0,0.140625,-3.637978807091713E-14,7000.0,88.7,77.4088557285544,86.35265700483092,76.74897119341564,7000.0,-1.0,9.0
8000.0,0.15625,-4.042198674546348E-14,8000.0,88.3,76.60205901880634,85.90361445783132,76.50602409638554,8000.0,-1.0,9.0
9000.0,0.1875,-4.8506384094556176E-14,9000.0,88.3,76.60074877603917,85.76642335766424,75.5741127348643,9000.0,-1.0,9.0
10000.0,0.203125,-5.2548582769102524E-14,10000.0,87.9,75.79903196127844,84.68354430379746,75.55555555555556,10000.0,-1.0,9.0
11000.0,0.21875,-5.659078144364887E-14,11000.0,87.0,73.98282866692017,83.81070983810712,73.08488612836439,11000.0,-1.0,9.0
12000.0,0.234375,-6.063298011819522E-14,12000.0,89.3,78.60376573723025,86.74101610904586,78.97838899803537,12000.0,-1.0,9.0
13000.0,0.265625,-6.871737746728791E-14,13000.0,88.5,77.00662209283726,86.06060606060606,76.57841140529533,13000.0,-1.0,9.0
14000.0,0.28125,-7.275957614183426E-14,14000.0,90.0,80.00383926286153,88.10939357907253,79.67479674796748,14000.0,-1.0,9.0
15000.0,0.296875,-7.680177481638061E-14,15000.0,90.7,81.38391570316755,89.14819136522753,80.78512396694215,15000.0,-1.0,9.0
16000.0,0.3125,-8.084397349092696E-14,16000.0,89.5,79.00083996640134,87.28813559322035,79.0,16000.0,-1.0,9.0
17000.0,0.328125,-8.48861721654733E-14,17000.0,90.7,81.39925597023881,89.02007083825266,80.9034907597536,17000.0,-1.0,9.0
18000.0,0.34375,-8.892837084001965E-14,18000.0,90.10000000000001,80.19889113790373,88.01452784503633,79.46058091286308,18000.0,-1.0,9.0
19000.0,0.375,-9.701276818911235E-14,19000.0,90.2,80.40274361589378,88.42975206611571,80.36072144288578,19000.0,-1.0,9.0
20000.0,0.390625,-1.010549668636587E-13,20000.0,90.3,80.59875832053251,88.18514007308161,79.74947807933195,20000.0,-1.0,9.0
21000.0,0.40625,-1.0509716553820505E-13,21000.0,87.8,75.6,84.82587064676615,75.7455268389662,21000.0,-1.0,9.0
22000.0,0.421875,-1.091393642127514E-13,22000.0,86.8,73.59831029185867,83.07692307692308,73.44064386317908,22000.0,-1.0,9.0
23000.0,0.4375,-1.1318156288729775E-13,23000.0,89.1,78.1968603478901,86.72350791717417,78.0241935483871,23000.0,-1.0,9.0
24000.0,0.453125,-1.1722376156184408E-13,24000.0,87.7,75.39704764571749,84.85221674876847,74.63917525773196,24000.0,-1.0,9.0
25000.0,0.484375,-1.2530815891093678E-13,25000.0,89.8,79.6020397960204,87.66626360338576,79.60000000000001,25000.0,-1.0,9.0
26000.0,0.5,-1.2935035758548313E-13,26000.0,83.5,66.75237166415462,79.6044499381953,65.40880503144653,26000.0,-1.0,9.0
27000.0,0.515625,-1.3339255626002948E-13,27000.0,82.69999999999999,65.29895054398406,79.05569007263922,64.83739837398373,27000.0,-1.0,9.0
28000.0,0.53125,-1.3743475493457582E-13,28000.0,82.89999999999999,65.71937196285663,79.09535452322739,64.95901639344261,28000.0,-1.0,9.0
29000.0,0.546875,-1.4147695360912217E-13,29000.0,82.3,64.75648122336824,77.59493670886076,63.048016701461364,29000.0,-1.0,9.0
30000.0,0.578125,-1.4956135095821487E-13,30000.0,85.1,70.1661086994826,82.34597156398104,70.37773359840955,30000.0,-1.0,9.0
31000.0,0.59375,-1.5360354963276122E-13,31000.0,84.7,69.34482067721899,81.69856459330144,68.9655172413793,31000.0,-1.0,9.0
32000.0,0.609375,-1.5764574830730757E-13,32000.0,84.8,69.51280662695308,81.55339805825241,68.78850102669404,32000.0,-1.0,9.0
33000.0,0.625,-1.6168794698185392E-13,33000.0,85.9,71.77018931992184,82.46268656716418,71.16564417177914,33000.0,-1.0,9.0
34000.0,0.640625,-1.6573014565640026E-13,34000.0,87.7,75.40531245251026,84.96332518337408,74.89795918367346,34000.0,-1.0,9.0
35000.0,0.671875,-1.7381454300549296E-13,35000.0,86.4,72.79477659710665,83.37408312958433,72.52525252525253,35000.0,-1.0,9.0
36000.0,0.6875,-1.778567416800393E-13,36000.0,88.9,77.79467072097303,86.36363636363636,77.25409836065575,36000.0,-1.0,9.0
37000.0,0.703125,-1.8189894035458566E-13,37000.0,88.5,77.00165588077658,86.17788461538461,76.95390781563127,37000.0,-1.0,9.0
38000.0,0.71875,-1.85941139029132E-13,38000.0,89.3,78.60616142550946,87.29216152019002,78.20773930753563,38000.0,-1.0,9.0
39000.0,0.75,-1.940255363782247E-13,39000.0,88.1,76.2104673943465,85.38083538083538,75.41322314049587,39000.0,-1.0,9.0
40000.0,0.765625,-1.9806773505277105E-13,40000.0,90.0,79.99871991807476,87.95180722891567,79.95991983967936,40000.0,-1.0,9.0
41000.0,0.78125,-2.021099337273174E-13,41000.0,86.5,73.00539892021595,82.75862068965517,72.10743801652893,41000.0,-1.0,9.0
42000.0,0.796875,-2.0615213240186375E-13,42000.0,88.7,77.40090396384144,86.16891064871481,77.079107505071,42000.0,-1.0,9.0
43000.0,0.8125,-2.101943310764101E-13,43000.0,90.4,80.79976959723517,88.54415274463008,80.48780487804879,43000.0,-1.0,9.0
44000.0,0.84375,-2.182787284255028E-13,44000.0,91.5,83.00081596083389,90.0,82.72357723577237,44000.0,-1.0,9.0
45000.0,0.859375,-2.2232092710004914E-13,45000.0,90.0,79.997359651474,87.84933171324424,79.91967871485944,45000.0,-1.0,9.0
46000.0,0.875,-2.263631257745955E-13,46000.0,87.6,75.19970239642876,84.40251572327044,75.1503006012024,46000.0,-1.0,9.0
47000.0,0.890625,-2.3040532444914184E-13,47000.0,88.6,77.20109434747133,86.0805860805861,76.73469387755102,47000.0,-1.0,9.0
48000.0,0.90625,-2.3444752312368816E-13,48000.0,89.7,79.40049438813469,87.39290085679315,79.60396039603961,48000.0,-1.0,9.0
49000.0,0.921875,-2.384897217982345E-13,49000.0,88.1,76.19142891440919,85.16209476309227,75.71428571428571,49000.0,-1.0,9.0
50000.0,0.953125,-2.465741191473272E-13,50000.0,88.9,77.80266368035835,86.4963503649635,77.48478701825559,50000.0,-1.0,9.0
51000.0,0.96875,-2.506163178218735E-13,51000.0,83.3,66.70760103345985,80.28335301062573,65.91836734693877,51000.0,-1.0,9.0
52000.0,0.984375,-2.5465851649641983E-13,52000.0,83.39999999999999,67.02790313354096,80.74245939675173,65.56016597510373,52000.0,-1.0,9.0
53000.0,1.015625,-2.6274291384551253E-13,53000.0,81.8,63.43149231659486,77.69607843137253,63.888888888888886,53000.0,-1.0,9.0
54000.0,1.03125,-2.6678511252005885E-13,54000.0,84.39999999999999,68.56207780482693,81.6470588235294,67.36401673640167,54000.0,-1.0,9.0
55000.0,1.046875,-2.7082731119460517E-13,55000.0,83.39999999999999,66.82017333461255,79.45544554455444,66.66666666666666,55000.0,-1.0,9.0
56000.0,1.078125,-2.7891170854369787E-13,56000.0,83.2,66.30660190046808,79.51219512195121,65.64417177914109,56000.0,-1.0,9.0
57000.0,1.09375,-2.829539072182442E-13,57000.0,84.5,68.96076640874065,81.89252336448598,68.74999999999999,57000.0,-1.0,9.0
58000.0,1.109375,-2.869961058927905E-13,58000.0,84.8,69.6370428077745,81.50851581508515,68.85245901639344,58000.0,-1.0,9.0
59000.0,1.125,-2.9103830456733684E-13,59000.0,84.89999999999999,69.79202509462498,81.71912832929782,69.18367346938776,59000.0,-1.0,9.0
60000.0,1.15625,-2.9912270191642954E-13,60000.0,83.8,67.6139907559934,79.54545454545455,66.73511293634496,60000.0,-1.0,9.0
