learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.03125,-8.084397349092695E-15,1000.0,84.8,69.58637469586374,81.55339805825241,68.53002070393373,1000.0,-1.0,10.0
2000.0,0.046875,-1.2126596023639042E-14,2000.0,90.5,81.0013679015111,88.47087378640776,80.69105691056912,2000.0,-1.0,10.0
3000.0,0.0625,-1.616879469818539E-14,3000.0,91.3,82.60250523924554,89.64285714285715,82.42424242424244,3000.0,-1.0,10.0
4000.0,0.078125,-2.021099337273174E-14,4000.0,90.7,81.39910715714355,88.54679802955665,81.17408906882592,4000.0,-1.0,10.0
5000.0,0.109375,-2.8295390721824433E-14,5000.0,91.2,82.40056318197819,89.29440389294403,81.89300411522635,5000.0,-1.0,10.0
6000.0,0.125,-3.233758939637078E-14,6000.0,89.5,78.99848789112816,86.94029850746269,78.87323943661973,6000.0,-1.0,10.0
7000.0,0.140625,-3.637978807091713E-14,7000.0,96.89999999999999,93.79756864690958,96.25603864734298,93.62139917695472,7000.0,-1.0,10.0
8000.0,0.140625,-3.637978807091713E-14,8000.0,100.0,100.0,100.0,100.0,8000.0,-1.0,10.0
9000.0,0.15625,-4.042198674546348E-14,9000.0,100.0,100.0,100.0,100.0,9000.0,-1.0,10.0
10000.0,0.171875,-4.446418542000983E-14,10000.0,100.0,100.0,100.0,100.0,10000.0,-1.0,10.0
11000.0,0.1875,-4.8506384094556176E-14,11000.0,100.0,100.0,100.0,100.0,11000.0,-1.0,10.0
12000.0,0.203125,-5.2548582769102524E-14,12000.0,100.0,100.0,100.0,100.0,12000.0,-1.0,10.0
13000.0,0.21875,-5.659078144364887E-14,13000.0,100.0,100.0,100.0,100.0,13000.0,-1.0,10.0
14000.0,0.234375,-6.063298011819522E-14,14000.0,100.0,100.0,100.0,100.0,14000.0,-1.0,10.0
15000.0,0.25,-6.467517879274156E-14,15000.0,99.9,99.79955742278952,99.88331388564761,99.79338842975206,15000.0,-1.0,10.0
16000.0,0.265625,-6.871737746728791E-14,16000.0,100.0,100.0,100.0,100.0,16000.0,-1.0,10.0
17000.0,0.28125,-7.275957614183426E-14,17000.0,99.9,99.7999983999872,99.88193624557262,99.7946611909651,17000.0,-1.0,10.0
18000.0,0.296875,-7.680177481638061E-14,18000.0,100.0,100.0,100.0,100.0,18000.0,-1.0,10.0
19000.0,0.296875,-7.680177481638061E-14,19000.0,100.0,100.0,100.0,100.0,19000.0,-1.0,10.0
