learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.03125,-8.084397349092695E-15,1000.0,83.6,67.15217356471021,80.09708737864077,66.0455486542443,1000.0,-1.0
2000.0,0.0625,-1.616879469818539E-14,2000.0,87.1,74.20185746626244,84.34466019417476,73.78048780487805,2000.0,-1.0
3000.0,0.078125,-2.021099337273174E-14,3000.0,88.7,77.40542269855236,86.54761904761905,77.17171717171716,3000.0,-1.0
4000.0,0.109375,-2.8295390721824433E-14,4000.0,87.4,74.80241896777909,84.48275862068965,74.49392712550608,4000.0,-1.0
5000.0,0.125,-3.233758939637078E-14,5000.0,87.9,75.8027100964692,85.27980535279805,75.1028806584362,5000.0,-1.0
6000.0,0.15625,-4.042198674546348E-14,6000.0,86.7,73.40829661145722,83.45771144278606,73.23943661971832,6000.0,-1.0
7000.0,0.171875,-4.446418542000983E-14,7000.0,89.3,78.60599032270966,87.07729468599034,77.98353909465021,7000.0,-1.0
8000.0,0.203125,-5.2548582769102524E-14,8000.0,89.0,78.00079197148902,86.74698795180723,77.91164658634538,8000.0,-1.0
9000.0,0.234375,-6.063298011819522E-14,9000.0,88.6,77.1956215593394,86.13138686131386,76.20041753653445,9000.0,-1.0
10000.0,0.25,-6.467517879274156E-14,10000.0,87.9,75.7980638451076,84.68354430379746,75.55555555555556,10000.0,-1.0
11000.0,0.28125,-7.275957614183426E-14,11000.0,87.8,75.5897476940315,84.80697384806976,74.74120082815735,11000.0,-1.0
12000.0,0.3125,-8.084397349092696E-14,12000.0,89.3,78.6030811563135,86.74101610904586,78.97838899803537,12000.0,-1.0
13000.0,0.328125,-8.48861721654733E-14,13000.0,89.3,78.60479252647407,87.03030303030303,78.20773930753563,13000.0,-1.0
14000.0,0.359375,-9.2970569514566E-14,14000.0,90.60000000000001,81.20120312300013,88.82282996432819,80.89430894308943,14000.0,-1.0
15000.0,0.390625,-1.010549668636587E-13,15000.0,90.7,81.38391570316755,89.14819136522753,80.78512396694215,15000.0,-1.0
16000.0,0.40625,-1.0509716553820505E-13,16000.0,90.10000000000001,80.20015839873281,88.01452784503633,80.2,16000.0,-1.0
17000.0,0.4375,-1.1318156288729775E-13,17000.0,90.60000000000001,81.19909755668272,88.90200708382527,80.69815195071868,17000.0,-1.0
18000.0,0.453125,-1.1722376156184408E-13,18000.0,90.4,80.80161266453618,88.3777239709443,80.08298755186722,18000.0,-1.0
19000.0,0.484375,-1.2530815891093678E-13,19000.0,90.0,80.00279960805487,88.19362455726092,79.95991983967936,19000.0,-1.0
20000.0,0.515625,-1.3339255626002948E-13,20000.0,90.0,80.0,87.81973203410477,79.12317327766179,20000.0,-1.0
21000.0,0.546875,-1.4147695360912217E-13,21000.0,88.3,76.60074877603917,85.44776119402985,76.73956262425448,21000.0,-1.0
22000.0,0.5625,-1.4551915228366852E-13,22000.0,86.7,73.39744615483086,82.94871794871796,73.23943661971832,22000.0,-1.0
23000.0,0.59375,-1.5360354963276122E-13,23000.0,88.6,77.19708122639697,86.11449451887943,77.01612903225806,23000.0,-1.0
24000.0,0.625,-1.6168794698185392E-13,24000.0,88.6,77.19315794738422,85.96059113300491,76.49484536082475,24000.0,-1.0
25000.0,0.640625,-1.6573014565640026E-13,25000.0,89.8,79.60122392656442,87.66626360338576,79.60000000000001,25000.0,-1.0
26000.0,0.671875,-1.7381454300549296E-13,26000.0,83.3,66.34421604191857,79.35723114956737,64.98951781970649,26000.0,-1.0
27000.0,0.703125,-1.8189894035458566E-13,27000.0,81.10000000000001,62.12607008881338,77.11864406779661,61.585365853658544,27000.0,-1.0
28000.0,0.71875,-1.85941139029132E-13,28000.0,83.6,67.23211252972087,79.95110024449876,66.39344262295081,28000.0,-1.0
29000.0,0.75,-1.940255363782247E-13,29000.0,85.6,71.20172789632622,81.77215189873418,69.93736951983298,29000.0,-1.0
30000.0,0.78125,-2.021099337273174E-13,30000.0,89.7,79.40428390894694,87.79620853080569,79.52286282306163,30000.0,-1.0
31000.0,0.796875,-2.0615213240186375E-13,31000.0,88.5,77.00607039741509,86.24401913875597,76.67342799188641,31000.0,-1.0
32000.0,0.828125,-2.1423652975095645E-13,32000.0,87.0,74.0148634980791,84.22330097087377,73.30595482546201,32000.0,-1.0
33000.0,0.859375,-2.2232092710004914E-13,33000.0,87.0,74.00800553429544,83.83084577114427,73.41513292433538,33000.0,-1.0
34000.0,0.875,-2.263631257745955E-13,34000.0,88.5,77.00055198675231,85.94132029339853,76.53061224489795,34000.0,-1.0
35000.0,0.90625,-2.3444752312368816E-13,35000.0,87.5,75.00719792699702,84.71882640586797,74.74747474747475,35000.0,-1.0
36000.0,0.9375,-2.4253192047278086E-13,36000.0,89.0,77.99366217470632,86.48648648648648,77.45901639344262,36000.0,-1.0
37000.0,0.953125,-2.465741191473272E-13,37000.0,89.1,78.1968603478901,86.89903846153845,78.15631262525051,37000.0,-1.0
38000.0,0.984375,-2.546585164964199E-13,38000.0,89.60000000000001,79.19866871479775,87.64845605700712,78.81873727087577,38000.0,-1.0
39000.0,1.015625,-2.627429138455126E-13,39000.0,88.7,77.40397690006559,86.11793611793613,76.65289256198348,39000.0,-1.0
40000.0,1.03125,-2.667851125200589E-13,40000.0,90.4,80.80061438033982,88.43373493975903,80.7615230460922,40000.0,-1.0
41000.0,1.0625,-2.748695098691516E-13,41000.0,86.7,73.4,83.0140485312899,72.52066115702479,41000.0,-1.0
42000.0,1.078125,-2.789117085436979E-13,42000.0,89.5,78.99882393414032,87.14810281517748,78.70182555780933,42000.0,-1.0
43000.0,1.109375,-2.869961058927906E-13,43000.0,90.10000000000001,80.2,88.18615751789977,79.8780487804878,43000.0,-1.0
44000.0,1.140625,-2.950805032418833E-13,44000.0,90.8,81.60154547018051,89.1764705882353,81.30081300813009,44000.0,-1.0
45000.0,1.15625,-2.9912270191642964E-13,45000.0,89.8,79.59371486417817,87.60631834750913,79.51807228915662,45000.0,-1.0
46000.0,1.1875,-3.0720709926552234E-13,46000.0,87.4,74.79929438024266,84.15094339622642,74.74949899799599,46000.0,-1.0
47000.0,1.21875,-3.1529149661461503E-13,47000.0,89.2,78.4,86.81318681318683,77.9591836734694,47000.0,-1.0
48000.0,1.234375,-3.1933369528916136E-13,48000.0,89.60000000000001,79.2,87.27050183598533,79.40594059405942,48000.0,-1.0
49000.0,1.265625,-3.2741809263825405E-13,49000.0,88.4,76.79248076376747,85.5361596009975,76.32653061224491,49000.0,-1.0
50000.0,1.296875,-3.3550248998734675E-13,50000.0,89.1,78.20156948699693,86.7396593673966,77.89046653144015,50000.0,-1.0
51000.0,1.3125,-3.3954468866189307E-13,51000.0,82.69999999999999,65.52026531458273,79.5749704840614,64.69387755102039,51000.0,-1.0
52000.0,1.34375,-3.4762908601098577E-13,52000.0,82.0,64.16512709434923,79.11832946635731,62.65560165975103,52000.0,-1.0
53000.0,1.375,-3.5571348336007847E-13,53000.0,85.5,70.96794861527125,82.23039215686273,71.23015873015872,53000.0,-1.0
54000.0,1.40625,-3.6379788070917116E-13,54000.0,87.4,74.72883640331173,85.1764705882353,73.64016736401673,54000.0,-1.0
55000.0,1.421875,-3.678400793837175E-13,55000.0,87.7,75.40334514506027,84.77722772277228,75.30120481927712,55000.0,-1.0
56000.0,1.453125,-3.759244767328102E-13,56000.0,87.7,75.37872722031835,85.0,74.84662576687117,56000.0,-1.0
57000.0,1.46875,-3.799666754073565E-13,57000.0,89.7,79.39571430857619,87.96728971962618,79.23387096774194,57000.0,-1.0
58000.0,1.5,-3.880510727564492E-13,58000.0,88.7,77.40632622865597,86.25304136253041,76.84426229508196,58000.0,-1.0
59000.0,1.53125,-3.961354701055419E-13,59000.0,89.3,78.5993151780857,87.046004842615,78.16326530612245,59000.0,-1.0
60000.0,1.5625,-4.042198674546346E-13,60000.0,87.7,75.40098396064158,84.46969696969697,74.74332648870636,60000.0,-1.0
61000.0,1.578125,-4.082620661291809E-13,61000.0,88.5,76.99889594700545,85.80246913580247,76.67342799188641,61000.0,-1.0
62000.0,1.609375,-4.163464634782736E-13,62000.0,88.7,77.39403202445446,86.04938271604938,77.1255060728745,62000.0,-1.0
63000.0,1.625,-4.2038866215281994E-13,63000.0,88.7,77.37647153039161,86.11793611793613,76.21052631578948,63000.0,-1.0
64000.0,1.65625,-4.2847305950191264E-13,64000.0,89.7,79.4,87.53026634382567,79.1919191919192,64000.0,-1.0
65000.0,1.65625,-4.2847305950191264E-13,65000.0,89.3,78.59109389506035,86.88725490196079,78.02874743326488,65000.0,-1.0
66000.0,1.6875,-4.3655745685100534E-13,66000.0,90.0,79.99879992799569,88.06682577565633,79.03563941299791,66000.0,-1.0
67000.0,1.71875,-4.4464185420009803E-13,67000.0,88.3,76.59625540086414,85.48387096774194,75.77639751552795,67000.0,-1.0
68000.0,1.734375,-4.4868405287464436E-13,68000.0,88.9,77.79822385790864,86.33004926108374,77.57575757575758,68000.0,-1.0
69000.0,1.765625,-4.56768450223737E-13,69000.0,88.4,76.79396643127212,85.6079404466501,76.22950819672131,69000.0,-1.0
70000.0,1.796875,-4.648528475728296E-13,70000.0,88.3,76.58295238933944,85.80097087378641,76.02459016393442,70000.0,-1.0
71000.0,1.8125,-4.68895046247376E-13,71000.0,87.8,75.58349444224297,84.86352357320098,74.94866529774127,71000.0,-1.0
72000.0,1.84375,-4.769794435964687E-13,72000.0,90.4,80.80092155576533,88.51674641148325,80.7615230460922,72000.0,-1.0
73000.0,1.875,-4.850638409455613E-13,73000.0,87.6,75.2,84.49999999999999,74.79674796747967,73000.0,-1.0
74000.0,1.890625,-4.891060396201077E-13,74000.0,88.0,76.00460711543384,85.22167487684727,75.4601226993865,74000.0,-1.0
75000.0,1.921875,-4.971904369692003E-13,75000.0,88.5,76.98582326713256,85.83743842364532,76.53061224489795,75000.0,-1.0
76000.0,1.953125,-5.05274834318293E-13,76000.0,76.0,51.651893634165994,70.37037037037037,50.413223140495866,76000.0,-1.0
77000.0,1.984375,-5.133592316673856E-13,77000.0,85.1,70.19499275878347,82.09134615384615,70.02012072434607,77000.0,-1.0
78000.0,2.0,-5.17401430341932E-13,78000.0,87.9,75.79651469811654,85.5436081242533,75.15400410677618,78000.0,-1.0
79000.0,2.03125,-5.254858276910246E-13,79000.0,87.8,75.6023421751512,85.3012048192771,74.8971193415638,79000.0,-1.0
80000.0,2.0625,-5.335702250401173E-13,80000.0,87.2,74.39743974397439,84.07960199004974,74.14141414141415,80000.0,-1.0
81000.0,2.078125,-5.376124237146637E-13,81000.0,87.7,75.4,84.27109974424553,74.58677685950413,81000.0,-1.0
82000.0,2.109375,-5.456968210637563E-13,82000.0,88.3,76.60018719850241,85.80097087378641,76.41129032258065,82000.0,-1.0
83000.0,2.125,-5.497390197383027E-13,83000.0,88.8,77.60143350825548,86.63484486873509,76.95473251028807,83000.0,-1.0
84000.0,2.15625,-5.578234170873953E-13,84000.0,88.2,76.4003775939585,85.50368550368549,75.46777546777547,84000.0,-1.0
85000.0,2.1875,-5.65907814436488E-13,85000.0,88.7,77.39873432912243,86.21951219512195,76.89161554192229,85000.0,-1.0
86000.0,2.203125,-5.699500131110344E-13,86000.0,89.3,78.60000000000001,86.98296836982968,78.07377049180329,86000.0,-1.0
87000.0,2.234375,-5.78034410460127E-13,87000.0,87.3,74.60060958536995,84.49328449328449,74.2914979757085,87000.0,-1.0
88000.0,2.265625,-5.861188078092197E-13,88000.0,88.4,76.79405927917547,85.76687116564419,76.37474541751527,88000.0,-1.0
89000.0,2.28125,-5.90161006483766E-13,89000.0,89.1,78.21098166524072,86.81983071342201,77.61806981519508,89000.0,-1.0
90000.0,2.3125,-5.982454038328587E-13,90000.0,90.10000000000001,80.20015839873281,88.20023837902265,80.12048192771086,90000.0,-1.0
91000.0,2.34375,-6.063298011819513E-13,91000.0,88.9,77.80319633972708,86.36363636363636,77.66599597585513,91000.0,-1.0
92000.0,2.359375,-6.103719998564977E-13,92000.0,88.0,76.0,85.13011152416358,75.85513078470825,92000.0,-1.0
93000.0,2.390625,-6.184563972055903E-13,93000.0,88.9,77.79982239857918,86.47990255785626,77.48478701825559,93000.0,-1.0
94000.0,2.421875,-6.26540794554683E-13,94000.0,88.8,77.59883513942725,86.44067796610169,76.90721649484537,94000.0,-1.0
95000.0,2.4375,-6.305829932292294E-13,95000.0,89.0,78.00043999120018,86.68280871670702,77.13097713097713,95000.0,-1.0
96000.0,2.46875,-6.38667390578322E-13,96000.0,89.0,77.99867992079525,86.7149758454106,78.34645669291339,96000.0,-1.0
97000.0,2.5,-6.467517879274147E-13,97000.0,89.4,78.79940638337874,87.32057416267943,78.49898580121705,97000.0,-1.0
98000.0,2.53125,-6.548361852765073E-13,98000.0,88.9,77.8012431303847,86.2962962962963,77.48478701825559,98000.0,-1.0
99000.0,2.546875,-6.588783839510537E-13,99000.0,89.60000000000001,79.20332746760519,87.58949880668257,78.81873727087577,99000.0,-1.0
100000.0,2.578125,-6.669627813001463E-13,100000.0,89.4,78.79457141028104,87.19806763285023,78.09917355371901,100000.0,-1.0
