learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.0,0.0,1000.0,84.7,69.40856560163155,81.43203883495146,68.32298136645963,1000.0,-1.0
2000.0,0.015625,-4.042198674546348E-15,2000.0,85.7,71.40754840722049,82.64563106796116,70.9349593495935,2000.0,-1.0
3000.0,0.015625,-4.042198674546348E-15,3000.0,86.0,72.02685421994885,83.33333333333333,71.71717171717171,3000.0,-1.0
4000.0,0.015625,-4.042198674546348E-15,4000.0,81.69999999999999,63.40292776577873,77.46305418719211,62.95546558704452,4000.0,-1.0
5000.0,0.015625,-4.042198674546348E-15,5000.0,86.2,72.39911677173669,83.21167883211677,71.60493827160494,5000.0,-1.0
6000.0,0.015625,-4.042198674546348E-15,6000.0,83.2,66.39032041227873,79.10447761194028,66.19718309859154,6000.0,-1.0
7000.0,0.03125,-8.084397349092695E-15,7000.0,86.8,73.62068138579355,84.05797101449274,72.8395061728395,7000.0,-1.0
8000.0,0.03125,-8.084397349092695E-15,8000.0,85.8,71.60238539962643,82.89156626506023,71.4859437751004,8000.0,-1.0
9000.0,0.03125,-8.084397349092695E-15,9000.0,86.6,73.18455430327869,83.69829683698296,72.02505219206681,9000.0,-1.0
10000.0,0.03125,-8.084397349092695E-15,10000.0,84.89999999999999,69.78912408467049,80.88607594936708,69.49494949494948,10000.0,-1.0
11000.0,0.03125,-8.084397349092695E-15,11000.0,85.39999999999999,70.72446913035631,81.81818181818183,69.77225672877846,11000.0,-1.0
12000.0,0.03125,-8.084397349092695E-15,12000.0,87.5,75.01399216438794,84.51053283767038,75.44204322200393,12000.0,-1.0
13000.0,0.046875,-1.2126596023639042E-14,13000.0,87.7,75.40865615303413,85.0909090909091,74.949083503055,13000.0,-1.0
14000.0,0.046875,-1.2126596023639042E-14,14000.0,89.3,78.60445027434294,87.27705112960761,78.25203252032522,14000.0,-1.0
15000.0,0.046875,-1.2126596023639042E-14,15000.0,89.5,78.95352939289953,87.74795799299883,78.30578512396694,15000.0,-1.0
16000.0,0.046875,-1.2126596023639042E-14,16000.0,88.6,77.20291802649261,86.19854721549636,77.2,16000.0,-1.0
17000.0,0.046875,-1.2126596023639042E-14,17000.0,89.60000000000001,79.19567269992159,87.72136953955136,78.64476386036962,17000.0,-1.0
18000.0,0.046875,-1.2126596023639042E-14,18000.0,89.60000000000001,79.207568445086,87.409200968523,78.42323651452283,18000.0,-1.0
19000.0,0.0625,-1.616879469818539E-14,19000.0,89.0,78.01011534694041,87.01298701298701,77.9559118236473,19000.0,-1.0
20000.0,0.0625,-1.616879469818539E-14,20000.0,87.9,75.82320971867009,85.26187576126675,74.73903966597078,20000.0,-1.0
21000.0,0.0625,-1.616879469818539E-14,21000.0,86.2,72.3805559113616,82.83582089552237,72.56461232604373,21000.0,-1.0
22000.0,0.0625,-1.616879469818539E-14,22000.0,84.8,69.58053154018572,80.51282051282051,69.41649899396378,22000.0,-1.0
23000.0,0.0625,-1.616879469818539E-14,23000.0,88.3,76.59438265183644,85.74908647990256,76.41129032258065,23000.0,-1.0
24000.0,0.078125,-2.021099337273174E-14,24000.0,86.9,73.77167340727986,83.86699507389163,72.98969072164948,24000.0,-1.0
25000.0,0.078125,-2.021099337273174E-14,25000.0,88.8,77.60940405029888,86.45707376058043,77.60000000000001,25000.0,-1.0
26000.0,0.078125,-2.021099337273174E-14,26000.0,84.2,68.20912760212315,80.46971569839309,66.87631027253667,26000.0,-1.0
27000.0,0.078125,-2.021099337273174E-14,27000.0,84.2,68.33108844846384,80.87167070217916,67.88617886178862,27000.0,-1.0
28000.0,0.078125,-2.021099337273174E-14,28000.0,83.8,67.56639878914554,80.19559902200487,66.80327868852459,28000.0,-1.0
29000.0,0.078125,-2.021099337273174E-14,29000.0,83.3,66.6679972855375,78.86075949367088,65.13569937369519,29000.0,-1.0
30000.0,0.09375,-2.4253192047278088E-14,30000.0,88.0,75.9900118449275,85.78199052132702,76.14314115308152,30000.0,-1.0
31000.0,0.09375,-2.4253192047278088E-14,31000.0,87.7,75.37931862764722,85.28708133971293,75.05070993914808,31000.0,-1.0
32000.0,0.09375,-2.4253192047278088E-14,32000.0,87.0,73.9553073073394,84.22330097087377,73.30595482546201,32000.0,-1.0
33000.0,0.09375,-2.4253192047278088E-14,33000.0,86.3,72.57345110066544,82.96019900497512,71.98364008179959,33000.0,-1.0
34000.0,0.09375,-2.4253192047278088E-14,34000.0,87.0,74.0077976607018,84.10757946210268,73.46938775510205,34000.0,-1.0
35000.0,0.09375,-2.4253192047278088E-14,35000.0,86.8,73.59323986940657,83.86308068459657,73.33333333333333,35000.0,-1.0
36000.0,0.109375,-2.8295390721824436E-14,36000.0,88.3,76.58988683111104,85.62653562653563,76.02459016393442,36000.0,-1.0
37000.0,0.109375,-2.8295390721824436E-14,37000.0,89.1,78.20627659234141,86.89903846153845,78.15631262525051,37000.0,-1.0
38000.0,0.109375,-2.8295390721824436E-14,38000.0,89.1,78.19930237767608,87.05463182897863,77.80040733197556,38000.0,-1.0
39000.0,0.109375,-2.8295390721824436E-14,39000.0,88.4,76.81122336788994,85.74938574938574,76.03305785123968,39000.0,-1.0
40000.0,0.109375,-2.8295390721824436E-14,40000.0,89.7,79.39967039472631,87.59036144578315,79.35871743486975,40000.0,-1.0
41000.0,0.125,-3.233758939637078E-14,41000.0,86.6,73.2026797320268,82.88633461047255,72.31404958677685,41000.0,-1.0
42000.0,0.125,-3.233758939637078E-14,42000.0,88.4,76.80148470497889,85.80171358629133,76.47058823529413,42000.0,-1.0
43000.0,0.125,-3.233758939637078E-14,43000.0,89.8,79.60024479706243,87.82816229116945,79.26829268292683,43000.0,-1.0
