learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.015625,-4.042198674546348E-15,1000.0,82.19999999999999,64.39999999999999,78.39805825242718,63.14699792960662,1000.0,-1.0,10.0
2000.0,0.046875,-1.2126596023639042E-14,2000.0,84.89999999999999,69.81448904525827,81.6747572815534,69.30894308943088,2000.0,-1.0,10.0
3000.0,0.0625,-1.616879469818539E-14,3000.0,87.8,75.61170638093715,85.47619047619047,75.35353535353535,3000.0,-1.0,10.0
4000.0,0.078125,-2.021099337273174E-14,4000.0,86.8,73.60591227565025,83.743842364532,73.27935222672065,4000.0,-1.0,10.0
5000.0,0.09375,-2.4253192047278088E-14,5000.0,86.4,72.80522139749168,83.45498783454987,72.01646090534979,5000.0,-1.0,10.0
6000.0,0.125,-3.233758939637078E-14,6000.0,85.7,71.40068638352679,82.2139303482587,71.22736418511066,6000.0,-1.0,10.0
7000.0,0.140625,-3.637978807091713E-14,7000.0,88.0,76.01880125981232,85.50724637681158,75.30864197530865,7000.0,-1.0,10.0
8000.0,0.15625,-4.042198674546348E-14,8000.0,87.4,74.80131033186274,84.81927710843374,74.69879518072288,8000.0,-1.0,10.0
9000.0,0.1875,-4.8506384094556176E-14,9000.0,87.2,74.39508385610037,84.42822384428223,73.2776617954071,9000.0,-1.0,10.0
10000.0,0.203125,-5.2548582769102524E-14,10000.0,85.9,71.79548727796447,82.15189873417721,71.51515151515152,10000.0,-1.0,10.0
11000.0,0.21875,-5.659078144364887E-14,11000.0,86.5,73.0,83.18804483188045,72.04968944099379,11000.0,-1.0,10.0
12000.0,0.25,-6.467517879274156E-14,12000.0,88.1,76.20418806290094,85.25402726146221,76.62082514734774,12000.0,-1.0,10.0
13000.0,0.265625,-6.871737746728791E-14,13000.0,87.9,75.81161042699505,85.33333333333333,75.35641547861506,13000.0,-1.0,10.0
14000.0,0.28125,-7.275957614183426E-14,14000.0,88.4,76.80371140617501,86.20689655172414,76.42276422764228,14000.0,-1.0,10.0
15000.0,0.3125,-8.084397349092696E-14,15000.0,89.1,78.17275960398578,87.28121353558926,77.47933884297521,15000.0,-1.0,10.0
16000.0,0.328125,-8.48861721654733E-14,16000.0,87.6,75.2015870984257,84.98789346246973,75.2,16000.0,-1.0,10.0
