learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),members size
1000.0,0.0,0.0,1000.0,84.2,68.44241339639524,80.82524271844659,67.28778467908903,1000.0,-1.0,7.0
2000.0,0.015625,-4.042198674546348E-15,2000.0,86.0,72.00839748075578,83.00970873786406,71.54471544715447,2000.0,-1.0,14.0
3000.0,0.03125,-8.084397349092695E-15,3000.0,85.5,71.03198069331458,82.73809523809523,70.70707070707071,3000.0,-1.0,15.0
4000.0,0.046875,-1.2126596023639042E-14,4000.0,85.5,71.01437686907293,82.14285714285714,70.64777327935222,4000.0,-1.0,16.0
5000.0,0.0625,-1.616879469818539E-14,5000.0,86.4,72.80522139749168,83.45498783454987,72.01646090534979,5000.0,-1.0,18.0
6000.0,0.078125,-2.021099337273174E-14,6000.0,84.6,69.2162538179841,80.84577114427859,69.01408450704226,6000.0,-1.0,22.0
7000.0,0.09375,-2.4253192047278088E-14,7000.0,87.2,74.4343602198645,84.54106280193236,73.66255144032921,7000.0,-1.0,25.0
8000.0,0.125,-3.233758939637078E-14,8000.0,86.1,72.20155671282407,83.25301204819276,72.08835341365462,8000.0,-1.0,28.0
9000.0,0.140625,-3.637978807091713E-14,9000.0,86.0,71.97668460158853,82.96836982968368,70.77244258872652,9000.0,-1.0,31.0
10000.0,0.171875,-4.446418542000983E-14,10000.0,85.5,70.98723438312857,81.64556962025317,70.70707070707071,10000.0,-1.0,34.0
11000.0,0.203125,-5.2548582769102524E-14,11000.0,84.8,69.54335063217584,81.07098381070985,68.53002070393373,11000.0,-1.0,37.0
12000.0,0.234375,-6.063298011819522E-14,12000.0,85.3,70.61363527323323,81.78438661710037,71.11984282907662,12000.0,-1.0,42.0
13000.0,0.265625,-6.871737746728791E-14,13000.0,85.0,70.03068857489929,81.81818181818183,69.45010183299388,13000.0,-1.0,45.0
14000.0,0.296875,-7.680177481638061E-14,14000.0,86.4,72.81478875491732,83.82877526753865,72.35772357723576,14000.0,-1.0,46.0
15000.0,0.328125,-8.48861721654733E-14,15000.0,87.9,75.73243911048358,85.88098016336056,75.0,15000.0,-1.0,49.0
16000.0,0.375,-9.701276818911235E-14,16000.0,87.1,74.20474632667589,84.38256658595643,74.2,16000.0,-1.0,55.0
17000.0,0.421875,-1.091393642127514E-13,17000.0,87.4,74.79314373509595,85.12396694214875,74.12731006160163,17000.0,-1.0,56.0
18000.0,0.453125,-1.1722376156184408E-13,18000.0,86.6,73.22174394391755,83.77723970944308,72.19917012448133,18000.0,-1.0,58.0
19000.0,0.515625,-1.3339255626002948E-13,19000.0,86.4,72.82228572570492,83.94332939787486,72.74549098196393,19000.0,-1.0,62.0
20000.0,0.5625,-1.4551915228366852E-13,20000.0,85.8,71.63993097718412,82.70401948842876,70.35490605427974,20000.0,-1.0,66.0
21000.0,0.625,-1.6168794698185392E-13,21000.0,84.7,69.37550040032025,80.97014925373134,69.58250497017893,21000.0,-1.0,67.0
22000.0,0.671875,-1.7381454300549296E-13,22000.0,83.2,66.36124815787787,78.46153846153847,66.19718309859154,22000.0,-1.0,71.0
23000.0,0.734375,-1.8998333770367835E-13,23000.0,85.7,71.37939316307741,82.58221680876979,71.16935483870968,23000.0,-1.0,74.0
24000.0,0.78125,-2.021099337273174E-13,24000.0,84.8,69.5396885833951,81.28078817733989,68.65979381443297,24000.0,-1.0,77.0
25000.0,0.859375,-2.2232092710004914E-13,25000.0,86.0,72.02405930899427,83.07134220072552,72.0,25000.0,-1.0,80.0
26000.0,0.921875,-2.3848972179823454E-13,26000.0,86.1,72.09395703673961,82.81829419035847,70.85953878406708,26000.0,-1.0,79.0
27000.0,0.984375,-2.5465851649641993E-13,27000.0,85.6,71.1741720581641,82.56658595641645,70.73170731707317,27000.0,-1.0,80.0
28000.0,1.03125,-2.6678511252005895E-13,28000.0,85.39999999999999,70.77135592881024,82.15158924205377,70.08196721311475,28000.0,-1.0,81.0
29000.0,1.09375,-2.8295390721824435E-13,29000.0,85.5,71.02781329923273,81.64556962025317,69.72860125260961,29000.0,-1.0,72.0
30000.0,1.15625,-2.9912270191642974E-13,30000.0,87.5,74.99479891817498,85.18957345971565,75.14910536779324,30000.0,-1.0,76.0
31000.0,1.21875,-3.1529149661461513E-13,31000.0,87.7,75.39822867246441,85.28708133971293,75.05070993914808,31000.0,-1.0,78.0
32000.0,1.28125,-3.3146029131280053E-13,32000.0,86.8,73.61783434398347,83.98058252427182,72.8952772073922,32000.0,-1.0,79.0
33000.0,1.34375,-3.476290860109859E-13,33000.0,85.7,71.41760675423939,82.2139303482587,70.75664621676891,33000.0,-1.0,79.0
