learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.015625,-4.042198674546348E-15,1000.0,83.5,67.00184789651779,79.9757281553398,65.83850931677017,1000.0,-1.0,10.0
2000.0,0.03125,-8.084397349092695E-15,2000.0,87.0,74.00405536736268,84.22330097087377,73.57723577235772,2000.0,-1.0,10.0
3000.0,0.0625,-1.616879469818539E-14,3000.0,88.6,77.2065645094213,86.42857142857143,76.96969696969698,3000.0,-1.0,10.0
4000.0,0.078125,-2.021099337273174E-14,4000.0,87.8,75.6023421751512,84.97536945812807,75.30364372469636,4000.0,-1.0,10.0
5000.0,0.09375,-2.4253192047278088E-14,5000.0,87.9,75.8042584505127,85.27980535279805,75.1028806584362,5000.0,-1.0,10.0
6000.0,0.125,-3.233758939637078E-14,6000.0,86.7,73.40702054657571,83.45771144278606,73.23943661971832,6000.0,-1.0,10.0
7000.0,0.140625,-3.637978807091713E-14,7000.0,89.4,78.81186535540098,87.19806763285023,78.18930041152264,7000.0,-1.0,10.0
8000.0,0.15625,-4.042198674546348E-14,8000.0,88.2,76.4010383543124,85.78313253012048,76.30522088353415,8000.0,-1.0,10.0
9000.0,0.1875,-4.8506384094556176E-14,9000.0,88.3,76.59475722561854,85.76642335766424,75.5741127348643,9000.0,-1.0,10.0
10000.0,0.203125,-5.2548582769102524E-14,10000.0,87.1,74.19380651356326,83.67088607594937,73.93939393939394,10000.0,-1.0,10.0
11000.0,0.21875,-5.659078144364887E-14,11000.0,85.5,70.95817977888159,81.94271481942714,69.97929606625259,11000.0,-1.0,10.0
12000.0,0.25,-6.467517879274156E-14,12000.0,88.0,76.00537479604569,85.13011152416358,76.42436149312377,12000.0,-1.0,10.0
13000.0,0.265625,-6.871737746728791E-14,13000.0,88.4,76.81038894575231,85.93939393939395,76.37474541751527,13000.0,-1.0,10.0
14000.0,0.28125,-7.275957614183426E-14,14000.0,89.3,78.60445027434294,87.27705112960761,78.25203252032522,14000.0,-1.0,10.0
15000.0,0.3125,-8.084397349092696E-14,15000.0,89.9,79.77475889910609,88.2147024504084,79.13223140495869,15000.0,-1.0,10.0
16000.0,0.328125,-8.48861721654733E-14,16000.0,89.0,78.00140790989377,86.68280871670702,78.0,16000.0,-1.0,10.0
17000.0,0.34375,-8.892837084001965E-14,17000.0,89.1,78.19738368604233,87.13105076741441,77.61806981519508,17000.0,-1.0,10.0
18000.0,0.375,-9.701276818911235E-14,18000.0,88.6,77.20702023776677,86.19854721549636,76.34854771784234,18000.0,-1.0,10.0
19000.0,0.390625,-1.010549668636587E-13,19000.0,89.60000000000001,79.20374332620129,87.72136953955136,79.15831663326654,19000.0,-1.0,10.0
20000.0,0.40625,-1.0509716553820505E-13,20000.0,89.2,78.3972348460603,86.84531059683314,77.45302713987473,20000.0,-1.0,10.0
21000.0,0.421875,-1.091393642127514E-13,21000.0,86.0,71.98745037776924,82.5870646766169,72.16699801192843,21000.0,-1.0,10.0
22000.0,0.453125,-1.1722376156184408E-13,22000.0,84.89999999999999,69.78356225786827,80.64102564102565,69.61770623742454,22000.0,-1.0,10.0
23000.0,0.46875,-1.2126596023639043E-13,23000.0,87.3,74.59146273147778,84.53105968331303,74.39516129032258,23000.0,-1.0,10.0
24000.0,0.5,-1.2935035758548313E-13,24000.0,86.6,73.16296489155035,83.49753694581278,72.37113402061856,24000.0,-1.0,10.0
25000.0,0.515625,-1.3339255626002948E-13,25000.0,88.8,77.60403127437063,86.45707376058043,77.60000000000001,25000.0,-1.0,10.0
26000.0,0.53125,-1.3743475493457582E-13,26000.0,85.3,70.46081134304843,81.82941903584671,69.18238993710692,26000.0,-1.0,10.0
27000.0,0.5625,-1.4551915228366852E-13,27000.0,86.9,73.77734362489191,84.14043583535108,73.3739837398374,27000.0,-1.0,10.0
28000.0,0.578125,-1.4956135095821487E-13,28000.0,86.5,73.00453523808001,83.49633251833741,72.3360655737705,28000.0,-1.0,10.0
29000.0,0.59375,-1.5360354963276122E-13,29000.0,85.8,71.59829589775386,82.02531645569621,70.35490605427974,29000.0,-1.0,10.0
30000.0,0.625,-1.6168794698185392E-13,30000.0,89.1,78.20592798758737,87.08530805687204,78.33001988071571,30000.0,-1.0,10.0
31000.0,0.640625,-1.6573014565640026E-13,31000.0,88.6,77.20547068703512,86.36363636363636,76.8762677484787,31000.0,-1.0,10.0
32000.0,0.640625,-1.6573014565640026E-13,32000.0,88.1,76.20494937053093,85.55825242718447,75.564681724846,32000.0,-1.0,10.0
33000.0,0.671875,-1.7381454300549296E-13,33000.0,85.9,71.80248138163842,82.46268656716418,71.16564417177914,33000.0,-1.0,10.0
34000.0,0.6875,-1.778567416800393E-13,34000.0,88.0,75.99625541584487,85.33007334963324,75.51020408163265,34000.0,-1.0,10.0
35000.0,0.703125,-1.8189894035458566E-13,35000.0,86.8,73.6118219037871,83.86308068459657,73.33333333333333,35000.0,-1.0,10.0
36000.0,0.734375,-1.8998333770367835E-13,36000.0,87.4,74.81450684405782,84.52088452088451,74.18032786885246,36000.0,-1.0,10.0
37000.0,0.75,-1.940255363782247E-13,37000.0,87.6,75.18838816566154,85.09615384615384,75.1503006012024,37000.0,-1.0,10.0
38000.0,0.78125,-2.021099337273174E-13,38000.0,88.0,75.99692760673366,85.74821852731591,75.56008146639512,38000.0,-1.0,10.0
39000.0,0.796875,-2.0615213240186375E-13,39000.0,88.6,77.19096762317878,85.99508599508599,76.44628099173553,39000.0,-1.0,10.0
40000.0,0.8125,-2.101943310764101E-13,40000.0,89.0,78.00563055857701,86.74698795180723,77.9559118236473,40000.0,-1.0,10.0
41000.0,0.84375,-2.182787284255028E-13,41000.0,85.39999999999999,70.80759002659308,81.35376756066411,69.83471074380165,41000.0,-1.0,10.0
42000.0,0.859375,-2.2232092710004914E-13,42000.0,87.8,75.59765737510801,85.06731946144433,75.25354969574036,42000.0,-1.0,10.0
43000.0,0.875,-2.263631257745955E-13,43000.0,89.0,77.99603928707167,86.87350835322196,77.64227642276424,43000.0,-1.0,10.0
44000.0,0.90625,-2.3444752312368816E-13,44000.0,90.5,81.0013679015111,88.82352941176471,80.69105691056912,44000.0,-1.0,10.0
45000.0,0.921875,-2.384897217982345E-13,45000.0,89.5,78.99075593261036,87.24179829890643,78.91566265060241,45000.0,-1.0,10.0
46000.0,0.9375,-2.425319204727808E-13,46000.0,86.7,73.39936158467803,83.27044025157232,73.34669338677354,46000.0,-1.0,10.0
47000.0,0.96875,-2.506163178218735E-13,47000.0,87.8,75.60585459489722,85.10378510378511,75.10204081632654,47000.0,-1.0,10.0
48000.0,0.984375,-2.5465851649641983E-13,48000.0,89.3,78.59948638767331,86.90330477356181,78.81188118811882,48000.0,-1.0,10.0
49000.0,1.015625,-2.6274291384551253E-13,49000.0,86.8,73.58193004014745,83.54114713216956,73.06122448979592,49000.0,-1.0,10.0
50000.0,1.03125,-2.6678511252005885E-13,50000.0,88.1,76.20513968982699,85.52311435523114,75.86206896551724,50000.0,-1.0,10.0
51000.0,1.046875,-2.7082731119460517E-13,51000.0,85.9,71.85853424876257,83.3530106257379,71.22448979591837,51000.0,-1.0,10.0
52000.0,1.078125,-2.7891170854369787E-13,52000.0,89.1,78.23916949490916,87.35498839907193,77.38589211618257,52000.0,-1.0,10.0
53000.0,1.09375,-2.829539072182442E-13,53000.0,88.3,76.58763827300815,85.66176470588236,76.78571428571429,53000.0,-1.0,10.0
