learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.03125,-8.084397349092695E-15,1000.0,83.6,67.15217356471021,80.09708737864077,66.0455486542443,1000.0,-1.0
2000.0,0.0625,-1.616879469818539E-14,2000.0,87.1,74.20185746626244,84.34466019417476,73.78048780487805,2000.0,-1.0
3000.0,0.078125,-2.021099337273174E-14,3000.0,88.7,77.40542269855236,86.54761904761905,77.17171717171716,3000.0,-1.0
4000.0,0.109375,-2.8295390721824433E-14,4000.0,87.4,74.80241896777909,84.48275862068965,74.49392712550608,4000.0,-1.0
5000.0,0.125,-3.233758939637078E-14,5000.0,87.9,75.8027100964692,85.27980535279805,75.1028806584362,5000.0,-1.0
6000.0,0.15625,-4.042198674546348E-14,6000.0,86.7,73.40829661145722,83.45771144278606,73.23943661971832,6000.0,-1.0
7000.0,0.1875,-4.8506384094556176E-14,7000.0,89.3,78.60599032270966,87.07729468599034,77.98353909465021,7000.0,-1.0
8000.0,0.21875,-5.659078144364887E-14,8000.0,89.0,78.00079197148902,86.74698795180723,77.91164658634538,8000.0,-1.0
9000.0,0.25,-6.467517879274156E-14,9000.0,88.6,77.1956215593394,86.13138686131386,76.20041753653445,9000.0,-1.0
10000.0,0.265625,-6.871737746728791E-14,10000.0,87.9,75.7980638451076,84.68354430379746,75.55555555555556,10000.0,-1.0
11000.0,0.296875,-7.680177481638061E-14,11000.0,87.8,75.5897476940315,84.80697384806976,74.74120082815735,11000.0,-1.0
12000.0,0.3125,-8.084397349092696E-14,12000.0,89.3,78.6030811563135,86.74101610904586,78.97838899803537,12000.0,-1.0
13000.0,0.34375,-8.892837084001965E-14,13000.0,89.3,78.60479252647407,87.03030303030303,78.20773930753563,13000.0,-1.0
14000.0,0.375,-9.701276818911235E-14,14000.0,90.60000000000001,81.20120312300013,88.82282996432819,80.89430894308943,14000.0,-1.0
15000.0,0.40625,-1.0509716553820505E-13,15000.0,90.7,81.38391570316755,89.14819136522753,80.78512396694215,15000.0,-1.0
16000.0,0.4375,-1.1318156288729775E-13,16000.0,90.10000000000001,80.20015839873281,88.01452784503633,80.2,16000.0,-1.0
17000.0,0.453125,-1.1722376156184408E-13,17000.0,90.60000000000001,81.19909755668272,88.90200708382527,80.69815195071868,17000.0,-1.0
18000.0,0.484375,-1.2530815891093678E-13,18000.0,90.4,80.80161266453618,88.3777239709443,80.08298755186722,18000.0,-1.0
19000.0,0.515625,-1.3339255626002948E-13,19000.0,90.0,80.00279960805487,88.19362455726092,79.95991983967936,19000.0,-1.0
20000.0,0.53125,-1.3743475493457582E-13,20000.0,90.0,80.0,87.81973203410477,79.12317327766179,20000.0,-1.0
21000.0,0.5625,-1.4551915228366852E-13,21000.0,88.3,76.60074877603917,85.44776119402985,76.73956262425448,21000.0,-1.0
22000.0,0.59375,-1.5360354963276122E-13,22000.0,86.7,73.39744615483086,82.94871794871796,73.23943661971832,22000.0,-1.0
23000.0,0.609375,-1.5764574830730757E-13,23000.0,88.6,77.19708122639697,86.11449451887943,77.01612903225806,23000.0,-1.0
24000.0,0.640625,-1.6573014565640026E-13,24000.0,88.6,77.19315794738422,85.96059113300491,76.49484536082475,24000.0,-1.0
25000.0,0.671875,-1.7381454300549296E-13,25000.0,89.8,79.60122392656442,87.66626360338576,79.60000000000001,25000.0,-1.0
26000.0,0.703125,-1.8189894035458566E-13,26000.0,83.3,66.34421604191857,79.35723114956737,64.98951781970649,26000.0,-1.0
27000.0,0.734375,-1.8998333770367835E-13,27000.0,82.3,64.49433514138074,78.57142857142857,64.02439024390243,27000.0,-1.0
28000.0,0.75,-1.940255363782247E-13,28000.0,82.5,64.91157717447967,78.60635696821515,64.13934426229507,28000.0,-1.0
29000.0,0.78125,-2.021099337273174E-13,29000.0,81.10000000000001,62.394046718930326,76.07594936708861,60.5427974947808,29000.0,-1.0
30000.0,0.8125,-2.101943310764101E-13,30000.0,85.3,70.56939216785457,82.58293838862559,70.77534791252485,30000.0,-1.0
31000.0,0.828125,-2.1423652975095645E-13,31000.0,84.8,69.54591354245139,81.81818181818181,69.16835699797159,31000.0,-1.0
32000.0,0.859375,-2.2232092710004914E-13,32000.0,84.6,69.09876756253486,81.31067961165047,68.37782340862422,32000.0,-1.0
33000.0,0.890625,-2.3040532444914184E-13,33000.0,84.2,68.31495734551535,80.34825870646765,67.68916155419222,33000.0,-1.0
34000.0,0.921875,-2.3848972179823454E-13,34000.0,85.8,71.61805091961511,82.64058679706599,71.0204081632653,34000.0,-1.0
35000.0,0.9375,-2.4253192047278086E-13,35000.0,85.6,71.16124070751088,82.39608801955988,70.9090909090909,35000.0,-1.0
36000.0,0.953125,-2.465741191473272E-13,36000.0,87.3,74.55970256886908,84.3980343980344,73.97540983606558,36000.0,-1.0
37000.0,0.984375,-2.546585164964199E-13,37000.0,88.8,77.62175165738901,86.53846153846155,77.55511022044088,37000.0,-1.0
38000.0,1.0,-2.587007151709662E-13,38000.0,89.0,78.01828878373193,86.93586698337292,77.59674134419552,38000.0,-1.0
39000.0,1.03125,-2.667851125200589E-13,39000.0,87.0,74.03769726357329,84.02948402948401,73.14049586776859,39000.0,-1.0
40000.0,1.0625,-2.748695098691516E-13,40000.0,89.4,78.79253497231026,87.2289156626506,78.75751503006012,40000.0,-1.0
41000.0,1.078125,-2.789117085436979E-13,41000.0,85.9,71.81240254288113,81.99233716475096,70.86776859504131,41000.0,-1.0
42000.0,1.109375,-2.869961058927906E-13,42000.0,88.3,76.60355625944857,85.67931456548348,76.26774847870182,42000.0,-1.0
43000.0,1.140625,-2.950805032418833E-13,43000.0,88.8,77.60564337786879,86.63484486873509,77.23577235772358,43000.0,-1.0
44000.0,1.171875,-3.03164900590976E-13,44000.0,91.2,82.39809899469144,89.64705882352942,82.11382113821138,44000.0,-1.0
45000.0,1.1875,-3.0720709926552234E-13,45000.0,89.8,79.60986882348942,87.60631834750913,79.51807228915662,45000.0,-1.0
46000.0,1.21875,-3.1529149661461503E-13,46000.0,87.7,75.40059038583074,84.52830188679246,75.35070140280561,46000.0,-1.0
47000.0,1.234375,-3.1933369528916136E-13,47000.0,88.4,76.79331647514485,85.83638583638586,76.32653061224491,47000.0,-1.0
48000.0,1.265625,-3.2741809263825405E-13,48000.0,89.9,79.80113113665635,87.63769889840881,80.0,48000.0,-1.0
49000.0,1.296875,-3.3550248998734675E-13,49000.0,87.9,75.80348429826105,84.91271820448878,75.3061224489796,49000.0,-1.0
50000.0,1.3125,-3.3954468866189307E-13,50000.0,89.60000000000001,79.19700436862908,87.34793187347931,78.90466531440163,50000.0,-1.0
51000.0,1.34375,-3.4762908601098577E-13,51000.0,83.39999999999999,66.90590111642743,80.40141676505313,66.12244897959184,51000.0,-1.0
52000.0,1.359375,-3.516712846855321E-13,52000.0,83.2,66.630648954427,80.51044083526682,65.14522821576763,52000.0,-1.0
53000.0,1.390625,-3.597556820346248E-13,53000.0,81.0,61.8019814719506,76.7156862745098,62.30158730158731,53000.0,-1.0
54000.0,1.421875,-3.678400793837175E-13,54000.0,83.1,65.90294646964352,80.11764705882352,64.64435146443513,54000.0,-1.0
55000.0,1.4375,-3.718822780582638E-13,55000.0,83.0,66.02228937816791,78.96039603960394,65.86345381526102,55000.0,-1.0
56000.0,1.46875,-3.799666754073565E-13,56000.0,82.3,64.48749638855894,78.41463414634146,63.80368098159508,56000.0,-1.0
57000.0,1.5,-3.880510727564492E-13,57000.0,83.0,65.94442129555433,80.14018691588785,65.7258064516129,57000.0,-1.0
58000.0,1.515625,-3.9209327143099553E-13,58000.0,84.3,68.64890770398179,80.90024330900243,67.827868852459,58000.0,-1.0
59000.0,1.546875,-4.001776687800882E-13,59000.0,82.69999999999999,65.38698550655046,79.05569007263922,64.69387755102039,59000.0,-1.0
60000.0,1.578125,-4.082620661291809E-13,60000.0,83.3,66.61789280945413,78.91414141414141,65.70841889117042,60000.0,-1.0
61000.0,1.59375,-4.1230426480372725E-13,61000.0,83.39999999999999,66.77089130077948,79.50617283950615,66.32860040567951,61000.0,-1.0
62000.0,1.625,-4.2038866215281994E-13,62000.0,85.1,70.15487416974466,81.60493827160494,69.83805668016194,62000.0,-1.0
63000.0,1.640625,-4.2443086082736627E-13,63000.0,84.0,67.80943183647192,80.34398034398032,66.3157894736842,63000.0,-1.0
64000.0,1.671875,-4.3251525817645896E-13,64000.0,83.8,67.6,80.3874092009685,67.27272727272727,64000.0,-1.0
65000.0,1.6875,-4.365574568510053E-13,65000.0,85.8,71.50665580441526,82.59803921568626,70.84188911704312,65000.0,-1.0
66000.0,1.71875,-4.44641854200098E-13,66000.0,85.1,70.17566334128648,82.21957040572792,68.76310272536688,66000.0,-1.0
67000.0,1.75,-4.527262515491907E-13,67000.0,82.19999999999999,64.30633983572895,77.91563275434241,63.14699792960662,67000.0,-1.0
68000.0,1.78125,-4.608106488982834E-13,68000.0,84.6,69.16114304023068,81.03448275862067,68.88888888888889,68000.0,-1.0
69000.0,1.796875,-4.648528475728298E-13,69000.0,84.1,68.15414196442877,80.27295285359801,67.41803278688523,69000.0,-1.0
70000.0,1.828125,-4.729372449219224E-13,70000.0,84.3,68.48174350161807,80.94660194174757,67.827868852459,70000.0,-1.0
71000.0,1.859375,-4.81021642271015E-13,71000.0,84.6,69.10199151709222,80.89330024813894,68.37782340862422,71000.0,-1.0
72000.0,1.859375,-4.81021642271015E-13,72000.0,85.7,71.41303565574097,82.89473684210526,71.34268537074148,72000.0,-1.0
73000.0,1.890625,-4.891060396201077E-13,73000.0,83.6,67.19999999999999,79.49999999999999,66.66666666666666,73000.0,-1.0
74000.0,1.921875,-4.971904369692003E-13,74000.0,84.0,68.05724142336932,80.29556650246303,67.280163599182,74000.0,-1.0
75000.0,1.953125,-5.05274834318293E-13,75000.0,84.7,69.24573661486014,81.1576354679803,68.77551020408163,75000.0,-1.0
76000.0,1.96875,-5.093170329928394E-13,76000.0,79.9,59.57296175320601,75.18518518518518,58.4710743801653,76000.0,-1.0
77000.0,2.0,-5.17401430341932E-13,77000.0,82.5,64.96945336333282,78.96634615384615,64.78873239436619,77000.0,-1.0
78000.0,2.03125,-5.254858276910246E-13,78000.0,83.89999999999999,67.69299921339476,80.76463560334528,66.94045174537987,78000.0,-1.0
79000.0,2.046875,-5.29528026365571E-13,79000.0,83.39999999999999,66.64952264617955,80.0,65.84362139917694,79000.0,-1.0
80000.0,2.078125,-5.376124237146637E-13,80000.0,82.8,65.53727784567913,78.60696517412934,65.25252525252525,80000.0,-1.0
81000.0,2.109375,-5.456968210637563E-13,81000.0,81.89999999999999,63.64118469474664,76.8542199488491,62.60330578512395,81000.0,-1.0
82000.0,2.125,-5.497390197383027E-13,82000.0,84.6,69.20997596778643,81.31067961165047,68.9516129032258,82000.0,-1.0
83000.0,2.15625,-5.578234170873953E-13,83000.0,84.8,69.61652860843701,81.86157517899761,68.72427983539094,83000.0,-1.0
84000.0,2.1875,-5.65907814436488E-13,84000.0,81.0,61.972011400390706,76.65847665847667,60.49896049896051,84000.0,-1.0
85000.0,2.203125,-5.699500131110344E-13,85000.0,85.9,71.81465637868308,82.80487804878048,71.16564417177914,85000.0,-1.0
86000.0,2.234375,-5.78034410460127E-13,86000.0,85.1,70.22001215183397,81.87347931873478,69.46721311475409,86000.0,-1.0
87000.0,2.265625,-5.861188078092197E-13,87000.0,84.8,69.64371305320337,81.44078144078145,69.23076923076923,87000.0,-1.0
88000.0,2.296875,-5.942032051583123E-13,88000.0,86.0,72.03936856905476,82.82208588957056,71.48676171079428,88000.0,-1.0
89000.0,2.3125,-5.982454038328587E-13,89000.0,85.9,71.67628199977501,82.95042321644497,71.04722792607802,89000.0,-1.0
90000.0,2.34375,-6.063298011819513E-13,90000.0,88.9,77.80301878944464,86.7699642431466,77.71084337349397,90000.0,-1.0
91000.0,2.359375,-6.103719998564977E-13,91000.0,86.6,73.1355252606255,83.53808353808353,73.03822937625755,91000.0,-1.0
92000.0,2.390625,-6.184563972055903E-13,92000.0,86.4,72.8,83.14745972738538,72.63581488933602,92000.0,-1.0
93000.0,2.421875,-6.26540794554683E-13,93000.0,87.3,74.59451241468157,84.53105968331303,74.2393509127789,93000.0,-1.0
94000.0,2.4375,-6.305829932292294E-13,94000.0,86.4,72.74472630494643,83.53510895883775,71.95876288659794,94000.0,-1.0
95000.0,2.46875,-6.38667390578322E-13,95000.0,87.7,75.41180233487927,85.10895883777239,74.42827442827443,95000.0,-1.0
96000.0,2.5,-6.467517879274147E-13,96000.0,87.1,74.1803770865858,84.42028985507247,74.60629921259843,96000.0,-1.0
97000.0,2.515625,-6.50793986601961E-13,97000.0,88.4,76.82141701068213,86.1244019138756,76.47058823529413,97000.0,-1.0
98000.0,2.546875,-6.588783839510537E-13,98000.0,86.6,73.17822071522076,83.45679012345678,72.81947261663286,98000.0,-1.0
99000.0,2.578125,-6.669627813001463E-13,99000.0,88.1,76.22757601182629,85.79952267303102,75.76374745417516,99000.0,-1.0
100000.0,2.59375,-6.710049799746927E-13,100000.0,87.4,74.8418631397355,84.78260869565216,73.96694214876032,100000.0,-1.0
