learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.0625,-1.616879469818539E-14,1000.0,83.7,67.43100568259017,80.21844660194174,66.25258799171841,1000.0,-1.0,423.0,373.1264307621926,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.109375,-2.8295390721824433E-14,2000.0,85.1,70.20715028393185,81.91747572815534,69.71544715447155,2000.0,-1.0,520.0,397.7995028207607,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.15625,-4.042198674546348E-14,3000.0,84.39999999999999,68.79700451243318,81.42857142857143,68.48484848484848,3000.0,-1.0,399.0,342.55413197527383,-4.7,2.2135943621178655,1.2000000000000002,0.6324555320336759,1.1000000000000003,0.31622776601683794,1.1000000000000003,0.31622776601683794,0.09999999999999999,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.203125,-5.2548582769102524E-14,4000.0,83.89999999999999,67.814933870684,80.17241379310344,67.4089068825911,4000.0,-1.0,309.0,275.01313099963465,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.25,-6.467517879274156E-14,5000.0,84.3,68.6095426990195,80.90024330900243,67.6954732510288,5000.0,-1.0,375.0,342.22312409693575,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.296875,-7.680177481638061E-14,6000.0,83.7,67.41642212324987,79.72636815920397,67.20321931589537,6000.0,-1.0,436.0,392.9715850626692,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.34375,-8.892837084001965E-14,7000.0,86.0,72.0281955788565,83.09178743961351,71.19341563786008,7000.0,-1.0,467.0,336.981700789029,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.390625,-1.010549668636587E-13,8000.0,84.89999999999999,69.8016911052981,81.80722891566265,69.67871485943775,8000.0,-1.0,323.0,321.3876164384683,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.4375,-1.1318156288729775E-13,9000.0,84.7,69.38726510228254,81.38686131386861,68.05845511482254,9000.0,-1.0,374.0,349.51394821952385,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.484375,-1.2530815891093678E-13,10000.0,83.1,66.18106139438085,78.60759493670886,65.85858585858585,10000.0,-1.0,372.0,260.8021813133046,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
