learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.0,0.0,1000.0,17.599999999999998,-64.92930457478661,0.0,-70.60041407867496,1000.0,-1.0
2000.0,0.0,0.0,2000.0,17.599999999999998,-64.80593301358849,0.0,-67.47967479674797,2000.0,-1.0
3000.0,0.0,0.0,3000.0,16.0,-68.09682377049178,0.0,-69.69696969696969,3000.0,-1.0
4000.0,0.0,0.0,4000.0,18.8,-62.41039426523298,0.0,-64.37246963562752,4000.0,-1.0
5000.0,0.0,0.0,5000.0,17.8,-64.41052227342551,0.0,-69.13580246913581,5000.0,-1.0
6000.0,0.0,0.0,6000.0,19.6,-60.823158534829005,0.0,-61.770623742454724,6000.0,-1.0
7000.0,0.0,0.0,7000.0,17.2,-65.72993226689722,0.0,-70.37037037037037,7000.0,-1.0
8000.0,0.015625,-4.042198674546348E-15,8000.0,17.0,-66.00066400265598,0.0,-66.66666666666666,8000.0,-1.0
9000.0,0.015625,-4.042198674546348E-15,9000.0,17.8,-64.44209717687728,0.0,-71.60751565762004,9000.0,-1.0
10000.0,0.015625,-4.042198674546348E-15,10000.0,21.0,-58.01580158015802,0.0,-59.5959595959596,10000.0,-1.0
11000.0,0.015625,-4.042198674546348E-15,11000.0,19.7,-60.754324151185145,0.0,-66.25258799171843,11000.0,-1.0
12000.0,0.015625,-4.042198674546348E-15,12000.0,19.3,-61.412913033042656,0.0,-58.546168958742626,12000.0,-1.0
13000.0,0.015625,-4.042198674546348E-15,13000.0,17.5,-65.03696828089492,0.0,-68.0244399185336,13000.0,-1.0
14000.0,0.015625,-4.042198674546348E-15,14000.0,15.9,-68.21345707656613,0.0,-70.9349593495935,14000.0,-1.0
15000.0,0.015625,-4.042198674546348E-15,15000.0,14.299999999999999,-71.81234963913391,0.0,-77.06611570247934,15000.0,-1.0
16000.0,0.015625,-4.042198674546348E-15,16000.0,17.4,-65.20264324229188,0.0,-65.2,16000.0,-1.0
17000.0,0.015625,-4.042198674546348E-15,17000.0,15.299999999999999,-69.40135521084169,0.0,-73.92197125256673,17000.0,-1.0
18000.0,0.015625,-4.042198674546348E-15,18000.0,17.4,-65.23238554756733,0.0,-71.36929460580915,18000.0,-1.0
19000.0,0.03125,-8.084397349092695E-15,19000.0,15.299999999999999,-69.41355308424674,0.0,-69.73947895791582,19000.0,-1.0
20000.0,0.03125,-8.084397349092695E-15,20000.0,17.9,-64.37884418247053,0.0,-71.39874739039666,20000.0,-1.0
21000.0,0.03125,-8.084397349092695E-15,21000.0,19.6,-60.84117534088727,0.0,-59.84095427435388,21000.0,-1.0
22000.0,0.03125,-8.084397349092695E-15,22000.0,22.0,-56.03994622623393,0.0,-56.94164989939638,22000.0,-1.0
23000.0,0.03125,-8.084397349092695E-15,23000.0,17.9,-64.2131370509641,0.0,-65.5241935483871,23000.0,-1.0
24000.0,0.03125,-8.084397349092695E-15,24000.0,18.8,-62.54629166249623,0.0,-67.42268041237114,24000.0,-1.0
25000.0,0.03125,-8.084397349092695E-15,25000.0,17.299999999999997,-65.41985038204584,0.0,-65.4,25000.0,-1.0
26000.0,0.03125,-8.084397349092695E-15,26000.0,19.1,-62.02164561119612,0.0,-69.60167714884696,26000.0,-1.0
27000.0,0.03125,-8.084397349092695E-15,27000.0,17.4,-65.2423020293195,0.0,-67.88617886178862,27000.0,-1.0
28000.0,0.03125,-8.084397349092695E-15,28000.0,18.2,-63.63207188608969,0.0,-67.62295081967213,28000.0,-1.0
29000.0,0.046875,-1.2126596023639042E-14,29000.0,21.0,-58.14232809528575,0.0,-64.92693110647183,29000.0,-1.0
30000.0,0.046875,-1.2126596023639042E-14,30000.0,15.6,-68.81080389144905,0.0,-67.79324055666002,30000.0,-1.0
31000.0,0.046875,-1.2126596023639042E-14,31000.0,16.400000000000002,-67.2240802675585,0.0,-69.57403651115618,31000.0,-1.0
32000.0,0.046875,-1.2126596023639042E-14,32000.0,17.599999999999998,-64.91148016058854,0.0,-69.19917864476388,32000.0,-1.0
