learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.046875,-1.2126596023639044E-14,1000.0,81.0,61.96592146563322,76.94174757281554,60.6625258799172,1000.0,-1.0,10.0
2000.0,0.09375,-2.4253192047278088E-14,2000.0,79.9,59.80578796653282,75.60679611650485,59.14634146341464,2000.0,-1.0,10.0
3000.0,0.140625,-3.637978807091713E-14,3000.0,80.0,60.00000000000001,76.1904761904762,59.5959595959596,3000.0,-1.0,10.0
4000.0,0.1875,-4.8506384094556176E-14,4000.0,77.8,55.621301775147934,72.66009852216749,55.06072874493928,4000.0,-1.0,10.0
5000.0,0.21875,-5.659078144364887E-14,5000.0,81.10000000000001,62.21390528285592,77.00729927007299,61.111111111111114,5000.0,-1.0,10.0
6000.0,0.265625,-6.871737746728791E-14,6000.0,79.2,58.41796343979402,74.12935323383086,58.14889336016097,6000.0,-1.0,10.0
7000.0,0.3125,-8.084397349092696E-14,7000.0,80.60000000000001,61.18695881816292,76.57004830917874,60.08230452674898,7000.0,-1.0,10.0
8000.0,0.359375,-9.2970569514566E-14,8000.0,82.0,64.00043199481605,78.3132530120482,63.85542168674698,8000.0,-1.0,10.0
9000.0,0.40625,-1.0509716553820505E-13,9000.0,80.7,61.37651692228876,76.5206812652068,59.70772442588728,9000.0,-1.0,10.0
10000.0,0.453125,-1.1722376156184408E-13,10000.0,80.9,61.786243047497116,75.82278481012659,61.41414141414142,10000.0,-1.0,10.0
11000.0,0.5,-1.2935035758548313E-13,11000.0,76.7,53.231633881975114,70.98381070983812,51.75983436853002,11000.0,-1.0,10.0
12000.0,0.546875,-1.4147695360912217E-13,12000.0,79.3,58.61390572767551,74.34944237918218,59.332023575638516,12000.0,-1.0,10.0
13000.0,0.59375,-1.5360354963276122E-13,13000.0,77.7,55.4128411017627,72.96969696969698,54.58248472505092,13000.0,-1.0,10.0
14000.0,0.640625,-1.6573014565640026E-13,14000.0,81.8,63.61280829148138,78.359096313912,63.008130081300806,14000.0,-1.0,10.0
15000.0,0.6875,-1.778567416800393E-13,15000.0,79.4,58.54530233756199,75.96266044340723,57.43801652892563,15000.0,-1.0,10.0
16000.0,0.734375,-1.8998333770367835E-13,16000.0,78.9,57.805738419574936,74.455205811138,57.800000000000004,16000.0,-1.0,10.0
17000.0,0.78125,-2.021099337273174E-13,17000.0,82.0,63.99481525339649,78.74852420306965,63.03901437371662,17000.0,-1.0,10.0
18000.0,0.8125,-2.101943310764101E-13,18000.0,79.10000000000001,58.22105658747992,74.69733656174333,56.639004149377605,18000.0,-1.0,10.0
19000.0,0.859375,-2.2232092710004914E-13,19000.0,80.30000000000001,60.60000000000001,76.74144037780401,60.52104208416834,19000.0,-1.0,10.0
20000.0,0.921875,-2.3848972179823454E-13,20000.0,80.80000000000001,61.55571218043187,76.61388550548112,59.916492693110655,20000.0,-1.0,10.0
21000.0,0.96875,-2.5061631782187356E-13,21000.0,77.60000000000001,55.13395718497628,72.13930348258707,55.467196819085494,21000.0,-1.0,10.0
22000.0,1.03125,-2.6678511252005895E-13,22000.0,77.10000000000001,54.148646484062155,70.64102564102565,53.92354124748492,22000.0,-1.0,10.0
23000.0,1.078125,-2.7891170854369797E-13,23000.0,78.9,57.76959410775759,74.29963459196104,57.45967741935485,23000.0,-1.0,10.0
24000.0,1.125,-2.91038304567337E-13,24000.0,78.8,57.546508600837065,73.89162561576356,56.288659793814446,24000.0,-1.0,10.0
25000.0,1.171875,-3.03164900590976E-13,25000.0,77.4,54.818976030067375,72.67230955259976,54.800000000000004,25000.0,-1.0,10.0
26000.0,1.21875,-3.1529149661461503E-13,26000.0,78.2,56.2770510676021,73.053152039555,54.29769392033543,26000.0,-1.0,10.0
27000.0,1.265625,-3.2741809263825405E-13,27000.0,79.2,58.397337429595495,74.818401937046,57.72357723577236,27000.0,-1.0,10.0
28000.0,1.3125,-3.3954468866189307E-13,28000.0,80.0,59.985434698230165,75.55012224938876,59.01639344262296,28000.0,-1.0,10.0
29000.0,1.359375,-3.516712846855321E-13,29000.0,75.1,50.0681799951873,68.48101265822784,48.01670146137787,29000.0,-1.0,10.0
30000.0,1.421875,-3.678400793837175E-13,30000.0,76.9,53.82438072697615,72.6303317535545,54.07554671968191,30000.0,-1.0,10.0
31000.0,1.46875,-3.799666754073565E-13,31000.0,80.2,60.39239533990527,76.31578947368422,59.83772819472617,31000.0,-1.0,10.0
32000.0,1.515625,-3.9209327143099553E-13,32000.0,79.10000000000001,58.18695432975088,74.63592233009709,57.08418891170432,32000.0,-1.0,10.0
33000.0,1.5625,-4.0421986745463455E-13,33000.0,79.60000000000001,59.16226593372277,74.6268656716418,58.28220858895706,33000.0,-1.0,10.0
34000.0,1.609375,-4.1634646347827357E-13,34000.0,78.0,55.98996571218239,73.10513447432764,55.102040816326536,34000.0,-1.0,10.0
35000.0,1.65625,-4.284730595019126E-13,35000.0,75.1,50.230260001918836,69.55990220048899,49.696969696969695,35000.0,-1.0,10.0
