learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.03679026,-9.517666573325792E-15,1000.0,83.0,65.99999999999999,79.36893203883494,64.80331262939958,1000.0,-1.0,10.0
2000.0,0.063288993,-1.6372907751550275E-14,2000.0,86.2,72.40893950360083,83.252427184466,71.95121951219512,2000.0,-1.0,10.0
3000.0,0.092756855,-2.3996264725509615E-14,3000.0,89.2,78.40621900892543,87.14285714285714,78.18181818181819,3000.0,-1.0,10.0
4000.0,0.121526219,-3.1438919767323464E-14,4000.0,87.0,74.00499104171999,83.99014778325122,73.68421052631578,4000.0,-1.0,10.0
5000.0,0.151463967,-3.918383658553163E-14,5000.0,88.5,77.00331152314067,86.00973236009733,76.33744855967079,5000.0,-1.0,10.0
6000.0,0.174637144,-4.5178754048215014E-14,6000.0,87.3,74.60426648323082,84.20398009950249,74.44668008048289,6000.0,-1.0,10.0
7000.0,0.202670393,-5.243097561308079E-14,7000.0,89.5,79.00587835406087,87.31884057971014,78.39506172839506,7000.0,-1.0,10.0
8000.0,0.229480941,-5.936688355480631E-14,8000.0,89.1,78.20052318744351,86.86746987951808,78.1124497991968,8000.0,-1.0,10.0
9000.0,0.259231334,-6.706333150052362E-14,9000.0,88.7,77.39638342134741,86.25304136253041,76.40918580375782,9000.0,-1.0,10.0
10000.0,0.286046751,-7.40004990560313E-14,10000.0,87.8,75.59658352169303,84.55696202531647,75.35353535353535,10000.0,-1.0,10.0
11000.0,0.318971594,-8.251817948702309E-14,11000.0,87.7,75.38523113868322,84.6824408468244,74.53416149068323,11000.0,-1.0,10.0
12000.0,0.347100767,-8.979521665929093E-14,12000.0,89.1,78.20383612484203,86.49318463444857,78.58546168958743,12000.0,-1.0,10.0
13000.0,0.377664864,-9.770217041174571E-14,13000.0,88.7,77.40795240075494,86.3030303030303,76.9857433808554,13000.0,-1.0,10.0
14000.0,0.402069048,-1.0401555026570956E-13,14000.0,90.7,81.40208296670774,88.94173602853745,81.09756097560977,14000.0,-1.0,10.0
15000.0,0.433261128,-1.1208496366937955E-13,15000.0,90.9,81.78426160202416,89.38156359393233,81.19834710743802,15000.0,-1.0,10.0
