learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.078125,-2.021099337273174E-14,1000.0,84.6,69.16200759335501,81.31067961165047,68.1159420289855,1000.0,-1.0
2000.0,0.140625,-3.637978807091713E-14,2000.0,87.9,75.80116154424587,85.31553398058253,75.40650406504065,2000.0,-1.0
3000.0,0.203125,-5.254858276910252E-14,3000.0,89.2,78.4,87.14285714285714,78.18181818181819,3000.0,-1.0
4000.0,0.265625,-6.871737746728791E-14,4000.0,88.2,76.40151030334059,85.46798029556649,76.11336032388664,4000.0,-1.0
5000.0,0.328125,-8.48861721654733E-14,5000.0,88.9,77.80106554885366,86.4963503649635,77.1604938271605,5000.0,-1.0
6000.0,0.390625,-1.010549668636587E-13,6000.0,88.1,76.20285565732112,85.19900497512438,76.05633802816901,6000.0,-1.0
7000.0,0.453125,-1.1722376156184408E-13,7000.0,89.8,79.60000000000001,87.68115942028984,79.01234567901236,7000.0,-1.0
8000.0,0.515625,-1.3339255626002948E-13,8000.0,89.9,79.80032319482889,87.83132530120483,79.71887550200803,8000.0,-1.0
9000.0,0.578125,-1.4956135095821487E-13,9000.0,88.9,77.79786859538515,86.4963503649635,76.82672233820459,9000.0,-1.0
10000.0,0.640625,-1.6573014565640026E-13,10000.0,88.2,76.40047199056019,85.0632911392405,76.16161616161617,10000.0,-1.0
11000.0,0.71875,-1.85941139029132E-13,11000.0,87.7,75.4,84.6824408468244,74.53416149068323,11000.0,-1.0
12000.0,0.78125,-2.021099337273174E-13,12000.0,89.0,78.0,86.36926889714995,78.38899803536346,12000.0,-1.0
13000.0,0.84375,-2.182787284255028E-13,13000.0,89.0,78.00281563959814,86.66666666666669,77.59674134419552,13000.0,-1.0
14000.0,0.90625,-2.3444752312368816E-13,14000.0,90.5,81.00151987840974,88.70392390011891,80.69105691056912,14000.0,-1.0
15000.0,0.96875,-2.5061631782187356E-13,15000.0,90.8,81.59293168576734,89.26487747957992,80.9917355371901,15000.0,-1.0
16000.0,1.03125,-2.6678511252005895E-13,16000.0,89.8,79.60024479706243,87.65133171912832,79.39393939393939,16000.0,-1.0
17000.0,1.078125,-2.7891170854369797E-13,17000.0,90.9,81.79956318951656,89.24349881796691,80.17429193899783,17000.0,-1.0
18000.0,1.140625,-2.9508050324188337E-13,18000.0,90.4,80.79838706451342,88.36363636363637,80.12422360248448,18000.0,-1.0
19000.0,1.203125,-3.1124929794006876E-13,19000.0,90.60000000000001,81.2,88.83610451306414,81.2,19000.0,-1.0
20000.0,1.28125,-3.314602913128005E-13,20000.0,89.7,79.39851669320191,87.33087330873309,77.4617067833698,20000.0,-1.0
21000.0,1.34375,-3.4762908601098587E-13,21000.0,88.1,76.19904796191848,84.8984771573604,75.564681724846,21000.0,-1.0
22000.0,1.40625,-3.6379788070917126E-13,22000.0,86.2,72.40176628695762,81.6,71.3097713097713,22000.0,-1.0
23000.0,1.46875,-3.7996667540735666E-13,23000.0,88.7,77.39837268283316,84.913217623498,76.9857433808554,23000.0,-1.0
24000.0,1.515625,-3.920932714309957E-13,24000.0,88.6,77.20629106366643,83.5734870317003,77.24550898203593,24000.0,-1.0
25000.0,1.578125,-4.0826206612918107E-13,25000.0,85.2,70.3360445119678,77.67722473604825,69.0376569037657,25000.0,-1.0
26000.0,1.640625,-4.2443086082736647E-13,26000.0,86.7,73.36270779090727,80.6966618287373,73.02231237322515,26000.0,-1.0
27000.0,1.71875,-4.446418542000982E-13,27000.0,84.1,68.17479443719425,76.98986975397973,68.00804828973843,27000.0,-1.0
28000.0,1.8125,-4.688950462473762E-13,28000.0,84.5,68.97691882760773,79.27807486631015,67.02127659574467,28000.0,-1.0
29000.0,1.90625,-4.931482382946543E-13,29000.0,84.2,68.45514041455534,79.45383615084525,64.81069042316257,29000.0,-1.0
30000.0,1.96875,-5.093170329928397E-13,30000.0,89.2,78.4,86.86131386861314,78.61386138613862,30000.0,-1.0
31000.0,2.03125,-5.254858276910251E-13,31000.0,88.5,77.0,86.19447779111644,76.0914760914761,31000.0,-1.0
32000.0,2.078125,-5.376124237146641E-13,32000.0,88.0,76.0052788386555,85.54216867469879,75.4601226993865,32000.0,-1.0
33000.0,2.140625,-5.537812184128495E-13,33000.0,86.9,73.80314362276526,83.5633626097867,73.26530612244898,33000.0,-1.0
34000.0,2.21875,-5.739922117855812E-13,34000.0,88.3,76.59719166299956,85.62653562653563,75.77639751552795,34000.0,-1.0
35000.0,2.28125,-5.901610064837666E-13,35000.0,87.5,75.00499900019996,84.7560975609756,74.2798353909465,35000.0,-1.0
36000.0,2.34375,-6.06329801181952E-13,36000.0,89.3,78.59332111618825,86.93528693528694,78.02874743326488,36000.0,-1.0
37000.0,2.40625,-6.224985958801374E-13,37000.0,88.8,77.59139509571676,86.44067796610169,77.41935483870968,37000.0,-1.0
38000.0,2.46875,-6.386673905783228E-13,38000.0,89.9,79.79773734658282,88.03317535545024,79.47154471544717,38000.0,-1.0
39000.0,2.53125,-6.548361852765082E-13,39000.0,88.9,77.80159828492349,86.36363636363636,77.1604938271605,39000.0,-1.0
40000.0,2.59375,-6.710049799746936E-13,40000.0,89.9,79.7975757090851,87.80193236714976,79.67806841046277,40000.0,-1.0
41000.0,2.65625,-6.87173774672879E-13,41000.0,87.5,74.99819987039066,84.07643312101911,72.4669603524229,41000.0,-1.0
42000.0,2.71875,-7.033425693710644E-13,42000.0,89.2,78.4003455944705,86.81318681318683,77.63975155279503,42000.0,-1.0
43000.0,2.78125,-7.195113640692498E-13,43000.0,89.9,79.80032319482889,87.91866028708134,79.4297352342159,43000.0,-1.0
44000.0,2.84375,-7.356801587674352E-13,44000.0,91.4,82.80055038238777,89.83451536643027,82.00836820083683,44000.0,-1.0
45000.0,2.90625,-7.518489534656206E-13,45000.0,89.9,79.79644417417467,87.72782503037668,79.5131845841785,45000.0,-1.0
46000.0,2.96875,-7.68017748163806E-13,46000.0,87.5,74.99979999839998,83.9331619537275,74.9498997995992,46000.0,-1.0
47000.0,3.03125,-7.841865428619914E-13,47000.0,89.1,78.20575368102821,86.28930817610063,77.10084033613445,47000.0,-1.0
48000.0,3.109375,-8.043975362347231E-13,48000.0,88.5,77.00110394701055,84.76821192052981,77.13717693836978,48000.0,-1.0
49000.0,3.171875,-8.205663309329085E-13,49000.0,87.5,74.94286974301407,82.09169054441261,73.00215982721382,49000.0,-1.0
50000.0,3.234375,-8.367351256310939E-13,50000.0,86.1,72.26346120077261,79.06626506024097,71.91919191919192,50000.0,-1.0
51000.0,3.3125,-8.569461190038257E-13,51000.0,84.89999999999999,69.80748774303972,78.36676217765043,69.67871485943775,51000.0,-1.0
52000.0,3.390625,-8.771571123765574E-13,52000.0,84.1,68.36626690116745,77.574047954866,66.73640167364016,52000.0,-1.0
53000.0,3.46875,-8.973681057492892E-13,53000.0,83.8,67.36936668372053,79.06976744186046,65.82278481012658,53000.0,-1.0
54000.0,3.53125,-9.135369004474746E-13,54000.0,83.3,66.43890675241157,79.5593635250918,65.56701030927834,54000.0,-1.0
55000.0,3.609375,-9.337478938202063E-13,55000.0,85.7,71.41692118265986,82.05771643663738,71.34268537074148,55000.0,-1.0
56000.0,3.6875,-9.53958887192938E-13,56000.0,85.5,70.95608560142936,82.03221809169764,70.16460905349794,56000.0,-1.0
57000.0,3.75,-9.701276818911232E-13,57000.0,89.7,79.4,88.0232558139535,79.4,57000.0,-1.0
58000.0,3.8125,-9.862964765893085E-13,58000.0,89.0,78.00431115501362,86.56898656898659,77.03549060542798,58000.0,-1.0
59000.0,3.859375,-9.984230726129477E-13,59000.0,89.2,78.39930877788089,86.76470588235293,77.16701902748414,59000.0,-1.0
60000.0,3.921875,-1.014591867311133E-12,60000.0,88.0,76.00335952966584,84.94353826850691,73.09417040358744,60000.0,-1.0
61000.0,3.984375,-1.0307606620093182E-12,61000.0,88.9,77.79822385790864,86.39705882352942,77.48478701825559,61000.0,-1.0
62000.0,4.046875,-1.0469294567075035E-12,62000.0,88.2,76.39480685750864,85.3233830845771,76.16161616161617,62000.0,-1.0
63000.0,4.109375,-1.0630982514056888E-12,63000.0,88.8,77.58421929038043,86.24078624078622,76.32135306553911,63000.0,-1.0
64000.0,4.171875,-1.0792670461038741E-12,64000.0,89.4,78.79830386430915,87.16707021791767,78.49898580121705,64000.0,-1.0
65000.0,4.234375,-1.0954358408020594E-12,65000.0,89.3,78.59571914382877,86.91931540342298,78.16326530612245,65000.0,-1.0
