learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
100.0,0.0,0.0,100.0,72.0,43.82022471910111,65.0,37.777777777777764,100.0,-1.0,3.0
200.0,0.0,0.0,200.0,74.0,47.82783184508879,66.87898089171973,44.68085106382978,200.0,-1.0,3.0
300.0,0.0,0.0,300.0,77.0,53.7987679671458,70.51282051282051,50.71428571428572,300.0,-1.0,3.0
400.0,0.0,0.0,400.0,79.25,58.408498697133695,74.0625,56.08465608465608,400.0,-1.0,3.0
500.0,0.0,0.0,500.0,81.0,61.974446828268604,76.94174757281554,60.580912863070544,500.0,-1.0,3.0
600.0,0.0,0.0,600.0,81.66666666666667,63.30724070450098,77.59674134419552,61.93771626297577,600.0,-1.0,3.0
700.0,0.015625,-4.042198674546348E-15,700.0,82.14285714285714,64.26821300228683,78.14685314685315,62.686567164179095,700.0,-1.0,3.0
800.0,0.015625,-4.042198674546348E-15,800.0,82.875,65.73886513116763,79.27382753403933,64.32291666666666,800.0,-1.0,3.0
900.0,0.015625,-4.042198674546348E-15,900.0,83.44444444444444,66.88332855886914,79.91913746630728,65.34883720930232,900.0,-1.0,3.0
1000.0,0.015625,-4.042198674546348E-15,1000.0,83.7,67.40182549777212,80.21844660194174,66.25258799171841,1000.0,-1.0,3.0
1100.0,0.015625,-4.042198674546348E-15,1100.0,85.5,71.0069583300008,82.57211538461539,70.28688524590163,1100.0,-1.0,3.0
1200.0,0.015625,-4.042198674546348E-15,1200.0,86.7,73.41276187430033,84.14779499404052,72.57731958762886,1200.0,-1.0,3.0
1300.0,0.015625,-4.042198674546348E-15,1300.0,86.8,73.61688519347618,84.47058823529412,73.06122448979592,1300.0,-1.0,3.0
1400.0,0.015625,-4.042198674546348E-15,1400.0,86.3,72.6192760296751,83.67103694874851,71.98364008179959,1400.0,-1.0,3.0
1500.0,0.015625,-4.042198674546348E-15,1500.0,86.0,72.01790853853534,83.05084745762711,71.42857142857143,1500.0,-1.0,3.0
1600.0,0.015625,-4.042198674546348E-15,1600.0,86.4,72.81739686600575,83.63417569193741,72.35772357723576,1600.0,-1.0,3.0
1700.0,0.015625,-4.042198674546348E-15,1700.0,86.3,72.60197265796863,83.53365384615384,72.54509018036072,1700.0,-1.0,3.0
1800.0,0.015625,-4.042198674546348E-15,1800.0,86.0,72.00503909296326,83.03030303030305,71.83098591549295,1800.0,-1.0,3.0
1900.0,0.015625,-4.042198674546348E-15,1900.0,85.3,70.6,82.00734394124846,70.54108216432866,1900.0,-1.0,3.0
2000.0,0.015625,-4.042198674546348E-15,2000.0,85.8,71.60579241834665,82.76699029126212,71.13821138211381,2000.0,-1.0,3.0
2100.0,0.03125,-8.084397349092695E-15,2100.0,85.2,70.39775022901739,81.95121951219511,70.04048582995951,2100.0,-1.0,3.0
2200.0,0.03125,-8.084397349092695E-15,2200.0,85.3,70.59153036074389,82.11678832116787,70.6,2200.0,-1.0,3.0
2300.0,0.03125,-8.084397349092695E-15,2300.0,85.6,71.19735015621437,82.43902439024389,71.2,2300.0,-1.0,3.0
2400.0,0.03125,-8.084397349092695E-15,2400.0,85.5,71.0,82.42424242424242,71.23015873015872,2400.0,-1.0,3.0
2500.0,0.03125,-8.084397349092695E-15,2500.0,85.6,71.20656490320206,82.73381294964028,71.14228456913827,2500.0,-1.0,3.0
