learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.046875,-1.2126596023639044E-14,1000.0,83.39999999999999,66.8,79.85436893203882,65.63146997929606,1000.0,-1.0,10.0
2000.0,0.0625,-1.616879469818539E-14,2000.0,87.5,75.00539883385188,84.83009708737865,74.59349593495935,2000.0,-1.0,10.0
3000.0,0.09375,-2.4253192047278085E-14,3000.0,88.7,77.4075910494074,86.54761904761905,77.17171717171716,3000.0,-1.0,10.0
4000.0,0.109375,-2.8295390721824433E-14,4000.0,87.4,74.80241896777909,84.48275862068965,74.49392712550608,4000.0,-1.0,10.0
5000.0,0.140625,-3.637978807091713E-14,5000.0,87.7,75.40196784257259,85.03649635036497,74.69135802469135,5000.0,-1.0,10.0
6000.0,0.15625,-4.042198674546348E-14,6000.0,87.0,74.00623850275933,83.83084577114427,73.8430583501006,6000.0,-1.0,10.0
7000.0,0.1875,-4.8506384094556176E-14,7000.0,89.4,78.80712080740871,87.19806763285023,78.18930041152264,7000.0,-1.0,10.0
8000.0,0.203125,-5.2548582769102524E-14,8000.0,88.9,77.80071037726793,86.62650602409639,77.71084337349397,8000.0,-1.0,10.0
9000.0,0.234375,-6.063298011819522E-14,9000.0,88.8,77.59569837408783,86.37469586374695,76.61795407098121,9000.0,-1.0,10.0
10000.0,0.265625,-6.871737746728791E-14,10000.0,87.7,75.39606337013922,84.43037974683546,75.15151515151514,10000.0,-1.0,10.0
11000.0,0.296875,-7.680177481638061E-14,11000.0,87.3,74.57559256886611,84.18430884184309,73.70600414078675,11000.0,-1.0,10.0
12000.0,0.3125,-8.084397349092696E-14,12000.0,89.0,78.00211179726747,86.36926889714995,78.38899803536346,12000.0,-1.0,10.0
13000.0,0.34375,-8.892837084001965E-14,13000.0,88.8,77.60859829825347,86.42424242424244,77.18940936863544,13000.0,-1.0,10.0
14000.0,0.359375,-9.2970569514566E-14,14000.0,90.5,81.0009119562261,88.70392390011891,80.69105691056912,14000.0,-1.0,10.0
15000.0,0.390625,-1.010549668636587E-13,15000.0,90.9,81.79125980470626,89.38156359393233,81.19834710743802,15000.0,-1.0,10.0
16000.0,0.421875,-1.091393642127514E-13,16000.0,89.8,79.60024479706243,87.65133171912832,79.39393939393939,16000.0,-1.0,10.0
17000.0,0.4375,-1.1318156288729775E-13,17000.0,90.9,81.79927197087883,89.24349881796691,80.17429193899783,17000.0,-1.0,10.0
18000.0,0.46875,-1.2126596023639043E-13,18000.0,90.0,80.00279960805487,87.87878787878789,79.29606625258799,18000.0,-1.0,10.0
19000.0,0.484375,-1.2530815891093678E-13,19000.0,90.60000000000001,81.20120312300013,88.83610451306414,81.2,19000.0,-1.0,10.0
20000.0,0.515625,-1.3339255626002948E-13,20000.0,90.10000000000001,80.2014254973642,87.82287822878229,78.33698030634574,20000.0,-1.0,10.0
21000.0,0.546875,-1.4147695360912217E-13,21000.0,88.2,76.40047199056019,85.0253807106599,75.7700205338809,21000.0,-1.0,10.0
22000.0,0.5625,-1.4551915228366852E-13,22000.0,86.0,72.00089597132892,81.33333333333333,70.89397089397089,22000.0,-1.0,10.0
23000.0,0.59375,-1.5360354963276122E-13,23000.0,88.6,77.19917917045014,84.77970627503339,76.78207739307535,23000.0,-1.0,10.0
24000.0,0.609375,-1.5764574830730757E-13,24000.0,88.5,77.00551867551788,83.42939481268012,77.04590818363273,24000.0,-1.0,10.0
25000.0,0.640625,-1.6573014565640026E-13,25000.0,84.8,69.53162897542083,77.07390648567117,68.20083682008368,25000.0,-1.0,10.0
26000.0,0.671875,-1.7381454300549296E-13,26000.0,86.8,73.56521181875347,80.84179970972423,73.22515212981745,26000.0,-1.0,10.0
27000.0,0.703125,-1.8189894035458566E-13,27000.0,83.89999999999999,67.77447738608979,76.70043415340086,67.6056338028169,27000.0,-1.0,10.0
28000.0,0.734375,-1.8998333770367835E-13,28000.0,83.3,66.57031443922202,77.67379679144385,64.46808510638297,28000.0,-1.0,10.0
29000.0,0.765625,-1.9806773505277105E-13,29000.0,82.0,64.1932134203836,76.59297789336802,59.91091314031179,29000.0,-1.0,10.0
30000.0,0.796875,-2.0615213240186375E-13,30000.0,86.4,72.78911564625851,83.45498783454987,73.06930693069307,30000.0,-1.0,10.0
