learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),[avg] classified instances,[err] classified instances,[avg] classifications correct (percent),[err] classifications correct (percent),[avg] Kappa Statistic (percent),[err] Kappa Statistic (percent),[avg] Kappa Temporal Statistic (percent),[err] Kappa Temporal Statistic (percent),[avg] Kappa M Statistic (percent),[err] Kappa M Statistic (percent)
1000.0,0.0,0.0,1000.0,0.0,73.02000000000001,3.00769383784691,46.21892289531632,5.85970393298295,67.25728155339804,3.6501138808821514,44.140786749482395,6.227109395128163
2000.0,0.015625,-4.042198674546348E-14,2000.0,0.0,73.65999999999998,3.097023660800084,47.33609030659624,6.169513976567751,68.03398058252426,3.758523860194275,46.46341463414634,6.294763538211552
3000.0,0.03125,-8.084397349092696E-14,3000.0,0.0,77.83,3.3333499999583314,55.687929319560325,6.616601475663429,73.60714285714286,3.968273809474209,55.21212121212122,6.7340404039562305
4000.0,0.046875,-1.2126596023639043E-13,4000.0,0.0,76.05000000000001,2.845366603991675,52.118498140874244,5.664149201503864,70.50492610837439,3.5041460640291615,51.51821862348178,5.759851425084365
5000.0,0.0625,-1.6168794698185392E-13,5000.0,0.0,79.56,2.3190994420727646,59.12079854402721,4.636706250063793,75.13381995133821,2.82128885896931,57.94238683127572,4.771809551590056
6000.0,0.0625,-1.6168794698185392E-13,6000.0,0.0,79.63,1.8055777776410278,59.27468821999175,3.5867972346329324,74.66417910447761,2.245743504528639,59.01408450704226,3.632953274931642
7000.0,0.078125,-2.021099337273174E-13,7000.0,0.0,81.81,1.7847813435948985,63.66868366490961,3.5465306225992292,78.03140096618355,2.155533023665341,62.572016460905346,3.67238959587429
8000.0,0.09375,-2.425319204727808E-13,8000.0,0.0,81.66,1.8697593428032353,63.323009971908434,3.7392580374276383,77.90361445783132,2.252722099762935,63.1726907630522,3.7545368329382254
9000.0,0.109375,-2.8295390721824404E-13,9000.0,0.0,82.15,1.524066198620574,64.26439475837356,3.069960011535547,78.2846715328467,1.8540951321418149,62.7348643006263,3.1817665941974442
10000.0,0.125,-3.233758939637073E-13,10000.0,0.0,81.09000000000002,1.3633700076566793,62.16148017967495,2.72154656307985,76.0632911392405,1.7257848198185737,61.7979797979798,2.7542828437508633
