learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.03125,-8.084397349092695E-15,1000.0,83.2,66.38494045332308,79.61165048543688,65.21739130434781,1000.0,-1.0,10.0
2000.0,0.046875,-1.2126596023639042E-14,2000.0,87.2,74.40460717070927,84.4660194174757,73.98373983739837,2000.0,-1.0,10.0
3000.0,0.0625,-1.616879469818539E-14,3000.0,88.7,77.40542269855236,86.54761904761905,77.17171717171716,3000.0,-1.0,10.0
4000.0,0.09375,-2.4253192047278085E-14,4000.0,86.7,73.40893459797508,83.62068965517241,73.07692307692307,4000.0,-1.0,10.0
5000.0,0.109375,-2.8295390721824433E-14,5000.0,88.1,76.20266530148623,85.52311435523114,75.51440329218107,5000.0,-1.0,10.0
6000.0,0.125,-3.233758939637078E-14,6000.0,86.8,73.60506782697722,83.5820895522388,73.44064386317908,6000.0,-1.0,10.0
7000.0,0.140625,-3.637978807091713E-14,7000.0,89.3,78.60599032270966,87.07729468599034,77.98353909465021,7000.0,-1.0,10.0
8000.0,0.15625,-4.042198674546348E-14,8000.0,88.9,77.8012431303847,86.62650602409639,77.71084337349397,8000.0,-1.0,10.0
9000.0,0.1875,-4.8506384094556176E-14,9000.0,88.0,75.99231754161332,85.40145985401459,74.94780793319416,9000.0,-1.0,10.0
10000.0,0.203125,-5.2548582769102524E-14,10000.0,87.0,73.9932382419429,83.54430379746836,73.73737373737373,10000.0,-1.0,10.0
11000.0,0.21875,-5.659078144364887E-14,11000.0,86.8,73.5730445053955,83.56164383561645,72.67080745341615,11000.0,-1.0,10.0
12000.0,0.234375,-6.063298011819522E-14,12000.0,88.5,77.00404728767737,85.74969021065675,77.40667976424362,12000.0,-1.0,10.0
13000.0,0.25,-6.467517879274156E-14,13000.0,88.4,76.80890538033395,85.93939393939395,76.37474541751527,13000.0,-1.0,10.0
14000.0,0.28125,-7.275957614183426E-14,14000.0,90.0,80.0019198156977,88.10939357907253,79.67479674796748,14000.0,-1.0,10.0
15000.0,0.296875,-7.680177481638061E-14,15000.0,90.3,80.58322390545432,88.68144690781797,79.95867768595042,15000.0,-1.0,10.0
16000.0,0.3125,-8.084397349092696E-14,16000.0,88.3,76.60018719850241,85.83535108958837,76.36363636363637,16000.0,-1.0,10.0
17000.0,0.328125,-8.48861721654733E-14,17000.0,89.7,79.39851669320191,87.82505910165484,77.5599128540305,17000.0,-1.0,10.0
18000.0,0.34375,-8.892837084001965E-14,18000.0,89.2,78.40544182865918,86.90909090909092,77.63975155279503,18000.0,-1.0,10.0
19000.0,0.375,-9.701276818911235E-14,19000.0,89.7,79.40362496200669,87.76722090261283,79.4,19000.0,-1.0,10.0
20000.0,0.390625,-1.010549668636587E-13,20000.0,88.9,77.81437628416786,86.34686346863468,75.71115973741794,20000.0,-1.0,10.0
21000.0,0.40625,-1.0509716553820505E-13,21000.0,86.9,73.79580732917267,83.3756345177665,73.1006160164271,21000.0,-1.0,10.0
22000.0,0.421875,-1.091393642127514E-13,22000.0,85.0,69.99903996927901,80.0,68.81496881496881,22000.0,-1.0,10.0
23000.0,0.453125,-1.1722376156184408E-13,23000.0,87.2,74.38616853100675,82.9105473965287,73.93075356415478,23000.0,-1.0,10.0
24000.0,0.46875,-1.2126596023639043E-13,24000.0,87.6,75.20565311109067,82.13256484149858,75.249500998004,24000.0,-1.0,10.0
25000.0,0.484375,-1.2530815891093678E-13,25000.0,85.0,69.95637665890872,77.37556561085971,68.61924686192468,25000.0,-1.0,10.0
26000.0,0.5,-1.2935035758548313E-13,26000.0,86.2,72.37137674630917,79.9709724238026,72.00811359026369,26000.0,-1.0,10.0
27000.0,0.515625,-1.3339255626002948E-13,27000.0,83.6,67.17439602890254,76.26628075253254,67.0020120724346,27000.0,-1.0,10.0
28000.0,0.53125,-1.3743475493457582E-13,28000.0,84.2,68.37685185555826,78.87700534759358,66.38297872340425,28000.0,-1.0,10.0
29000.0,0.5625,-1.4551915228366852E-13,29000.0,82.89999999999999,65.94493834241467,77.7633289986996,61.9153674832962,29000.0,-1.0,10.0
30000.0,0.578125,-1.4956135095821487E-13,30000.0,85.6,71.18755302290589,82.48175182481751,71.48514851485149,30000.0,-1.0,10.0
31000.0,0.609375,-1.5764574830730757E-13,31000.0,86.3,72.5343020505048,83.55342136854742,71.51767151767152,31000.0,-1.0,10.0
32000.0,0.625,-1.6168794698185392E-13,32000.0,86.6,73.15866434308835,83.855421686747,72.59713701431492,32000.0,-1.0,10.0
33000.0,0.640625,-1.6573014565640026E-13,33000.0,85.6,71.16308875360461,81.9322459222083,70.61224489795917,33000.0,-1.0,10.0
34000.0,0.65625,-1.697723443309466E-13,34000.0,88.0,76.00815722654298,85.25798525798524,75.15527950310559,34000.0,-1.0,10.0
35000.0,0.6875,-1.778567416800393E-13,35000.0,86.2,72.38674563790619,83.17073170731706,71.60493827160494,35000.0,-1.0,10.0
36000.0,0.703125,-1.8189894035458566E-13,36000.0,87.9,75.77228349231521,85.22588522588522,75.15400410677618,36000.0,-1.0,10.0
37000.0,0.71875,-1.85941139029132E-13,37000.0,88.8,77.60859829825347,86.44067796610169,77.41935483870968,37000.0,-1.0,10.0
38000.0,0.734375,-1.8998333770367835E-13,38000.0,89.0,78.00307956886037,86.96682464454977,77.64227642276424,38000.0,-1.0,10.0
39000.0,0.765625,-1.9806773505277105E-13,39000.0,88.4,76.80584492707837,85.74938574938574,76.13168724279835,39000.0,-1.0,10.0
40000.0,0.78125,-2.021099337273174E-13,40000.0,89.9,79.7975757090851,87.80193236714976,79.67806841046277,40000.0,-1.0,10.0
