learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.015625,-4.042198674546348E-15,1000.0,84.8,69.6,81.55339805825241,68.53002070393373,1000.0,-1.0,9.0
2000.0,0.046875,-1.2126596023639042E-14,2000.0,89.3,78.60359459610785,87.01456310679612,78.25203252032522,2000.0,-1.0,9.0
3000.0,0.0625,-1.616879469818539E-14,3000.0,92.0,84.00307141028924,90.47619047619048,83.83838383838385,3000.0,-1.0,9.0
4000.0,0.078125,-2.021099337273174E-14,4000.0,93.7,87.39899191935356,92.24137931034484,87.24696356275304,4000.0,-1.0,9.0
5000.0,0.109375,-2.8295390721824433E-14,5000.0,94.69999999999999,89.39915193215457,93.5523114355231,89.09465020576131,5000.0,-1.0,9.0
6000.0,0.125,-3.233758939637078E-14,6000.0,99.3,98.59969753466748,99.12935323383083,98.59154929577466,6000.0,-1.0,9.0
7000.0,0.140625,-3.637978807091713E-14,7000.0,99.7,99.39942825569943,99.63768115942028,99.38271604938271,7000.0,-1.0,9.0
8000.0,0.15625,-4.042198674546348E-14,8000.0,99.6,99.1999903998848,99.51807228915662,99.19678714859438,8000.0,-1.0,9.0
9000.0,0.171875,-4.446418542000983E-14,9000.0,99.8,99.59992318525157,99.7566909975669,99.58246346555325,9000.0,-1.0,9.0
10000.0,0.1875,-4.8506384094556176E-14,10000.0,99.7,99.39997599903995,99.62025316455696,99.39393939393939,10000.0,-1.0,9.0
11000.0,0.21875,-5.659078144364887E-14,11000.0,99.6,99.19937551290006,99.50186799501867,99.17184265010351,11000.0,-1.0,9.0
12000.0,0.234375,-6.063298011819522E-14,12000.0,99.4,98.79988478893974,99.25650557620817,98.82121807465619,12000.0,-1.0,9.0
13000.0,0.25,-6.467517879274156E-14,13000.0,99.7,99.39990398463753,99.63636363636364,99.38900203665987,13000.0,-1.0,9.0
14000.0,0.28125,-7.275957614183426E-14,14000.0,99.9,99.7999839987199,99.88109393579072,99.79674796747967,14000.0,-1.0,9.0
15000.0,0.296875,-7.680177481638061E-14,15000.0,100.0,100.0,100.0,100.0,15000.0,-1.0,9.0
16000.0,0.3125,-8.084397349092696E-14,16000.0,100.0,100.0,100.0,100.0,16000.0,-1.0,9.0
17000.0,0.328125,-8.48861721654733E-14,17000.0,100.0,100.0,100.0,100.0,17000.0,-1.0,9.0
18000.0,0.34375,-8.892837084001965E-14,18000.0,100.0,100.0,100.0,100.0,18000.0,-1.0,9.0
19000.0,0.359375,-9.2970569514566E-14,19000.0,100.0,100.0,100.0,100.0,19000.0,-1.0,9.0
20000.0,0.375,-9.701276818911235E-14,20000.0,100.0,100.0,100.0,100.0,20000.0,-1.0,9.0
21000.0,0.390625,-1.010549668636587E-13,21000.0,100.0,100.0,100.0,100.0,21000.0,-1.0,9.0
22000.0,0.421875,-1.091393642127514E-13,22000.0,100.0,100.0,100.0,100.0,22000.0,-1.0,9.0
23000.0,0.4375,-1.1318156288729775E-13,23000.0,100.0,100.0,100.0,100.0,23000.0,-1.0,9.0
24000.0,0.4375,-1.1318156288729775E-13,24000.0,100.0,100.0,100.0,100.0,24000.0,-1.0,9.0
25000.0,0.46875,-1.2126596023639043E-13,25000.0,100.0,100.0,100.0,100.0,25000.0,-1.0,9.0
26000.0,0.484375,-1.2530815891093678E-13,26000.0,100.0,100.0,100.0,100.0,26000.0,-1.0,9.0
27000.0,0.5,-1.2935035758548313E-13,27000.0,100.0,100.0,100.0,100.0,27000.0,-1.0,9.0
28000.0,0.515625,-1.3339255626002948E-13,28000.0,100.0,100.0,100.0,100.0,28000.0,-1.0,9.0
29000.0,0.53125,-1.3743475493457582E-13,29000.0,100.0,100.0,100.0,100.0,29000.0,-1.0,9.0
30000.0,0.546875,-1.4147695360912217E-13,30000.0,100.0,100.0,100.0,100.0,30000.0,-1.0,9.0
31000.0,0.5625,-1.4551915228366852E-13,31000.0,100.0,100.0,100.0,100.0,31000.0,-1.0,9.0
32000.0,0.578125,-1.4956135095821487E-13,32000.0,100.0,100.0,100.0,100.0,32000.0,-1.0,9.0
33000.0,0.59375,-1.5360354963276122E-13,33000.0,99.9,99.79992797407067,99.8745294855709,99.79591836734694,33000.0,-1.0,9.0
34000.0,0.609375,-1.5764574830730757E-13,34000.0,100.0,100.0,100.0,100.0,34000.0,-1.0,9.0
35000.0,0.625,-1.6168794698185392E-13,35000.0,100.0,100.0,100.0,100.0,35000.0,-1.0,9.0
36000.0,0.640625,-1.6573014565640026E-13,36000.0,100.0,100.0,100.0,100.0,36000.0,-1.0,9.0
37000.0,0.65625,-1.697723443309466E-13,37000.0,100.0,100.0,100.0,100.0,37000.0,-1.0,9.0
38000.0,0.671875,-1.7381454300549296E-13,38000.0,100.0,100.0,100.0,100.0,38000.0,-1.0,9.0
39000.0,0.6875,-1.778567416800393E-13,39000.0,100.0,100.0,100.0,100.0,39000.0,-1.0,9.0
40000.0,0.703125,-1.8189894035458566E-13,40000.0,100.0,100.0,100.0,100.0,40000.0,-1.0,9.0
41000.0,0.734375,-1.8998333770367835E-13,41000.0,100.0,100.0,100.0,100.0,41000.0,-1.0,9.0
42000.0,0.734375,-1.8998333770367835E-13,42000.0,100.0,100.0,100.0,100.0,42000.0,-1.0,9.0
43000.0,0.75,-1.940255363782247E-13,43000.0,100.0,100.0,100.0,100.0,43000.0,-1.0,9.0
44000.0,0.765625,-1.9806773505277105E-13,44000.0,100.0,100.0,100.0,100.0,44000.0,-1.0,9.0
45000.0,0.78125,-2.021099337273174E-13,45000.0,100.0,100.0,100.0,100.0,45000.0,-1.0,9.0
46000.0,0.796875,-2.0615213240186375E-13,46000.0,100.0,100.0,100.0,100.0,46000.0,-1.0,9.0
47000.0,0.8125,-2.101943310764101E-13,47000.0,100.0,100.0,100.0,100.0,47000.0,-1.0,9.0
48000.0,0.828125,-2.1423652975095645E-13,48000.0,100.0,100.0,100.0,100.0,48000.0,-1.0,9.0
49000.0,0.859375,-2.2232092710004914E-13,49000.0,100.0,100.0,100.0,100.0,49000.0,-1.0,9.0
50000.0,0.859375,-2.2232092710004914E-13,50000.0,100.0,100.0,100.0,100.0,50000.0,-1.0,9.0
51000.0,0.875,-2.263631257745955E-13,51000.0,100.0,100.0,100.0,100.0,51000.0,-1.0,9.0
52000.0,0.890625,-2.3040532444914184E-13,52000.0,100.0,100.0,100.0,100.0,52000.0,-1.0,9.0
53000.0,0.921875,-2.3848972179823454E-13,53000.0,100.0,100.0,100.0,100.0,53000.0,-1.0,9.0
54000.0,0.9375,-2.4253192047278086E-13,54000.0,100.0,100.0,100.0,100.0,54000.0,-1.0,9.0
55000.0,0.953125,-2.465741191473272E-13,55000.0,100.0,100.0,100.0,100.0,55000.0,-1.0,9.0
56000.0,0.96875,-2.506163178218735E-13,56000.0,100.0,100.0,100.0,100.0,56000.0,-1.0,9.0
57000.0,0.984375,-2.5465851649641983E-13,57000.0,100.0,100.0,100.0,100.0,57000.0,-1.0,9.0
58000.0,1.0,-2.5870071517096615E-13,58000.0,100.0,100.0,100.0,100.0,58000.0,-1.0,9.0
