learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.03125,-8.084397349092695E-15,1000.0,83.6,67.15217356471021,80.09708737864077,66.0455486542443,1000.0,-1.0
2000.0,0.0625,-1.616879469818539E-14,2000.0,87.1,74.20185746626244,84.34466019417476,73.78048780487805,2000.0,-1.0
3000.0,0.078125,-2.021099337273174E-14,3000.0,88.7,77.40542269855236,86.54761904761905,77.17171717171716,3000.0,-1.0
4000.0,0.109375,-2.8295390721824433E-14,4000.0,87.4,74.80241896777909,84.48275862068965,74.49392712550608,4000.0,-1.0
5000.0,0.125,-3.233758939637078E-14,5000.0,87.9,75.8027100964692,85.27980535279805,75.1028806584362,5000.0,-1.0
6000.0,0.15625,-4.042198674546348E-14,6000.0,86.7,73.40829661145722,83.45771144278606,73.23943661971832,6000.0,-1.0
7000.0,0.1875,-4.8506384094556176E-14,7000.0,89.3,78.60599032270966,87.07729468599034,77.98353909465021,7000.0,-1.0
8000.0,0.203125,-5.2548582769102524E-14,8000.0,89.0,78.00079197148902,86.74698795180723,77.91164658634538,8000.0,-1.0
9000.0,0.234375,-6.063298011819522E-14,9000.0,88.6,77.1956215593394,86.13138686131386,76.20041753653445,9000.0,-1.0
10000.0,0.265625,-6.871737746728791E-14,10000.0,87.9,75.7980638451076,84.68354430379746,75.55555555555556,10000.0,-1.0
11000.0,0.28125,-7.275957614183426E-14,11000.0,87.8,75.5897476940315,84.80697384806976,74.74120082815735,11000.0,-1.0
12000.0,0.3125,-8.084397349092696E-14,12000.0,89.3,78.6030811563135,86.74101610904586,78.97838899803537,12000.0,-1.0
13000.0,0.34375,-8.892837084001965E-14,13000.0,89.3,78.60479252647407,87.03030303030303,78.20773930753563,13000.0,-1.0
14000.0,0.359375,-9.2970569514566E-14,14000.0,90.60000000000001,81.20120312300013,88.82282996432819,80.89430894308943,14000.0,-1.0
15000.0,0.390625,-1.010549668636587E-13,15000.0,90.7,81.38391570316755,89.14819136522753,80.78512396694215,15000.0,-1.0
16000.0,0.421875,-1.091393642127514E-13,16000.0,90.0,80.00007999968,87.89346246973365,79.7979797979798,16000.0,-1.0
17000.0,0.4375,-1.1318156288729775E-13,17000.0,90.5,80.9986319014969,88.77068557919621,79.30283224400871,17000.0,-1.0
18000.0,0.46875,-1.2126596023639043E-13,18000.0,90.4,80.80161266453618,88.36363636363637,80.12422360248448,18000.0,-1.0
19000.0,0.5,-1.2935035758548313E-13,19000.0,90.2,80.40062717993025,88.36104513064133,80.4,19000.0,-1.0
20000.0,0.515625,-1.3339255626002948E-13,20000.0,89.8,79.60587350842958,87.4538745387454,77.68052516411379,20000.0,-1.0
21000.0,0.546875,-1.4147695360912217E-13,21000.0,88.3,76.6,85.15228426395939,75.97535934291582,21000.0,-1.0
22000.0,0.578125,-1.4956135095821487E-13,22000.0,85.9,71.80135353503032,81.19999999999999,70.68607068607068,22000.0,-1.0
23000.0,0.59375,-1.5360354963276122E-13,23000.0,88.1,76.20171347662968,84.11214953271028,75.76374745417516,23000.0,-1.0
24000.0,0.625,-1.6168794698185392E-13,24000.0,88.2,76.40481341806272,82.9971181556196,76.44710578842316,24000.0,-1.0
25000.0,0.65625,-1.697723443309466E-13,25000.0,85.2,70.34127572593735,77.67722473604825,69.0376569037657,25000.0,-1.0
26000.0,0.671875,-1.7381454300549296E-13,26000.0,86.2,72.36208077482306,79.9709724238026,72.00811359026369,26000.0,-1.0
27000.0,0.703125,-1.8189894035458566E-13,27000.0,82.6,65.18704958244466,74.81910274963819,64.98993963782695,27000.0,-1.0
28000.0,0.734375,-1.8998333770367835E-13,28000.0,85.8,71.60579241834665,81.01604278074866,69.78723404255318,28000.0,-1.0
29000.0,0.75,-1.940255363782247E-13,29000.0,85.5,71.00440733008581,81.14434330299089,67.70601336302894,29000.0,-1.0
30000.0,0.78125,-2.021099337273174E-13,30000.0,88.2,76.40188784897208,85.64476885644767,76.63366336633663,30000.0,-1.0
31000.0,0.796875,-2.0615213240186375E-13,31000.0,89.1,78.20906502894796,86.91476590636255,77.33887733887734,31000.0,-1.0
32000.0,0.828125,-2.1423652975095645E-13,32000.0,87.8,75.6075128860311,85.3012048192771,75.05112474437627,32000.0,-1.0
33000.0,0.859375,-2.2232092710004914E-13,33000.0,87.2,74.40818937939859,83.93977415307404,73.87755102040816,33000.0,-1.0
34000.0,0.890625,-2.3040532444914184E-13,34000.0,89.2,78.39870392223534,86.73218673218672,77.63975155279503,34000.0,-1.0
35000.0,0.90625,-2.3444752312368816E-13,35000.0,87.8,75.60390337545992,85.12195121951218,74.8971193415638,35000.0,-1.0
36000.0,0.9375,-2.4253192047278086E-13,36000.0,89.3,78.60445027434294,86.93528693528694,78.02874743326488,36000.0,-1.0
37000.0,0.96875,-2.5061631782187356E-13,37000.0,88.5,76.98563903876018,86.0774818401937,76.81451612903226,37000.0,-1.0
38000.0,0.984375,-2.546585164964199E-13,38000.0,89.8,79.59485790419187,87.91469194312796,79.26829268292683,38000.0,-1.0
39000.0,1.015625,-2.627429138455126E-13,39000.0,89.1,78.20156948699693,86.60933660933661,77.57201646090536,39000.0,-1.0
40000.0,1.046875,-2.7082731119460527E-13,40000.0,90.0,80.0019198156977,87.92270531400965,79.87927565392354,40000.0,-1.0
41000.0,1.0625,-2.748695098691516E-13,41000.0,87.4,74.79879034193641,83.94904458598727,72.24669603524228,41000.0,-1.0
42000.0,1.09375,-2.829539072182443E-13,42000.0,88.5,76.99944798675168,85.95848595848597,76.19047619047619,42000.0,-1.0
43000.0,1.125,-2.91038304567337E-13,43000.0,90.2,80.39874551971326,88.27751196172248,80.04073319755601,43000.0,-1.0
44000.0,1.15625,-2.991227019164297E-13,44000.0,91.5,83.0006799728011,89.95271867612293,82.21757322175733,44000.0,-1.0
45000.0,1.171875,-3.03164900590976E-13,45000.0,89.60000000000001,79.19175993693503,87.36330498177402,78.90466531440163,45000.0,-1.0
46000.0,1.203125,-3.112492979400687E-13,46000.0,86.8,73.59904956578437,83.03341902313625,73.54709418837675,46000.0,-1.0
47000.0,1.234375,-3.193336952891614E-13,47000.0,88.4,76.80714339983285,85.40880503144655,75.63025210084034,47000.0,-1.0
48000.0,1.25,-3.2337589396370773E-13,48000.0,88.2,76.4010383543124,84.37086092715231,76.54075546719682,48000.0,-1.0
49000.0,1.28125,-3.3146029131280043E-13,49000.0,86.9,73.73612625906205,81.23209169054441,71.70626349892008,49000.0,-1.0
50000.0,1.296875,-3.3550248998734675E-13,50000.0,85.9,71.86729343410562,78.76506024096385,71.51515151515152,50000.0,-1.0
51000.0,1.328125,-3.4358688733643945E-13,51000.0,85.2,70.40745732075516,78.79656160458454,70.28112449799197,51000.0,-1.0
52000.0,1.359375,-3.5167128468553214E-13,52000.0,83.5,67.16783801208223,76.7277856135402,65.48117154811715,52000.0,-1.0
53000.0,1.375,-3.5571348336007847E-13,53000.0,85.3,70.61786433848219,81.0077519379845,68.9873417721519,53000.0,-1.0
54000.0,1.40625,-3.6379788070917116E-13,54000.0,84.7,69.36691626957113,81.27294981640146,68.45360824742266,54000.0,-1.0
55000.0,1.4375,-3.7188227805826386E-13,55000.0,86.7,73.40468077618338,83.31242158092847,73.34669338677354,55000.0,-1.0
56000.0,1.453125,-3.759244767328102E-13,56000.0,86.1,72.16102543560984,82.77571251548946,71.3991769547325,56000.0,-1.0
57000.0,1.484375,-3.840088740819029E-13,57000.0,90.5,81.0,88.95348837209302,81.0,57000.0,-1.0
58000.0,1.5,-3.880510727564492E-13,58000.0,88.9,77.80497168634226,86.44688644688645,76.82672233820459,58000.0,-1.0
59000.0,1.53125,-3.961354701055419E-13,59000.0,89.3,78.59760293152833,86.88725490196079,77.3784355179704,59000.0,-1.0
60000.0,1.5625,-4.042198674546346E-13,60000.0,87.4,74.80352750614914,84.19071518193226,71.74887892376681,60000.0,-1.0
61000.0,1.578125,-4.082620661291809E-13,61000.0,88.6,77.19498289623718,86.02941176470587,76.8762677484787,61000.0,-1.0
62000.0,1.609375,-4.163464634782736E-13,62000.0,88.0,75.99279783935181,85.07462686567163,75.75757575757575,62000.0,-1.0
63000.0,1.625,-4.2038866215281994E-13,63000.0,88.7,77.37411598869106,86.11793611793613,76.10993657505286,63000.0,-1.0
64000.0,1.65625,-4.2847305950191264E-13,64000.0,89.4,78.79830386430915,87.16707021791767,78.49898580121705,64000.0,-1.0
65000.0,1.671875,-4.3251525817645896E-13,65000.0,89.0,77.99295774647888,86.5525672371638,77.55102040816327,65000.0,-1.0
66000.0,1.71875,-4.44641854200098E-13,66000.0,89.7,79.40016479868162,87.66467065868264,77.16186252771618,66000.0,-1.0
67000.0,1.75,-4.527262515491907E-13,67000.0,88.3,76.58820045302832,85.46583850931677,75.625,67000.0,-1.0
68000.0,1.78125,-4.608106488982834E-13,68000.0,89.0,77.99929597747128,86.48648648648648,77.91164658634538,68000.0,-1.0
69000.0,1.8125,-4.68895046247376E-13,69000.0,88.4,76.79675154521634,85.57213930348257,75.78288100208769,69000.0,-1.0
70000.0,1.84375,-4.769794435964687E-13,70000.0,88.0,75.98837837513356,85.25798525798524,75.4601226993865,70000.0,-1.0
71000.0,1.890625,-4.891060396201077E-13,71000.0,87.4,74.78547643442623,84.1309823677582,74.18032786885246,71000.0,-1.0
72000.0,1.921875,-4.971904369692003E-13,72000.0,89.8,79.59714360010402,87.48466257668713,79.22606924643586,72000.0,-1.0
73000.0,1.953125,-5.05274834318293E-13,73000.0,85.3,70.5964715765892,79.91803278688523,70.48192771084338,73000.0,-1.0
74000.0,1.984375,-5.133592316673856E-13,74000.0,84.0,68.01880494269369,76.74418604651164,67.67676767676767,74000.0,-1.0
75000.0,2.015625,-5.214436290164783E-13,75000.0,83.1,66.11053180396246,74.15902140672782,65.5804480651731,75000.0,-1.0
76000.0,2.03125,-5.254858276910246E-13,76000.0,82.1,64.18739396267486,73.16341829085455,62.6304801670146,76000.0,-1.0
77000.0,2.0625,-5.335702250401173E-13,77000.0,85.1,70.18998383456841,78.98448519040903,68.82845188284519,77000.0,-1.0
78000.0,2.078125,-5.376124237146637E-13,78000.0,86.5,72.99978399827198,82.67008985879333,71.81628392484342,78000.0,-1.0
79000.0,2.109375,-5.456968210637563E-13,79000.0,86.2,72.39337440985837,82.35294117647058,70.57569296375266,79000.0,-1.0
80000.0,2.125,-5.497390197383027E-13,80000.0,86.3,72.59802705794817,82.48081841432226,72.2672064777328,80000.0,-1.0
81000.0,2.15625,-5.578234170873953E-13,81000.0,87.0,73.99927197961543,83.35467349551855,73.19587628865979,81000.0,-1.0
82000.0,2.1875,-5.65907814436488E-13,82000.0,88.3,76.6,85.80097087378641,75.72614107883817,82000.0,-1.0
83000.0,2.21875,-5.739922117855806E-13,83000.0,89.60000000000001,79.2,87.6923076923077,77.82515991471216,83000.0,-1.0
84000.0,2.25,-5.820766091346733E-13,84000.0,86.6,73.20042879313931,83.37468982630271,72.08333333333333,84000.0,-1.0
85000.0,2.28125,-5.901610064837659E-13,85000.0,88.2,76.40151030334059,85.52147239263806,74.40347071583514,85000.0,-1.0
86000.0,2.296875,-5.942032051583123E-13,86000.0,89.1,78.2,86.86746987951808,77.6639344262295,86000.0,-1.0
87000.0,2.3125,-5.982454038328587E-13,87000.0,87.7,75.40196784257259,84.96332518337408,75.15151515151514,87000.0,-1.0
88000.0,2.34375,-6.063298011819513E-13,88000.0,88.4,76.79814385150812,85.7142857142857,76.27811860940696,88000.0,-1.0
89000.0,2.375,-6.14414198531044E-13,89000.0,89.4,78.7962681431932,87.25961538461539,78.27868852459017,89000.0,-1.0
90000.0,2.40625,-6.224985958801366E-13,90000.0,89.7,79.39983519868159,87.66467065868264,79.27565392354126,90000.0,-1.0
91000.0,2.4375,-6.305829932292293E-13,91000.0,88.6,77.20291802649261,85.90852904820768,77.33598409542743,91000.0,-1.0
92000.0,2.46875,-6.386673905783219E-13,92000.0,88.8,77.59560873931291,86.20689655172413,77.18940936863544,92000.0,-1.0
93000.0,2.484375,-6.427095892528683E-13,93000.0,88.5,77.0,85.94132029339853,76.6260162601626,93000.0,-1.0
94000.0,2.5,-6.467517879274147E-13,94000.0,88.9,77.79467072097303,86.65865384615384,77.11340206185568,94000.0,-1.0
95000.0,2.53125,-6.548361852765073E-13,95000.0,87.9,75.79612738038087,85.27980535279805,75.05154639175258,95000.0,-1.0
96000.0,2.546875,-6.588783839510537E-13,96000.0,89.3,78.59914396575863,87.20095693779905,78.89546351084813,96000.0,-1.0
97000.0,2.578125,-6.669627813001463E-13,97000.0,89.4,78.80305236046009,87.2289156626506,78.45528455284553,97000.0,-1.0
98000.0,2.609375,-6.75047178649239E-13,98000.0,88.5,76.99871192786796,85.83743842364532,76.67342799188641,98000.0,-1.0
99000.0,2.640625,-6.831315759983316E-13,99000.0,89.1,78.20767089984325,86.93045563549161,77.75510204081633,99000.0,-1.0
100000.0,2.65625,-6.87173774672878E-13,100000.0,89.1,78.19738368604233,86.83574879227054,77.5257731958763,100000.0,-1.0
