learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.0,0.0,1000.0,84.7,69.40856560163155,81.43203883495146,68.32298136645963,1000.0,-1.0
2000.0,0.0,0.0,2000.0,85.7,71.40754840722049,82.64563106796116,70.9349593495935,2000.0,-1.0
3000.0,0.0,0.0,3000.0,86.0,72.02685421994885,83.33333333333333,71.71717171717171,3000.0,-1.0
4000.0,0.0,0.0,4000.0,81.69999999999999,63.40292776577873,77.46305418719211,62.95546558704452,4000.0,-1.0
5000.0,0.015625,-4.042198674546348E-15,5000.0,86.2,72.39911677173669,83.21167883211677,71.60493827160494,5000.0,-1.0
6000.0,0.015625,-4.042198674546348E-15,6000.0,83.2,66.39032041227873,79.10447761194028,66.19718309859154,6000.0,-1.0
7000.0,0.015625,-4.042198674546348E-15,7000.0,86.8,73.62068138579355,84.05797101449274,72.8395061728395,7000.0,-1.0
8000.0,0.015625,-4.042198674546348E-15,8000.0,85.8,71.60238539962643,82.89156626506023,71.4859437751004,8000.0,-1.0
9000.0,0.03125,-8.084397349092695E-15,9000.0,86.6,73.18455430327869,83.69829683698296,72.02505219206681,9000.0,-1.0
10000.0,0.03125,-8.084397349092695E-15,10000.0,84.89999999999999,69.78912408467049,80.88607594936708,69.49494949494948,10000.0,-1.0
11000.0,0.03125,-8.084397349092695E-15,11000.0,85.39999999999999,70.72446913035631,81.81818181818183,69.77225672877846,11000.0,-1.0
12000.0,0.03125,-8.084397349092695E-15,12000.0,87.5,75.01399216438794,84.51053283767038,75.44204322200393,12000.0,-1.0
13000.0,0.046875,-1.2126596023639042E-14,13000.0,87.7,75.40865615303413,85.0909090909091,74.949083503055,13000.0,-1.0
14000.0,0.046875,-1.2126596023639042E-14,14000.0,89.3,78.60445027434294,87.27705112960761,78.25203252032522,14000.0,-1.0
15000.0,0.046875,-1.2126596023639042E-14,15000.0,89.5,78.95352939289953,87.74795799299883,78.30578512396694,15000.0,-1.0
16000.0,0.046875,-1.2126596023639042E-14,16000.0,88.5,77.00128792787604,86.0774818401937,76.76767676767678,16000.0,-1.0
17000.0,0.046875,-1.2126596023639042E-14,17000.0,89.5,78.99546302001232,87.58865248226951,77.12418300653596,17000.0,-1.0
18000.0,0.0625,-1.616879469818539E-14,18000.0,89.60000000000001,79.207568445086,87.39393939393942,78.46790890269152,18000.0,-1.0
19000.0,0.0625,-1.616879469818539E-14,19000.0,89.0,78.00774127507117,86.93586698337292,78.0,19000.0,-1.0
20000.0,0.0625,-1.616879469818539E-14,20000.0,87.7,75.40885281298732,84.87084870848707,73.08533916849015,20000.0,-1.0
21000.0,0.0625,-1.616879469818539E-14,21000.0,86.2,72.3884031293143,82.48730964467005,71.66324435318275,21000.0,-1.0
22000.0,0.078125,-2.021099337273174E-14,22000.0,84.5,68.98958049904768,79.33333333333333,67.77546777546777,22000.0,-1.0
23000.0,0.078125,-2.021099337273174E-14,23000.0,87.6,75.18838816566154,83.44459279038719,74.74541751527495,23000.0,-1.0
24000.0,0.078125,-2.021099337273174E-14,24000.0,88.2,76.40028319660163,82.9971181556196,76.44710578842316,24000.0,-1.0
25000.0,0.078125,-2.021099337273174E-14,25000.0,84.5,68.96449538271783,76.62141779788838,67.57322175732216,25000.0,-1.0
26000.0,0.078125,-2.021099337273174E-14,26000.0,86.8,73.58446766698819,80.84179970972423,73.22515212981745,26000.0,-1.0
27000.0,0.09375,-2.4253192047278088E-14,27000.0,84.7,69.38604003425561,77.85817655571635,69.21529175050301,27000.0,-1.0
28000.0,0.09375,-2.4253192047278088E-14,28000.0,84.2,68.37913022594911,78.87700534759358,66.38297872340425,28000.0,-1.0
29000.0,0.09375,-2.4253192047278088E-14,29000.0,83.39999999999999,66.90814418480406,78.41352405721716,63.02895322939865,29000.0,-1.0
30000.0,0.09375,-2.4253192047278088E-14,30000.0,87.4,74.79314373509595,84.67153284671531,75.04950495049505,30000.0,-1.0
31000.0,0.109375,-2.8295390721824436E-14,31000.0,87.7,75.36413017353266,85.23409363745498,74.42827442827443,31000.0,-1.0
32000.0,0.109375,-2.8295390721824436E-14,32000.0,86.7,73.36718837607933,83.97590361445782,72.80163599182004,32000.0,-1.0
33000.0,0.109375,-2.8295390721824436E-14,33000.0,86.5,72.97513712615607,83.06148055207026,72.44897959183673,33000.0,-1.0
34000.0,0.109375,-2.8295390721824436E-14,34000.0,87.1,74.2134090273058,84.15233415233415,73.2919254658385,34000.0,-1.0
35000.0,0.109375,-2.8295390721824436E-14,35000.0,86.8,73.58520771632115,83.90243902439023,72.8395061728395,35000.0,-1.0
36000.0,0.125,-3.233758939637078E-14,36000.0,88.4,76.78672200498686,85.83638583638586,76.18069815195072,36000.0,-1.0
37000.0,0.125,-3.233758939637078E-14,37000.0,88.2,76.4090589213742,85.7142857142857,76.20967741935483,37000.0,-1.0
38000.0,0.125,-3.233758939637078E-14,38000.0,88.9,77.80248612155438,86.84834123222748,77.4390243902439,38000.0,-1.0
39000.0,0.125,-3.233758939637078E-14,39000.0,88.2,76.41103963345154,85.50368550368549,75.7201646090535,39000.0,-1.0
40000.0,0.125,-3.233758939637078E-14,40000.0,89.7,79.39851669320191,87.56038647342996,79.27565392354126,40000.0,-1.0
41000.0,0.140625,-3.637978807091713E-14,41000.0,86.5,73.00712611870466,82.80254777070064,70.26431718061673,41000.0,-1.0
42000.0,0.140625,-3.637978807091713E-14,42000.0,88.6,77.20145910661718,86.0805860805861,76.3975155279503,42000.0,-1.0
43000.0,0.140625,-3.637978807091713E-14,43000.0,89.5,79.00100795161833,87.4401913875598,78.61507128309573,43000.0,-1.0
44000.0,0.140625,-3.637978807091713E-14,44000.0,91.5,82.99986399891199,89.95271867612293,82.21757322175733,44000.0,-1.0
45000.0,0.140625,-3.637978807091713E-14,45000.0,89.7,79.40362496200669,87.48481166464155,79.10750507099392,45000.0,-1.0
46000.0,0.15625,-4.042198674546348E-14,46000.0,87.0,73.99947998959979,83.29048843187661,73.94789579158316,46000.0,-1.0
47000.0,0.15625,-4.042198674546348E-14,47000.0,88.5,76.99797582187232,85.53459119496856,75.84033613445378,47000.0,-1.0
48000.0,0.15625,-4.042198674546348E-14,48000.0,88.0,76.00067198118452,84.10596026490066,76.14314115308152,48000.0,-1.0
49000.0,0.15625,-4.042198674546348E-14,49000.0,87.2,74.35126740807534,81.66189111747852,72.35421166306695,49000.0,-1.0
50000.0,0.15625,-4.042198674546348E-14,50000.0,85.1,70.26494136805216,77.56024096385542,69.8989898989899,50000.0,-1.0
51000.0,0.171875,-4.446418542000983E-14,51000.0,84.7,69.40807626786528,78.08022922636103,69.27710843373494,51000.0,-1.0
52000.0,0.171875,-4.446418542000983E-14,52000.0,83.8,67.78555520203626,77.15091678420308,66.10878661087865,52000.0,-1.0
53000.0,0.171875,-4.446418542000983E-14,53000.0,83.3,66.34421604191857,78.42377260981912,64.76793248945147,53000.0,-1.0
54000.0,0.171875,-4.446418542000983E-14,54000.0,81.89999999999999,63.590280012874146,77.84577723378212,62.68041237113401,54000.0,-1.0
55000.0,0.171875,-4.446418542000983E-14,55000.0,85.0,70.02110514198004,81.17942283563364,69.93987975951903,55000.0,-1.0
56000.0,0.1875,-4.8506384094556176E-14,56000.0,83.6,67.08572162548367,79.67781908302355,66.25514403292179,56000.0,-1.0
57000.0,0.1875,-4.8506384094556176E-14,57000.0,85.7,71.39999999999999,83.37209302325581,71.39999999999999,57000.0,-1.0
58000.0,0.1875,-4.8506384094556176E-14,58000.0,84.2,68.40265417704911,80.70818070818072,67.01461377870564,58000.0,-1.0
59000.0,0.1875,-4.8506384094556176E-14,59000.0,85.7,71.39771181694535,82.47549019607843,69.76744186046511,59000.0,-1.0
60000.0,0.1875,-4.8506384094556176E-14,60000.0,84.3,68.60502319628858,80.30112923462985,64.7982062780269,60000.0,-1.0
61000.0,0.203125,-5.2548582769102524E-14,61000.0,85.5,70.99419883976795,82.23039215686273,70.58823529411764,61000.0,-1.0
62000.0,0.203125,-5.2548582769102524E-14,62000.0,83.5,66.99603952474297,79.47761194029852,66.66666666666666,62000.0,-1.0
63000.0,0.203125,-5.2548582769102524E-14,63000.0,85.1,70.15535240720116,81.6953316953317,68.49894291754757,63000.0,-1.0
64000.0,0.203125,-5.2548582769102524E-14,64000.0,85.7,71.39519439265797,82.68765133171912,70.99391480730223,64000.0,-1.0
65000.0,0.203125,-5.2548582769102524E-14,65000.0,87.2,74.39180537772087,84.35207823960879,73.87755102040816,65000.0,-1.0
66000.0,0.21875,-5.659078144364887E-14,66000.0,86.6,73.20514461223445,83.95209580838323,70.28824833702882,66000.0,-1.0
67000.0,0.21875,-5.659078144364887E-14,67000.0,87.1,74.15513331142864,83.9751552795031,73.125,67000.0,-1.0
68000.0,0.21875,-5.659078144364887E-14,68000.0,87.8,75.59531430034568,85.012285012285,75.50200803212851,68000.0,-1.0
69000.0,0.21875,-5.659078144364887E-14,69000.0,87.4,74.78093438639611,84.32835820895521,73.69519832985387,69000.0,-1.0
70000.0,0.234375,-6.063298011819522E-14,70000.0,86.4,72.76044817074391,83.29238329238328,72.1881390593047,70000.0,-1.0
71000.0,0.234375,-6.063298011819522E-14,71000.0,86.9,73.7634787624373,83.50125944584383,73.15573770491804,71000.0,-1.0
72000.0,0.234375,-6.063298011819522E-14,72000.0,88.3,76.6056146524834,85.6441717791411,76.17107942973523,72000.0,-1.0
73000.0,0.234375,-6.063298011819522E-14,73000.0,84.3,68.60376754789425,78.55191256830601,68.47389558232932,73000.0,-1.0
74000.0,0.234375,-6.063298011819522E-14,74000.0,82.1,64.20944870554173,73.98255813953487,63.83838383838383,74000.0,-1.0
75000.0,0.25,-6.467517879274156E-14,75000.0,83.1,66.11053180396246,74.15902140672782,65.5804480651731,75000.0,-1.0
76000.0,0.25,-6.467517879274156E-14,76000.0,79.60000000000001,59.22609529900864,69.41529235382309,57.41127348643007,76000.0,-1.0
77000.0,0.25,-6.467517879274156E-14,77000.0,85.7,71.38878440348616,79.83074753173483,70.0836820083682,77000.0,-1.0
78000.0,0.25,-6.467517879274156E-14,78000.0,87.6,75.20069438055734,84.08215661103979,74.11273486430062,78000.0,-1.0
79000.0,0.25,-6.467517879274156E-14,79000.0,86.4,72.78258085174511,82.6086956521739,71.00213219616204,79000.0,-1.0
80000.0,0.265625,-6.871737746728791E-14,80000.0,81.39999999999999,62.75709617479335,76.21483375959079,62.348178137651814,80000.0,-1.0
81000.0,0.265625,-6.871737746728791E-14,81000.0,82.8,65.57397392428676,77.97695262483995,64.5360824742268,81000.0,-1.0
82000.0,0.265625,-6.871737746728791E-14,82000.0,86.9,73.8,84.10194174757282,72.82157676348547,82000.0,-1.0
83000.0,0.265625,-6.871737746728791E-14,83000.0,89.0,78.0,86.98224852071006,76.54584221748401,83000.0,-1.0
84000.0,0.265625,-6.871737746728791E-14,84000.0,82.19999999999999,64.4039867534836,77.91563275434241,62.91666666666666,84000.0,-1.0
85000.0,0.265625,-6.871737746728791E-14,85000.0,86.9,73.79685562267471,83.92638036809815,71.58351409978307,85000.0,-1.0
86000.0,0.265625,-6.871737746728791E-14,86000.0,87.2,74.39211277073339,84.57831325301206,73.77049180327869,86000.0,-1.0
87000.0,0.265625,-6.871737746728791E-14,87000.0,87.5,74.9979998399872,84.71882640586797,74.74747474747475,87000.0,-1.0
88000.0,0.28125,-7.275957614183426E-14,88000.0,87.4,74.785880092852,84.48275862068965,74.23312883435584,88000.0,-1.0
89000.0,0.28125,-7.275957614183426E-14,89000.0,88.3,76.61851813363816,85.9375,76.02459016393442,89000.0,-1.0
90000.0,0.28125,-7.275957614183426E-14,90000.0,88.9,77.79911196447858,86.7065868263473,77.66599597585513,90000.0,-1.0
91000.0,0.28125,-7.275957614183426E-14,91000.0,86.5,73.01295378218455,83.31273176761434,73.1610337972167,91000.0,-1.0
92000.0,0.28125,-7.275957614183426E-14,92000.0,87.3,74.60711000919743,84.35960591133005,74.13441955193483,92000.0,-1.0
93000.0,0.28125,-7.275957614183426E-14,93000.0,87.0,74.0,84.10757946210268,73.57723577235772,93000.0,-1.0
94000.0,0.296875,-7.680177481638061E-14,94000.0,87.2,74.38001641280198,84.61538461538461,73.6082474226804,94000.0,-1.0
95000.0,0.296875,-7.680177481638061E-14,95000.0,85.9,71.79435887177435,82.84671532846716,70.92783505154638,95000.0,-1.0
96000.0,0.296875,-7.680177481638061E-14,96000.0,88.1,76.20095196192153,85.76555023923444,76.52859960552269,96000.0,-1.0
97000.0,0.296875,-7.680177481638061E-14,97000.0,88.4,76.80111354654977,86.02409638554217,76.42276422764228,97000.0,-1.0
98000.0,0.296875,-7.680177481638061E-14,98000.0,88.2,76.40066078149812,85.46798029556649,76.06490872210954,98000.0,-1.0
99000.0,0.3125,-8.084397349092696E-14,99000.0,89.8,79.59730684450348,87.76978417266187,79.18367346938776,99000.0,-1.0
100000.0,0.3125,-8.084397349092696E-14,100000.0,88.1,76.18571142685612,85.6280193236715,75.4639175257732,100000.0,-1.0
