learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.03125,-8.084397349092695E-15,1000.0,82.19999999999999,64.39999999999999,78.39805825242718,63.14699792960662,1000.0,-1.0,10.0
2000.0,0.046875,-1.2126596023639042E-14,2000.0,84.89999999999999,69.81448904525827,81.6747572815534,69.30894308943088,2000.0,-1.0,10.0
3000.0,0.0625,-1.616879469818539E-14,3000.0,87.8,75.61170638093715,85.47619047619047,75.35353535353535,3000.0,-1.0,10.0
4000.0,0.09375,-2.4253192047278085E-14,4000.0,86.8,73.60591227565025,83.743842364532,73.27935222672065,4000.0,-1.0,10.0
5000.0,0.09375,-2.4253192047278085E-14,5000.0,86.4,72.80522139749168,83.45498783454987,72.01646090534979,5000.0,-1.0,10.0
6000.0,0.125,-3.233758939637078E-14,6000.0,85.7,71.40068638352679,82.2139303482587,71.22736418511066,6000.0,-1.0,10.0
7000.0,0.140625,-3.637978807091713E-14,7000.0,88.0,76.01880125981232,85.50724637681158,75.30864197530865,7000.0,-1.0,10.0
8000.0,0.15625,-4.042198674546348E-14,8000.0,87.4,74.80131033186274,84.81927710843374,74.69879518072288,8000.0,-1.0,10.0
9000.0,0.1875,-4.8506384094556176E-14,9000.0,87.2,74.39508385610037,84.42822384428223,73.2776617954071,9000.0,-1.0,10.0
10000.0,0.203125,-5.2548582769102524E-14,10000.0,85.9,71.79548727796447,82.15189873417721,71.51515151515152,10000.0,-1.0,10.0
11000.0,0.234375,-6.063298011819522E-14,11000.0,86.5,73.0,83.18804483188045,72.04968944099379,11000.0,-1.0,10.0
12000.0,0.25,-6.467517879274156E-14,12000.0,88.1,76.20418806290094,85.25402726146221,76.62082514734774,12000.0,-1.0,10.0
13000.0,0.265625,-6.871737746728791E-14,13000.0,87.9,75.81161042699505,85.33333333333333,75.35641547861506,13000.0,-1.0,10.0
14000.0,0.296875,-7.680177481638061E-14,14000.0,88.4,76.80371140617501,86.20689655172414,76.42276422764228,14000.0,-1.0,10.0
15000.0,0.3125,-8.084397349092696E-14,15000.0,89.1,78.17275960398578,87.28121353558926,77.47933884297521,15000.0,-1.0,10.0
16000.0,0.328125,-8.48861721654733E-14,16000.0,87.5,75.00059998560035,84.86682808716706,74.74747474747475,16000.0,-1.0,10.0
17000.0,0.359375,-9.2970569514566E-14,17000.0,89.7,79.39884633539478,87.82505910165484,77.5599128540305,17000.0,-1.0,10.0
18000.0,0.375,-9.701276818911235E-14,18000.0,88.7,77.40506126627635,86.3030303030303,76.60455486542443,18000.0,-1.0,10.0
19000.0,0.390625,-1.010549668636587E-13,19000.0,89.3,78.60171186305097,87.29216152019002,78.60000000000001,19000.0,-1.0,10.0
20000.0,0.421875,-1.091393642127514E-13,20000.0,88.9,77.81756848575928,86.34686346863468,75.71115973741794,20000.0,-1.0,10.0
21000.0,0.4375,-1.1318156288729775E-13,21000.0,86.7,73.3989359574383,83.12182741116752,72.68993839835728,21000.0,-1.0,10.0
22000.0,0.46875,-1.2126596023639043E-13,22000.0,85.1,70.19952319237107,80.13333333333334,69.02286902286902,22000.0,-1.0,10.0
23000.0,0.484375,-1.2530815891093678E-13,23000.0,86.9,73.78490010245902,82.51001335113484,73.31975560081466,23000.0,-1.0,10.0
24000.0,0.515625,-1.3339255626002948E-13,24000.0,87.6,75.2050581681337,82.13256484149858,75.249500998004,24000.0,-1.0,10.0
25000.0,0.53125,-1.3743475493457582E-13,25000.0,84.5,68.95902591420675,76.62141779788838,67.57322175732216,25000.0,-1.0,10.0
26000.0,0.5625,-1.4551915228366852E-13,26000.0,86.5,72.97730093278354,80.40638606676342,72.61663286004057,26000.0,-1.0,10.0
27000.0,0.578125,-1.4956135095821487E-13,27000.0,83.89999999999999,67.77679929549275,76.70043415340086,67.6056338028169,27000.0,-1.0,10.0
28000.0,0.609375,-1.5764574830730757E-13,28000.0,83.5,66.97860213418294,77.94117647058823,64.89361702127658,28000.0,-1.0,10.0
29000.0,0.625,-1.6168794698185392E-13,29000.0,82.89999999999999,65.90881904959369,77.7633289986996,61.9153674832962,29000.0,-1.0,10.0
30000.0,0.65625,-1.697723443309466E-13,30000.0,84.5,68.98982866380172,81.14355231143551,69.3069306930693,30000.0,-1.0,10.0
31000.0,0.671875,-1.7381454300549296E-13,31000.0,85.39999999999999,70.74675910156485,82.47298919567827,69.64656964656965,31000.0,-1.0,10.0
32000.0,0.703125,-1.8189894035458566E-13,32000.0,85.1,70.15535240720116,82.04819277108435,69.52965235173824,32000.0,-1.0,10.0
33000.0,0.71875,-1.85941139029132E-13,33000.0,83.5,66.94579109739972,79.29736511919698,66.3265306122449,33000.0,-1.0,10.0
34000.0,0.75,-1.940255363782247E-13,34000.0,85.8,71.61419290354823,82.55528255528255,70.60041407867494,34000.0,-1.0,10.0
35000.0,0.765625,-1.9806773505277105E-13,35000.0,85.5,70.98258955373224,82.3170731707317,70.16460905349794,35000.0,-1.0,10.0
36000.0,0.78125,-2.021099337273174E-13,36000.0,86.5,72.97470432324656,83.51648351648352,72.27926078028747,36000.0,-1.0,10.0
37000.0,0.8125,-2.101943310764101E-13,37000.0,87.1,74.20123834055966,84.38256658595643,73.99193548387096,37000.0,-1.0,10.0
38000.0,0.828125,-2.1423652975095645E-13,38000.0,87.1,74.21155322415558,84.71563981042654,73.78048780487805,38000.0,-1.0,10.0
39000.0,0.859375,-2.2232092710004914E-13,39000.0,86.3,72.6138026434677,83.16953316953317,71.81069958847736,39000.0,-1.0,10.0
40000.0,0.875,-2.263631257745955E-13,40000.0,87.6,75.1928555423962,85.02415458937197,75.0503018108652,40000.0,-1.0,10.0
41000.0,0.90625,-2.3444752312368816E-13,41000.0,84.5,69.01264284172058,80.25477707006368,65.8590308370044,41000.0,-1.0,10.0
42000.0,0.921875,-2.384897217982345E-13,42000.0,87.4,74.80120954194199,84.61538461538463,73.91304347826086,42000.0,-1.0,10.0
43000.0,0.953125,-2.465741191473272E-13,43000.0,86.5,73.00475116379516,83.85167464114832,72.50509164969449,43000.0,-1.0,10.0
44000.0,0.96875,-2.506163178218735E-13,44000.0,89.3,78.59982879863038,87.35224586288416,77.61506276150628,44000.0,-1.0,10.0
45000.0,1.015625,-2.6274291384551253E-13,45000.0,87.0,74.00800553429544,84.2041312272175,73.63083164300203,45000.0,-1.0,10.0
46000.0,1.03125,-2.6678511252005885E-13,46000.0,85.7,71.39977119816959,81.61953727506427,71.34268537074148,46000.0,-1.0,10.0
47000.0,1.0625,-2.7486950986915155E-13,47000.0,85.7,71.39244760616802,82.0125786163522,69.9579831932773,47000.0,-1.0,10.0
48000.0,1.09375,-2.8295390721824424E-13,48000.0,87.1,74.20041279339532,82.9139072847682,74.35387673956262,48000.0,-1.0,10.0
49000.0,1.109375,-2.8699610589279057E-13,49000.0,85.9,71.74846920783509,79.79942693409741,69.54643628509719,49000.0,-1.0,10.0
50000.0,1.140625,-2.9508050324188326E-13,50000.0,84.89999999999999,69.85642876535125,77.2590361445783,69.49494949494948,50000.0,-1.0,10.0
51000.0,1.15625,-2.991227019164296E-13,51000.0,83.8,67.6084218103293,76.79083094555875,67.46987951807229,51000.0,-1.0,10.0
52000.0,1.1875,-3.072070992655223E-13,52000.0,83.7,67.55650740826253,77.0098730606488,65.89958158995816,52000.0,-1.0,10.0
53000.0,1.21875,-3.15291496614615E-13,53000.0,83.2,66.15046119996614,78.29457364341084,64.55696202531644,53000.0,-1.0,10.0
54000.0,1.234375,-3.193336952891613E-13,54000.0,82.39999999999999,64.59820979583625,78.45777233782131,63.711340206185554,54000.0,-1.0,10.0
55000.0,1.265625,-3.27418092638254E-13,55000.0,82.39999999999999,64.84949191538314,77.9171894604768,64.72945891783566,55000.0,-1.0,10.0
56000.0,1.28125,-3.3146029131280033E-13,56000.0,80.5,60.79582465480221,75.83643122676582,59.87654320987655,56000.0,-1.0,10.0
57000.0,1.3125,-3.39544688661893E-13,57000.0,82.5,64.99999999999999,79.65116279069767,64.99999999999999,57000.0,-1.0,10.0
