learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),members size
1000.0,0.009413278,-2.435221750703123E-15,1000.0,84.2,68.44241339639524,80.82524271844659,67.28778467908903,1000.0,-1.0,7.0
2000.0,0.022344992,-5.78066541088952E-15,2000.0,86.0,72.00839748075578,83.00970873786406,71.54471544715447,2000.0,-1.0,14.0
3000.0,0.03871564,-1.0015763756301669E-14,3000.0,85.5,71.03198069331458,82.73809523809523,70.70707070707071,3000.0,-1.0,15.0
4000.0,0.057315623,-1.4827592660569485E-14,4000.0,85.5,71.01437686907293,82.14285714285714,70.64777327935222,4000.0,-1.0,16.0
5000.0,0.07684201,-1.9879082942174543E-14,5000.0,86.4,72.80522139749168,83.45498783454987,72.01646090534979,5000.0,-1.0,18.0
6000.0,0.099789715,-2.58156706372069E-14,6000.0,84.6,69.2162538179841,80.84577114427859,69.01408450704226,6000.0,-1.0,22.0
7000.0,0.127454815,-3.2972651792483196E-14,7000.0,87.2,74.4343602198645,84.54106280193236,73.66255144032921,7000.0,-1.0,25.0
8000.0,0.157461478,-4.073539697047737E-14,8000.0,86.1,72.20155671282407,83.25301204819276,72.08835341365462,8000.0,-1.0,28.0
9000.0,0.19295819,-4.9918421751095184E-14,9000.0,86.0,71.97668460158853,82.96836982968368,70.77244258872652,9000.0,-1.0,31.0
10000.0,0.22866738,-5.915641474227111E-14,10000.0,85.5,70.98723438312857,81.64556962025317,70.70707070707071,10000.0,-1.0,34.0
11000.0,0.267741214,-6.926484354254273E-14,11000.0,84.8,69.54335063217584,81.07098381070985,68.53002070393373,11000.0,-1.0,37.0
12000.0,0.311012063,-8.045904312489762E-14,12000.0,85.3,70.61363527323323,81.78438661710037,71.11984282907662,12000.0,-1.0,42.0
13000.0,0.35716204,-9.239807517992126E-14,13000.0,85.0,70.03068857489929,81.81818181818183,69.45010183299388,13000.0,-1.0,45.0
14000.0,0.40793605,-1.0553334787901906E-13,14000.0,86.4,72.81478875491732,83.82877526753865,72.35772357723576,14000.0,-1.0,46.0
15000.0,0.457618204,-1.1838615665005314E-13,15000.0,87.9,75.73243911048358,85.88098016336056,75.0,15000.0,-1.0,49.0
16000.0,0.512146724,-1.3249272377126748E-13,16000.0,87.1,74.20227020022239,84.38256658595643,73.93939393939394,16000.0,-1.0,54.0
17000.0,0.573538241,-1.4837475312459802E-13,17000.0,87.3,74.59288600808226,84.98817966903073,72.33115468409585,17000.0,-1.0,58.0
18000.0,0.63512059,-1.6430615085280605E-13,18000.0,86.7,73.4223252467927,83.87878787878788,72.46376811594203,18000.0,-1.0,58.0
19000.0,0.699913894,-1.810682249358959E-13,19000.0,86.8,73.6151976461558,84.32304038004752,73.6,19000.0,-1.0,61.0
20000.0,0.768986599,-1.9893738311818907E-13,20000.0,85.5,71.04794460373621,82.16482164821647,68.27133479212253,20000.0,-1.0,63.0
21000.0,0.838015749,-2.1679527359083297E-13,21000.0,84.6,69.18582547972066,80.45685279187818,68.37782340862422,21000.0,-1.0,65.0
22000.0,0.909444235,-2.352738740026123E-13,22000.0,82.89999999999999,65.78412383345872,77.19999999999999,64.44906444906444,22000.0,-1.0,70.0
23000.0,0.985042489,-2.548311963780887E-13,23000.0,84.89999999999999,69.7542684539023,79.83978638184244,69.24643584521385,23000.0,-1.0,66.0
24000.0,1.057977775,-2.7369960702748764E-13,24000.0,87.3,74.59573208298994,81.70028818443804,74.6506986027944,24000.0,-1.0,68.0
25000.0,1.134277456,-2.934383890695042E-13,25000.0,83.5,67.00290374447049,75.11312217194569,65.48117154811715,25000.0,-1.0,62.0
26000.0,1.205580501,-3.118845378048718E-13,26000.0,86.2,72.41313134947764,79.9709724238026,72.00811359026369,26000.0,-1.0,66.0
27000.0,1.27618127,-3.30149007236792E-13,27000.0,85.3,70.5964715765892,78.72648335745296,70.4225352112676,27000.0,-1.0,67.0
28000.0,1.348224203,-3.48786565526906E-13,28000.0,85.6,71.19343210251937,80.74866310160428,69.36170212765957,28000.0,-1.0,68.0
29000.0,1.423108129,-3.681590907379157E-13,29000.0,85.0,70.0341610563957,80.49414824447334,66.5924276169265,29000.0,-1.0,71.0
30000.0,1.475047792,-3.8159591870175466E-13,30000.0,87.0,73.99916797337515,84.18491484184914,74.25742574257426,30000.0,-1.0,41.0
31000.0,1.520726561,-3.93413048910184E-13,31000.0,88.0,76.0037434160271,85.59423769507804,75.05197505197505,31000.0,-1.0,42.0
32000.0,1.56665726,-4.052953535897864E-13,32000.0,87.3,74.60446961334804,84.69879518072288,74.02862985685071,32000.0,-1.0,45.0
33000.0,1.615234115,-4.1786222071904273E-13,33000.0,85.1,70.21072413930985,81.30489335006274,69.59183673469387,33000.0,-1.0,46.0
34000.0,1.662752982,-4.3015538559605674E-13,34000.0,86.5,72.99891995679828,83.41523341523342,72.04968944099379,34000.0,-1.0,40.0
35000.0,1.709465654,-4.4223998725000353E-13,35000.0,85.6,71.21381736766352,82.43902439024389,70.37037037037037,35000.0,-1.0,44.0
36000.0,1.760755556,-4.555087215784523E-13,36000.0,86.7,73.40829661145722,83.76068376068376,72.68993839835728,36000.0,-1.0,49.0
37000.0,1.816597165,-4.699549857630498E-13,37000.0,86.2,72.36285567803127,83.29297820823243,72.17741935483872,37000.0,-1.0,51.0
38000.0,1.87232383,-4.843715138526427E-13,38000.0,87.3,74.59288600808226,84.95260663507109,74.1869918699187,38000.0,-1.0,51.0
39000.0,1.927326753,-4.986008093692363E-13,39000.0,86.3,72.59210652667967,83.16953316953317,71.81069958847736,39000.0,-1.0,52.0
40000.0,1.985588035,-5.136730446894136E-13,40000.0,87.7,75.41239215435421,85.14492753623189,75.25150905432596,40000.0,-1.0,56.0
41000.0,2.047244594,-5.296236405976946E-13,41000.0,85.2,70.3971581271802,81.14649681528661,67.40088105726872,41000.0,-1.0,58.0
42000.0,2.111190652,-5.461665315346587E-13,42000.0,86.3,72.59627309314067,83.27228327228326,71.63561076604555,42000.0,-1.0,59.0
43000.0,2.176032249,-5.629410990513863E-13,43000.0,86.0,71.99283016452212,83.25358851674642,71.48676171079428,43000.0,-1.0,61.0
44000.0,2.244015969,-5.80528536035369E-13,44000.0,89.1,78.20261568611767,87.11583924349881,77.19665271966527,44000.0,-1.0,61.0
45000.0,2.305437522,-5.964183357233804E-13,45000.0,87.6,75.19672596782775,84.93317132442286,74.84787018255578,45000.0,-1.0,57.0
46000.0,2.367996084,-6.126022804528476E-13,46000.0,84.6,69.1969196919692,80.20565552699227,69.13827655310621,46000.0,-1.0,56.0
47000.0,2.431330524,-6.289869453758003E-13,47000.0,86.9,73.83223868194383,83.52201257861635,72.47899159663865,47000.0,-1.0,57.0
48000.0,2.493066765,-6.449581550744674E-13,48000.0,86.5,73.00259175119189,82.11920529801324,73.1610337972167,48000.0,-1.0,57.0
49000.0,2.556685271,-6.614163080747758E-13,49000.0,84.39999999999999,68.71678665249563,77.65042979942695,66.30669546436285,49000.0,-1.0,59.0
50000.0,2.622917702,-6.785506853419874E-13,50000.0,85.39999999999999,70.85607291571017,78.0120481927711,70.5050505050505,50000.0,-1.0,61.0
51000.0,2.685960899,-6.948600054925515E-13,51000.0,83.6,67.20800124769555,76.50429799426935,67.06827309236947,51000.0,-1.0,52.0
52000.0,2.732099894,-7.067961964963211E-13,52000.0,84.7,69.48568419876985,78.42031029619181,67.99163179916317,52000.0,-1.0,21.0
