learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
100.0,0.0,0.0,100.0,72.0,43.548387096774185,65.0,37.777777777777764,100.0,-1.0,3.0
200.0,0.0,0.0,200.0,72.0,43.7468608739327,64.3312101910828,40.42553191489361,200.0,-1.0,3.0
300.0,0.0,0.0,300.0,75.66666666666667,51.05926521855726,68.80341880341881,47.85714285714286,300.0,-1.0,3.0
400.0,0.0,0.0,400.0,77.75,55.294354028531245,72.18749999999999,52.910052910052904,400.0,-1.0,3.0
500.0,0.015625,-4.042198674546348E-15,500.0,79.80000000000001,59.52617574455809,75.4854368932039,58.09128630705395,500.0,-1.0,3.0
600.0,0.015625,-4.042198674546348E-15,600.0,80.5,60.92706385252472,76.17107942973524,59.51557093425607,600.0,-1.0,3.0
700.0,0.015625,-4.042198674546348E-15,700.0,81.28571428571428,62.50163569746139,77.0979020979021,60.895522388059696,700.0,-1.0,3.0
800.0,0.015625,-4.042198674546348E-15,800.0,82.125,64.20346450385502,78.36611195158851,62.76041666666667,800.0,-1.0,3.0
900.0,0.015625,-4.042198674546348E-15,900.0,82.66666666666667,65.29545825320473,78.97574123989219,63.72093023255814,900.0,-1.0,3.0
1000.0,0.015625,-4.042198674546348E-15,1000.0,83.1,66.1829562099298,79.49029126213591,65.01035196687369,1000.0,-1.0,3.0
1100.0,0.015625,-4.042198674546348E-15,1100.0,84.89999999999999,69.81014379168599,81.85096153846153,69.05737704918032,1100.0,-1.0,3.0
1200.0,0.015625,-4.042198674546348E-15,1200.0,86.6,73.22409831151963,84.02860548271752,72.37113402061856,1200.0,-1.0,3.0
1300.0,0.015625,-4.042198674546348E-15,1300.0,87.2,74.42046362909672,84.94117647058823,73.87755102040816,1300.0,-1.0,3.0
1400.0,0.015625,-4.042198674546348E-15,1400.0,86.9,73.82993855029845,84.38617401668654,73.21063394683026,1400.0,-1.0,3.0
1500.0,0.015625,-4.042198674546348E-15,1500.0,86.3,72.62737262737264,83.41404358353512,72.0408163265306,1500.0,-1.0,3.0
1600.0,0.015625,-4.042198674546348E-15,1600.0,86.5,73.02675745660305,83.75451263537906,72.5609756097561,1600.0,-1.0,3.0
1700.0,0.015625,-4.042198674546348E-15,1700.0,86.2,72.40364271916107,83.41346153846153,72.34468937875751,1700.0,-1.0,3.0
1800.0,0.015625,-4.042198674546348E-15,1800.0,85.8,71.60987976184288,82.7878787878788,71.42857142857143,1800.0,-1.0,3.0
1900.0,0.015625,-4.042198674546348E-15,1900.0,85.0,70.0,81.64014687882498,69.93987975951903,1900.0,-1.0,3.0
2000.0,0.015625,-4.042198674546348E-15,2000.0,85.39999999999999,70.80945773569363,82.28155339805824,70.32520325203252,2000.0,-1.0,3.0
2100.0,0.015625,-4.042198674546348E-15,2100.0,84.7,69.39706211796332,81.34146341463413,69.02834008097165,2100.0,-1.0,3.0
2200.0,0.015625,-4.042198674546348E-15,2200.0,84.2,68.38975828168326,80.77858880778587,68.39999999999999,2200.0,-1.0,3.0
2300.0,0.03125,-8.084397349092695E-15,2300.0,83.89999999999999,67.79639319603795,80.36585365853658,67.8,2300.0,-1.0,3.0
2400.0,0.03125,-8.084397349092695E-15,2400.0,84.39999999999999,68.8,81.09090909090911,69.04761904761905,2400.0,-1.0,3.0
2500.0,0.03125,-8.084397349092695E-15,2500.0,85.1,70.21143880749791,82.13429256594725,70.14028056112224,2500.0,-1.0,3.0
2600.0,0.03125,-8.084397349092695E-15,2600.0,85.39999999999999,70.82369116277583,82.57756563245823,70.5050505050505,2600.0,-1.0,3.0
2700.0,0.03125,-8.084397349092695E-15,2700.0,85.8,71.64253619570644,83.1353919239905,70.84188911704312,2700.0,-1.0,3.0
2800.0,0.03125,-8.084397349092695E-15,2800.0,85.6,71.24784358826912,82.81622911694511,70.37037037037037,2800.0,-1.0,3.0
2900.0,0.03125,-8.084397349092695E-15,2900.0,86.4,72.84984767966014,84.07494145199063,72.01646090534979,2900.0,-1.0,3.0
3000.0,0.03125,-8.084397349092695E-15,3000.0,85.8,71.63539902202052,83.09523809523809,71.31313131313131,3000.0,-1.0,3.0
3100.0,0.03125,-8.084397349092695E-15,3100.0,85.9,71.85224223840552,83.09352517985612,71.39959432048681,3100.0,-1.0,3.0
3200.0,0.03125,-8.084397349092695E-15,3200.0,86.0,72.03490044424558,83.13253012048193,71.6024340770791,3200.0,-1.0,3.0
3300.0,0.03125,-8.084397349092695E-15,3300.0,85.9,71.82817182817183,82.9090909090909,71.39959432048681,3300.0,-1.0,3.0
3400.0,0.03125,-8.084397349092695E-15,3400.0,86.1,72.2259964673066,83.25301204819276,71.57464212678937,3400.0,-1.0,3.0
3500.0,0.03125,-8.084397349092695E-15,3500.0,85.39999999999999,70.82952052522846,82.19512195121949,70.14314928425357,3500.0,-1.0,3.0
3600.0,0.03125,-8.084397349092695E-15,3600.0,84.1,68.22795939573176,80.46683046683046,67.4846625766871,3600.0,-1.0,3.0
3700.0,0.03125,-8.084397349092695E-15,3700.0,83.89999999999999,67.808756018363,80.12345679012346,67.54032258064515,3700.0,-1.0,3.0
3800.0,0.03125,-8.084397349092695E-15,3800.0,84.2,68.40644508520262,80.6845965770171,68.20925553319918,3800.0,-1.0,3.0
3900.0,0.03125,-8.084397349092695E-15,3900.0,83.7,67.40469372410371,79.80173482032218,67.20321931589537,3900.0,-1.0,3.0
4000.0,0.03125,-8.084397349092695E-15,4000.0,83.6,67.20734555459576,79.80295566502461,66.80161943319838,4000.0,-1.0,3.0
4100.0,0.046875,-1.2126596023639042E-14,4100.0,83.0,65.99782386072708,79.16666666666666,65.51724137931033,4100.0,-1.0,3.0
4200.0,0.046875,-1.2126596023639042E-14,4200.0,82.6,65.20111356436593,78.67647058823528,64.5621181262729,4200.0,-1.0,3.0
4300.0,0.046875,-1.2126596023639042E-14,4300.0,83.1,66.20567744618903,79.36507936507937,65.15463917525773,4300.0,-1.0,3.0
4400.0,0.046875,-1.2126596023639042E-14,4400.0,82.8,65.60674107874857,78.76543209876542,64.5360824742268,4400.0,-1.0,3.0
4500.0,0.046875,-1.2126596023639042E-14,4500.0,83.5,67.00369558609435,79.85347985347985,65.97938144329896,4500.0,-1.0,3.0
4600.0,0.046875,-1.2126596023639042E-14,4600.0,84.6,69.20443456142314,81.26520681265205,68.31275720164608,4600.0,-1.0,3.0
4700.0,0.046875,-1.2126596023639042E-14,4700.0,84.89999999999999,69.81255797588203,81.76328502415458,68.80165289256198,4700.0,-1.0,3.0
4800.0,0.046875,-1.2126596023639042E-14,4800.0,84.6,69.21379222108494,81.26520681265205,68.18181818181817,4800.0,-1.0,3.0
4900.0,0.046875,-1.2126596023639042E-14,4900.0,85.0,70.00479923212285,81.75182481751824,69.32515337423312,4900.0,-1.0,3.0
5000.0,0.046875,-1.2126596023639042E-14,5000.0,85.0,70.00959692898272,81.75182481751824,69.1358024691358,5000.0,-1.0,3.0
5100.0,0.046875,-1.2126596023639042E-14,5100.0,85.6,71.23670196828846,82.39608801955988,70.49180327868852,5100.0,-1.0,3.0
5200.0,0.046875,-1.2126596023639042E-14,5200.0,85.2,70.41360973951981,81.8181818181818,69.79591836734693,5200.0,-1.0,3.0
5300.0,0.046875,-1.2126596023639042E-14,5300.0,85.0,70.00251978833776,81.6849816849817,69.75806451612902,5300.0,-1.0,3.0
5400.0,0.046875,-1.2126596023639042E-14,5400.0,84.8,69.59124227777599,81.55339805825241,69.29292929292929,5400.0,-1.0,3.0
5500.0,0.046875,-1.2126596023639042E-14,5500.0,84.0,68.00268777422696,80.48780487804876,68.0,5500.0,-1.0,3.0
5600.0,0.046875,-1.2126596023639042E-14,5600.0,83.7,67.40651869626075,80.07334963325184,67.33466933867734,5600.0,-1.0,3.0
5700.0,0.046875,-1.2126596023639042E-14,5700.0,83.1,66.2245884995723,79.11001236093944,65.65040650406503,5700.0,-1.0,3.0
5800.0,0.046875,-1.2126596023639042E-14,5800.0,83.0,66.00258380363091,78.90818858560792,65.86345381526102,5800.0,-1.0,3.0
5900.0,0.046875,-1.2126596023639042E-14,5900.0,82.3,64.60849396144924,77.93017456359101,64.24242424242424,5900.0,-1.0,3.0
6000.0,0.046875,-1.2126596023639042E-14,6000.0,82.3,64.60424749030115,77.98507462686567,64.38631790744466,6000.0,-1.0,3.0
6100.0,0.046875,-1.2126596023639042E-14,6100.0,81.39999999999999,62.80520727098205,76.63316582914572,62.499999999999986,6100.0,-1.0,3.0
6200.0,0.046875,-1.2126596023639042E-14,6200.0,82.39999999999999,64.81688789381096,78.10945273631839,64.30020283975658,6200.0,-1.0,3.0
6300.0,0.046875,-1.2126596023639042E-14,6300.0,81.89999999999999,63.81881421660736,77.0886075949367,62.98568507157463,6300.0,-1.0,3.0
6400.0,0.046875,-1.2126596023639042E-14,6400.0,82.3,64.62405564216333,77.70780856423173,63.95112016293278,6400.0,-1.0,3.0
6500.0,0.046875,-1.2126596023639042E-14,6500.0,82.8,65.61444193438756,78.22784810126582,64.38923395445134,6500.0,-1.0,3.0
6600.0,0.046875,-1.2126596023639042E-14,6600.0,82.89999999999999,65.80683863227354,78.46347607052896,64.95901639344261,6600.0,-1.0,3.0
6700.0,0.046875,-1.2126596023639042E-14,6700.0,84.2,68.39999999999999,80.42131350681537,68.0161943319838,6700.0,-1.0,3.0
6800.0,0.046875,-1.2126596023639042E-14,6800.0,85.2,70.40911399289018,81.8181818181818,69.73415132924335,6800.0,-1.0,3.0
6900.0,0.046875,-1.2126596023639042E-14,6900.0,86.6,73.21285782824243,83.81642512077293,72.65306122448979,6900.0,-1.0,3.0
7000.0,0.046875,-1.2126596023639042E-14,7000.0,87.2,74.42291706630859,84.54106280193236,73.66255144032921,7000.0,-1.0,3.0
7100.0,0.046875,-1.2126596023639042E-14,7100.0,88.3,76.61403158105136,86.17021276595744,75.87628865979381,7100.0,-1.0,3.0
7200.0,0.046875,-1.2126596023639042E-14,7200.0,88.4,76.80890538033395,86.32075471698113,76.03305785123968,7200.0,-1.0,3.0
7300.0,0.046875,-1.2126596023639042E-14,7300.0,88.8,77.6125369792916,86.9615832363213,77.14285714285715,7300.0,-1.0,3.0
7400.0,0.046875,-1.2126596023639042E-14,7400.0,88.8,77.61718999808149,86.91588785046729,77.04918032786885,7400.0,-1.0,3.0
7500.0,0.046875,-1.2126596023639042E-14,7500.0,89.0,78.01266470512984,87.22415795586528,77.64227642276424,7500.0,-1.0,3.0
7600.0,0.046875,-1.2126596023639042E-14,7600.0,88.7,77.41463531631503,86.70588235294117,76.9857433808554,7600.0,-1.0,3.0
