learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.03125,-8.084397349092695E-15,1000.0,83.5,67.00184789651779,79.9757281553398,65.83850931677017,1000.0,-1.0,10.0
2000.0,0.046875,-1.2126596023639042E-14,2000.0,87.0,74.00405536736268,84.22330097087377,73.57723577235772,2000.0,-1.0,10.0
3000.0,0.078125,-2.0210993372731736E-14,3000.0,88.6,77.2065645094213,86.42857142857143,76.96969696969698,3000.0,-1.0,10.0
4000.0,0.09375,-2.4253192047278085E-14,4000.0,87.8,75.6023421751512,84.97536945812807,75.30364372469636,4000.0,-1.0,10.0
5000.0,0.09375,-2.4253192047278085E-14,5000.0,87.9,75.8042584505127,85.27980535279805,75.1028806584362,5000.0,-1.0,10.0
6000.0,0.125,-3.233758939637078E-14,6000.0,86.7,73.40702054657571,83.45771144278606,73.23943661971832,6000.0,-1.0,10.0
7000.0,0.140625,-3.637978807091713E-14,7000.0,89.4,78.81186535540098,87.19806763285023,78.18930041152264,7000.0,-1.0,10.0
8000.0,0.171875,-4.446418542000983E-14,8000.0,88.2,76.4010383543124,85.78313253012048,76.30522088353415,8000.0,-1.0,10.0
9000.0,0.1875,-4.8506384094556176E-14,9000.0,88.3,76.59475722561854,85.76642335766424,75.5741127348643,9000.0,-1.0,10.0
10000.0,0.21875,-5.659078144364887E-14,10000.0,87.1,74.19380651356326,83.67088607594937,73.93939393939394,10000.0,-1.0,10.0
11000.0,0.234375,-6.063298011819522E-14,11000.0,85.5,70.95817977888159,81.94271481942714,69.97929606625259,11000.0,-1.0,10.0
12000.0,0.265625,-6.871737746728791E-14,12000.0,88.0,76.00537479604569,85.13011152416358,76.42436149312377,12000.0,-1.0,10.0
13000.0,0.28125,-7.275957614183426E-14,13000.0,88.4,76.81038894575231,85.93939393939395,76.37474541751527,13000.0,-1.0,10.0
14000.0,0.296875,-7.680177481638061E-14,14000.0,89.3,78.60445027434294,87.27705112960761,78.25203252032522,14000.0,-1.0,10.0
15000.0,0.328125,-8.48861721654733E-14,15000.0,89.9,79.77475889910609,88.2147024504084,79.13223140495869,15000.0,-1.0,10.0
16000.0,0.34375,-8.892837084001965E-14,16000.0,89.0,78.00061598275249,86.68280871670702,77.77777777777779,16000.0,-1.0,10.0
17000.0,0.375,-9.701276818911235E-14,17000.0,89.7,79.39818704045956,87.82505910165484,77.5599128540305,17000.0,-1.0,10.0
18000.0,0.390625,-1.010549668636587E-13,18000.0,88.6,77.20446792428685,86.18181818181819,76.3975155279503,18000.0,-1.0,10.0
19000.0,0.40625,-1.0509716553820505E-13,19000.0,89.5,79.00369534961847,87.52969121140143,79.0,19000.0,-1.0,10.0
20000.0,0.4375,-1.1318156288729775E-13,20000.0,88.5,76.99171701812652,85.85485854858548,74.83588621444201,20000.0,-1.0,10.0
21000.0,0.453125,-1.1722376156184408E-13,21000.0,85.6,71.19251005261368,81.7258883248731,70.4312114989733,21000.0,-1.0,10.0
22000.0,0.46875,-1.2126596023639043E-13,22000.0,84.3,68.59346744122777,79.06666666666666,67.35966735966736,22000.0,-1.0,10.0
23000.0,0.5,-1.2935035758548313E-13,23000.0,86.7,73.38850383365613,82.2429906542056,72.91242362525459,23000.0,-1.0,10.0
24000.0,0.515625,-1.3339255626002948E-13,24000.0,88.7,77.3989151479271,83.71757925072046,77.44510978043913,24000.0,-1.0,10.0
25000.0,0.53125,-1.3743475493457582E-13,25000.0,84.3,68.57787882669399,76.31975867269985,67.15481171548117,25000.0,-1.0,10.0
26000.0,0.546875,-1.4147695360912217E-13,26000.0,86.4,72.80076157867579,80.26124818577647,72.41379310344827,26000.0,-1.0,10.0
27000.0,0.578125,-1.4956135095821487E-13,27000.0,87.1,74.19752296220436,81.33140376266282,74.04426559356136,27000.0,-1.0,10.0
28000.0,0.59375,-1.5360354963276122E-13,28000.0,86.5,73.0038874402086,81.95187165775401,71.27659574468085,28000.0,-1.0,10.0
29000.0,0.625,-1.6168794698185392E-13,29000.0,85.5,70.99559132988213,81.14434330299089,67.70601336302894,29000.0,-1.0,10.0
30000.0,0.640625,-1.6573014565640026E-13,30000.0,88.9,77.80266368035835,86.4963503649635,78.01980198019803,30000.0,-1.0,10.0
31000.0,0.640625,-1.6573014565640026E-13,31000.0,88.8,77.60815063316953,86.5546218487395,76.71517671517671,31000.0,-1.0,10.0
32000.0,0.671875,-1.7381454300549296E-13,32000.0,88.2,76.41141687423286,85.78313253012048,75.86912065439672,32000.0,-1.0,10.0
33000.0,0.6875,-1.778567416800393E-13,33000.0,85.8,71.61135545781687,82.18318695106652,71.0204081632653,33000.0,-1.0,10.0
34000.0,0.703125,-1.8189894035458566E-13,34000.0,87.7,75.3980318425474,84.8894348894349,74.53416149068323,34000.0,-1.0,10.0
35000.0,0.71875,-1.85941139029132E-13,35000.0,88.2,76.40377539593665,85.60975609756096,75.7201646090535,35000.0,-1.0,10.0
36000.0,0.734375,-1.8998333770367835E-13,36000.0,88.5,77.0167318192356,85.95848595848597,76.38603696098562,36000.0,-1.0,10.0
37000.0,0.765625,-1.9806773505277105E-13,37000.0,88.1,76.18742696143563,85.59322033898306,76.00806451612904,37000.0,-1.0,10.0
38000.0,0.78125,-2.021099337273174E-13,38000.0,88.3,76.5986895266135,86.13744075829383,76.21951219512195,38000.0,-1.0,10.0
39000.0,0.796875,-2.0615213240186375E-13,39000.0,88.4,76.79415212633583,85.74938574938574,76.13168724279835,39000.0,-1.0,10.0
40000.0,0.828125,-2.1423652975095645E-13,40000.0,89.4,78.80508677917301,87.19806763285023,78.67203219315896,40000.0,-1.0,10.0
41000.0,0.84375,-2.182787284255028E-13,41000.0,85.5,71.00765397934946,81.52866242038216,68.06167400881057,41000.0,-1.0,10.0
42000.0,0.859375,-2.2232092710004914E-13,42000.0,88.1,76.19752454255242,85.47008547008546,75.36231884057972,42000.0,-1.0,10.0
