learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.03125,-8.084397349092695E-15,1000.0,83.6,67.15217356471021,80.09708737864077,66.0455486542443,1000.0,-1.0
2000.0,0.0625,-1.616879469818539E-14,2000.0,87.1,74.20185746626244,84.34466019417476,73.78048780487805,2000.0,-1.0
3000.0,0.078125,-2.021099337273174E-14,3000.0,88.7,77.40542269855236,86.54761904761905,77.17171717171716,3000.0,-1.0
4000.0,0.09375,-2.4253192047278088E-14,4000.0,87.4,74.80241896777909,84.48275862068965,74.49392712550608,4000.0,-1.0
5000.0,0.125,-3.233758939637078E-14,5000.0,87.9,75.8027100964692,85.27980535279805,75.1028806584362,5000.0,-1.0
6000.0,0.140625,-3.637978807091713E-14,6000.0,86.7,73.40829661145722,83.45771144278606,73.23943661971832,6000.0,-1.0
7000.0,0.171875,-4.446418542000983E-14,7000.0,89.3,78.60599032270966,87.07729468599034,77.98353909465021,7000.0,-1.0
8000.0,0.203125,-5.2548582769102524E-14,8000.0,89.0,78.00079197148902,86.74698795180723,77.91164658634538,8000.0,-1.0
9000.0,0.21875,-5.659078144364887E-14,9000.0,88.6,77.1956215593394,86.13138686131386,76.20041753653445,9000.0,-1.0
10000.0,0.25,-6.467517879274156E-14,10000.0,87.9,75.7980638451076,84.68354430379746,75.55555555555556,10000.0,-1.0
11000.0,0.265625,-6.871737746728791E-14,11000.0,87.8,75.5897476940315,84.80697384806976,74.74120082815735,11000.0,-1.0
12000.0,0.28125,-7.275957614183426E-14,12000.0,89.3,78.6030811563135,86.74101610904586,78.97838899803537,12000.0,-1.0
13000.0,0.3125,-8.084397349092696E-14,13000.0,89.3,78.60479252647407,87.03030303030303,78.20773930753563,13000.0,-1.0
14000.0,0.328125,-8.48861721654733E-14,14000.0,90.60000000000001,81.20120312300013,88.82282996432819,80.89430894308943,14000.0,-1.0
15000.0,0.359375,-9.2970569514566E-14,15000.0,90.7,81.38391570316755,89.14819136522753,80.78512396694215,15000.0,-1.0
16000.0,0.390625,-1.010549668636587E-13,16000.0,90.0,80.00007999968,87.89346246973365,79.7979797979798,16000.0,-1.0
17000.0,0.421875,-1.091393642127514E-13,17000.0,90.5,80.9986319014969,88.77068557919621,79.30283224400871,17000.0,-1.0
18000.0,0.4375,-1.1318156288729775E-13,18000.0,90.4,80.80161266453618,88.36363636363637,80.12422360248448,18000.0,-1.0
19000.0,0.46875,-1.2126596023639043E-13,19000.0,90.2,80.40062717993025,88.36104513064133,80.4,19000.0,-1.0
20000.0,0.484375,-1.2530815891093678E-13,20000.0,89.8,79.60587350842958,87.4538745387454,77.68052516411379,20000.0,-1.0
21000.0,0.515625,-1.3339255626002948E-13,21000.0,88.3,76.6,85.15228426395939,75.97535934291582,21000.0,-1.0
22000.0,0.53125,-1.3743475493457582E-13,22000.0,85.9,71.80135353503032,81.19999999999999,70.68607068607068,22000.0,-1.0
23000.0,0.5625,-1.4551915228366852E-13,23000.0,88.1,76.20171347662968,84.11214953271028,75.76374745417516,23000.0,-1.0
24000.0,0.578125,-1.4956135095821487E-13,24000.0,88.2,76.40481341806272,82.9971181556196,76.44710578842316,24000.0,-1.0
25000.0,0.609375,-1.5764574830730757E-13,25000.0,85.2,70.34127572593735,77.67722473604825,69.0376569037657,25000.0,-1.0
26000.0,0.625,-1.6168794698185392E-13,26000.0,86.2,72.36208077482306,79.9709724238026,72.00811359026369,26000.0,-1.0
27000.0,0.65625,-1.697723443309466E-13,27000.0,84.6,69.17743788453149,77.7134587554269,69.01408450704226,27000.0,-1.0
28000.0,0.703125,-1.8189894035458566E-13,28000.0,83.2,66.36730902437168,77.54010695187165,64.25531914893617,28000.0,-1.0
29000.0,0.71875,-1.85941139029132E-13,29000.0,81.6,63.425154747375146,76.07282184655396,59.020044543429826,29000.0,-1.0
30000.0,0.75,-1.940255363782247E-13,30000.0,84.7,69.38309947090794,81.38686131386861,69.7029702970297,30000.0,-1.0
31000.0,0.765625,-1.9806773505277105E-13,31000.0,84.7,69.28500305142452,81.63265306122447,68.19126819126818,31000.0,-1.0
32000.0,0.796875,-2.0615213240186375E-13,32000.0,84.6,69.10893313488162,81.44578313253011,68.50715746421268,32000.0,-1.0
33000.0,0.8125,-2.101943310764101E-13,33000.0,83.89999999999999,67.72123982517341,79.79924717691343,67.14285714285714,33000.0,-1.0
34000.0,0.828125,-2.1423652975095645E-13,34000.0,85.8,71.63233913338793,82.55528255528255,70.60041407867494,34000.0,-1.0
35000.0,0.859375,-2.2232092710004914E-13,35000.0,85.1,70.13908373081085,81.82926829268293,69.34156378600822,35000.0,-1.0
36000.0,0.890625,-2.3040532444914184E-13,36000.0,86.9,73.74539041205708,84.004884004884,73.1006160164271,36000.0,-1.0
37000.0,0.90625,-2.3444752312368816E-13,37000.0,88.1,76.23080487687956,85.59322033898306,76.00806451612904,37000.0,-1.0
38000.0,0.9375,-2.4253192047278086E-13,38000.0,89.0,78.01784950620096,86.96682464454977,77.64227642276424,38000.0,-1.0
39000.0,0.953125,-2.465741191473272E-13,39000.0,87.0,74.02898365424187,84.02948402948401,73.25102880658436,39000.0,-1.0
40000.0,0.984375,-2.546585164964199E-13,40000.0,89.5,78.9904196313519,87.31884057971014,78.87323943661973,40000.0,-1.0
41000.0,1.015625,-2.627429138455126E-13,41000.0,86.2,72.4158884482538,82.4203821656051,69.60352422907489,41000.0,-1.0
42000.0,1.03125,-2.667851125200589E-13,42000.0,87.8,75.60351309411445,85.10378510378511,74.74120082815735,42000.0,-1.0
43000.0,1.0625,-2.748695098691516E-13,43000.0,88.7,77.4075910494074,86.48325358851675,76.9857433808554,43000.0,-1.0
44000.0,1.078125,-2.789117085436979E-13,44000.0,91.10000000000001,82.19871830771817,89.47990543735224,81.38075313807532,44000.0,-1.0
45000.0,1.109375,-2.869961058927906E-13,45000.0,89.60000000000001,79.20640442743635,87.36330498177402,78.90466531440163,45000.0,-1.0
46000.0,1.140625,-2.950805032418833E-13,46000.0,87.3,74.6004063934977,83.67609254498714,74.54909819639278,46000.0,-1.0
47000.0,1.15625,-2.9912270191642964E-13,47000.0,88.6,77.19498289623718,85.66037735849056,76.05042016806722,47000.0,-1.0
48000.0,1.1875,-3.0720709926552234E-13,48000.0,88.7,77.4003615942145,85.03311258278146,77.53479125248509,48000.0,-1.0
49000.0,1.21875,-3.1529149661461503E-13,49000.0,87.1,74.14891826248667,81.51862464183381,72.13822894168467,49000.0,-1.0
50000.0,1.234375,-3.1933369528916136E-13,50000.0,86.1,72.25482446685349,79.06626506024097,71.91919191919192,50000.0,-1.0
51000.0,1.265625,-3.2741809263825405E-13,51000.0,85.0,70.00755809535995,78.51002865329514,69.87951807228914,51000.0,-1.0
52000.0,1.296875,-3.3550248998734675E-13,52000.0,84.89999999999999,69.9492919177526,78.70239774330042,68.41004184100417,52000.0,-1.0
53000.0,1.3125,-3.3954468866189307E-13,53000.0,83.5,66.76255166912422,78.68217054263566,65.18987341772151,53000.0,-1.0
54000.0,1.34375,-3.4762908601098577E-13,54000.0,82.89999999999999,65.60601794118828,79.06976744186046,64.74226804123711,54000.0,-1.0
55000.0,1.375,-3.5571348336007847E-13,55000.0,83.1,66.2437481024592,78.79548306148054,66.1322645290581,55000.0,-1.0
56000.0,1.390625,-3.597556820346248E-13,56000.0,81.8,63.41973244147155,77.44733581164809,62.5514403292181,56000.0,-1.0
57000.0,1.421875,-3.678400793837175E-13,57000.0,83.2,66.39999999999999,80.46511627906976,66.39999999999999,57000.0,-1.0
58000.0,1.453125,-3.759244767328102E-13,58000.0,83.89999999999999,67.8737618428089,80.34188034188034,66.38830897703548,58000.0,-1.0
59000.0,1.46875,-3.799666754073565E-13,59000.0,83.2,66.35154622656626,79.41176470588233,64.48202959830866,59000.0,-1.0
60000.0,1.484375,-3.8400887408190283E-13,60000.0,82.39999999999999,64.85412464804202,77.9171894604768,60.53811659192824,60000.0,-1.0
61000.0,1.515625,-3.9209327143099553E-13,61000.0,83.7,67.35168048712093,80.02450980392156,66.93711967545639,61000.0,-1.0
62000.0,1.53125,-3.9613547010554185E-13,62000.0,84.39999999999999,68.75688450061084,80.59701492537312,68.48484848484848,62000.0,-1.0
63000.0,1.5625,-4.0421986745463455E-13,63000.0,83.89999999999999,67.55732881957039,80.22113022113022,65.96194503171246,63000.0,-1.0
64000.0,1.59375,-4.1230426480372725E-13,64000.0,83.39999999999999,66.77820650346627,79.90314769975785,66.32860040567951,64000.0,-1.0
65000.0,1.609375,-4.1634646347827357E-13,65000.0,85.9,71.72875646629507,82.76283618581907,71.22448979591837,65000.0,-1.0
66000.0,1.640625,-4.2443086082736627E-13,66000.0,83.8,67.61968723016405,80.59880239520957,64.07982261640797,66000.0,-1.0
67000.0,1.671875,-4.3251525817645896E-13,67000.0,81.89999999999999,63.61867547858526,77.51552795031054,62.29166666666666,67000.0,-1.0
68000.0,1.703125,-4.4059965552555166E-13,68000.0,83.89999999999999,67.78324728859006,80.22113022113022,67.67068273092369,68000.0,-1.0
69000.0,1.71875,-4.44641854200098E-13,69000.0,83.7,67.32864576234495,79.72636815920397,65.97077244258872,69000.0,-1.0
70000.0,1.75,-4.527262515491907E-13,70000.0,83.8,67.4927259957861,80.09828009828009,66.87116564417177,70000.0,-1.0
71000.0,1.765625,-4.56768450223737E-13,71000.0,85.1,70.10961146507037,81.23425692695214,69.46721311475409,71000.0,-1.0
72000.0,1.796875,-4.648528475728296E-13,72000.0,84.7,69.43423365830269,81.22699386503068,68.83910386965375,72000.0,-1.0
73000.0,1.828125,-4.729372449219223E-13,73000.0,82.19999999999999,64.41138835572616,75.68306010928961,64.25702811244979,73000.0,-1.0
74000.0,1.84375,-4.769794435964687E-13,74000.0,82.0,63.99092571327974,73.83720930232559,63.636363636363626,74000.0,-1.0
75000.0,1.875,-4.850638409455613E-13,75000.0,82.6,65.20334047931398,73.39449541284402,64.5621181262729,75000.0,-1.0
76000.0,1.90625,-4.93148238294654E-13,76000.0,82.69999999999999,65.42765787370102,74.06296851574211,63.88308977035489,76000.0,-1.0
77000.0,1.9375,-5.012326356437466E-13,77000.0,83.39999999999999,66.7394658278066,76.58674188998587,65.27196652719664,77000.0,-1.0
78000.0,1.953125,-5.05274834318293E-13,78000.0,84.8,69.60790194549418,80.48780487804878,68.26722338204593,78000.0,-1.0
79000.0,1.984375,-5.133592316673856E-13,79000.0,83.1,66.09013202776997,78.38874680306905,63.96588486140724,79000.0,-1.0
80000.0,2.0,-5.17401430341932E-13,80000.0,82.6,65.13473221871342,77.74936061381074,64.77732793522266,80000.0,-1.0
81000.0,2.03125,-5.254858276910246E-13,81000.0,83.2,66.32551203261615,78.48911651728552,65.36082474226804,81000.0,-1.0
82000.0,2.0625,-5.335702250401173E-13,82000.0,84.89999999999999,69.8,81.6747572815534,68.67219917012447,82000.0,-1.0
83000.0,2.078125,-5.376124237146637E-13,83000.0,85.9,71.8,83.31360946745562,69.9360341151386,83000.0,-1.0
84000.0,2.109375,-5.456968210637563E-13,84000.0,81.3,62.572153682339646,76.79900744416874,61.04166666666665,84000.0,-1.0
85000.0,2.140625,-5.53781218412849E-13,85000.0,85.5,70.98584109045214,82.20858895705521,68.5466377440347,85000.0,-1.0
86000.0,2.15625,-5.578234170873953E-13,86000.0,85.9,71.84257402806955,83.01204819277108,71.10655737704917,86000.0,-1.0
87000.0,2.1875,-5.65907814436488E-13,87000.0,83.5,67.05008387251377,79.82885085574571,66.66666666666666,87000.0,-1.0
88000.0,2.203125,-5.699500131110344E-13,88000.0,85.5,71.0567288115294,82.14285714285714,70.34764826175869,88000.0,-1.0
89000.0,2.234375,-5.78034410460127E-13,89000.0,85.7,71.25581918905229,82.8125,70.69672131147541,89000.0,-1.0
90000.0,2.265625,-5.861188078092197E-13,90000.0,88.0,76.00806129140608,85.62874251497006,75.85513078470825,90000.0,-1.0
91000.0,2.28125,-5.90161006483766E-13,91000.0,85.9,71.75209154726416,82.57107540173052,71.96819085487077,91000.0,-1.0
92000.0,2.3125,-5.982454038328587E-13,92000.0,86.7,73.36718837607933,83.62068965517241,72.91242362525459,92000.0,-1.0
93000.0,2.34375,-6.063298011819513E-13,93000.0,86.4,72.8,83.37408312958433,72.35772357723576,93000.0,-1.0
94000.0,2.375,-6.14414198531044E-13,94000.0,86.3,72.53077755944982,83.53365384615384,71.75257731958763,94000.0,-1.0
95000.0,2.40625,-6.224985958801366E-13,95000.0,86.7,73.4180757085182,83.81995133819952,72.57731958762886,95000.0,-1.0
96000.0,2.4375,-6.305829932292293E-13,96000.0,87.8,75.59297077558337,85.4066985645933,75.93688362919131,96000.0,-1.0
97000.0,2.453125,-6.346251919037756E-13,97000.0,87.5,75.02098237480517,84.93975903614458,74.59349593495935,97000.0,-1.0
98000.0,2.484375,-6.427095892528683E-13,98000.0,87.0,73.98032912882138,83.99014778325122,73.63083164300203,98000.0,-1.0
99000.0,2.515625,-6.507939866019609E-13,99000.0,87.9,75.83827217687184,85.4916067146283,75.3061224489796,99000.0,-1.0
100000.0,2.546875,-6.588783839510536E-13,100000.0,87.9,75.83479789103691,85.38647342995169,75.05154639175258,100000.0,-1.0
