learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.009692914,-2.5075637838906712E-15,1000.0,67.4,35.72149662439271,60.4368932038835,32.505175983436864,1000.0,-1.0,750.0,353.5533905932738,-14.5,4.949747468305833,4.0,1.4142135623730951,2.5,0.7071067811865476,2.5,0.7071067811865476,1.5,0.7071067811865476,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.020088965,-5.1970296125445095E-15,2000.0,84.1,68.20610442794984,80.70388349514563,67.68292682926828,2000.0,-1.0,1250.0,645.4972243679028,-12.75,6.701989754294367,3.5,1.914854215512676,2.25,0.957427107756338,2.25,0.957427107756338,1.25,0.9574271077563381,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.036875688,-9.539766858021418E-15,3000.0,85.8,71.62995876354569,83.09523809523809,71.31313131313131,3000.0,-1.0,1750.0,935.4143466934853,-21.5,5.856620185738529,6.0,1.6733200530681511,3.5,0.8366600265340756,3.5,0.8366600265340756,1.8333333333333335,0.408248290463863,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.054917713,-1.420725162865387E-14,4000.0,85.6,71.21842021106491,82.26600985221674,70.85020242914979,4000.0,-1.0,2250.0,1224.744871391589,-22.375,12.374368670764582,6.249999999999999,3.5355339059327373,3.6249999999999996,1.7677669529663687,3.6249999999999996,1.7677669529663687,2.0,1.1952286093343936,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.08116612,-2.0997733291652466E-14,5000.0,88.2,76.4090589213742,85.64476885644767,75.7201646090535,5000.0,-1.0,2750.0,1513.8251770487457,-27.1,15.49516053482506,7.6000000000000005,4.427188724235731,4.300000000000001,2.2135943621178655,4.300000000000001,2.2135943621178655,2.5,1.35400640077266,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.11061013,-2.861491973615355E-14,6000.0,86.8,73.61013370865588,83.5820895522388,73.44064386317908,6000.0,-1.0,3550.0,1832.575600987128,-34.1,18.08897761376002,9.6,5.168279318217149,5.3,2.5841396591085743,5.3,2.5841396591085743,2.8999999999999995,1.4491376746189435,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.14147814,-3.660049599905809E-14,7000.0,88.9,77.81366678126275,86.59420289855073,77.1604938271605,7000.0,-1.0,4350.0,2186.4481598143493,-45.3,22.246348014898985,12.799999999999997,6.35609943282828,6.8999999999999995,3.17804971641414,6.8999999999999995,3.17804971641414,3.1999999999999997,1.4757295747452437,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.171347628,-4.432775390644868E-14,8000.0,88.2,76.4008495694155,85.78313253012048,76.30522088353415,8000.0,-1.0,5150.0,2560.9243123008014,-54.4,26.969942116693126,15.4,7.7056977476266075,8.2,3.8528488738133038,8.2,3.8528488738133038,3.4,1.577621275493231,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.199243831,-5.154452157310314E-14,9000.0,88.2,76.39395685295436,85.64476885644767,75.36534446764091,9000.0,-1.0,5950.0,2948.1632700151913,-62.8,30.279439302015557,17.8,8.651268372004445,9.4,4.3256341860022225,9.4,4.3256341860022225,3.5,1.6499158227686108,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.225817743,-5.841921161239345E-14,10000.0,86.5,72.99567930868939,82.91139240506328,72.72727272727273,10000.0,-1.0,6750.0,3343.7337746231465,-70.5,35.57855159127945,20.0,10.16530045465127,10.5,5.082650227325635,10.5,5.082650227325635,3.9,1.9119507199599979,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,0.25453795,-6.584914970315165E-14,11000.0,86.6,73.1694131309693,83.31257783312579,72.2567287784679,11000.0,-1.0,7550.000000000001,3744.9966622148013,-78.20000000000002,37.5079250884989,22.200000000000003,10.716550025285398,11.600000000000001,5.358275012642699,11.600000000000001,5.358275012642699,4.3,1.8287822299126937,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,0.279957713,-7.242526057072811E-14,12000.0,87.7,75.40511573592693,84.75836431226766,75.83497053045186,12000.0,-1.0,8450.0,3961.270839852618,-83.80000000000001,39.625468801993726,23.799999999999997,11.32156251485535,12.399999999999999,5.660781257427675,12.399999999999999,5.660781257427675,4.4,1.8973665961010278,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,0.310012709,-8.020050953038864E-14,13000.0,88.6,77.20437675966214,86.18181818181819,76.78207739307535,13000.0,-1.0,9150.0,4558.569463719464,-93.6,48.13684197738314,26.599999999999998,13.753383422109469,13.799999999999999,6.876691711054734,13.799999999999999,6.876691711054734,4.7,2.263232692902394,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,0.340522978,-8.809353794074721E-14,14000.0,90.0,80.00063997952066,88.10939357907253,79.67479674796748,14000.0,-1.0,9950.0,4969.07100640217,-103.39999999999999,46.876196281031355,29.400000000000002,13.393198937437532,15.200000000000001,6.696599468718766,15.200000000000001,6.696599468718766,5.300000000000001,1.7669811040931431,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,0.366454345,-9.4802001129008E-14,15000.0,90.3,80.59068352809349,88.68144690781797,79.95867768595042,15000.0,-1.0,10800.0,5282.0450584977025,-107.6,51.09946727271778,30.599999999999998,14.599847792205079,15.799999999999999,7.2999238961025394,15.799999999999999,7.2999238961025394,5.2,1.9888578520235065,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,0.393482598,-1.0179422950992981E-13,16000.0,89.4,78.80042399152018,87.16707021791767,78.58585858585859,16000.0,-1.0,11550.0,5794.873213069942,-111.79999999999998,56.116545391414334,31.800000000000004,16.033298683261243,16.400000000000002,8.016649341630622,16.400000000000002,8.016649341630622,5.1000000000000005,2.4698178070456938,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,0.423664142,-1.096022165276938E-13,17000.0,90.10000000000001,80.19857429734941,88.29787234042553,78.43137254901961,17000.0,-1.0,12350.0,6209.5356777566985,-120.2,60.77426355877224,34.199999999999996,17.36407530250635,17.599999999999998,8.682037651253175,17.599999999999998,8.682037651253175,5.2,2.5298221281347035,0.0,0.0,0.0,0.0,1.0,0.0
