learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.0,0.0,1000.0,17.599999999999998,-64.92930457478661,0.0,-70.60041407867496,1000.0,-1.0
2000.0,0.0,0.0,2000.0,17.599999999999998,-64.80593301358849,0.0,-67.47967479674797,2000.0,-1.0
3000.0,0.0,0.0,3000.0,16.0,-68.09682377049178,0.0,-69.69696969696969,3000.0,-1.0
4000.0,0.0,0.0,4000.0,18.8,-62.41039426523298,0.0,-64.37246963562752,4000.0,-1.0
5000.0,0.0,0.0,5000.0,17.8,-64.41052227342551,0.0,-69.13580246913581,5000.0,-1.0
6000.0,0.0,0.0,6000.0,19.6,-60.823158534829005,0.0,-61.770623742454724,6000.0,-1.0
7000.0,0.0,0.0,7000.0,17.2,-65.72993226689722,0.0,-70.37037037037037,7000.0,-1.0
8000.0,0.0,0.0,8000.0,17.0,-66.00066400265598,0.0,-66.66666666666666,8000.0,-1.0
9000.0,0.015625,-4.042198674546348E-15,9000.0,17.8,-64.44209717687728,0.0,-71.60751565762004,9000.0,-1.0
10000.0,0.015625,-4.042198674546348E-15,10000.0,21.0,-58.01580158015802,0.0,-59.5959595959596,10000.0,-1.0
11000.0,0.015625,-4.042198674546348E-15,11000.0,19.7,-60.754324151185145,0.0,-66.25258799171843,11000.0,-1.0
12000.0,0.015625,-4.042198674546348E-15,12000.0,19.3,-61.412913033042656,0.0,-58.546168958742626,12000.0,-1.0
13000.0,0.015625,-4.042198674546348E-15,13000.0,17.5,-65.03696828089492,0.0,-68.0244399185336,13000.0,-1.0
14000.0,0.015625,-4.042198674546348E-15,14000.0,15.9,-68.21345707656613,0.0,-70.9349593495935,14000.0,-1.0
15000.0,0.015625,-4.042198674546348E-15,15000.0,14.299999999999999,-71.81234963913391,0.0,-77.06611570247934,15000.0,-1.0
16000.0,0.015625,-4.042198674546348E-15,16000.0,17.4,-65.2006608026432,0.0,-66.86868686868688,16000.0,-1.0
17000.0,0.015625,-4.042198674546348E-15,17000.0,15.4,-69.20270724331588,0.0,-84.31372549019609,17000.0,-1.0
18000.0,0.015625,-4.042198674546348E-15,18000.0,17.5,-65.03696828089492,0.0,-70.80745341614907,18000.0,-1.0
19000.0,0.03125,-8.084397349092695E-15,19000.0,15.8,-68.41077828981055,0.0,-68.39999999999999,19000.0,-1.0
20000.0,0.03125,-8.084397349092695E-15,20000.0,18.7,-62.79926630195357,0.0,-77.89934354485779,20000.0,-1.0
21000.0,0.03125,-8.084397349092695E-15,21000.0,21.2,-57.615761576157624,0.0,-61.8069815195072,21000.0,-1.0
22000.0,0.03125,-8.084397349092695E-15,22000.0,25.0,-50.00960061443933,0.0,-55.925155925155934,22000.0,-1.0
23000.0,0.03125,-8.084397349092695E-15,23000.0,25.1,-49.84315482859064,0.0,-52.54582484725051,23000.0,-1.0
24000.0,0.03125,-8.084397349092695E-15,24000.0,30.599999999999998,-38.804996979891264,0.0,-38.522954091816366,24000.0,-1.0
25000.0,0.03125,-8.084397349092695E-15,25000.0,33.7,-32.658369682660364,0.0,-38.702928870292894,25000.0,-1.0
26000.0,0.03125,-8.084397349092695E-15,26000.0,31.1,-37.83087411580194,0.0,-39.75659229208925,26000.0,-1.0
27000.0,0.03125,-8.084397349092695E-15,27000.0,30.9,-38.20331687960511,0.0,-39.03420523138833,27000.0,-1.0
28000.0,0.046875,-1.2126596023639042E-14,28000.0,25.2,-49.605385793888566,0.0,-59.14893617021277,28000.0,-1.0
29000.0,0.046875,-1.2126596023639042E-14,29000.0,23.1,-54.0106866192952,0.0,-71.26948775055682,29000.0,-1.0
30000.0,0.046875,-1.2126596023639042E-14,30000.0,17.8,-64.40263044208709,0.0,-62.772277227722775,30000.0,-1.0
31000.0,0.046875,-1.2126596023639042E-14,31000.0,16.7,-66.70402331054576,0.0,-73.18087318087318,31000.0,-1.0
32000.0,0.046875,-1.2126596023639042E-14,32000.0,17.0,-66.08038290532616,0.0,-69.73415132924335,32000.0,-1.0
