learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.03125,-8.084397349092695E-15,1000.0,84.0,67.98924438611374,80.58252427184465,66.87370600414077,1000.0,-1.0,10.0
2000.0,0.046875,-1.2126596023639042E-14,2000.0,87.0,74.00405536736268,84.22330097087377,73.57723577235772,2000.0,-1.0,10.0
3000.0,0.0625,-1.616879469818539E-14,3000.0,88.9,77.81384416124338,86.78571428571429,77.57575757575758,3000.0,-1.0,10.0
4000.0,0.078125,-2.021099337273174E-14,4000.0,86.7,73.41063574570171,83.62068965517241,73.07692307692307,4000.0,-1.0,10.0
5000.0,0.09375,-2.4253192047278088E-14,5000.0,87.7,75.40354188996784,85.03649635036497,74.69135802469135,5000.0,-1.0,10.0
6000.0,0.109375,-2.8295390721824436E-14,6000.0,86.4,72.80913613026023,83.08457711442784,72.63581488933602,6000.0,-1.0,10.0
7000.0,0.140625,-3.637978807091713E-14,7000.0,88.5,77.01158616057508,86.11111111111111,76.33744855967079,7000.0,-1.0,10.0
8000.0,0.171875,-4.446418542000983E-14,8000.0,88.2,76.40047199056019,85.78313253012048,76.30522088353415,8000.0,-1.0,10.0
9000.0,0.1875,-4.8506384094556176E-14,9000.0,88.5,76.99779178801165,86.00973236009733,75.99164926931107,9000.0,-1.0,10.0
10000.0,0.203125,-5.2548582769102524E-14,10000.0,87.3,74.6,83.92405063291139,74.34343434343434,10000.0,-1.0,10.0
11000.0,0.234375,-6.063298011819522E-14,11000.0,87.5,74.99099675883318,84.43337484433374,74.12008281573499,11000.0,-1.0,10.0
12000.0,0.25,-6.467517879274156E-14,12000.0,88.5,76.99889594700545,85.74969021065675,77.40667976424362,12000.0,-1.0,10.0
13000.0,0.265625,-6.871737746728791E-14,13000.0,88.8,77.60429997440491,86.42424242424244,77.18940936863544,13000.0,-1.0,10.0
14000.0,0.296875,-7.680177481638061E-14,14000.0,89.0,78.00422318914768,86.92033293697978,77.64227642276424,14000.0,-1.0,10.0
15000.0,0.3125,-8.084397349092696E-14,15000.0,88.2,76.35460083360051,86.23103850641773,75.6198347107438,15000.0,-1.0,10.0
16000.0,0.328125,-8.48861721654733E-14,16000.0,87.5,75.00099996000161,84.86682808716706,74.74747474747475,16000.0,-1.0,10.0
17000.0,0.34375,-8.892837084001965E-14,17000.0,88.3,76.5956936076238,86.17021276595744,74.50980392156863,17000.0,-1.0,10.0
18000.0,0.359375,-9.2970569514566E-14,18000.0,87.1,74.20433367194312,84.36363636363636,73.2919254658385,18000.0,-1.0,10.0
19000.0,0.390625,-1.010549668636587E-13,19000.0,88.6,77.20437675966214,86.46080760095012,77.2,19000.0,-1.0,10.0
20000.0,0.40625,-1.0509716553820505E-13,20000.0,87.6,75.21070897372336,84.7478474784748,72.86652078774617,20000.0,-1.0,10.0
21000.0,0.421875,-1.091393642127514E-13,21000.0,84.7,69.39632755930711,80.58375634517766,68.58316221765914,21000.0,-1.0,10.0
22000.0,0.4375,-1.1318156288729775E-13,22000.0,83.8,67.5979262672811,78.39999999999999,66.32016632016631,22000.0,-1.0,10.0
23000.0,0.453125,-1.1722376156184408E-13,23000.0,87.0,73.99157326973939,82.64352469959947,73.5234215885947,23000.0,-1.0,10.0
24000.0,0.484375,-1.2530815891093678E-13,24000.0,87.7,75.40177107248279,82.27665706051873,75.44910179640718,24000.0,-1.0,10.0
25000.0,0.5,-1.2935035758548313E-13,25000.0,84.0,67.9816855241198,75.86726998491702,66.52719665271965,25000.0,-1.0,10.0
26000.0,0.515625,-1.3339255626002948E-13,26000.0,87.1,74.19711007632856,81.27721335268505,73.83367139959431,26000.0,-1.0,10.0
27000.0,0.53125,-1.3743475493457582E-13,27000.0,86.6,73.1926011579196,80.60781476121561,73.03822937625755,27000.0,-1.0,10.0
28000.0,0.5625,-1.4551915228366852E-13,28000.0,86.5,73.00064798444838,81.95187165775401,71.27659574468085,28000.0,-1.0,10.0
29000.0,0.578125,-1.4956135095821487E-13,29000.0,85.9,71.79571294836815,81.66449934980494,68.5968819599109,29000.0,-1.0,10.0
30000.0,0.59375,-1.5360354963276122E-13,30000.0,85.0,70.00047999232012,81.75182481751824,70.29702970297029,30000.0,-1.0,10.0
31000.0,0.609375,-1.5764574830730757E-13,31000.0,86.1,72.2,83.31332533013205,71.1018711018711,31000.0,-1.0,10.0
32000.0,0.640625,-1.6573014565640026E-13,32000.0,85.1,70.21048590896004,82.04819277108435,69.52965235173824,32000.0,-1.0,10.0
33000.0,0.65625,-1.697723443309466E-13,33000.0,84.8,69.59513522163546,80.92848180677542,68.97959183673468,33000.0,-1.0,10.0
34000.0,0.671875,-1.7381454300549296E-13,34000.0,85.6,71.19366260577327,82.3095823095823,70.1863354037267,34000.0,-1.0,10.0
35000.0,0.6875,-1.778567416800393E-13,35000.0,86.8,73.60633447972486,83.90243902439023,72.8395061728395,35000.0,-1.0,10.0
36000.0,0.71875,-1.85941139029132E-13,36000.0,88.7,77.4117458921361,86.20268620268621,76.79671457905545,36000.0,-1.0,10.0
37000.0,0.734375,-1.8998333770367835E-13,37000.0,87.9,75.78488977121725,85.35108958837773,75.60483870967742,37000.0,-1.0,10.0
38000.0,0.75,-1.940255363782247E-13,38000.0,88.4,76.79285219847714,86.25592417061611,76.42276422764228,38000.0,-1.0,10.0
39000.0,0.78125,-2.021099337273174E-13,39000.0,88.0,75.99567922226001,85.25798525798524,75.30864197530865,39000.0,-1.0,10.0
40000.0,0.796875,-2.0615213240186375E-13,40000.0,88.9,77.80372897353244,86.59420289855073,77.66599597585513,40000.0,-1.0,10.0
41000.0,0.8125,-2.101943310764101E-13,41000.0,85.3,70.600705583066,81.27388535031847,67.62114537444933,41000.0,-1.0,10.0
42000.0,0.828125,-2.1423652975095645E-13,42000.0,86.6,73.19957119313909,83.63858363858365,72.2567287784679,42000.0,-1.0,10.0
43000.0,0.84375,-2.182787284255028E-13,43000.0,87.4,74.79596735477678,84.92822966507177,74.33808553971487,43000.0,-1.0,10.0
44000.0,0.875,-2.263631257745955E-13,44000.0,89.2,78.40241892907994,87.2340425531915,77.40585774058579,44000.0,-1.0,10.0
45000.0,0.890625,-2.3040532444914184E-13,45000.0,88.2,76.3989615543084,85.6622114216282,76.06490872210954,45000.0,-1.0,10.0
46000.0,0.90625,-2.3444752312368816E-13,46000.0,84.6,69.19913757585212,80.20565552699227,69.13827655310621,46000.0,-1.0,10.0
47000.0,0.921875,-2.384897217982345E-13,47000.0,88.1,76.22092558548478,85.03144654088051,75.0,47000.0,-1.0,10.0
48000.0,0.953125,-2.465741191473272E-13,48000.0,87.6,75.2020830250259,83.57615894039735,75.3479125248509,48000.0,-1.0,10.0
49000.0,0.96875,-2.506163178218735E-13,49000.0,84.89999999999999,69.72637454288831,78.36676217765043,67.3866090712743,49000.0,-1.0,10.0
50000.0,0.984375,-2.5465851649641983E-13,50000.0,82.5,65.07627341885322,73.644578313253,64.64646464646464,50000.0,-1.0,10.0
51000.0,1.0,-2.5870071517096615E-13,51000.0,81.69999999999999,63.40790389275915,73.78223495702004,63.25301204819276,51000.0,-1.0,10.0
52000.0,1.015625,-2.627429138455125E-13,52000.0,84.1,68.27993456489645,77.574047954866,66.73640167364016,52000.0,-1.0,10.0
53000.0,1.046875,-2.7082731119460517E-13,53000.0,86.2,72.31372958137557,82.17054263565892,70.88607594936708,53000.0,-1.0,10.0
54000.0,1.0625,-2.748695098691515E-13,54000.0,85.9,71.75593926525379,82.74173806609546,70.92783505154638,54000.0,-1.0,10.0
55000.0,1.078125,-2.789117085436978E-13,55000.0,87.4,74.8088672787179,84.19071518193226,74.74949899799599,55000.0,-1.0,10.0
56000.0,1.09375,-2.8295390721824414E-13,56000.0,85.1,70.15152607835124,81.5365551425031,69.34156378600822,56000.0,-1.0,10.0
57000.0,1.125,-2.9103830456733684E-13,57000.0,89.7,79.4,88.0232558139535,79.4,57000.0,-1.0,10.0
58000.0,1.140625,-2.9508050324188316E-13,58000.0,88.8,77.61191046363335,86.32478632478634,76.61795407098121,58000.0,-1.0,10.0
59000.0,1.171875,-3.0316490059097586E-13,59000.0,86.5,72.99178950400922,83.45588235294117,71.45877378435517,59000.0,-1.0,10.0
60000.0,1.1875,-3.072070992655222E-13,60000.0,86.2,72.41269016252522,82.68506900878295,69.05829596412556,60000.0,-1.0,10.0
61000.0,1.203125,-3.112492979400685E-13,61000.0,87.7,75.39606337013922,84.92647058823529,75.05070993914808,61000.0,-1.0,10.0
62000.0,1.21875,-3.1529149661461483E-13,62000.0,87.1,74.18967587034814,83.95522388059702,73.93939393939394,62000.0,-1.0,10.0
63000.0,1.25,-3.2337589396370753E-13,63000.0,87.5,74.9669563824248,84.64373464373465,73.57293868921776,63000.0,-1.0,10.0
64000.0,1.25,-3.2337589396370753E-13,64000.0,87.8,75.59531430034568,85.23002421307505,75.25354969574036,64000.0,-1.0,10.0
65000.0,1.265625,-3.2741809263825385E-13,65000.0,87.7,75.37340327553758,84.96332518337408,74.89795918367346,65000.0,-1.0,10.0
66000.0,1.28125,-3.3146029131280017E-13,66000.0,88.5,77.00275966883974,86.22754491017965,74.50110864745011,66000.0,-1.0,10.0
67000.0,1.3125,-3.3954468866189287E-13,67000.0,87.9,75.77150729257608,84.96894409937889,74.79166666666667,67000.0,-1.0,10.0
68000.0,1.328125,-3.435868873364392E-13,68000.0,86.0,71.99372659475722,82.8009828009828,71.8875502008032,68000.0,-1.0,10.0
69000.0,1.34375,-3.476290860109855E-13,69000.0,86.9,73.78385085212491,83.70646766169155,72.65135699373695,69000.0,-1.0,10.0
70000.0,1.359375,-3.5167128468553184E-13,70000.0,87.4,74.78113628994488,84.52088452088451,74.23312883435584,70000.0,-1.0,10.0
71000.0,1.375,-3.5571348336007816E-13,71000.0,87.0,73.97501601537476,83.6272040302267,73.36065573770492,71000.0,-1.0,10.0
72000.0,1.390625,-3.597556820346245E-13,72000.0,88.5,77.00183985281178,85.88957055214725,76.57841140529533,72000.0,-1.0,10.0
73000.0,1.421875,-3.678400793837172E-13,73000.0,83.3,66.60187029526345,77.18579234972677,66.46586345381526,73000.0,-1.0,10.0
74000.0,1.4375,-3.718822780582635E-13,74000.0,82.39999999999999,64.81308953069458,74.4186046511628,64.44444444444444,74000.0,-1.0,10.0
75000.0,1.453125,-3.7592447673280983E-13,75000.0,83.39999999999999,66.71372196733934,74.61773700305811,66.19144602851324,75000.0,-1.0,10.0
76000.0,1.46875,-3.7996667540735615E-13,76000.0,81.2,62.45286636415926,71.81409295352324,60.75156576200419,76000.0,-1.0,10.0
77000.0,1.5,-3.8805107275644885E-13,77000.0,83.7,67.36893522633545,77.0098730606488,65.89958158995816,77000.0,-1.0,10.0
78000.0,1.515625,-3.9209327143099517E-13,78000.0,87.2,74.4013311307812,83.56867779204109,73.2776617954071,78000.0,-1.0,10.0
79000.0,1.53125,-3.961354701055415E-13,79000.0,86.1,72.1833099859916,82.22506393861893,70.36247334754798,79000.0,-1.0,10.0
80000.0,1.546875,-4.001776687800878E-13,80000.0,84.3,68.59020014244443,79.923273657289,68.21862348178136,80000.0,-1.0,10.0
81000.0,1.5625,-4.0421986745463414E-13,81000.0,84.5,68.98610577538736,80.15364916773368,68.04123711340205,81000.0,-1.0,10.0
82000.0,1.59375,-4.1230426480372684E-13,82000.0,87.9,75.8,85.31553398058253,74.89626556016597,82000.0,-1.0,10.0
83000.0,1.609375,-4.1634646347827316E-13,83000.0,84.8,69.6,82.01183431952663,67.59061833688699,83000.0,-1.0,10.0
84000.0,1.625,-4.203886621528195E-13,84000.0,84.39999999999999,68.79350904988237,80.64516129032256,67.5,84000.0,-1.0,10.0
85000.0,1.640625,-4.244308608273658E-13,85000.0,86.1,72.20066718398759,82.94478527607362,69.84815618221258,85000.0,-1.0,10.0
86000.0,1.65625,-4.2847305950191213E-13,86000.0,88.1,76.19866712535902,85.66265060240964,75.61475409836066,86000.0,-1.0,10.0
87000.0,1.671875,-4.3251525817645846E-13,87000.0,86.3,72.6,83.25183374083129,72.32323232323232,87000.0,-1.0,10.0
88000.0,1.703125,-4.4059965552555115E-13,88000.0,87.5,74.9989999599984,84.60591133004927,74.43762781186093,88000.0,-1.0,10.0
89000.0,1.71875,-4.446418542000975E-13,89000.0,88.0,75.99154902525689,85.57692307692307,75.40983606557377,89000.0,-1.0,10.0
90000.0,1.734375,-4.486840528746438E-13,90000.0,88.6,77.19890554746628,86.34730538922156,77.06237424547284,90000.0,-1.0,10.0
91000.0,1.75,-4.527262515491901E-13,91000.0,88.0,76.00460711543384,85.16687268232387,76.14314115308152,91000.0,-1.0,10.0
92000.0,1.765625,-4.567684502237365E-13,92000.0,86.4,72.79619146680535,83.25123152709358,72.30142566191445,92000.0,-1.0,10.0
93000.0,1.796875,-4.648528475728291E-13,93000.0,87.7,75.4,84.96332518337408,75.0,93000.0,-1.0,10.0
94000.0,1.8125,-4.688950462473755E-13,94000.0,86.9,73.7779734977381,84.2548076923077,72.98969072164948,94000.0,-1.0,10.0
95000.0,1.828125,-4.729372449219219E-13,95000.0,85.5,70.9953592574812,82.36009732360097,70.10309278350515,95000.0,-1.0,10.0
96000.0,1.84375,-4.769794435964683E-13,96000.0,84.3,68.59773903721067,81.22009569377991,69.0335305719921,96000.0,-1.0,10.0
97000.0,1.859375,-4.810216422710146E-13,97000.0,83.39999999999999,66.7856514014054,80.0,66.260162601626,97000.0,-1.0,10.0
98000.0,1.890625,-4.891060396201073E-13,98000.0,80.10000000000001,60.22450170694853,75.4926108374384,59.634888438133885,98000.0,-1.0,10.0
99000.0,1.90625,-4.931482382946537E-13,99000.0,86.7,73.38594778042807,84.05275779376498,72.85714285714285,99000.0,-1.0,10.0
100000.0,1.921875,-4.971904369692E-13,100000.0,86.8,73.5698696514026,84.05797101449274,72.78350515463917,100000.0,-1.0,10.0
