learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.03125,-8.084397349092695E-15,1000.0,79.9,59.766203611033276,75.60679611650485,58.385093167701875,1000.0,-1.0,10.0
2000.0,0.078125,-2.021099337273174E-14,2000.0,81.0,62.01048510611072,76.94174757281554,61.38211382113822,2000.0,-1.0,10.0
3000.0,0.125,-3.233758939637078E-14,3000.0,79.9,59.82121439879745,76.07142857142858,59.3939393939394,3000.0,-1.0,10.0
4000.0,0.171875,-4.446418542000983E-14,4000.0,77.0,54.00883030458152,71.67487684729065,53.441295546558706,4000.0,-1.0,10.0
5000.0,0.21875,-5.659078144364887E-14,5000.0,81.3,62.607777582262884,77.25060827250608,61.52263374485596,5000.0,-1.0,10.0
6000.0,0.265625,-6.871737746728791E-14,6000.0,78.4,56.80621990433378,73.13432835820896,56.53923541247485,6000.0,-1.0,10.0
7000.0,0.3125,-8.084397349092696E-14,7000.0,80.10000000000001,60.18439228177447,75.96618357487922,59.053497942386834,7000.0,-1.0,10.0
8000.0,0.34375,-8.892837084001965E-14,8000.0,80.9,61.80244464354283,76.98795180722891,61.646586345381536,8000.0,-1.0,10.0
9000.0,0.390625,-1.010549668636587E-13,9000.0,79.10000000000001,58.15581253804017,74.57420924574208,56.36743215031316,9000.0,-1.0,10.0
10000.0,0.4375,-1.1318156288729775E-13,10000.0,80.0,59.97838832969805,74.68354430379748,59.5959595959596,10000.0,-1.0,10.0
11000.0,0.484375,-1.2530815891093678E-13,11000.0,78.7,57.25123429534781,73.47447073474473,55.90062111801243,11000.0,-1.0,10.0
12000.0,0.53125,-1.3743475493457582E-13,12000.0,79.10000000000001,58.211366508309744,74.1016109045849,58.939096267190585,12000.0,-1.0,10.0
13000.0,0.578125,-1.4956135095821487E-13,13000.0,78.4,56.808292807780916,73.81818181818181,56.0081466395112,13000.0,-1.0,10.0
14000.0,0.625,-1.6168794698185392E-13,14000.0,80.9,61.81405242870625,77.28894173602853,61.1788617886179,14000.0,-1.0,10.0
15000.0,0.671875,-1.7381454300549296E-13,15000.0,82.5,64.78022862663016,79.57992998833139,63.84297520661156,15000.0,-1.0,10.0
16000.0,0.71875,-1.85941139029132E-13,16000.0,79.10000000000001,58.20401241480819,74.69733656174333,57.777777777777786,16000.0,-1.0,10.0
17000.0,0.765625,-1.9806773505277105E-13,17000.0,82.6,65.19498807828327,79.43262411347517,62.09150326797385,17000.0,-1.0,10.0
18000.0,0.796875,-2.0615213240186375E-13,18000.0,80.2,60.39001828460774,76.0,59.00621118012423,18000.0,-1.0,10.0
19000.0,0.84375,-2.182787284255028E-13,19000.0,81.39999999999999,62.7940470475276,77.90973871733966,62.79999999999999,19000.0,-1.0,10.0
20000.0,0.890625,-2.3040532444914184E-13,20000.0,81.5,62.97067277283608,77.24477244772447,59.51859956236323,20000.0,-1.0,10.0
21000.0,0.9375,-2.4253192047278086E-13,21000.0,79.4,58.784338048458416,73.85786802030458,57.70020533880904,21000.0,-1.0,10.0
22000.0,0.96875,-2.5061631782187356E-13,22000.0,78.8,57.59185763666624,71.73333333333333,55.925155925155934,22000.0,-1.0,10.0
23000.0,1.015625,-2.627429138455126E-13,23000.0,78.9,57.7360969786317,71.8291054739653,57.02647657841141,23000.0,-1.0,10.0
24000.0,1.0625,-2.748695098691516E-13,24000.0,80.80000000000001,61.599539194470346,72.3342939481268,61.67664670658684,24000.0,-1.0,10.0
25000.0,1.109375,-2.869961058927906E-13,25000.0,77.60000000000001,55.170412472231675,66.21417797888385,53.13807531380753,25000.0,-1.0,10.0
26000.0,1.15625,-2.9912270191642964E-13,26000.0,80.9,61.80855488370606,72.27866473149493,61.25760649087222,26000.0,-1.0,10.0
27000.0,1.203125,-3.1124929794006866E-13,27000.0,80.30000000000001,60.60283659576512,71.49059334298119,60.362173038229386,27000.0,-1.0,10.0
28000.0,1.25,-3.233758939637077E-13,28000.0,78.7,57.404089207436094,71.524064171123,54.68085106382979,28000.0,-1.0,10.0
