learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.035994504,-9.311803927024204E-15,1000.0,83.0,65.99999999999999,79.36893203883494,64.80331262939958,1000.0,-1.0,10.0
2000.0,0.063275628,-1.6369450216492016E-14,2000.0,86.2,72.40893950360083,83.252427184466,71.95121951219512,2000.0,-1.0,10.0
3000.0,0.093463447,-2.41790605812437E-14,3000.0,89.2,78.40621900892543,87.14285714285714,78.18181818181819,3000.0,-1.0,10.0
4000.0,0.127295909,-3.2931542696638236E-14,4000.0,87.0,74.00499104171999,83.99014778325122,73.68421052631578,4000.0,-1.0,10.0
5000.0,0.158361782,-4.096830625914865E-14,5000.0,88.5,77.00331152314067,86.00973236009733,76.33744855967079,5000.0,-1.0,10.0
6000.0,0.183985464,-4.7597171117862066E-14,6000.0,87.3,74.60426648323082,84.20398009950249,74.44668008048289,6000.0,-1.0,10.0
7000.0,0.21792125,-5.6376383225950927E-14,7000.0,89.5,79.00587835406087,87.31884057971014,78.39506172839506,7000.0,-1.0,10.0
8000.0,0.245968528,-6.363223410314983E-14,8000.0,89.1,78.20052318744351,86.86746987951808,78.1124497991968,8000.0,-1.0,10.0
9000.0,0.275240642,-7.120495092951588E-14,9000.0,88.7,77.39638342134741,86.25304136253041,76.40918580375782,9000.0,-1.0,10.0
10000.0,0.300563386,-7.775596291240718E-14,10000.0,87.8,75.59658352169303,84.55696202531647,75.35353535353535,10000.0,-1.0,10.0
11000.0,0.334663834,-8.657777319765753E-14,11000.0,87.7,75.38523113868322,84.6824408468244,74.53416149068323,11000.0,-1.0,10.0
12000.0,0.362735588,-9.383995603356096E-14,12000.0,89.1,78.20383612484203,86.49318463444857,78.58546168958743,12000.0,-1.0,10.0
13000.0,0.393001526,-1.0166977583948108E-13,13000.0,88.7,77.40795240075494,86.3030303030303,76.9857433808554,13000.0,-1.0,10.0
14000.0,0.418242676,-1.0819967939621872E-13,14000.0,90.7,81.40208296670774,88.94173602853745,81.09756097560977,14000.0,-1.0,10.0
15000.0,0.453329462,-1.1727665602746935E-13,15000.0,90.9,81.78426160202416,89.38156359393233,81.19834710743802,15000.0,-1.0,10.0
16000.0,0.478497774,-1.2378771634151536E-13,16000.0,89.5,79.0003359946241,87.28813559322035,78.7878787878788,16000.0,-1.0,10.0
17000.0,0.508327596,-1.3150471262633797E-13,17000.0,90.60000000000001,81.19879672299028,88.8888888888889,79.520697167756,17000.0,-1.0,10.0
18000.0,0.533451557,-1.3800429930496543E-13,18000.0,89.9,79.80226214663958,87.75757575757575,79.08902691511388,18000.0,-1.0,10.0
19000.0,0.564938759,-1.461500609810981E-13,19000.0,90.4,80.8018430230698,88.59857482185274,80.80000000000001,19000.0,-1.0,10.0
20000.0,0.592648851,-1.5331868159895136E-13,20000.0,89.1,78.20156948699693,86.5928659286593,76.14879649890591,20000.0,-1.0,10.0
21000.0,0.631426934,-1.6335059940401046E-13,21000.0,87.6,75.1975197519752,84.26395939086294,74.53798767967146,21000.0,-1.0,10.0
22000.0,0.65993875,-1.7072662659403345E-13,22000.0,85.8,71.60090877091932,81.06666666666666,70.47817047817048,22000.0,-1.0,10.0
23000.0,0.69373985,-1.794709953375988E-13,23000.0,87.7,75.39468525201444,83.5781041388518,74.949083503055,23000.0,-1.0,10.0
24000.0,0.721912851,-1.8675937084481114E-13,24000.0,88.5,77.00275966883974,83.42939481268012,77.04590818363273,24000.0,-1.0,10.0
25000.0,0.751328506,-1.9436922183053355E-13,25000.0,85.39999999999999,70.76011679931426,77.97888386123678,69.4560669456067,25000.0,-1.0,10.0
26000.0,0.781246935,-2.0210914080962533E-13,26000.0,86.5,72.97881539126675,80.40638606676342,72.61663286004057,26000.0,-1.0,10.0
27000.0,0.811713189,-2.0999078250800564E-13,27000.0,85.3,70.5872937108831,78.72648335745296,70.4225352112676,27000.0,-1.0,10.0
28000.0,0.840789756,-2.1751291118562216E-13,28000.0,85.9,71.78781233492869,81.14973262032086,70.0,28000.0,-1.0,10.0
29000.0,0.874287926,-2.2617891172154078E-13,29000.0,85.9,71.85134315009422,81.66449934980494,68.5968819599109,29000.0,-1.0,10.0
30000.0,0.903094481,-2.3363118810165254E-13,30000.0,89.4,78.79864311315924,87.10462287104622,79.00990099009901,30000.0,-1.0,10.0
31000.0,0.936446376,-2.422593471904595E-13,31000.0,89.0,78.00114394051509,86.79471788715486,77.13097713097713,31000.0,-1.0,10.0
32000.0,0.963769095,-2.4932775413617486E-13,32000.0,89.1,78.19616252460433,86.86746987951808,77.70961145194273,32000.0,-1.0,10.0
33000.0,0.9982744,-2.582543012168672E-13,33000.0,87.4,74.8,84.19071518193226,74.28571428571429,33000.0,-1.0,10.0
34000.0,1.028484937,-2.6606978874446614E-13,34000.0,88.8,77.59955199103983,86.24078624078622,76.81159420289855,34000.0,-1.0,10.0
35000.0,1.064921802,-2.754960317785541E-13,35000.0,88.0,76.00383938569829,85.36585365853657,75.30864197530865,35000.0,-1.0,10.0
36000.0,1.095348769,-2.833675099019375E-13,36000.0,89.2,78.39887674159056,86.81318681318683,77.82340862422998,36000.0,-1.0,10.0
37000.0,1.13045027,-2.924482933142119E-13,37000.0,88.7,77.39674513129891,86.31961259079904,77.21774193548387,37000.0,-1.0,10.0
38000.0,1.160557771,-3.002371253549225E-13,38000.0,90.3,80.60000000000001,88.50710900473933,80.28455284552845,38000.0,-1.0,10.0
39000.0,1.19459911,-3.0904364409959977E-13,39000.0,88.7,77.4,86.11793611793613,76.74897119341564,39000.0,-1.0,10.0
40000.0,1.225013963,-3.169119883225196E-13,40000.0,89.7,79.40247170339559,87.56038647342996,79.27565392354126,40000.0,-1.0,10.0
41000.0,1.261868654,-3.264463232416246E-13,41000.0,86.9,73.79937118490844,83.31210191082803,71.1453744493392,41000.0,-1.0,10.0
42000.0,1.296842933,-3.354941942315135E-13,42000.0,89.1,78.19877913163137,86.6910866910867,77.4327122153209,42000.0,-1.0,10.0
43000.0,1.331382123,-3.444295073859394E-13,43000.0,89.9,79.79838387070966,87.91866028708134,79.4297352342159,43000.0,-1.0,10.0
44000.0,1.362638968,-3.5251567554142745E-13,44000.0,91.2,82.40084475945156,89.59810874704492,81.58995815899583,44000.0,-1.0,10.0
45000.0,1.403783314,-3.631597472768691E-13,45000.0,89.4,78.79346838826359,87.1202916160389,78.49898580121705,45000.0,-1.0,10.0
46000.0,1.4323392,-3.705471754074097E-13,46000.0,87.1,74.19896795871834,83.41902313624678,74.14829659318637,46000.0,-1.0,10.0
47000.0,1.463449877,-3.7859552979676263E-13,47000.0,88.2,76.40726656189894,85.15723270440252,75.21008403361344,47000.0,-1.0,10.0
48000.0,1.488820764,-3.851589964081844E-13,48000.0,88.7,77.4010847479321,85.03311258278146,77.53479125248509,48000.0,-1.0,10.0
49000.0,1.518962914,-3.9295679216997496E-13,49000.0,87.5,74.94668654897623,82.09169054441261,73.00215982721382,49000.0,-1.0,10.0
50000.0,1.545794041,-3.99898023913718E-13,50000.0,85.6,71.26127097029133,78.31325301204821,70.9090909090909,50000.0,-1.0,10.0
51000.0,1.578364996,-4.0832415326601935E-13,51000.0,84.7,69.4073422378629,78.08022922636103,69.27710843373494,51000.0,-1.0,10.0
52000.0,1.609647895,-4.1641706160994046E-13,52000.0,84.1,68.36173481164288,77.574047954866,66.73640167364016,52000.0,-1.0,10.0
53000.0,1.639612194,-4.2416884719083713E-13,53000.0,86.0,71.88246871924645,81.91214470284237,70.46413502109704,53000.0,-1.0,10.0
54000.0,1.66566416,-4.309085094266468E-13,54000.0,85.8,71.52311240348942,82.61933904528765,70.72164948453607,54000.0,-1.0,10.0
55000.0,1.695148947,-4.3853624491021044E-13,55000.0,87.8,75.61014617918946,84.69259723964869,75.55110220440882,55000.0,-1.0,10.0
56000.0,1.721985739,-4.454789421935049E-13,56000.0,86.0,71.9465863003158,82.65179677819084,71.19341563786008,56000.0,-1.0,10.0
57000.0,1.749993042,-4.5272445150961487E-13,57000.0,90.3,80.60000000000001,88.72093023255813,80.60000000000001,57000.0,-1.0,10.0
58000.0,1.776294493,-4.59528655693349E-13,58000.0,89.0,78.00923612082926,86.56898656898659,77.03549060542798,58000.0,-1.0,10.0
59000.0,1.807139806,-4.675083602261213E-13,59000.0,89.1,78.19755812651017,86.6421568627451,76.95560253699789,59000.0,-1.0,10.0
60000.0,1.833214152,-4.742538121839365E-13,60000.0,87.9,75.80580660641446,84.81806775407779,72.86995515695067,60000.0,-1.0,10.0
61000.0,1.86170705,-4.816249452738299E-13,61000.0,88.8,77.59507091560143,86.27450980392156,77.28194726166329,61000.0,-1.0,10.0
