        SEAFD_A   81.37,   99.33,   79.76,   86.96,   18.21,   84.25,   86.34
        SEAFD_G   85.33,   99.33,   78.87,   88.60,   20.57,   83.61,   85.92
          SEA_A   86.06,   99.32,   79.21,   94.31,   17.90,   84.76,   88.49
          SEA_G   86.01,   99.34,   79.09,   94.32,   20.25,   86.03,   88.12
          AGR_A   70.12,   72.69,   61.08,   58.72,    0.00,   73.01,   79.76
          AGR_G   84.61,   73.23,   60.22,   57.36,    3.72,   72.00,   77.03
          HYPER   82.36,   95.37,   75.89,   94.64,   50.15,   90.21,   82.50
          RBF_M   67.36,   79.33,   45.61,   73.72,   22.66,   56.63,   80.98
          RBF_F   52.31,   99.33,   46.88,   73.41,   22.66,   53.89,   66.81
          LED_A   64.95,   65.17,   51.01,   64.78,    9.67,   73.24,   70.28
          LED_G   64.52,   64.66,   49.81,   63.90,    9.64,   72.57,   68.98
        weather   75.68,   97.33,   73.73,   96.44,   67.92,   69.82,   78.33
    elecNormNew   87.92,   95.48,   88.24,   97.55,   85.37,   79.60,   88.31
