DataSet: SEAFD_A - Accuracy
Instance,   DD+FS, DD+FS+W,      FS,    W+FS
   100.0,   69.00,   71.00,   69.00,   71.00
   200.0,   74.00,   74.00,   74.00,   74.00
   300.0,   75.33,   75.00,   75.33,   75.00
   400.0,   79.00,   78.75,   79.00,   78.75
   500.0,   80.60,   80.20,   80.60,   80.20
   600.0,   80.83,   81.67,   82.33,   82.00
   700.0,   81.00,   82.00,   82.71,   82.57
   800.0,   81.75,   82.62,   83.25,   83.00
   900.0,   81.33,   83.44,   83.89,   83.44
  1000.0,   81.60,   83.80,   84.30,   83.80
  1100.0,   83.10,   84.80,   85.90,   85.20
  1200.0,   83.70,   85.90,   86.70,   86.20
  1300.0,   83.80,   86.20,   86.70,   86.30
  1400.0,   83.70,   86.10,   86.60,   86.20
  1500.0,   83.30,   85.90,   86.20,   85.90
  1600.0,   82.70,   85.30,   85.70,   85.40
  1700.0,   82.70,   85.70,   86.00,   85.60
  1800.0,   82.90,   85.70,   86.20,   85.90
  1900.0,   83.00,   85.10,   85.60,   85.50
  2000.0,   82.30,   84.20,   85.30,   85.30
  2100.0,   82.10,   84.30,   84.90,   85.00
  2200.0,   82.60,   84.70,   85.50,   85.60
  2300.0,   83.50,   85.50,   86.20,   86.30
  2400.0,   83.20,   85.30,   85.90,   86.00
  2500.0,   84.00,   85.90,   86.60,   86.70
  2600.0,   85.50,   86.50,   86.90,   87.00
  2700.0,   85.70,   86.40,   86.70,   86.80
  2800.0,   85.30,   86.70,   86.90,   87.00
  2900.0,   85.80,   87.60,   87.70,   87.80
  3000.0,   86.30,   88.20,   87.60,   87.70
  3100.0,   87.10,   89.10,   88.60,   88.60
  3200.0,   86.50,   88.40,   88.00,   88.00
  3300.0,   84.80,   87.90,   87.70,   87.70
  3400.0,   84.50,   87.80,   87.80,   87.80
  3500.0,   84.10,   87.80,   87.20,   87.20
  3600.0,   82.80,   87.10,   86.40,   86.40
  3700.0,   82.50,   87.20,   86.60,   86.60
  3800.0,   82.10,   86.60,   85.60,   85.60
  3900.0,   82.20,   85.80,   85.40,   85.40
  4000.0,   82.10,   85.80,   85.50,   85.50
  4100.0,   81.30,   85.10,   84.80,   84.80
  4200.0,   81.30,   85.10,   84.40,   84.40
  4300.0,   83.10,   85.80,   85.00,   85.00
  4400.0,   83.30,   86.20,   85.30,   85.30
