learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.109375,-2.8295390721824433E-14,1000.0,85.39999999999999,70.78597726908916,-4.285714285714289,70.20408163265306,1000.0,-1.0
2000.0,0.234375,-6.063298011819522E-14,2000.0,89.7,74.6727124295508,26.428571428571452,65.43624161073826,2000.0,-1.0
3000.0,0.359375,-9.297056951456599E-14,3000.0,90.9,81.1142195399341,51.07526881720433,77.85888077858881,3000.0,-1.0
4000.0,0.453125,-1.1722376156184408E-13,4000.0,91.4,81.8420597016186,49.11242603550299,78.00511508951408,4000.0,-1.0
5000.0,0.546875,-1.4147695360912217E-13,5000.0,88.8,74.96871088861077,30.00000000000002,68.36158192090396,5000.0,-1.0
6000.0,0.65625,-1.697723443309466E-13,6000.0,87.7,74.99817059784863,19.07894736842107,70.57416267942584,6000.0,-1.0
7000.0,0.765625,-1.9806773505277105E-13,7000.0,89.2,77.54126792019665,43.45549738219894,74.34679334916865,7000.0,-1.0
8000.0,0.875,-2.263631257745955E-13,8000.0,88.3,76.5390014036495,31.578947368421073,77.96610169491525,8000.0,-1.0
9000.0,0.96875,-2.5061631782187356E-13,9000.0,93.0,85.91503951837484,59.30232558139539,85.23206751054853,9000.0,-1.0
10000.0,1.09375,-2.8295390721824435E-13,10000.0,89.7,79.40658989123482,27.972027972027995,78.80658436213992,10000.0,-1.0
11000.0,1.1875,-3.0720709926552244E-13,11000.0,91.9,83.80000000000001,54.74860335195534,83.76753507014028,11000.0,-1.0
12000.0,1.28125,-3.3146029131280053E-13,12000.0,89.1,77.84750957231468,21.014492753623205,75.7238307349666,12000.0,-1.0
13000.0,1.40625,-3.637978807091713E-13,13000.0,88.5,77.01213759135176,19.580419580419594,76.72064777327935,13000.0,-1.0
14000.0,1.5,-3.880510727564494E-13,14000.0,92.7,85.39661201398725,25.510204081632683,84.33476394849787,14000.0,-1.0
15000.0,1.59375,-4.123042648037275E-13,15000.0,88.5,75.98342647587066,20.689655172413808,74.44444444444444,15000.0,-1.0
16000.0,1.71875,-4.446418542000983E-13,16000.0,89.1,77.26609101906311,33.53658536585368,74.10926365795724,16000.0,-1.0
17000.0,1.8125,-4.688950462473763E-13,17000.0,88.5,75.20910580322497,28.12500000000002,68.05555555555556,17000.0,-1.0
18000.0,1.90625,-4.931482382946544E-13,18000.0,90.10000000000001,79.74714618878114,28.776978417266207,76.08695652173914,18000.0,-1.0
19000.0,1.96875,-5.093170329928398E-13,19000.0,92.60000000000001,83.31266208140717,44.77611940298511,79.1549295774648,19000.0,-1.0
20000.0,2.046875,-5.295280263655715E-13,20000.0,90.60000000000001,81.20721642889131,24.193548387096797,81.71206225680935,20000.0,-1.0
21000.0,2.171875,-5.618656157619423E-13,21000.0,86.8,72.70742358078603,27.86885245901641,70.27027027027026,21000.0,-1.0
22000.0,2.25,-5.820766091346741E-13,22000.0,88.5,70.24949036083487,38.50267379679146,58.02919708029197,22000.0,-1.0
23000.0,2.359375,-6.103719998564985E-13,23000.0,85.2,69.01574753696129,1.9867549668874187,65.33957845433255,23000.0,-1.0
24000.0,2.453125,-6.346251919037765E-13,24000.0,84.2,66.23700765864332,-6.7567567567567615,60.1010101010101,24000.0,-1.0
