learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.0,0.0,1000.0,76.7,53.52158752702929,-66.4285714285714,52.44897959183674,1000.0,-1.0,1.0
2000.0,0.015625,-4.042198674546348E-15,2000.0,92.30000000000001,81.61396001872035,45.000000000000036,74.16107382550338,2000.0,-1.0,1.0
3000.0,0.015625,-4.042198674546348E-15,3000.0,87.4,73.91790349624293,32.25806451612905,69.34306569343066,3000.0,-1.0,1.0
4000.0,0.03125,-8.084397349092695E-15,4000.0,91.9,83.12303102028571,52.071005917159795,79.2838874680307,4000.0,-1.0,1.0
5000.0,0.03125,-8.084397349092695E-15,5000.0,85.39999999999999,68.0782214759231,8.750000000000007,58.75706214689265,5000.0,-1.0,1.0
6000.0,0.046875,-1.2126596023639042E-14,6000.0,88.4,76.04572787946871,23.68421052631581,72.24880382775119,6000.0,-1.0,1.0
7000.0,0.046875,-1.2126596023639042E-14,7000.0,86.4,71.4181234316746,28.795811518324584,67.6959619952494,7000.0,-1.0,1.0
8000.0,0.0625,-1.616879469818539E-14,8000.0,83.1,65.85168720953727,1.1695906432748546,68.17325800376646,8000.0,-1.0,1.0
9000.0,0.078125,-2.021099337273174E-14,9000.0,90.3,80.51285348076598,43.604651162790724,79.53586497890296,9000.0,-1.0,1.0
10000.0,0.078125,-2.021099337273174E-14,10000.0,90.8,81.60625387368296,35.664335664335695,81.06995884773663,10000.0,-1.0,1.0
11000.0,0.078125,-2.021099337273174E-14,11000.0,90.60000000000001,81.19571262247793,47.486033519553104,81.1623246492986,11000.0,-1.0,1.0
12000.0,0.09375,-2.4253192047278088E-14,12000.0,86.0,71.74057851072848,-1.449275362318842,68.8195991091314,12000.0,-1.0,1.0
13000.0,0.09375,-2.4253192047278088E-14,13000.0,85.39999999999999,70.8199591479428,-2.0979020979020992,70.44534412955466,13000.0,-1.0,1.0
14000.0,0.109375,-2.8295390721824436E-14,14000.0,89.9,79.79886873664925,-3.0612244897959218,78.32618025751074,14000.0,-1.0,1.0
15000.0,0.125,-3.233758939637078E-14,15000.0,88.7,76.77439510659114,22.068965517241395,74.8888888888889,15000.0,-1.0,1.0
16000.0,0.125,-3.233758939637078E-14,16000.0,89.8,79.14528376726138,37.804878048780516,75.77197149643706,16000.0,-1.0,1.0
17000.0,0.140625,-3.637978807091713E-14,17000.0,79.60000000000001,53.9960310301281,-27.499999999999954,43.33333333333334,17000.0,-1.0,1.0
18000.0,0.140625,-3.637978807091713E-14,18000.0,85.5,70.0202621676384,-4.316546762589931,64.97584541062803,18000.0,-1.0,1.0
19000.0,0.15625,-4.042198674546348E-14,19000.0,90.0,77.15069119159146,25.373134328358233,71.83098591549296,19000.0,-1.0,1.0
20000.0,0.15625,-4.042198674546348E-14,20000.0,85.8,71.62905185090467,-14.516129032258076,72.37354085603113,20000.0,-1.0,1.0
21000.0,0.171875,-4.446418542000983E-14,21000.0,82.5,64.33695262316998,4.371584699453555,60.58558558558557,21000.0,-1.0,1.0
22000.0,0.1875,-4.8506384094556176E-14,22000.0,86.3,64.47500803850183,26.73796791443852,50.0,22000.0,-1.0,1.0
23000.0,0.1875,-4.8506384094556176E-14,23000.0,82.69999999999999,64.402120234411,-14.56953642384107,59.4847775175644,23000.0,-1.0,1.0
24000.0,0.203125,-5.2548582769102524E-14,24000.0,81.39999999999999,60.429573149976164,-25.675675675675695,53.03030303030302,24000.0,-1.0,1.0
25000.0,0.21875,-5.659078144364887E-14,25000.0,80.2,57.03926784497686,-70.68965517241377,47.480106100795766,25000.0,-1.0,1.0
26000.0,0.21875,-5.659078144364887E-14,26000.0,83.2,66.11700926135079,-20.000000000000014,61.99095022624434,26000.0,-1.0,1.0
27000.0,0.234375,-6.063298011819522E-14,27000.0,82.8,63.664018928511055,-60.74766355140193,58.048780487804876,27000.0,-1.0,1.0
28000.0,0.25,-6.467517879274156E-14,28000.0,80.2,58.79806891959382,-117.5824175824176,51.70731707317074,28000.0,-1.0,1.0
29000.0,0.25,-6.467517879274156E-14,29000.0,78.8,52.96560720957372,-82.75862068965516,44.35695538057744,29000.0,-1.0,1.0
30000.0,0.265625,-6.871737746728791E-14,30000.0,83.8,66.16428284988636,-50.00000000000006,59.09090909090908,30000.0,-1.0,1.0
31000.0,0.28125,-7.275957614183426E-14,31000.0,84.8,67.20306910227032,-2.013422818791948,59.89445910290237,31000.0,-1.0,1.0
32000.0,0.296875,-7.680177481638061E-14,32000.0,71.6,41.93962538792099,-97.22222222222221,32.21957040572792,32000.0,-1.0,1.0
33000.0,0.3125,-8.084397349092696E-14,33000.0,87.1,74.07868826106177,-10.256410256410266,71.64835164835165,33000.0,-1.0,1.0
34000.0,0.3125,-8.084397349092696E-14,34000.0,85.0,68.50790451596649,-5.6338028169014125,61.038961038961034,34000.0,-1.0,1.0
35000.0,0.328125,-8.48861721654733E-14,35000.0,72.0,40.04000188445709,-129.50819672131152,33.4916864608076,35000.0,-1.0,1.0
36000.0,0.34375,-8.892837084001965E-14,36000.0,89.0,74.5657682987736,28.57142857142859,64.05228758169935,36000.0,-1.0,1.0
37000.0,0.34375,-8.892837084001965E-14,37000.0,84.2,63.60637763681007,2.4691358024691374,54.98575498575497,37000.0,-1.0,1.0
38000.0,0.359375,-9.2970569514566E-14,38000.0,85.1,66.77666785586871,-4.9295774647887365,56.047197640117986,38000.0,-1.0,1.0
39000.0,0.375,-9.701276818911235E-14,39000.0,81.69999999999999,63.21637614973948,-39.694656488549654,60.897435897435884,39000.0,-1.0,1.0
40000.0,0.375,-9.701276818911235E-14,40000.0,86.5,72.63949802599045,7.534246575342471,70.39473684210526,40000.0,-1.0,1.0
41000.0,0.375,-9.701276818911235E-14,41000.0,88.9,77.68933912204534,40.00000000000002,76.33262260127933,41000.0,-1.0,1.0
42000.0,0.390625,-1.010549668636587E-13,42000.0,90.0,79.98174334993514,37.106918238993735,79.75708502024293,42000.0,-1.0,1.0
43000.0,0.390625,-1.010549668636587E-13,43000.0,87.5,74.88043085085005,2.343750000000002,72.88503253796095,43000.0,-1.0,1.0
44000.0,0.40625,-1.0509716553820505E-13,44000.0,84.5,65.14284686240643,15.30054644808744,57.76566757493187,44000.0,-1.0,1.0
45000.0,0.40625,-1.0509716553820505E-13,45000.0,83.3,66.05304668824094,-27.480916030534374,60.613207547169814,45000.0,-1.0,1.0
45312.0,0.421875,-1.091393642127514E-13,45312.0,82.19999999999999,64.31993393174281,-25.35211267605636,61.88436830835117,45312.0,-1.0,1.0
