learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),[avg] classified instances,[err] classified instances,[avg] classifications correct (percent),[err] classifications correct (percent),[avg] Kappa Statistic (percent),[err] Kappa Statistic (percent),[avg] Kappa Temporal Statistic (percent),[err] Kappa Temporal Statistic (percent),[avg] Kappa M Statistic (percent),[err] Kappa M Statistic (percent)
1000.0,0.015625,-4.042198674546348E-14,1000.0,0.0,73.48,4.172609095837596,46.89568159559138,8.385405477561838,-89.42857142857143,29.804350684554286,45.87755102040816,8.51552876701551
2000.0,0.03125,-8.084397349092696E-14,2000.0,0.0,80.03,2.348545649261828,50.298186932976066,6.322755077319494,-42.64285714285711,16.775326066155905,32.98657718120807,7.881025668663846
3000.0,0.046875,-1.2126596023639043E-13,3000.0,0.0,73.64,2.983733678910817,44.84059637668134,6.294817496601338,-41.720430107526845,16.04157891887536,35.86374695863747,7.259692649418046
4000.0,0.0625,-1.6168794698185392E-13,4000.0,0.0,84.74000000000001,7.369788177266548,67.3050241330353,16.534851216355264,9.704142011834348,43.60821406666595,60.971867007672635,18.848563113213675
5000.0,0.078125,-2.021099337273174E-13,5000.0,0.0,79.33000000000001,3.2755152266475562,53.252870293502745,6.314093106136062,-29.18749999999997,20.47197016654722,41.61016949152542,9.252867871885748
6000.0,0.09375,-2.425319204727808E-13,6000.0,0.0,74.42,3.4931043181928865,45.159664305138875,8.48382865853608,-68.2894736842105,22.980949461795294,38.803827751196174,8.35670889519829
7000.0,0.109375,-2.8295390721824404E-13,7000.0,0.0,77.33000000000001,4.698474929875297,53.7640714835934,9.149451395123398,-18.691099476439824,24.599345182593176,46.1520190023753,11.1602729925779
8000.0,0.140625,-3.63797880709171E-13,8000.0,0.0,74.52000000000001,4.944761537897119,49.1255962240224,9.694327928126798,-49.005847953216346,28.91673413974922,52.015065913371,9.312168621275172
9000.0,0.140625,-3.63797880709171E-13,9000.0,0.0,85.22,3.496919279086156,70.33714789559706,6.908510116913733,14.06976744186048,20.330926041198584,68.81856540084388,7.377466833515101
10000.0,0.171875,-4.44641854200098E-13,10000.0,0.0,81.28,4.365725089324288,62.536776267119144,8.74639771677028,-30.909090909090892,30.529546079190805,61.48148148148149,8.982973434823638
11000.0,0.171875,-4.44641854200098E-13,11000.0,0.0,85.01,5.720809965963443,69.9296532720287,11.561965733046556,16.256983240223484,31.959832212086276,69.95991983967936,11.464549029986863
12000.0,0.1875,-4.850638409455616E-13,12000.0,0.0,79.20999999999998,4.623719041829617,57.17320353342794,9.701126465001163,-50.65217391304347,33.50521044804068,53.697104677060125,10.297815237927871
13000.0,0.203125,-5.254858276910254E-13,13000.0,0.0,73.95000000000002,4.827064900698517,47.90252739942518,9.658502681454676,-82.16783216783215,33.755698606283325,47.2672064777328,9.771386438660963
14000.0,0.21875,-5.659078144364891E-13,14000.0,0.0,86.2,3.8672413366061837,72.40211900996403,7.732015649855963,-40.81632653061227,39.46164629189982,70.38626609442059,8.298801151515411
15000.0,0.234375,-6.063298011819528E-13,15000.0,0.0,78.89999999999999,4.595891885393107,55.75698759011337,9.78568762618914,-45.51724137931033,31.695806106159356,53.111111111111114,10.213093078651351
16000.0,0.25,-6.467517879274166E-13,16000.0,0.0,73.82000000000001,7.075120729240833,44.31627436443195,16.156153177475762,-59.63414634146338,43.140980056346514,37.814726840855116,16.805512420999595
17000.0,0.265625,-6.871737746728803E-13,17000.0,0.0,74.32999999999998,2.7924700336599684,41.52147298859198,6.4170177678482965,-60.43749999999997,17.452937710374798,28.69444444444444,7.756861204611021
18000.0,0.28125,-7.27595761418344E-13,18000.0,0.0,84.38,2.4480377629621835,67.29064662355309,5.316339476935327,-12.374100719424463,17.61178246735383,62.270531400966185,5.913134693145368
19000.0,0.296875,-7.680177481638078E-13,19000.0,0.0,88.65,2.4309348910335844,74.27925616769538,5.614015739778649,15.298507462686581,18.141305156967032,68.0281690140845,6.847703918404464
20000.0,0.3125,-8.084397349092715E-13,20000.0,0.0,81.87,2.339064390354019,63.80337740686552,4.64331190972413,-46.209677419354854,18.86342250285498,64.72762645914398,4.550708930649836
21000.0,0.34375,-8.89283708400198E-13,21000.0,0.0,79.77,2.505571569300879,58.69831072624704,5.142414460858692,-10.546448087431651,13.69164791967694,54.43693693693694,5.643179210137116
22000.0,0.34375,-8.89283708400198E-13,22000.0,0.0,87.89,0.8089087299153892,68.69158189936576,2.267765908879282,35.24064171122997,4.325715133237395,55.80291970802921,2.95222164202698
23000.0,0.359375,-9.297056951456617E-13,23000.0,0.0,80.13999999999999,3.264352922096503,58.112095353884506,7.337960447695766,-31.523178807947005,21.618231272162276,53.48946135831382,7.644854618492982
24000.0,0.375,-9.701276818911255E-13,24000.0,0.0,80.49,3.878845761878717,57.95592027421446,9.767579247756986,-31.824324324324326,26.20841730999129,50.73232323232323,9.79506505524927
25000.0,0.40625,-1.050971655382053E-12,25000.0,0.0,81.49,2.2600147492144034,59.96652003603054,5.750654858976419,-59.5689655172414,19.482885769089712,50.901856763925736,5.994734082796831
26000.0,0.421875,-1.0913936421275167E-12,26000.0,0.0,82.24,2.311901574221727,63.80695964532755,4.817896419165517,-26.857142857142854,16.513582673012305,59.81900452488687,5.230546548012947
27000.0,0.4375,-1.1318156288729804E-12,27000.0,0.0,86.59,1.4654919538048214,72.30361117946052,2.8878961538673233,-25.32710280373834,13.696186484157204,67.29268292682927,3.574370619036148
28000.0,0.4375,-1.1318156288729804E-12,28000.0,0.0,81.34,4.025805647458789,61.46001745532681,8.107200591114012,-105.05494505494514,44.23962249954718,54.487804878048784,9.819038164533639
29000.0,0.453125,-1.1722376156184441E-12,29000.0,0.0,80.42999999999999,3.995010777346055,55.79923202870401,10.047343684667624,-68.70689655172414,34.439748080569416,48.63517060367454,10.48559259145945
30000.0,0.46875,-1.2126596023639079E-12,30000.0,0.0,79.97999999999999,2.4809496389711594,56.63115842054441,5.970518867286672,-85.3703703703704,22.971755916399577,49.44444444444444,6.2650243408362485
31000.0,0.484375,-1.2530815891093716E-12,31000.0,0.0,78.30000000000001,1.6055459438389743,51.82843422721152,3.9567728575895216,-45.637583892617414,10.77547613314748,42.74406332453827,4.236268981105473
32000.0,0.515625,-1.333925562600299E-12,32000.0,0.0,71.14999999999999,3.4309862527656163,39.55684394412456,7.1855631547671575,-100.34722222222221,23.826293421983465,31.145584725537,8.188511343116035
33000.0,0.53125,-1.3743475493457628E-12,33000.0,0.0,75.47,4.384834977257164,49.937328345732666,9.858543578392077,-109.65811965811966,37.47722202783897,46.08791208791208,9.636999950015737
34000.0,0.53125,-1.3743475493457628E-12,34000.0,0.0,77.44,8.11900377030472,54.453019872218086,14.134513662452054,-58.873239436619734,57.176082889469846,41.402597402597394,21.088321481310953
35000.0,0.546875,-1.4147695360912266E-12,35000.0,0.0,72.83000000000001,3.2338659355157073,42.46504615377652,7.357722775302404,-122.70491803278689,26.50709783209598,35.46318289786223,7.681391770821162
36000.0,0.5625,-1.4551915228366903E-12,36000.0,0.0,85.53,3.2266425618934362,66.78292221813167,5.9754685835363075,6.038961038961051,20.952224427879436,52.7124183006536,10.544583535599457
37000.0,0.578125,-1.495613509582154E-12,37000.0,0.0,78.65,2.425901894141638,51.50394752335537,5.412265324267931,-31.790123456790084,14.974703050257038,39.173789173789174,6.91140140781094
38000.0,0.59375,-1.5360354963276178E-12,38000.0,0.0,79.06,4.1277381484563955,55.006891580521575,6.73071795909118,-47.46478873239435,29.068578510256298,38.23008849557522,12.176218727010015
39000.0,0.609375,-1.5764574830730815E-12,39000.0,0.0,80.2,6.5711490623786615,60.20092356179421,12.855179455947843,-51.14503816793892,50.16144322426461,57.6923076923077,14.040916799954406
40000.0,0.625,-1.6168794698185453E-12,40000.0,0.0,81.13000000000001,3.0966110508102185,61.35584708147444,6.448487992400481,-29.24657534246573,21.20966473157686,58.61842105263158,6.790813707917154
41000.0,0.640625,-1.657301456564009E-12,41000.0,0.0,84.38999999999999,4.192705305381931,68.49015174140906,8.507813782837966,15.621621621621635,22.6632719209834,66.71641791044775,8.939670160729065
42000.0,0.65625,-1.6977234433094727E-12,42000.0,0.0,85.19,3.592105541631844,70.39681526735642,7.1693419920593096,6.855345911949697,22.591858752401546,70.02024291497976,7.271468707756769
43000.0,0.671875,-1.7381454300549365E-12,43000.0,0.0,84.17999999999999,2.612278698760911,68.3137038633936,5.279773121899215,-23.593750000000004,20.408427334069607,65.68329718004338,5.666548153494382
44000.0,0.6875,-1.7785674168004002E-12,44000.0,0.0,83.08999999999999,2.5605771918759945,62.19353806075753,6.226516182681247,7.595628415300558,13.992225092218542,53.923705722070835,6.977049569144401
45000.0,0.703125,-1.8189894035458637E-12,45000.0,0.0,84.28,3.2577429132589435,67.36479598492987,7.0646930563540415,-20.000000000000007,24.86826651342707,62.9245283018868,7.683355927497514
45312.0,0.703125,-1.8189894035458637E-12,45312.0,0.0,83.61999999999999,3.1755314515841273,66.92949643189584,6.532241488371844,-15.352112676056342,22.36289754636709,64.92505353319056,6.799853215383573
