learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.046875,-1.2126596023639044E-14,1000.0,79.2,58.415968268185026,-48.571428571428534,57.55102040816327,1000.0,-1.0,10.0
2000.0,0.0625,-1.616879469818539E-14,2000.0,87.0,66.67623656795996,7.142857142857148,56.3758389261745,2000.0,-1.0,10.0
3000.0,0.109375,-2.8295390721824433E-14,3000.0,89.5,77.88188505320987,43.54838709677422,74.45255474452556,3000.0,-1.0,10.0
4000.0,0.140625,-3.637978807091713E-14,4000.0,91.5,81.87803276451677,49.70414201183435,78.2608695652174,4000.0,-1.0,10.0
5000.0,0.171875,-4.446418542000983E-14,5000.0,86.6,68.87369223050193,16.25000000000001,62.146892655367225,5000.0,-1.0,10.0
6000.0,0.203125,-5.2548582769102524E-14,6000.0,87.2,73.2597977772207,15.789473684210536,69.37799043062202,6000.0,-1.0,10.0
7000.0,0.25,-6.467517879274156E-14,7000.0,87.4,73.58988870024524,34.03141361256542,70.07125890736341,7000.0,-1.0,10.0
8000.0,0.28125,-7.275957614183426E-14,8000.0,89.2,78.3328317785134,36.84210526315792,79.66101694915254,8000.0,-1.0,10.0
9000.0,0.328125,-8.48861721654733E-14,9000.0,88.7,77.18407003884766,34.30232558139537,76.16033755274262,9000.0,-1.0,10.0
10000.0,0.375,-9.701276818911235E-14,10000.0,86.4,72.79836790207412,4.8951048951048985,72.01646090534979,10000.0,-1.0,10.0
11000.0,0.40625,-1.0509716553820505E-13,11000.0,89.4,78.78226197100776,40.782122905027954,78.75751503006012,11000.0,-1.0,10.0
12000.0,0.453125,-1.1722376156184408E-13,12000.0,86.4,72.35446455069906,1.449275362318842,69.71046770601336,12000.0,-1.0,10.0
13000.0,0.5,-1.2935035758548313E-13,13000.0,89.0,78.00026399683205,23.076923076923094,77.7327935222672,13000.0,-1.0,10.0
14000.0,0.546875,-1.4147695360912217E-13,14000.0,91.7,83.3998671989376,15.30612244897961,82.18884120171674,14000.0,-1.0,10.0
15000.0,0.578125,-1.4956135095821487E-13,15000.0,90.5,80.2821111009639,34.48275862068968,78.8888888888889,15000.0,-1.0,10.0
16000.0,0.609375,-1.5764574830730757E-13,16000.0,84.7,67.96240922682614,6.707317073170736,63.657957244655584,16000.0,-1.0,10.0
17000.0,0.640625,-1.6573014565640026E-13,17000.0,87.2,71.671388101983,20.000000000000014,64.44444444444444,17000.0,-1.0,10.0
18000.0,0.6875,-1.778567416800393E-13,18000.0,90.2,79.6145909605272,29.496402877697864,76.32850241545894,18000.0,-1.0,10.0
19000.0,0.71875,-1.85941139029132E-13,19000.0,91.2,80.46224550964676,34.32835820895525,75.21126760563381,19000.0,-1.0,10.0
20000.0,0.75,-1.940255363782247E-13,20000.0,91.10000000000001,82.21422861710633,28.22580645161293,82.68482490272375,20000.0,-1.0,10.0
21000.0,0.796875,-2.0615213240186375E-13,21000.0,85.7,70.57613168724279,21.857923497267773,67.7927927927928,21000.0,-1.0,10.0
22000.0,0.828125,-2.1423652975095645E-13,22000.0,89.3,71.45113608469674,42.78074866310163,60.94890510948906,22000.0,-1.0,10.0
23000.0,0.875,-2.263631257745955E-13,23000.0,83.2,64.69920783341388,-11.258278145695373,60.65573770491803,23000.0,-1.0,10.0
24000.0,0.921875,-2.3848972179823454E-13,24000.0,84.1,65.51754051146813,-7.432432432432439,59.84848484848484,24000.0,-1.0,10.0
25000.0,0.953125,-2.4657411914732723E-13,25000.0,86.2,69.96147232319714,-18.965517241379327,63.39522546419097,25000.0,-1.0,10.0
26000.0,1.0,-2.5870071517096625E-13,26000.0,90.10000000000001,79.86839215558683,29.28571428571431,77.60180995475113,26000.0,-1.0,10.0
27000.0,1.046875,-2.7082731119460527E-13,27000.0,90.7,80.75570086495883,13.084112149532723,77.31707317073172,27000.0,-1.0,10.0
28000.0,1.09375,-2.829539072182443E-13,28000.0,87.4,73.58269037235827,-38.46153846153851,69.26829268292684,28000.0,-1.0,10.0
29000.0,1.125,-2.91038304567337E-13,29000.0,87.7,72.95395575882844,-6.034482758620696,67.71653543307087,29000.0,-1.0,10.0
30000.0,1.171875,-3.03164900590976E-13,30000.0,87.4,73.0989956958393,-16.666666666666686,68.18181818181819,30000.0,-1.0,10.0
31000.0,1.203125,-3.112492979400687E-13,31000.0,87.1,71.52644729523323,13.42281879194632,65.96306068601582,31000.0,-1.0,10.0
32000.0,1.25,-3.2337589396370773E-13,32000.0,85.7,70.54097482592394,0.694444444444445,65.8711217183771,32000.0,-1.0,10.0
33000.0,1.296875,-3.3550248998734675E-13,33000.0,87.4,74.54802545197454,-7.6923076923077,72.3076923076923,33000.0,-1.0,10.0
34000.0,1.328125,-3.4358688733643945E-13,34000.0,88.4,75.36056415811721,18.30985915492959,69.87012987012987,34000.0,-1.0,10.0
35000.0,1.375,-3.5571348336007847E-13,35000.0,85.7,69.85691520307586,-17.213114754098378,66.0332541567696,35000.0,-1.0,10.0
36000.0,1.421875,-3.678400793837175E-13,36000.0,89.2,74.80215021651486,29.87012987012989,64.70588235294119,36000.0,-1.0,10.0
37000.0,1.453125,-3.759244767328102E-13,37000.0,87.0,70.73877832148628,19.7530864197531,62.962962962962955,37000.0,-1.0,10.0
38000.0,1.5,-3.880510727564492E-13,38000.0,87.0,70.86678051032436,8.45070422535212,61.65191740412978,38000.0,-1.0,10.0
39000.0,1.546875,-4.001776687800882E-13,39000.0,90.4,80.70615473663901,26.71755725190842,79.48717948717949,39000.0,-1.0,10.0
40000.0,1.578125,-4.082620661291809E-13,40000.0,90.7,80.98517252377876,36.301369863013726,79.60526315789474,40000.0,-1.0,10.0
