learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.046875,-1.2126596023639044E-14,1000.0,81.8,63.63316655210447,-30.00000000000002,62.85714285714285,1000.0,-1.0,9.0
2000.0,0.078125,-2.021099337273174E-14,2000.0,92.0,80.26951837894364,42.8571428571429,73.1543624161074,2000.0,-1.0,9.0
3000.0,0.109375,-2.8295390721824433E-14,3000.0,93.4,86.22629775405177,64.5161290322581,83.94160583941607,3000.0,-1.0,9.0
4000.0,0.125,-3.233758939637078E-14,4000.0,93.60000000000001,86.42462911662517,62.13017751479294,83.63171355498723,4000.0,-1.0,9.0
5000.0,0.15625,-4.042198674546348E-14,5000.0,90.9,79.43391279979028,43.12500000000003,74.29378531073448,5000.0,-1.0,9.0
6000.0,0.171875,-4.446418542000983E-14,6000.0,90.8,81.05311717411362,39.47368421052634,77.99043062200958,6000.0,-1.0,9.0
7000.0,0.203125,-5.2548582769102524E-14,7000.0,94.19999999999999,88.00190314639745,69.6335078534031,86.2232779097387,7000.0,-1.0,9.0
8000.0,0.21875,-5.659078144364887E-14,8000.0,94.6,89.16206723532363,68.42105263157893,89.83050847457626,8000.0,-1.0,9.0
9000.0,0.234375,-6.063298011819522E-14,9000.0,94.1,88.13211570181436,65.69767441860462,87.55274261603374,9000.0,-1.0,9.0
10000.0,0.265625,-6.871737746728791E-14,10000.0,94.3,88.60091192704583,60.13986013986011,88.2716049382716,10000.0,-1.0,9.0
11000.0,0.28125,-7.275957614183426E-14,11000.0,96.39999999999999,92.78409614790999,79.88826815642457,92.78557114228457,11000.0,-1.0,9.0
12000.0,0.296875,-7.680177481638061E-14,12000.0,93.10000000000001,86.01166100375455,50.00000000000004,84.6325167037862,12000.0,-1.0,9.0
13000.0,0.328125,-8.48861721654733E-14,13000.0,92.7,85.40455377922089,48.95104895104899,85.22267206477734,13000.0,-1.0,9.0
14000.0,0.34375,-8.892837084001965E-14,14000.0,95.89999999999999,91.79954077428334,58.163265306122405,91.20171673819742,14000.0,-1.0,9.0
15000.0,0.359375,-9.2970569514566E-14,15000.0,97.2,94.23621632303536,80.68965517241378,93.77777777777777,15000.0,-1.0,9.0
16000.0,0.375,-9.701276818911235E-14,16000.0,99.8,99.58949265397105,98.78048780487805,99.5249406175772,16000.0,-1.0,9.0
17000.0,0.390625,-1.010549668636587E-13,17000.0,100.0,100.0,100.0,100.0,17000.0,-1.0,9.0
18000.0,0.40625,-1.0509716553820505E-13,18000.0,100.0,100.0,100.0,100.0,18000.0,-1.0,9.0
19000.0,0.421875,-1.091393642127514E-13,19000.0,100.0,100.0,100.0,100.0,19000.0,-1.0,9.0
20000.0,0.421875,-1.091393642127514E-13,20000.0,100.0,100.0,100.0,100.0,20000.0,-1.0,9.0
21000.0,0.453125,-1.1722376156184408E-13,21000.0,100.0,100.0,100.0,100.0,21000.0,-1.0,9.0
22000.0,0.453125,-1.1722376156184408E-13,22000.0,100.0,100.0,100.0,100.0,22000.0,-1.0,9.0
23000.0,0.46875,-1.2126596023639043E-13,23000.0,100.0,100.0,100.0,100.0,23000.0,-1.0,9.0
24000.0,0.484375,-1.2530815891093678E-13,24000.0,100.0,100.0,100.0,100.0,24000.0,-1.0,9.0
25000.0,0.515625,-1.3339255626002948E-13,25000.0,100.0,100.0,100.0,100.0,25000.0,-1.0,9.0
26000.0,0.53125,-1.3743475493457582E-13,26000.0,100.0,100.0,100.0,100.0,26000.0,-1.0,9.0
27000.0,0.546875,-1.4147695360912217E-13,27000.0,100.0,100.0,100.0,100.0,27000.0,-1.0,9.0
28000.0,0.5625,-1.4551915228366852E-13,28000.0,100.0,100.0,100.0,100.0,28000.0,-1.0,9.0
29000.0,0.578125,-1.4956135095821487E-13,29000.0,100.0,100.0,100.0,100.0,29000.0,-1.0,9.0
30000.0,0.59375,-1.5360354963276122E-13,30000.0,100.0,100.0,100.0,100.0,30000.0,-1.0,9.0
31000.0,0.609375,-1.5764574830730757E-13,31000.0,100.0,100.0,100.0,100.0,31000.0,-1.0,9.0
32000.0,0.625,-1.6168794698185392E-13,32000.0,100.0,100.0,100.0,100.0,32000.0,-1.0,9.0
33000.0,0.640625,-1.6573014565640026E-13,33000.0,100.0,100.0,100.0,100.0,33000.0,-1.0,9.0
34000.0,0.65625,-1.697723443309466E-13,34000.0,100.0,100.0,100.0,100.0,34000.0,-1.0,9.0
35000.0,0.6875,-1.778567416800393E-13,35000.0,100.0,100.0,100.0,100.0,35000.0,-1.0,9.0
36000.0,0.703125,-1.8189894035458566E-13,36000.0,100.0,100.0,100.0,100.0,36000.0,-1.0,9.0
37000.0,0.71875,-1.85941139029132E-13,37000.0,100.0,100.0,100.0,100.0,37000.0,-1.0,9.0
38000.0,0.734375,-1.8998333770367835E-13,38000.0,100.0,100.0,100.0,100.0,38000.0,-1.0,9.0
39000.0,0.75,-1.940255363782247E-13,39000.0,100.0,100.0,100.0,100.0,39000.0,-1.0,9.0
40000.0,0.765625,-1.9806773505277105E-13,40000.0,100.0,100.0,100.0,100.0,40000.0,-1.0,9.0
41000.0,0.796875,-2.0615213240186375E-13,41000.0,100.0,100.0,100.0,100.0,41000.0,-1.0,9.0
42000.0,0.8125,-2.101943310764101E-13,42000.0,100.0,100.0,100.0,100.0,42000.0,-1.0,9.0
43000.0,0.828125,-2.1423652975095645E-13,43000.0,100.0,100.0,100.0,100.0,43000.0,-1.0,9.0
44000.0,0.84375,-2.182787284255028E-13,44000.0,100.0,100.0,100.0,100.0,44000.0,-1.0,9.0
45000.0,0.859375,-2.2232092710004914E-13,45000.0,100.0,100.0,100.0,100.0,45000.0,-1.0,9.0
45312.0,0.859375,-2.2232092710004914E-13,45312.0,100.0,100.0,100.0,100.0,45312.0,-1.0,9.0
