learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.015625,-4.042198674546348E-15,1000.0,87.2,74.40368586923482,8.571428571428578,73.87755102040816,1000.0,-1.0
2000.0,0.03125,-8.084397349092695E-15,2000.0,89.3,74.74294454778068,23.57142857142859,64.09395973154363,2000.0,-1.0
3000.0,0.046875,-1.2126596023639042E-14,3000.0,87.1,73.61768964586349,30.645161290322598,68.61313868613139,3000.0,-1.0
4000.0,0.0625,-1.616879469818539E-14,4000.0,90.2,79.44087573477891,42.011834319526656,74.93606138107417,4000.0,-1.0
5000.0,0.0625,-1.616879469818539E-14,5000.0,88.2,74.23310739990218,26.250000000000018,66.66666666666666,5000.0,-1.0
6000.0,0.078125,-2.021099337273174E-14,6000.0,86.8,72.64906260878213,13.157894736842115,68.42105263157895,6000.0,-1.0
7000.0,0.078125,-2.021099337273174E-14,7000.0,85.3,69.83749179251477,23.036649214659654,65.08313539192399,7000.0,-1.0
8000.0,0.09375,-2.4253192047278088E-14,8000.0,86.8,73.5444433309951,22.807017543859665,75.14124293785311,8000.0,-1.0
9000.0,0.09375,-2.4253192047278088E-14,9000.0,90.4,80.61859000242268,44.186046511627936,79.74683544303798,9000.0,-1.0
10000.0,0.09375,-2.4253192047278088E-14,10000.0,84.89999999999999,69.8,-5.594405594405599,68.93004115226337,10000.0,-1.0
11000.0,0.109375,-2.8295390721824436E-14,11000.0,90.4,80.68993261591069,46.36871508379891,80.7615230460922,11000.0,-1.0
12000.0,0.109375,-2.8295390721824436E-14,12000.0,83.5,66.50807054009287,-19.565217391304362,63.25167037861914,12000.0,-1.0
13000.0,0.125,-3.233758939637078E-14,13000.0,86.6,73.20868038755442,6.293706293706299,72.8744939271255,13000.0,-1.0
14000.0,0.125,-3.233758939637078E-14,14000.0,90.7,81.40490910399654,5.102040816326536,80.04291845493563,14000.0,-1.0
