learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.0,0.0,1000.0,77.8,55.72326642626927,-58.57142857142854,54.69387755102041,1000.0,-1.0,1.0
2000.0,0.015625,-4.042198674546348E-15,2000.0,81.69999999999999,53.523573453071506,-30.714285714285737,38.59060402684563,2000.0,-1.0,1.0
3000.0,0.015625,-4.042198674546348E-15,3000.0,72.0,40.05181236217268,-50.537634408602116,31.873479318734795,3000.0,-1.0,1.0
4000.0,0.03125,-8.084397349092695E-15,4000.0,92.2,83.77021960141325,53.846153846153875,80.05115089514068,4000.0,-1.0,1.0
5000.0,0.03125,-8.084397349092695E-15,5000.0,77.0,46.934179925430996,-43.749999999999964,35.02824858757062,5000.0,-1.0,1.0
6000.0,0.046875,-1.2126596023639042E-14,6000.0,83.5,65.47105846900766,-8.552631578947373,60.526315789473685,6000.0,-1.0,1.0
7000.0,0.046875,-1.2126596023639042E-14,7000.0,87.9,74.86267959680569,36.649214659685846,71.25890736342043,7000.0,-1.0,1.0
8000.0,0.046875,-1.2126596023639042E-14,8000.0,76.3,52.31388329979879,-38.596491228070136,55.367231638418076,8000.0,-1.0,1.0
9000.0,0.0625,-1.616879469818539E-14,9000.0,90.4,80.69156382242674,44.186046511627936,79.74683544303798,9000.0,-1.0,1.0
10000.0,0.078125,-2.021099337273174E-14,10000.0,85.1,70.2202502298437,-4.1958041958041985,69.34156378600822,10000.0,-1.0,1.0
11000.0,0.078125,-2.021099337273174E-14,11000.0,59.599999999999994,19.64580507345249,-125.69832402234633,19.038076152304605,11000.0,-1.0,1.0
12000.0,0.078125,-2.021099337273174E-14,12000.0,74.0,46.572195348493125,-88.40579710144927,42.0935412026726,12000.0,-1.0,1.0
13000.0,0.09375,-2.4253192047278088E-14,13000.0,82.6,65.2054279532393,-21.678321678321698,64.77732793522266,13000.0,-1.0,1.0
14000.0,0.109375,-2.8295390721824436E-14,14000.0,76.5,53.00939812037593,-139.79591836734699,49.57081545064377,14000.0,-1.0,1.0
15000.0,0.109375,-2.8295390721824436E-14,15000.0,74.5,46.580748958848325,-75.86206896551722,43.33333333333333,15000.0,-1.0,1.0
16000.0,0.125,-3.233758939637078E-14,16000.0,71.6,39.632780250566476,-73.17073170731706,32.541567695961994,16000.0,-1.0,1.0
17000.0,0.125,-3.233758939637078E-14,17000.0,77.60000000000001,50.547509713882036,-39.99999999999996,37.777777777777786,17000.0,-1.0,1.0
18000.0,0.140625,-3.637978807091713E-14,18000.0,87.6,74.49819019414281,10.79136690647483,70.04830917874396,18000.0,-1.0,1.0
19000.0,0.140625,-3.637978807091713E-14,19000.0,91.3,80.4958974129041,35.07462686567167,75.49295774647888,19000.0,-1.0,1.0
20000.0,0.15625,-4.042198674546348E-14,20000.0,85.7,71.41006365759253,-15.322580645161304,72.17898832684824,20000.0,-1.0,1.0
21000.0,0.171875,-4.446418542000983E-14,21000.0,77.8,54.95422375170445,-21.311475409836017,50.0,21000.0,-1.0,1.0
22000.0,0.171875,-4.446418542000983E-14,22000.0,82.6,53.9633823685046,6.9518716577540145,36.49635036496349,22000.0,-1.0,1.0
23000.0,0.1875,-4.8506384094556176E-14,23000.0,79.60000000000001,56.521183135334226,-35.099337748344325,52.22482435597191,23000.0,-1.0,1.0
24000.0,0.1875,-4.8506384094556176E-14,24000.0,77.8,51.614590598409826,-49.999999999999964,43.93939393939395,24000.0,-1.0,1.0
25000.0,0.203125,-5.2548582769102524E-14,25000.0,79.60000000000001,56.343278790965634,-75.86206896551721,45.888594164456244,25000.0,-1.0,1.0
26000.0,0.203125,-5.2548582769102524E-14,26000.0,82.6,64.40727891601753,-24.285714285714306,60.63348416289591,26000.0,-1.0,1.0
27000.0,0.21875,-5.659078144364887E-14,27000.0,79.60000000000001,57.099596231493955,-90.65420560747663,50.2439024390244,27000.0,-1.0,1.0
28000.0,0.21875,-5.659078144364887E-14,28000.0,83.5,65.5230055581094,-81.31868131868141,59.756097560975604,28000.0,-1.0,1.0
29000.0,0.234375,-6.063298011819522E-14,29000.0,82.89999999999999,62.43871579946227,-47.41379310344832,55.11811023622046,29000.0,-1.0,1.0
30000.0,0.234375,-6.063298011819522E-14,30000.0,83.2,63.647694225176565,-55.555555555555614,57.57575757575757,30000.0,-1.0,1.0
31000.0,0.25,-6.467517879274156E-14,31000.0,74.8,42.88226947782608,-69.12751677852347,33.50923482849604,31000.0,-1.0,1.0
32000.0,0.25,-6.467517879274156E-14,32000.0,72.6,41.86613936001833,-90.27777777777777,34.60620525059666,32000.0,-1.0,1.0
33000.0,0.265625,-6.871737746728791E-14,33000.0,68.30000000000001,34.33046072257211,-170.9401709401709,30.329670329670332,33000.0,-1.0,1.0
34000.0,0.265625,-6.871737746728791E-14,34000.0,88.6,76.29494084132166,19.718309859154946,70.3896103896104,34000.0,-1.0,1.0
35000.0,0.28125,-7.275957614183426E-14,35000.0,80.2,59.517315548213254,-62.295081967213086,52.96912114014254,35000.0,-1.0,1.0
