learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),members size
1000.0,0.008680377,-2.2456197378536065E-15,1000.0,83.2,66.44831442722479,-20.000000000000014,65.71428571428571,1000.0,-1.0,4.0
2000.0,0.020853501,-5.39481562251846E-15,2000.0,83.0,57.045541832588796,-21.42857142857145,42.95302013422818,2000.0,-1.0,7.0
3000.0,0.036264612,-9.381681059797604E-15,3000.0,79.3,56.1325432952725,-11.290322580645109,49.635036496350374,3000.0,-1.0,9.0
4000.0,0.054751465,-1.4164243152158127E-14,4000.0,85.0,67.67450380363339,11.242603550295865,61.63682864450127,4000.0,-1.0,10.0
5000.0,0.07345536,-1.9002954165140788E-14,5000.0,84.0,62.58045202813949,0.0,54.80225988700563,5000.0,-1.0,11.0
6000.0,0.090839251,-2.350017919929491E-14,6000.0,81.3,61.44933989725321,-23.0263157894737,55.263157894736835,6000.0,-1.0,8.0
7000.0,0.107321082,-2.776404066632191E-14,7000.0,83.89999999999999,66.28724108182358,15.706806282722475,61.75771971496437,7000.0,-1.0,8.0
8000.0,0.123533695,-3.1958255244212014E-14,8000.0,83.2,66.34278273064209,1.754385964912282,68.36158192090394,8000.0,-1.0,9.0
9000.0,0.143414203,-3.710135688177413E-14,9000.0,86.1,72.11590155910226,19.186046511627918,70.67510548523205,9000.0,-1.0,12.0
10000.0,0.165868947,-4.2910415213555096E-14,10000.0,85.5,70.9953592574812,-1.3986013986013996,70.16460905349794,10000.0,-1.0,13.0
11000.0,0.188256261,-4.870202935611208E-14,11000.0,81.6,63.06807917882675,-2.7932960893854766,63.12625250501001,11000.0,-1.0,11.0
12000.0,0.20994963,-5.431411943087975E-14,12000.0,80.10000000000001,58.96094897134279,-44.2028985507246,55.67928730512251,12000.0,-1.0,11.0
13000.0,0.23024952,-5.95657154917717E-14,13000.0,78.5,56.997935900923245,-50.34965034965031,56.47773279352227,13000.0,-1.0,10.0
14000.0,0.250343582,-6.476406370186144E-14,14000.0,85.1,70.19165366302565,-52.04081632653067,68.02575107296137,14000.0,-1.0,11.0
15000.0,0.278050758,-7.193192994842927E-14,15000.0,83.39999999999999,65.49258298410165,-14.482758620689667,63.11111111111109,15000.0,-1.0,17.0
16000.0,0.307910788,-7.965674106445578E-14,16000.0,74.9,45.75459465066823,-53.04878048780485,40.38004750593825,16000.0,-1.0,18.0
17000.0,0.339435381,-8.781217581902942E-14,17000.0,80.9,57.224760369076435,-19.374999999999947,46.94444444444446,17000.0,-1.0,17.0
18000.0,0.378709406,-9.797239417417183E-14,18000.0,78.0,55.41721381904253,-58.273381294964,46.85990338164252,18000.0,-1.0,19.0
19000.0,0.426117241,-1.1023683499337898E-13,19000.0,88.9,74.7210202687315,17.164179104477626,68.73239436619718,19000.0,-1.0,20.0
20000.0,0.479624394,-1.240791737412413E-13,20000.0,70.6,41.335163782644784,-137.0967741935484,42.80155642023345,20000.0,-1.0,25.0
21000.0,0.538370873,-1.3927692987231745E-13,21000.0,71.0,40.01125306149466,-58.469945355191236,34.68468468468467,21000.0,-1.0,21.0
22000.0,0.584004537,-1.5108239138498902E-13,22000.0,86.1,62.64284408896915,25.668449197860976,49.27007299270073,22000.0,-1.0,17.0
23000.0,0.626046908,-1.619587828301721E-13,23000.0,76.3,49.09181516677265,-56.953642384105926,44.49648711943795,23000.0,-1.0,17.0
24000.0,0.659896339,-1.7071565483800239E-13,24000.0,69.69999999999999,31.443000398218867,-104.72972972972974,23.484848484848477,24000.0,-1.0,12.0
25000.0,0.690039529,-1.785137196485367E-13,25000.0,76.2,46.94439862144606,-105.17241379310344,36.87002652519894,25000.0,-1.0,11.0
26000.0,0.7158928,-1.852019793457455E-13,26000.0,80.4,60.395719504704026,-39.99999999999995,55.65610859728507,26000.0,-1.0,11.0
27000.0,0.744775657,-1.9267399510782625E-13,27000.0,84.1,66.13995485327312,-48.598130841121545,61.21951219512195,27000.0,-1.0,11.0
28000.0,0.775440654,-2.0060705176244179E-13,28000.0,73.1,42.09325354113748,-195.60439560439573,34.390243902439025,28000.0,-1.0,10.0
29000.0,0.793650814,-2.0531803317781952E-13,29000.0,77.7,49.04534279003026,-92.24137931034481,41.469816272965886,29000.0,-1.0,8.0
30000.0,0.815669184,-2.1101420124371846E-13,30000.0,76.4,47.467768359569774,-118.51851851851853,40.40404040404041,30000.0,-1.0,10.0
31000.0,0.848122173,-2.1940981270745397E-13,31000.0,73.3,37.10188081866495,-79.1946308724832,29.551451187335086,31000.0,-1.0,16.0
32000.0,0.896699841,-2.3197689016039173E-13,32000.0,68.2,29.222290972058406,-120.83333333333329,24.105011933174243,32000.0,-1.0,20.0
33000.0,0.948149216,-2.45286880267991E-13,33000.0,72.5,44.094328115470624,-135.04273504273507,39.56043956043955,33000.0,-1.0,12.0
34000.0,0.975419594,-2.523417465595736E-13,34000.0,78.5,54.664304993252365,-51.40845070422532,44.155844155844164,34000.0,-1.0,9.0
35000.0,0.998975077,-2.584355668578711E-13,35000.0,71.6,38.97696165432596,-132.7868852459017,32.541567695961994,35000.0,-1.0,6.0
36000.0,1.017036005,-2.6310794184812245E-13,36000.0,85.7,67.66081395243651,7.142857142857148,53.26797385620915,36000.0,-1.0,8.0
37000.0,1.042730219,-2.697550533856783E-13,37000.0,80.9,54.21377134693019,-17.901234567901177,45.5840455840456,37000.0,-1.0,12.0
38000.0,1.077343423,-2.7870951401483685E-13,38000.0,78.5,54.54084135387948,-51.40845070422532,36.578171091445434,38000.0,-1.0,15.0
39000.0,1.11743104,-2.890802092022366E-13,39000.0,80.0,59.72159566926597,-52.67175572519079,57.264957264957275,39000.0,-1.0,18.0
40000.0,1.161507128,-3.0048272468977507E-13,40000.0,81.0,61.484196357621265,-30.136986301369813,58.333333333333336,40000.0,-1.0,15.0
41000.0,1.197959591,-3.0991300293761825E-13,41000.0,83.8,67.49116040503606,12.43243243243244,65.45842217484008,41000.0,-1.0,13.0
42000.0,1.22650704,-3.172982484102249E-13,42000.0,84.8,69.61312712908023,4.402515723270444,69.23076923076923,42000.0,-1.0,12.0
43000.0,1.254597957,-3.2456538872793317E-13,43000.0,78.5,57.32264083528524,-67.96874999999997,53.362255965292846,43000.0,-1.0,12.0
44000.0,1.286991018,-3.329454967752099E-13,44000.0,82.39999999999999,59.37530295406177,3.82513661202186,52.04359673024522,44000.0,-1.0,13.0
45000.0,1.309703373,-3.388211992569268E-13,45000.0,78.7,55.378839933633884,-62.595419847328216,49.76415094339624,45000.0,-1.0,10.0
45312.0,1.31900032,-3.4122632609473335E-13,45312.0,75.7,50.93367363421962,-71.12676056338026,47.96573875802997,45312.0,-1.0,11.0
