learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.0,0.0,1000.0,80.4,60.85824293451345,-39.99999999999995,60.00000000000001,1000.0,-1.0,1.0
2000.0,0.015625,-4.042198674546348E-15,2000.0,91.8,80.32516267731349,41.42857142857146,72.48322147651008,2000.0,-1.0,1.0
3000.0,0.015625,-4.042198674546348E-15,3000.0,84.6,68.85629810589667,17.204301075268827,62.530413625304135,3000.0,-1.0,1.0
4000.0,0.03125,-8.084397349092695E-15,4000.0,90.0,79.1168080458762,40.82840236686393,74.42455242966753,4000.0,-1.0,1.0
5000.0,0.03125,-8.084397349092695E-15,5000.0,87.6,72.7141499137415,22.500000000000014,64.97175141242938,5000.0,-1.0,1.0
6000.0,0.046875,-1.2126596023639042E-14,6000.0,84.2,66.78774425722261,-3.947368421052634,62.200956937799035,6000.0,-1.0,1.0
7000.0,0.046875,-1.2126596023639042E-14,7000.0,88.5,75.98302521991197,39.79057591623035,72.68408551068885,7000.0,-1.0,1.0
8000.0,0.046875,-1.2126596023639042E-14,8000.0,89.5,78.8007268322229,38.5964912280702,80.22598870056498,8000.0,-1.0,1.0
9000.0,0.0625,-1.616879469818539E-14,9000.0,92.30000000000001,84.49518746727883,55.232558139534916,83.75527426160339,9000.0,-1.0,1.0
10000.0,0.0625,-1.616879469818539E-14,10000.0,86.9,73.82408184470287,8.391608391608397,73.04526748971193,10000.0,-1.0,1.0
11000.0,0.078125,-2.021099337273174E-14,11000.0,88.7,77.35525398186817,36.87150837988829,77.35470941883767,11000.0,-1.0,1.0
12000.0,0.078125,-2.021099337273174E-14,12000.0,83.7,67.06405334410991,-18.115942028985522,63.697104677060125,12000.0,-1.0,1.0
13000.0,0.078125,-2.021099337273174E-14,13000.0,89.5,79.01158560474619,26.573426573426595,78.74493927125506,13000.0,-1.0,1.0
14000.0,0.09375,-2.4253192047278088E-14,14000.0,90.3,80.5989135391582,1.0204081632653073,79.18454935622317,14000.0,-1.0,1.0
15000.0,0.09375,-2.4253192047278088E-14,15000.0,89.9,79.12653864277036,30.344827586206918,77.55555555555556,15000.0,-1.0,1.0
16000.0,0.109375,-2.8295390721824436E-14,16000.0,86.1,71.31157691386869,15.243902439024401,66.9833729216152,16000.0,-1.0,1.0
17000.0,0.109375,-2.8295390721824436E-14,17000.0,86.4,70.84048027444254,15.00000000000001,62.22222222222222,17000.0,-1.0,1.0
18000.0,0.125,-3.233758939637078E-14,18000.0,87.9,74.98242567092586,12.949640287769796,70.77294685990339,18000.0,-1.0,1.0
19000.0,0.125,-3.233758939637078E-14,19000.0,90.10000000000001,78.47732510109135,26.119402985074647,72.11267605633803,19000.0,-1.0,1.0
20000.0,0.140625,-3.637978807091713E-14,20000.0,80.2,60.36702536510378,-59.677419354838676,61.4785992217899,20000.0,-1.0,1.0
21000.0,0.140625,-3.637978807091713E-14,21000.0,84.7,68.73467385973517,16.39344262295083,65.54054054054052,21000.0,-1.0,1.0
22000.0,0.140625,-3.637978807091713E-14,22000.0,88.0,69.42083053024281,35.828877005347614,56.204379562043805,22000.0,-1.0,1.0
23000.0,0.15625,-4.042198674546348E-14,23000.0,82.89999999999999,64.98197903014416,-13.24503311258279,59.95316159250586,23000.0,-1.0,1.0
24000.0,0.15625,-4.042198674546348E-14,24000.0,76.0,48.25445011728991,-62.16216216216214,39.3939393939394,24000.0,-1.0,1.0
25000.0,0.171875,-4.446418542000983E-14,25000.0,81.89999999999999,60.74876607999443,-56.03448275862074,51.98938992042439,25000.0,-1.0,1.0
26000.0,0.171875,-4.446418542000983E-14,26000.0,84.0,67.8058046134282,-14.285714285714295,63.80090497737555,26000.0,-1.0,1.0
27000.0,0.1875,-4.8506384094556176E-14,27000.0,87.7,74.6046165916505,-14.953271028037399,70.0,27000.0,-1.0,1.0
28000.0,0.1875,-4.8506384094556176E-14,28000.0,78.8,55.91782417034019,-132.967032967033,48.29268292682928,28000.0,-1.0,1.0
29000.0,0.203125,-5.2548582769102524E-14,29000.0,85.0,66.7910893851038,-29.31034482758624,60.62992125984251,29000.0,-1.0,1.0
30000.0,0.203125,-5.2548582769102524E-14,30000.0,83.89999999999999,65.73301549463648,-49.074074074074126,59.34343434343434,30000.0,-1.0,1.0
31000.0,0.21875,-5.659078144364887E-14,31000.0,82.0,60.834316101882976,-20.805369127516794,52.50659630606859,31000.0,-1.0,1.0
32000.0,0.21875,-5.659078144364887E-14,32000.0,72.89999999999999,44.20929543133832,-88.19444444444443,35.32219570405728,32000.0,-1.0,1.0
33000.0,0.234375,-6.063298011819522E-14,33000.0,83.5,66.6760916104536,-41.025641025641065,63.73626373626372,33000.0,-1.0,1.0
34000.0,0.234375,-6.063298011819522E-14,34000.0,84.89999999999999,67.68947661231651,-6.33802816901409,60.77922077922078,34000.0,-1.0,1.0
35000.0,0.234375,-6.063298011819522E-14,35000.0,80.5,60.24626926526951,-59.836065573770455,53.68171021377673,35000.0,-1.0,1.0
36000.0,0.234375,-6.063298011819522E-14,36000.0,89.8,75.94067252896556,33.76623376623379,66.66666666666667,36000.0,-1.0,1.0
37000.0,0.25,-6.467517879274156E-14,37000.0,80.4,53.51330325928667,-20.987654320987602,44.15954415954417,37000.0,-1.0,1.0
38000.0,0.25,-6.467517879274156E-14,38000.0,86.3,69.45237245808062,3.521126760563383,59.587020648967545,38000.0,-1.0,1.0
39000.0,0.265625,-6.871737746728791E-14,39000.0,84.2,68.0978225754345,-20.61068702290078,66.23931623931622,39000.0,-1.0,1.0
40000.0,0.265625,-6.871737746728791E-14,40000.0,88.5,76.68269815651384,21.232876712328782,74.78070175438597,40000.0,-1.0,1.0
41000.0,0.265625,-6.871737746728791E-14,41000.0,88.2,76.11867802715994,36.21621621621624,74.84008528784648,41000.0,-1.0,1.0
42000.0,0.28125,-7.275957614183426E-14,42000.0,88.5,76.98729698793734,27.67295597484279,76.72064777327935,42000.0,-1.0,1.0
43000.0,0.28125,-7.275957614183426E-14,43000.0,87.4,74.67591196864637,1.5625000000000013,72.66811279826464,43000.0,-1.0,1.0
44000.0,0.296875,-7.680177481638061E-14,44000.0,87.1,71.70084502592992,29.508196721311492,64.85013623978202,44000.0,-1.0,1.0
45000.0,0.296875,-7.680177481638061E-14,45000.0,80.4,59.69731863793388,-49.61832061068698,53.7735849056604,45000.0,-1.0,1.0
45312.0,0.296875,-7.680177481638061E-14,45312.0,79.9,59.522160106974276,-41.549295774647845,56.95931477516061,45312.0,-1.0,1.0
