learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.125,-3.233758939637078E-14,1000.0,87.9,75.81219065590943,13.571428571428582,75.3061224489796,1000.0,-1.0
2000.0,0.1875,-4.850638409455617E-14,2000.0,89.2,74.6278755074425,22.857142857142875,63.75838926174497,2000.0,-1.0
3000.0,0.25,-6.467517879274156E-14,3000.0,89.8,78.729172314558,45.16129032258067,75.18248175182482,3000.0,-1.0
4000.0,0.28125,-7.275957614183426E-14,4000.0,92.30000000000001,83.77963902323935,54.43786982248524,80.306905370844,4000.0,-1.0
5000.0,0.34375,-8.892837084001965E-14,5000.0,87.9,72.86873850845329,24.375000000000018,65.81920903954803,5000.0,-1.0
6000.0,0.375,-9.701276818911235E-14,6000.0,87.0,73.19101197743095,14.473684210526327,68.89952153110048,6000.0,-1.0
7000.0,0.4375,-1.1318156288729775E-13,7000.0,89.2,77.46723360219653,43.45549738219894,74.34679334916865,7000.0,-1.0
8000.0,0.46875,-1.2126596023639043E-13,8000.0,86.3,72.49548283477213,19.88304093567253,74.19962335216572,8000.0,-1.0
9000.0,0.5,-1.2935035758548313E-13,9000.0,90.4,80.61451972472618,44.186046511627936,79.74683544303798,9000.0,-1.0
10000.0,0.546875,-1.4147695360912217E-13,10000.0,84.8,69.62854916378603,-6.293706293706299,68.72427983539094,10000.0,-1.0
11000.0,0.578125,-1.4956135095821487E-13,11000.0,92.80000000000001,85.57258791704238,59.7765363128492,85.57114228456915,11000.0,-1.0
12000.0,0.625,-1.6168794698185392E-13,12000.0,88.3,76.211776187378,15.217391304347839,73.94209354120267,12000.0,-1.0
13000.0,0.6875,-1.778567416800393E-13,13000.0,87.1,74.19504544872616,9.790209790209797,73.88663967611336,13000.0,-1.0
14000.0,0.71875,-1.85941139029132E-13,14000.0,91.4,82.80110072955331,12.244897959183687,81.54506437768241,14000.0,-1.0
15000.0,0.765625,-1.9806773505277105E-13,15000.0,84.6,67.46662159878316,-6.206896551724142,65.77777777777777,15000.0,-1.0
16000.0,0.828125,-2.1423652975095645E-13,16000.0,80.4,57.51045979752434,-19.512195121951166,53.44418052256533,16000.0,-1.0
