learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.030465919,-7.88155503364073E-15,1000.0,68.8,37.989919386895195,-122.85714285714286,36.32653061224488,1000.0,-1.0,750.0,353.5533905932738,-43.0,35.35533905932738,12.5,10.606601717798213,8.0,7.0710678118654755,8.0,7.0710678118654755,4.0,2.8284271247461903,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.058697476,-1.5185079019930626E-14,2000.0,92.7,82.8990151706819,47.85714285714289,75.50335570469801,2000.0,-1.0,1250.0,645.4972243679028,-46.75,29.477392467222515,13.75,9.069178573608529,9.25,6.849574196011505,9.25,6.849574196011505,3.25,1.8929694486000912,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.107912899,-2.791714414747225E-14,3000.0,92.2,83.85394025957898,58.0645161290323,81.02189781021899,3000.0,-1.0,1750.0,935.4143466934853,-62.333333333333336,27.69596841900761,18.5,8.360621986431392,12.666666666666666,5.853773711604051,12.666666666666666,5.853773711604051,4.166666666666666,1.7224014243685084,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.152317125,-3.940454917028547E-14,4000.0,92.80000000000001,84.72770775620332,57.39644970414205,81.58567774936063,4000.0,-1.0,2250.0,1224.744871391589,-66.375,33.788998632268296,19.624999999999996,10.22514407862165,13.124999999999998,7.140178069008002,13.124999999999998,7.140178069008002,4.5,1.6035674514745464,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.204887704,-5.3004595554537246E-14,5000.0,92.10000000000001,82.64971756375681,50.62500000000003,77.68361581920905,5000.0,-1.0,2750.0,1513.8251770487457,-76.0,40.21608301828179,22.5,12.285944995988077,15.0,8.96908269804914,15.0,8.96908269804914,4.800000000000001,1.813529401164726,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.26264083,-6.794537055409617E-14,6000.0,89.2,77.65233657236506,28.947368421052655,74.16267942583733,6000.0,-1.0,3300.0,1974.84176581315,-88.2,51.66946228995743,26.199999999999996,15.788884979278583,17.6,11.548929724341463,17.6,11.548929724341463,5.2,1.6193277068654826,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.318550601,-8.240926829684112E-14,7000.0,88.3,75.48444414643959,38.743455497382186,72.20902612826605,7000.0,-1.0,3550.0,2166.0255461712973,-84.69999999999999,55.68572528036247,25.2,17.099707599839242,17.099999999999998,12.758004023618533,17.099999999999998,12.758004023618533,4.9,1.7919573407620815,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.391222993,-1.0120966808042592E-13,8000.0,88.8,77.44436612627128,34.50292397660821,78.90772128060264,8000.0,-1.0,3950.0000000000005,2499.4443827023283,-99.1,56.16533133922068,29.6,17.147724176824298,20.3,12.44588285337766,20.3,12.44588285337766,5.1,1.5951314818673867,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.44518278,-1.1516910356779893E-13,9000.0,91.10000000000001,82.03747507447385,48.2558139534884,81.22362869198312,9000.0,-1.0,3799.9999999999995,2699.7942308422116,-88.4,53.00775624587615,26.4,16.056843470066656,18.2,11.252654007931739,18.2,11.252654007931739,4.5,1.90029237516523,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.506168458,-1.309461420815852E-13,10000.0,89.60000000000001,79.20623812856144,27.272727272727295,78.6008230452675,10000.0,-1.0,3850.0,3055.505050087647,-87.8,63.43115252863621,26.3,19.14883228235544,18.4,13.23463469671738,18.4,13.23463469671738,4.2,1.9321835661585918,0.0,0.0,0.0,0.0,1.0,0.0
