learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.09375,-2.4253192047278088E-14,1000.0,80.5,61.11106679323852,-39.285714285714235,60.20408163265307,1000.0,-1.0,82.0,61.96773353931867,-7.5,4.949747468305833,2.0,1.4142135623730951,1.5,0.7071067811865476,1.5,0.7071067811865476,0.5,0.7071067811865476,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.171875,-4.446418542000983E-14,2000.0,64.0,33.8770112409081,-157.1428571428571,-20.805369127516755,2000.0,-1.0,83.0,65.66751268490549,-7.5,4.949747468305833,2.0,1.414213562373095,1.5,0.7071067811865476,1.5,0.7071067811865476,0.5000000000000001,0.7071067811865476,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.28125,-7.275957614183426E-14,3000.0,76.0,53.28067026665059,-29.032258064516085,41.6058394160584,3000.0,-1.0,83.0,54.170512683972674,-6.8,3.6147844564602556,1.8,1.0327955589886444,1.4,0.5163977794943222,1.4,0.5163977794943222,0.39999999999999997,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.390625,-1.0105496686365869E-13,4000.0,76.7,54.66502708424134,-37.86982248520706,40.40920716112532,4000.0,-1.0,122.00000000000001,103.25803708294198,-8.2,4.894441291460707,2.2,1.3984117975602022,1.6,0.6992058987801011,1.6,0.6992058987801011,0.6,0.6992058987801011,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.515625,-1.3339255626002948E-13,5000.0,71.6,46.155829579408774,-77.49999999999999,19.774011299435017,5000.0,-1.0,136.0,177.5262108973082,-7.5,4.949747468305833,2.0,1.4142135623730951,1.5,0.7071067811865476,1.5,0.7071067811865476,0.5,0.7071067811865476,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.609375,-1.5764574830730757E-13,6000.0,75.2,51.29462041226746,-63.15789473684208,40.66985645933015,6000.0,-1.0,152.0,166.7866234977427,-8.2,5.902918298980975,2.2,1.6865480854231356,1.6,0.8432740427115678,1.6,0.8432740427115678,0.6,0.8432740427115679,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.703125,-1.8189894035458566E-13,7000.0,76.2,53.47327841355609,-24.607329842931964,43.467933491686466,7000.0,-1.0,78.0,50.94659513211413,-5.3999999999999995,2.9514591494904874,1.4,0.8432740427115678,1.2000000000000002,0.4216370213557839,1.2000000000000002,0.4216370213557839,0.19999999999999998,0.4216370213557839,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.8125,-2.101943310764101E-13,8000.0,80.5,60.55825242718447,-14.03508771929819,63.276836158192104,8000.0,-1.0,83.0,64.98717822257967,-6.099999999999999,3.3813212407775355,1.6,0.9660917830792959,1.2999999999999998,0.48304589153964794,1.2999999999999998,0.48304589153964794,0.3,0.48304589153964794,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.921875,-2.3848972179823454E-13,9000.0,87.6,75.02336523897,27.906976744186064,73.83966244725738,9000.0,-1.0,71.0,50.43147165543887,-5.3999999999999995,2.9514591494904874,1.4,0.8432740427115678,1.2000000000000002,0.4216370213557839,1.2000000000000002,0.4216370213557839,0.20000000000000004,0.4216370213557839,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.03125,-2.6678511252005895E-13,10000.0,77.3,54.724959112848545,-58.741258741258704,53.29218106995886,10000.0,-1.0,128.0,96.35582205785204,-8.200000000000001,3.6147844564602556,2.2,1.0327955589886444,1.6,0.5163977794943222,1.6,0.5163977794943222,0.6,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
