learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.015625,-4.042198674546348E-15,1000.0,80.4,60.873245284826815,-39.99999999999995,60.00000000000001,1000.0,-1.0,1.0
2000.0,0.015625,-4.042198674546348E-15,2000.0,69.3,12.111947049595173,-119.2857142857143,-3.0201342281879215,2000.0,-1.0,1.0
3000.0,0.03125,-8.084397349092695E-15,3000.0,90.0,79.28465780326226,46.23655913978497,75.66909975669101,3000.0,-1.0,1.0
4000.0,0.046875,-1.2126596023639042E-14,4000.0,81.3,58.98799027993438,-10.650887573964503,52.17391304347825,4000.0,-1.0,1.0
5000.0,0.046875,-1.2126596023639042E-14,5000.0,78.9,48.06383963295165,-31.874999999999954,40.395480225988706,5000.0,-1.0,1.0
6000.0,0.046875,-1.2126596023639042E-14,6000.0,76.1,50.0539166924408,-57.23684210526313,42.82296650717704,6000.0,-1.0,1.0
7000.0,0.0625,-1.616879469818539E-14,7000.0,80.2,58.5806986055502,-3.664921465968591,52.96912114014254,7000.0,-1.0,1.0
8000.0,0.078125,-2.021099337273174E-14,8000.0,65.3,30.43303929430634,-102.92397660818706,34.651600753295675,8000.0,-1.0,1.0
9000.0,0.09375,-2.4253192047278088E-14,9000.0,70.19999999999999,39.54492339652038,-73.25581395348836,37.13080168776371,9000.0,-1.0,1.0
10000.0,0.109375,-2.8295390721824436E-14,10000.0,82.19999999999999,64.38219109554777,-24.475524475524495,63.37448559670781,10000.0,-1.0,1.0
11000.0,0.109375,-2.8295390721824436E-14,11000.0,75.4,50.81868889821868,-37.430167597765326,50.70140280561122,11000.0,-1.0,1.0
12000.0,0.125,-3.233758939637078E-14,12000.0,74.9,49.26176884389605,-81.88405797101449,44.09799554565701,12000.0,-1.0,1.0
13000.0,0.125,-3.233758939637078E-14,13000.0,87.1,74.20928465752328,9.790209790209797,73.88663967611336,13000.0,-1.0,1.0
14000.0,0.140625,-3.637978807091713E-14,14000.0,88.4,76.79777258616826,-18.36734693877553,75.10729613733905,14000.0,-1.0,1.0
15000.0,0.140625,-3.637978807091713E-14,15000.0,82.3,62.80543671040354,-22.068965517241395,60.66666666666666,15000.0,-1.0,1.0
16000.0,0.15625,-4.042198674546348E-14,16000.0,89.1,77.73565481686045,33.53658536585368,74.10926365795724,16000.0,-1.0,1.0
17000.0,0.15625,-4.042198674546348E-14,17000.0,72.8,35.654806964420885,-69.99999999999999,24.444444444444436,17000.0,-1.0,1.0
18000.0,0.171875,-4.446418542000983E-14,18000.0,75.6,49.74791577421162,-75.53956834532373,41.06280193236715,18000.0,-1.0,1.0
19000.0,0.171875,-4.446418542000983E-14,19000.0,89.0,75.03121098626717,17.910447761194046,69.01408450704226,19000.0,-1.0,1.0
20000.0,0.171875,-4.446418542000983E-14,20000.0,81.39999999999999,62.87365866121613,-50.00000000000004,63.81322957198443,20000.0,-1.0,1.0
21000.0,0.1875,-4.8506384094556176E-14,21000.0,82.19999999999999,63.500656167978995,2.7322404371584716,59.9099099099099,21000.0,-1.0,1.0
22000.0,0.203125,-5.2548582769102524E-14,22000.0,87.4,68.11224489795917,32.62032085561499,54.01459854014598,22000.0,-1.0,1.0
23000.0,0.203125,-5.2548582769102524E-14,23000.0,68.8,32.452034449462424,-106.6225165562914,26.932084309133486,23000.0,-1.0,1.0
24000.0,0.21875,-5.659078144364887E-14,24000.0,79.10000000000001,54.673999791804015,-41.216216216216175,47.22222222222223,24000.0,-1.0,1.0
25000.0,0.21875,-5.659078144364887E-14,25000.0,80.7,58.10177144841959,-66.37931034482756,48.80636604774537,25000.0,-1.0,1.0
26000.0,0.234375,-6.063298011819522E-14,26000.0,70.89999999999999,41.75946458735279,-107.85714285714288,34.162895927601795,26000.0,-1.0,1.0
27000.0,0.234375,-6.063298011819522E-14,27000.0,87.9,74.271741441633,-13.084112149532723,70.48780487804879,27000.0,-1.0,1.0
28000.0,0.25,-6.467517879274156E-14,28000.0,79.4,56.38180740238843,-126.37362637362641,49.75609756097562,28000.0,-1.0,1.0
29000.0,0.25,-6.467517879274156E-14,29000.0,81.39999999999999,59.335196043708095,-60.344827586206954,51.18110236220471,29000.0,-1.0,1.0
30000.0,0.265625,-6.871737746728791E-14,30000.0,82.89999999999999,63.081626308335345,-58.33333333333339,56.81818181818181,30000.0,-1.0,1.0
31000.0,0.265625,-6.871737746728791E-14,31000.0,80.10000000000001,54.52093865126017,-33.557046979865724,47.49340369393141,31000.0,-1.0,1.0
32000.0,0.28125,-7.275957614183426E-14,32000.0,73.2,42.14487097010962,-86.1111111111111,36.038186157517906,32000.0,-1.0,1.0
33000.0,0.28125,-7.275957614183426E-14,33000.0,81.3,62.08127179819935,-59.82905982905989,58.901098901098884,33000.0,-1.0,1.0
34000.0,0.296875,-7.680177481638061E-14,34000.0,80.60000000000001,59.543719892394655,-36.61971830985911,49.610389610389625,34000.0,-1.0,1.0
35000.0,0.296875,-7.680177481638061E-14,35000.0,78.2,54.15448676158231,-78.68852459016391,48.2185273159145,35000.0,-1.0,1.0
36000.0,0.3125,-8.084397349092696E-14,36000.0,81.6,55.373600574322346,-19.480519480519494,39.86928104575163,36000.0,-1.0,1.0
37000.0,0.3125,-8.084397349092696E-14,37000.0,75.7,44.14255371969216,-49.999999999999964,30.769230769230766,37000.0,-1.0,1.0
38000.0,0.328125,-8.48861721654733E-14,38000.0,81.89999999999999,58.813463673930045,-27.464788732394386,46.60766961651915,38000.0,-1.0,1.0
39000.0,0.328125,-8.48861721654733E-14,39000.0,85.1,70.08128252907537,-13.740458015267187,68.16239316239316,39000.0,-1.0,1.0
40000.0,0.34375,-8.892837084001965E-14,40000.0,89.4,78.3892223382046,27.397260273972623,76.75438596491229,40000.0,-1.0,1.0
41000.0,0.34375,-8.892837084001965E-14,41000.0,87.0,73.86062485170932,29.729729729729748,72.28144989339019,41000.0,-1.0,1.0
42000.0,0.359375,-9.2970569514566E-14,42000.0,88.1,76.20856491663002,25.15723270440253,75.91093117408907,42000.0,-1.0,1.0
43000.0,0.359375,-9.2970569514566E-14,43000.0,74.0,47.50762148957219,-103.125,43.60086767895878,43000.0,-1.0,1.0
44000.0,0.375,-9.701276818911235E-14,44000.0,82.8,60.347284019494374,6.010928961748638,53.13351498637601,44000.0,-1.0,1.0
45000.0,0.375,-9.701276818911235E-14,45000.0,72.8,44.27873742174441,-107.63358778625955,35.84905660377359,45000.0,-1.0,1.0
45312.0,0.375,-9.701276818911235E-14,45312.0,78.3,56.381208140030395,-52.81690140845067,53.53319057815846,45312.0,-1.0,1.0
